chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,#,1,1,3,0,india_2005_AnnualReport.md,2025-01-28 18:55:52
2,# # _ vigil at siachen _ - - - - -,34,12,17,1,india_2005_AnnualReport.md,2025-01-28 18:55:52
3,# #,3,2,4,2,india_2005_AnnualReport.md,2025-01-28 18:55:52
4,# # # # # - - - - -,19,10,12,3,india_2005_AnnualReport.md,2025-01-28 18:55:52
5,# # # # #,9,5,7,4,india_2005_AnnualReport.md,2025-01-28 18:55:52
6,# # # # #,9,5,7,5,india_2005_AnnualReport.md,2025-01-28 18:55:52
7,# # # # #,9,5,7,6,india_2005_AnnualReport.md,2025-01-28 18:55:52
8,# # # # #,9,5,7,7,india_2005_AnnualReport.md,2025-01-28 18:55:52
9,# # # # #,9,5,7,8,india_2005_AnnualReport.md,2025-01-28 18:55:52
10,# # # # # _ ins beas patrolling high seas _ - - - - -,53,17,20,9,india_2005_AnnualReport.md,2025-01-28 18:55:52
11,# # # # #,9,5,7,10,india_2005_AnnualReport.md,2025-01-28 18:55:52
12,# # # # #,9,5,7,11,india_2005_AnnualReport.md,2025-01-28 18:55:52
13,# # # # #,9,5,7,12,india_2005_AnnualReport.md,2025-01-28 18:55:52
14,# # # # #,9,5,7,13,india_2005_AnnualReport.md,2025-01-28 18:55:52
15,# # # # #,9,5,7,14,india_2005_AnnualReport.md,2025-01-28 18:55:52
16,# # # # #,9,5,7,15,india_2005_AnnualReport.md,2025-01-28 18:55:52
17,# # # # # - - - - -,19,10,12,16,india_2005_AnnualReport.md,2025-01-28 18:55:52
18,# # # # #,9,5,7,17,india_2005_AnnualReport.md,2025-01-28 18:55:52
19,# # # # #,9,5,7,18,india_2005_AnnualReport.md,2025-01-28 18:55:52
20,# # # # #,9,5,7,19,india_2005_AnnualReport.md,2025-01-28 18:55:52
21,# # # # #,9,5,7,20,india_2005_AnnualReport.md,2025-01-28 18:55:52
22,# # # # #,9,5,7,21,india_2005_AnnualReport.md,2025-01-28 18:55:52
23,# # # # #,9,5,7,22,india_2005_AnnualReport.md,2025-01-28 18:55:52
24,# # # # #,9,5,7,23,india_2005_AnnualReport.md,2025-01-28 18:55:52
25,# # # # #,9,5,7,24,india_2005_AnnualReport.md,2025-01-28 18:55:52
26,# # # # #,9,5,7,25,india_2005_AnnualReport.md,2025-01-28 18:55:52
27,# # # # #,9,5,7,26,india_2005_AnnualReport.md,2025-01-28 18:55:52
28,# # # # # _ ins aditya and ins mysore with uss chafee during joint exercise _ - - - - -,87,23,28,27,india_2005_AnnualReport.md,2025-01-28 18:55:52
29,# # # # #,9,5,7,28,india_2005_AnnualReport.md,2025-01-28 18:55:52
30,# # # # #,9,5,7,29,india_2005_AnnualReport.md,2025-01-28 18:55:52
31,# # # # #,9,5,7,30,india_2005_AnnualReport.md,2025-01-28 18:55:52
32,# # # # #,9,5,7,31,india_2005_AnnualReport.md,2025-01-28 18:55:52
33,# # # # #,9,5,7,32,india_2005_AnnualReport.md,2025-01-28 18:55:52
34,# # # # #,9,5,7,33,india_2005_AnnualReport.md,2025-01-28 18:55:52
35,# # # # #,9,5,7,34,india_2005_AnnualReport.md,2025-01-28 18:55:52
36,# # # # #,9,5,7,35,india_2005_AnnualReport.md,2025-01-28 18:55:52
37,# # # # #,9,5,7,36,india_2005_AnnualReport.md,2025-01-28 18:55:52
38,# # # # #,9,5,7,37,india_2005_AnnualReport.md,2025-01-28 18:55:52
39,# # # # # - - - - - _ vigilant soldier at the international borders _ - - - - -,79,23,27,38,india_2005_AnnualReport.md,2025-01-28 18:55:52
40,# # # # #,9,5,7,39,india_2005_AnnualReport.md,2025-01-28 18:55:52
41,# # # # #,9,5,7,40,india_2005_AnnualReport.md,2025-01-28 18:55:52
42,# # # # #,9,5,7,41,india_2005_AnnualReport.md,2025-01-28 18:55:52
43,# # # # #,9,5,7,42,india_2005_AnnualReport.md,2025-01-28 18:55:52
44,# # # # #,9,5,7,43,india_2005_AnnualReport.md,2025-01-28 18:55:52
45,# # # # # - - - - -,19,10,12,44,india_2005_AnnualReport.md,2025-01-28 18:55:52
46,# # # # #,9,5,7,45,india_2005_AnnualReport.md,2025-01-28 18:55:52
47,# # # # #,9,5,7,46,india_2005_AnnualReport.md,2025-01-28 18:55:52
48,# # # # #,9,5,7,47,india_2005_AnnualReport.md,2025-01-28 18:55:52
49,# # # # #,9,5,7,48,india_2005_AnnualReport.md,2025-01-28 18:55:52
50,# # # # #,9,5,7,49,india_2005_AnnualReport.md,2025-01-28 18:55:52
51,# # # # #,9,5,7,50,india_2005_AnnualReport.md,2025-01-28 18:55:52
52,# # # # # - - - - - - - - - -,29,15,17,51,india_2005_AnnualReport.md,2025-01-28 18:55:52
53,# # # internal threat to security,33,7,9,52,india_2005_AnnualReport.md,2025-01-28 18:55:52
54,# # # peaceful uses of nuclear energy _ iaf aircraft at siachen _ - - - - -,75,19,24,53,india_2005_AnnualReport.md,2025-01-28 18:55:52
55,# # # # #,9,5,7,54,india_2005_AnnualReport.md,2025-01-28 18:55:52
56,# # # # #,9,5,7,55,india_2005_AnnualReport.md,2025-01-28 18:55:52
57,# # # # #,9,5,7,56,india_2005_AnnualReport.md,2025-01-28 18:55:52
58,# # # # #,9,5,7,57,india_2005_AnnualReport.md,2025-01-28 18:55:52
59,# # # # #,9,5,7,58,india_2005_AnnualReport.md,2025-01-28 18:55:52
60,# # # conclusion - - - - -,26,9,11,59,india_2005_AnnualReport.md,2025-01-28 18:55:52
61,#,1,1,3,60,india_2005_AnnualReport.md,2025-01-28 18:55:52
62,# # _ president with naval commanders _ - - - - -,49,13,15,61,india_2005_AnnualReport.md,2025-01-28 18:55:52
63,# #,3,2,4,62,india_2005_AnnualReport.md,2025-01-28 18:55:52
64,# # # # #,9,5,7,63,india_2005_AnnualReport.md,2025-01-28 18:55:52
65,# # # historical background,27,5,7,64,india_2005_AnnualReport.md,2025-01-28 18:55:52
66,# # # post - independence organisational set - up and functions - - - - -,73,17,20,65,india_2005_AnnualReport.md,2025-01-28 18:55:52
67,# # # # #,9,5,7,66,india_2005_AnnualReport.md,2025-01-28 18:55:52
68,# # # # #,9,5,7,67,india_2005_AnnualReport.md,2025-01-28 18:55:52
69,# # # # #,9,5,7,68,india_2005_AnnualReport.md,2025-01-28 18:55:52
70,# # # # #,9,5,7,69,india_2005_AnnualReport.md,2025-01-28 18:55:52
71,# # # # #,9,5,7,70,india_2005_AnnualReport.md,2025-01-28 18:55:52
72,# # # # #,9,5,7,71,india_2005_AnnualReport.md,2025-01-28 18:55:52
73,# # # # #,9,5,7,72,india_2005_AnnualReport.md,2025-01-28 18:55:52
74,# # # # #,9,5,7,73,india_2005_AnnualReport.md,2025-01-28 18:55:52
75,# # # # #,9,5,7,74,india_2005_AnnualReport.md,2025-01-28 18:55:52
76,# # # # #,9,5,7,75,india_2005_AnnualReport.md,2025-01-28 18:55:52
77,# # # # #,9,5,7,76,india_2005_AnnualReport.md,2025-01-28 18:55:52
78,# # # # #,9,5,7,77,india_2005_AnnualReport.md,2025-01-28 18:55:52
79,# # # departments - - - - - - - - - -,37,14,16,78,india_2005_AnnualReport.md,2025-01-28 18:55:52
80,"# # # defence expenditure | table 2. 1 | col2 | col3 | col4 | col5 | col6 | | - - - | - - - | - - - | - - - | - - - | - - - | | service / department - wise break - up of defence expenditure 0 ) 1 | | | | | | | | |! "" | ""! # | $ % & % #! ( | ' & (! ) | | | | - - ccc = | - * 3 * 3?, |?,, 3 >? > |? 3 - > > | |",308,110,130,79,india_2005_AnnualReport.md,2025-01-28 18:55:52
81,"| |,, c - * | - * 3c3c |? ; ; > = c | >?, - | | a | | - = ;, 3 | 3 -, - * c | 33 * 3 = | 3? = >? c | | % % | * | 0 # 13, * = | 0 # 1 > c3? | 0 # 1 > ; > ; | 0 # 1c > ; = | | | + | - - > = * | - c33c | - = 33, |? 3, *, | | |, - |. ( % )",235,104,130,79,india_2005_AnnualReport.md,2025-01-28 18:55:52
82,"| % # |. "" % # | % ) | | % ) g % | | -?? - = | - ; * 3 ; | * - -, =? | *? * - ; - | |, - | | ( ( # % / | ) # / # # % 0 | /. ) % | / 0 % | - - - - - - - - - -",157,75,85,79,india_2005_AnnualReport.md,2025-01-28 18:55:52
83,#,1,1,3,80,india_2005_AnnualReport.md,2025-01-28 18:55:52
84,# # _ army ’ s jawans on the move _ - - - - -,45,16,19,81,india_2005_AnnualReport.md,2025-01-28 18:55:52
85,# #,3,2,4,82,india_2005_AnnualReport.md,2025-01-28 18:55:52
86,# # # # #,9,5,7,83,india_2005_AnnualReport.md,2025-01-28 18:55:52
87,# # # modernisation of army _ tanguska air defence weapon system _ - - - - - - - - - - _ remotely operated vehicle ( rov ) _,124,31,37,84,india_2005_AnnualReport.md,2025-01-28 18:55:52
88,# # # modernisation of central ordnance depots ( cods ) - - - - -,65,16,21,85,india_2005_AnnualReport.md,2025-01-28 18:55:52
89,# # # modernisation of security and fire prevention systems in ammunition depots,80,13,17,86,india_2005_AnnualReport.md,2025-01-28 18:55:52
90,# # # counter insurgency operations,35,6,8,87,india_2005_AnnualReport.md,2025-01-28 18:55:52
91,# # # # jammu & kashmir - - - - -,33,12,14,88,india_2005_AnnualReport.md,2025-01-28 18:55:52
92,# # # # #,9,5,7,89,india_2005_AnnualReport.md,2025-01-28 18:55:52
93,# # # # #,9,5,7,90,india_2005_AnnualReport.md,2025-01-28 18:55:52
94,# # # # #,9,5,7,91,india_2005_AnnualReport.md,2025-01-28 18:55:52
95,# # # # #,9,5,7,92,india_2005_AnnualReport.md,2025-01-28 18:55:52
96,# # # # #,9,5,7,93,india_2005_AnnualReport.md,2025-01-28 18:55:52
97,# # # # #,9,5,7,94,india_2005_AnnualReport.md,2025-01-28 18:55:52
98,# # # # #,9,5,7,95,india_2005_AnnualReport.md,2025-01-28 18:55:52
99,# # # # #,9,5,7,96,india_2005_AnnualReport.md,2025-01-28 18:55:52
100,# # # # #,9,5,7,97,india_2005_AnnualReport.md,2025-01-28 18:55:52
101,# # # # #,9,5,7,98,india_2005_AnnualReport.md,2025-01-28 18:55:52
102,# # # # #,9,5,7,99,india_2005_AnnualReport.md,2025-01-28 18:55:52
103,# # # # #,9,5,7,100,india_2005_AnnualReport.md,2025-01-28 18:55:52
104,"# # # # # | col1 | table 3. 1 | col3 | col4 | | - - - | - - - | - - - | - - - | | % 7 | 83 | "" | # | | 01 | | -? c | - - * | | 01 | i 75 7 | ; c | > | | 01 |! ' 7 |?, | =, | | 01 |! ' | = | 3c * | | 0 1 |!! $ 7 | ; > | ; c | | 01 |! ' | = = * | = ; > | | 01 |",259,114,130,101,india_2005_AnnualReport.md,2025-01-28 18:55:52
105,"a "" | > - | * | | 0 1 | ) | h *? | h ; > | - - - - -",52,26,29,101,india_2005_AnnualReport.md,2025-01-28 18:55:52
106,# # # north - east,18,6,8,102,india_2005_AnnualReport.md,2025-01-28 18:55:52
107,# # # # #,9,5,7,103,india_2005_AnnualReport.md,2025-01-28 18:55:52
108,# # # # #,9,5,7,104,india_2005_AnnualReport.md,2025-01-28 18:55:52
109,# # # # #,9,5,7,105,india_2005_AnnualReport.md,2025-01-28 18:55:52
110,# # # # #,9,5,7,106,india_2005_AnnualReport.md,2025-01-28 18:55:52
111,# # # # #,9,5,7,107,india_2005_AnnualReport.md,2025-01-28 18:55:52
112,# # # # #,9,5,7,108,india_2005_AnnualReport.md,2025-01-28 18:55:52
113,# # # # # - - - - -,19,10,12,109,india_2005_AnnualReport.md,2025-01-28 18:55:52
114,# # # # #,9,5,7,110,india_2005_AnnualReport.md,2025-01-28 18:55:52
115,# # # # #,9,5,7,111,india_2005_AnnualReport.md,2025-01-28 18:55:52
116,# # # # #,9,5,7,112,india_2005_AnnualReport.md,2025-01-28 18:55:52
117,# # # # #,9,5,7,113,india_2005_AnnualReport.md,2025-01-28 18:55:52
118,# # # # #,9,5,7,114,india_2005_AnnualReport.md,2025-01-28 18:55:52
119,# # # # #,9,5,7,115,india_2005_AnnualReport.md,2025-01-28 18:55:52
120,# # # # #,9,5,7,116,india_2005_AnnualReport.md,2025-01-28 18:55:52
121,# # # directorate general rashtriya rifles - - - - -,52,12,16,117,india_2005_AnnualReport.md,2025-01-28 18:55:52
122,# # # participation in united nations,37,7,9,118,india_2005_AnnualReport.md,2025-01-28 18:55:52
123,# # # # peacekeeping missions,29,6,8,119,india_2005_AnnualReport.md,2025-01-28 18:55:52
124,# # # # # - - - - - _ aerial insertion of indian troops into troubled areas in eastern part of congo ( monuc ) _ - - - - - [ ],126,35,38,120,india_2005_AnnualReport.md,2025-01-28 18:55:52
125,# # # indo - us joint command post exercise,43,10,12,121,india_2005_AnnualReport.md,2025-01-28 18:55:52
126,# # # adventure and sports - - - - - [ ] [ ] [ ] [ ] [ ] - - - - -,66,26,28,122,india_2005_AnnualReport.md,2025-01-28 18:55:52
127,#,1,1,3,123,india_2005_AnnualReport.md,2025-01-28 18:55:52
128,# # _ ins kadamba _ - - - - -,29,11,15,124,india_2005_AnnualReport.md,2025-01-28 18:55:52
129,# #,3,2,4,125,india_2005_AnnualReport.md,2025-01-28 18:55:52
130,# # # # #,9,5,7,126,india_2005_AnnualReport.md,2025-01-28 18:55:52
131,# # # inductions and de - inductions,36,8,12,127,india_2005_AnnualReport.md,2025-01-28 18:55:52
132,# # # new projects - - - - -,28,10,12,128,india_2005_AnnualReport.md,2025-01-28 18:55:52
133,# # # # #,9,5,7,129,india_2005_AnnualReport.md,2025-01-28 18:55:52
134,# # # # #,9,5,7,130,india_2005_AnnualReport.md,2025-01-28 18:55:52
135,# # # # #,9,5,7,131,india_2005_AnnualReport.md,2025-01-28 18:55:52
136,# # # # # _ president during naval fleet review _ - - - - -,59,17,19,132,india_2005_AnnualReport.md,2025-01-28 18:55:52
137,# # # exercises - - - - -,25,9,11,133,india_2005_AnnualReport.md,2025-01-28 18:55:52
138,# # # overseas deployment ( osd ),33,8,11,134,india_2005_AnnualReport.md,2025-01-28 18:55:52
139,# # # # #,9,5,7,135,india_2005_AnnualReport.md,2025-01-28 18:55:52
140,# # # # #,9,5,7,136,india_2005_AnnualReport.md,2025-01-28 18:55:52
141,# # # # #,9,5,7,137,india_2005_AnnualReport.md,2025-01-28 18:55:52
142,# # # # #,9,5,7,138,india_2005_AnnualReport.md,2025-01-28 18:55:52
143,# # # # #,9,5,7,139,india_2005_AnnualReport.md,2025-01-28 18:55:52
144,# # # # #,9,5,7,140,india_2005_AnnualReport.md,2025-01-28 18:55:52
145,"# # # miscellaneous operations - - - - - * * table 4. 1 * * | | $ 8 1 | 8 5 1 | $ 3 | | - - - | - - - | - - - | - - - | | j | + i a 3,, * | % 06 71 | % 75 3,, * 0 % 7o1 | | | |. 0 ( 1 | 75 8!! 2 | | / | / ( i a #. 3,, * | j / |! 5n! /! | | ) 4 ) 4 + ' ' 9 | / "" / ia n",268,111,130,141,india_2005_AnnualReport.md,2025-01-28 18:55:52
146,". 3,, * | / ' 0. 1 | 9 ) / 75 /. 7o, * | | '! | / / 4. i. 3,, * | ""!. | ( / % "", * /! | | j $ "" 6 # -? | 7 i / 7 i n. 3,, * |! m. | / j, =. ( 5 | | / | / ( i n. 3,, * | $. | a. "" + / + 075 # / % > 1 $. | |. | ) /. ( i 9 n93",223,94,130,141,india_2005_AnnualReport.md,2025-01-28 18:55:52
147,",, * | / 07 1! 0a 1 06 ' 1! 0 1 / 07 1 | a ) 0a ) 1 06 ' 1 | |. | / 7 i9 3,, * | : "". "" j | | | j ) 4 ) 4 / ' | / 7 i9 n 3,, * | / ' 0. 1 9 0 1 | 7 a % / 7 | | %! + | / ( i. n9 3,, * |. 0 "" 1 % ""! 0 / 1 j 0 / 1 $ 0. 1 ) 0a 1 | a % / ( |",236,105,130,141,india_2005_AnnualReport.md,2025-01-28 18:55:52
148,- - - - -,9,5,7,141,india_2005_AnnualReport.md,2025-01-28 18:55:52
149,# # # exercises and cooperation with foreign navies - - - - - _ uss nimitz ( in background ) doing combat manoeuvres with ins viraat _ - - - - - _ marine commandos ( marcos ) airlifted by a naval seaking mk 42c helicopter _ _ and slithering down to board a ship on the high seas. _,281,61,76,142,india_2005_AnnualReport.md,2025-01-28 18:55:52
150,"# # # training - - - - - | col1 | table | 4. 2 | col4 | | - - - | - - - | - - - | - - - | | % 7 % | 9 | | - | | | / $ |? ; |, 3 | | 3 | |? | # | | - | |, | ; | |? |. | - | # | | * |. | 3 | # | | > |. | 3 |? | | ; | ' | - | # | | = | / | | # | | c | + | | | |",258,116,130,143,india_2005_AnnualReport.md,2025-01-28 18:55:52
151,", |. | ; |, | | |! @ | | # | | 3 | / | 3, | | | - | / | # | * | - - - - - _ a delhi class ship firing a tactical missile - uran - at a target which is well beyond the horizon range _",182,58,65,143,india_2005_AnnualReport.md,2025-01-28 18:55:52
152,# # # advancement in information technology,43,7,9,144,india_2005_AnnualReport.md,2025-01-28 18:55:52
153,"# # # adventure and sports - - - - - * * table 4. 3 * * | % 7 % | 73 | $ | & | 3 | | - - - | - - - | - - - | - - - | - - - | | | / ' |. "" 7 $ ) | + / "" / 3 c 3,, * | / | | 3 |. 4 ' | ( 7 $ | + / "" / 3 c 3,, * | + 0! 7 1 | | - | |. "" ( | + / "" / 3 c3,, * | & 0. f",262,115,130,145,india_2005_AnnualReport.md,2025-01-28 18:55:52
154,"/ 1 ( 3,, = | |? | "" ) / ' | "" (! | "" ( > c 3,, * | / | | * | / 4 / | ( | 5 "" "" | ) | - - - - -",95,45,53,145,india_2005_AnnualReport.md,2025-01-28 18:55:52
155,#,1,1,3,146,india_2005_AnnualReport.md,2025-01-28 18:55:52
156,# # _ il - 76 based awacs _ - - - - -,37,14,18,147,india_2005_AnnualReport.md,2025-01-28 18:55:52
157,# #,3,2,4,148,india_2005_AnnualReport.md,2025-01-28 18:55:52
158,# # # # # _ close up view of the awesome mig – 29 _ - - - - -,61,21,23,149,india_2005_AnnualReport.md,2025-01-28 18:55:52
159,# # # fleet improvement / induction / upgrdation _ a line up of mig - 21 bison _ - - - - -,90,24,28,150,india_2005_AnnualReport.md,2025-01-28 18:55:52
160,# # # # #,9,5,7,151,india_2005_AnnualReport.md,2025-01-28 18:55:52
161,# # # # #,9,5,7,152,india_2005_AnnualReport.md,2025-01-28 18:55:52
