chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# the white paper on defence # # review of implementation - - - - -,67,16,18,0,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
2,# # # the white paper on defence,32,8,10,1,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
3,# # # # review of implementation * * february 2007 * * * * 1 * * - - - - -,74,23,25,2,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
4,# # # # c o n t e n t s * * executive summary * * 3 recruitment 18 convergence issues 18 * * section 1 * * * * introduction * * review background 6 terms of reference 6 revised officer promotion system 18 commissioned from the ranks ( cfr ) 19 goals of the white paper 7 key recommendations 7 progress on equality issues 19 civilianisation 19 review outline 8 * * section 2 * * * * environmental change 2000 to 2006 * * overseas operations 20 training and interoperability 23 pay to non - pay ratio 25 equipment and establishment of hlppg 25 international developments 10 united nations 10 european union 11 partnership for peace (,631,122,130,3,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
5,pfp ) and parp 11 infrastructure 27 statutory authority for management of the curragh 28 international terrorism 12 domestic security situation 12 decentralisation 28 air corps 28 other environmental factors 13 public service modernisation 13 naval service 30 other defence force elements 30 ‘ challenge of a workplace ’ 14 reduction in public service numbers – govt. decision 2003 14 reserve defence force 31 civil defence 32 civil – military management 33 changes within the department of defence 33 * * section 3 * * * * implementation of recommendations * * * * 2000 to 2006 * * introduction 16 defence forces organisational structure 16 personnel – general ( human resources management ) 16 * * section 4,709,119,130,3,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
6,* * * * conclusion and recommendations * * overall assessment 36 * * 2 * * - - - - -,84,22,24,3,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
7,"# # # # e x e c u t i v e s u m m a r y the white paper on defence was published in february 2000. this was the first - ever white paper on defence and it set out the policy framework and development strategy for the period to 2010. the overall government objective was to achieve affordable and sustainable defence forces capable of fulfilling the roles laid down by the government : “ a major objective ( of the white paper ) is to ensure that ireland has a world - class military organisation ”, ( minister for defence, foreword to the white paper, february 2000 ). in addition to confirming the roles of the defence",619,122,130,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
8,"forces and providing a policy framework, the white paper set out specific recommendations for change, re - organisation and investment throughout the defence organisation. the programme for development and change was directed at “ the provision of defence forces organised, maintained and equipped on conventional military lines to ensure a defence capacity suited to current and contingent needs ”. achieving the appropriate balance between pay and non - pay investment was a key factor. building on progress already underway on the development of defence forces capabilities, the aim was to have a sustainable world - class organisation, trained and equipped to deliver the roles laid down by government. the white paper mapped the way ahead for the management of",765,119,130,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
9,"the defence organisation, including reserves, and for civil defence. the ongoing modernisation of defence has coincided with the evolution of significant challenges. while the security threat is assessed as low, the international defence and security environment has changed appreciably since september 11, 2001 and subsequent terrorist actions worldwide. the asymmetric threat posed by islamist extremism presents new challenges, especially to intelligence organisations, including military intelligence. in peace support missions, the un has revised its policy and approach. international peace support missions are now more robust in nature and more complex. more precise requests for the commitment of interoperable, sustainable and operationally effective contingent",771,103,130,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
10,"##s have arisen under european security and defence policy. the government has decided that ireland will participate in the nordic eu battlegroup. it is prudent to assume that the rate of change in the general defence environment will continue to challenge defence agencies in the coming years. substantial progress has been made in implementing the white paper. as set out in this review, most of the recommendations for change have been implemented or are being implemented according to agreed timetables. these include reductions in numbers, investment in equipment and infrastructure, continuous recruitment, the re - organisation of the reserve, civil defence, etc. other recommendations, such as civilianisation, require",726,108,132,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
11,"further work in order that progress can be made. arising from the white paper and the implementation of the report “ response to the challenge of a workplace ”, particular progress has been made in human resources development and management, the key resource area of the defence organisation. the policy framework set out by government in the white paper covers the period to 2010. implementation of the white paper recommendations is continuing. capability is being evolved to meet known and emerging demands. the need to attract and retain suitable personnel as well as the delivery of modernisation and value for money, central issues in the framework partnership agreement, are informing this process. in addition, the defence",730,116,130,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
12,"organisation is responding to the * * 3 * * - - - - - changes in the defence and security environment and in the workplace. in doing so, it is drawing on the improvements in capability and effectiveness delivered by implementation of the white paper. appropriate resources are crucial to successfully achieving the overall goals set by government for defence. at a minimum, that requires a continuation of government policy on the re - investment of payroll savings and the proceeds of property sales in the defence forces. * * 4 * * - - - - -",543,99,107,4,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
13,# # # # s e c t i o n 1 i n t r o d u c t i o n * * 5 * * - - - - -,67,34,36,5,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
14,# # # # s e c t i o n 1 i n t r o d u c t i o n,47,24,26,6,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
15,"# # # # # review background as 2005 marked the mid - point in the 10 - year period envisaged in the white paper, the minister requested that a review of progress be carried out. the review focuses on implementation of specific recommendations in the white paper. policy parameters, strategic objectives and the roles of the defence forces, are set for the duration of the white paper. a civil / military steering group and working group were established to carry out the review. the members of these groups were :",513,91,102,7,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
16,# # # # # steering group : major general s. brennan asst. secretary mr m. quinn ( replaced by major general p. nash ),117,25,32,8,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
17,"# # # # # working group : colonel g. hegarty, ms b. o ’ doherty, principal officer colonel d. ashe, mr c. murphy, principal officer colonel m. finn mr b. coghlan, principal officer mr j. blighe, principal officer mr r. mooney assistant principal officer, planning & organisation branch, department of defence, was secretary to the group.",337,57,85,9,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
18,"# # # # # terms of reference the steering group agreed the following terms of reference for the review : ® to report to the minister on the extent to which relevant white paper goals, objectives, plans and recommendations have been achieved or implemented and to recommend any relevant action ; and, ® to make any other recommendations as the group sees fit. ® in pursuit of the above the review group may, without prejudice to the generality of the terms of reference, take into account in its deliberations all relevant current and anticipated environmental and other factors. * * 6 * * - - - - -",598,109,121,10,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
19,"# # # # # goals of the white paper before moving on to the substance of this review it is appropriate to note the key goals of the white paper : the key goals of the white paper are : ® to provide a light infantry based force with an appropriate level of all - arms capability ; ® to provide sufficient forces and capabilities to meet needs at home and to make a significant contribution abroad ; ® to put in place a more cohesive and better equipped force than exists at present ; ® to provide significant additional resources for equipment and infrastructure broadly within the existing level of financial allocation. ( page1, para 3 ) in addition the white paper",665,124,130,11,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
20,"outlined the basis for the future development of civil defence policy and chapter 7 of the white paper specifically addresses civil defence. it was noted that the key goals would require the creation of a balanced and flexible military organisation, which had sufficient depth in terms of personnel, doctrine, training, organisation and equipment to meet expected future needs. it was also noted that the then organisation provided a strong starting point but that a process of continuous change would be needed to ensure that the state had effective and efficient defence capabilities relevant to its needs. ( page 1, para 4 ) the white paper recognised that the change and reorganisation recommended was complementary to the growing focus on strategic",753,120,130,11,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
21,"management in the public service. the white paper set out a policy framework and development strategy for defence for the decade leading to 2010 including a new approach to enable the management of defence to respond in a dynamic way to future needs. it was also acknowledged that the development strategy would build on the reorganisation and reform process begun in the 1990 ’ s. ( 1. 1. 1, 1. 1. 2 ).",403,73,84,11,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
22,"# # # # # key recommendations the white paper contained many detailed recommendations aimed at achieving these goals. the most significant of these can be summarised as follows : ® achieve a balance of 70 : 30 in terms of pay to non - pay ratio in the defence budget ; * * 7 * * - - - - - ® reduction in defence forces numbers by 1, 000 and allocation of 100 % of pay savings to investment in equipment and infrastructure ; ® allocation of 100 % of the proceeds of property sales to equipment and infrastructure ; ® development of the army based on a three brigade structure and along the lines of “ … a light infantry based",624,124,130,12,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
23,"force with an appropriate level of all - arms capability ” ; ® development of the air corps and major investment in equipment ; ® a new ship for the naval service and efficiency and effectiveness measures to enhance fishery protection ; ® continuous recruitment to the defence forces ; ® development of a comprehensive personnel management system ; ® development of the reserve, including a new organisational structure and investment in training and equipment ; ® new emphasis on the department ’ s role in policy development, departmental human resources management, and a reduction of 10 % in dept of defence staff numbers ; ® continued development of civil defence and an increase in funding ; ® establishment of a new statutory authority",742,124,130,12,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
24,to manage the curragh lands.,28,5,10,12,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
25,# # # # # review outline the review is structured as follows : * * section 2 * * outlines environmental changes that have occurred since publication of the white paper ; * * section 3 * * examines the detailed recommendations contained in the white paper and the effect of the environmental changes since 2000 and reports on progress to date ; * * section 4 * * assesses the degree to which the key goals outlined in the white paper have been achieved. * * 8 * * - - - - -,472,96,100,13,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
26,# # # # s e c t i o n 2 e n v i r o n m e n t a l c h a n g e 2 0 0 0 - 2 0 0 6 * * 9 * * - - - - -,99,50,52,14,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
27,"# # # # s e c t i o n 2 e n v i r o n m e n t a l c h a n g e 2 0 0 0 t o 2 0 0 6 the white paper in 2000 built on progress already under way to set out fundamental and comprehensive change for the defence organisation. coincidentally, the challenges emerging in the international security environment resulted in significant changes in the structures and approaches of international organisations including the un, european union and nato pfp. the domestic security situation has also evolved. as a result, the defence organisation has had to respond to substantial changes, such as the more complex and demanding nature",621,120,130,15,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
28,"of international peace support operations, during a period of internal transformation. the roles assigned by government to the defence forces have not changed but the approach to fulfilling these roles, particularly in respect of overseas service, has become more demanding.",274,40,47,15,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
29,"# # # # # international developments * * united nations * * the un response to conflicts in africa and the balkans in the 1990s was widely criticised and led to a period of self - examination by the un. in 2000 the brahimi panel report referred to the changed nature of conflicts and highlighted the consequent need for, inter alia, quick response to complex and volatile situations far beyond traditional peacekeeping with western nations in particular being called upon to provide self - deploying, self - sustaining, quick reaction forces. the report emphasised chapter vii peace enforcement operations and the requirement for operations to be capable of applying credible coercive force",690,113,130,16,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
30,". this change in the traditional role of the peacekeeper has necessitated the defence forces to be equipped, trained and prepared, not least psychologically, to meet these new requirements. a report by the un secretary general ’ s high level panel on threats, challenges, and change entitled ‘ a more secure world : our shared responsibility ’ ( 2004 ), emphasises the need for collective security and for security to be addressed at the global, regional and national level. the report identifies six clusters of threats : ® economic and social, including poverty, infectious disease, and environmental degradation ; ® interstate conflict ; ® internal conflict, including civil war, genocide,",692,110,130,16,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
31,"and other large scale atrocities ; ® nuclear, radiological, chemical and biological weapons ; ® terrorism ; ® international organised crime. * * 10 * * - - - - - * * european union * * the period since 2000 has seen significant development arising from the european security and defence policy ( esdp ), in terms both of operations and organisation structures. the continuing evolution of esdp as a key agenda for the eu has impacted on ireland ’ s foreign policy agenda and has given rise to significant demands on the defence organisation and the defence forces in order that ireland can engage effectively and proactively within the union. the ambitions of the es",666,117,130,16,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
32,"##dp are set out in the treaty on european union as humanitarian and rescue tasks, peacekeeping tasks and tasks of combat forces in crisis management, including peacemaking ( the petersberg tasks ). the period since 2000 has seen a transition from “ institution building ” to the undertaking of actual civil and military operations. the political and security committee ( psc ) and the military committee ( eumc ) were formally established. the eumc provides the psc with military advice. a military staff was formally created ( eums ) within the council of the european union providing situation awareness, development of operational concepts and strategic planning for operations. the european security strategy was",717,113,133,16,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
33,"adopted by the heads of state and government in 2003 identifying threats and establishing more coherence in conflict prevention and crisis response, including military capability. the european defence agency ( eda ) was established by the heads of state and government in 2004. in the period since 2000 the eu has demonstrated its developing capability by undertaking both civilian and military operations. in 2003 the eu launched its first military mission, under un mandate, in the former yugoslav republic of macedonia ( fyrom ). since then there have been further eu - led military missions in the democratic republic of the congo ( drc ), sudan, bosnia & herzegovina and indonesia. in",689,112,130,16,ireland_2007_WhitePaperOnDefence.md,2025-01-28 18:55:22
