chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # department of defence and defence forces,46,9,11,0,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
2,# strategy statement 2011 - 2014,32,6,8,1,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
3,# # # # an roinn cosanta oglaigh na heireann department of defence,66,13,22,2,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
4,"# # # # # # defence forces ireland © 2012 copyright department of defence and defence forces station road, newbridge, co. kildare. tel : ( 045 ) 49 2000 fax : ( 045 ) 49 2017 lo call : 1890 251 890 issn : 1649 - 1203 prn : a12 / 0588 - - - - -",243,58,74,3,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
5,# # # # # # table of contents section 1 : introduction and overview section 2 : mandate and environmental analysis. section 3 : achieving our goal : strategies 2011 – 2014 section 4 : organisational development section 5 : reporting progress appendix 1 : defence commitments in the programme for government – ( government for national recovery 2011 - 2016 ) appendix 2 : global and regional security framework appendix 3 : defence capability framework 2 - - - - -,463,83,87,4,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
6,"# # # ministerial foreword i welcome the publication of this strategy statement which sets out the key strategies that will be pursued by the department of defence and the defence forces over the period to 2015. a key focus is to ensure that defence policy is responsive to emergent changes in the defence and security environment and that the defence organisation retains the capacity to fulfil all roles assigned, to the greatest extent possible. the formulation and publication of a new white paper on defence is provided for in this strategy statement. this will ensure that the defence policy framework is optimised to meet future challenges. as part of the process of developing a new white paper",702,118,130,5,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
7,", a green paper on defence will be published. this is intended to elicit a mature and informed debate and underpin a broad consultative process, which will inform our future defence policy. the defence forces continue to deliver a wide variety of operational outputs at home, on an ongoing basis, such as explosive ordnance disposal, maritime patrols, armed prison guards, helicopter support, cash in transit escorts, etc. many of these outputs go unseen by the majority of the general public but remain a key part of our security framework. the government is determined to maintain these operational outputs, to the greatest extent possible. the government is also committed to restoring ireland ’",698,112,130,5,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
8,"s standing as a respected and influential member of the european union and as part of the wider international community. for more than half a century, the accomplishments of the defence forces on overseas missions have brought great honour to ireland. it is something that we should be rightly proud of. our continued participation in international peace support operations underlines our intention to fulfil our international obligations. the level of resourcing available over the coming years will present further challenges to the maintenance of service delivery. this strategy statement reflects the realities that we are currently experiencing and addresses the challenges facing the organisation in maintaining the required capabilities and outputs. it charts a way",772,115,130,5,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
9,"forward that builds on the significant modernisation that has been achieved over an extended period of time. i have no doubt that the defence organisation will continue to deliver the further efficiencies that are required. following the completion of the comprehensive review of expenditure in 2011, the government decided to maintain the strength of the permanent defence force at 9, 500 personnel. in response to the revised strength ceiling of 9, 500, a major re - organisation of the defence forces, including the",518,83,97,5,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
10,"# # # # # # 3 - - - - - reserve defence force, has been initiated and is reflected in this strategy statement. the aim of the re - organisation is to ensure that the defence forces maximise their operational outputs, within the reduced resource envelope. i am determined to further explore the role that defence can play in restoring our economy. i believe that there is potential for private sector businesses to collaborate with our defence establishment in the area of innovation, research and development, business start ups and job creation. this initiative will continue to be explored within the period of this strategy statement. this strategy statement sets many targets which are ambitious but",703,118,130,6,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
11,"achievable. i look forward to working closely with the secretary general, the chief of staff and their respective personnel in the organisation, both civil and military, whose combined efforts will be required to ensure delivery of the stated objectives.",254,39,49,6,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
12,"# # # # # # alan shatter, t. d., minister for defence march 2012 4 - - - - -",76,21,27,7,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
13,"# # # foreword this strategy statement encompasses the department of defence and the defence forces, which have unique but complementary roles. this is reflected in the fact that the collective defence organisation shares a common high level goal. the high level goal of the defence organisation is : _ to provide for the military defence of the state, contribute to national and international peace and _ _ security and fulfil all other roles assigned by government. _ in order to achieve this goal, the organisation is tasked with a broad and diverse range of duties. on a daily basis, the personnel of the department and the defence forces can be called upon to deal with matters of",685,118,130,8,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
14,"local, national and international dimensions. the opening section of this strategy statement sets out a brief description of the roles of the organisation as much of the work done does not come to public attention. the period of this strategy statement will present many challenges. the achievement of the targets which include those set for us by government and by us on our own initiative, will result in greater demands being made on reduced resources. the experience in recent years clearly indicates that the modernisation and reform achieved by the defence organisation throughout the past decade has resulted in greater efficiencies. the aim is to continue and progress these achievements into the future. the modernisation",730,115,130,8,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
15,"agenda which has been ongoing in the organisation for more than 10 years has generated a degree of expertise and knowledge in this area. the culture to embrace change which now exists throughout the organisation is a valuable asset to be utilised as we face the major task of re - organising the defence forces to reflect the revised strength of 9, 500 personnel. the outcome from this task will be a significant milestone in the history of the defence forces. the new white paper on defence will set out the policy framework for the next ten years. the preparation of this document will entail a large commitment from within our own resources and the co - operation of our colleagues",684,121,130,8,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
16,"and customers. we acknowledge the contribution of all personnel, both civil and military who continue to provide the organisation with a high standard of service. the requirements to deliver quality outputs with reduced resources will continue to require determination, commitment and drive. we look forward to",310,46,53,8,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
17,"# # # # # # 5 - - - - - working with colleagues, customers and stakeholders, as we face the many challenges that lie ahead in the period of this strategy statement.",164,34,39,9,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
18,# # # # # # michael howard lt gen sean mccann secretary general chief of staff march 2012 march 2012 6 - - - - -,112,27,29,10,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
19,"# # # # # # policy context the white paper on defence ( 2000 ) sets out the government ’ s defence policy framework and outlines the policy requirements for defence. it states : “ having regard to the defence and security environment, the government ’ s policy for defence will be aimed at ensuring that the following requirements are met : to maintain a military force structure that provides a basis for responding to any major change in ireland ’ s strategic circumstances in the medium to long term, as well as demonstrating an appropriate commitment to national defence. to maintain a military force structure capable of responding to requests to provide aid to the civil power and in that context,",703,123,130,11,ireland_2011_StrategyStatement.md,2025-01-28 18:55:57
