chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# white paper on defence update 2019 - - - - - - - - - -,56,17,19,0,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
2,# # # table of contents * * executive summary........................................................................................................ 1 * * * * 1. * * * * introduction..,185,21,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
3,............................................................................................................ 7 * * 1. 1 background.............,143,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
4,................................................................................................................ 7 1. 2 approach to the structure of the white paper....,168,12,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
5,................................................................... 7 1. 3 white paper update......................................................,147,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
6,......................................................... 9 1. 4 overview of update process...............................................................,154,8,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
7,.................................... 9 1. 5 chapter outline......................................................................................,145,6,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
8,............................... 10 * * 2. * * * * developments in key aspects of the security environment since the white paper on * * * * defence......................................................................,216,27,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
9,................................................. 12 * * 2. 1 introduction........................................................................,146,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
10,.................................................. 12 2. 2 developments in the global and regional security environment........................................ 13 2. 3 developments in the geopolitical environment...............,227,20,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
11,.................................................... 27 2. 4 developments in the domestic security environment......................................................... 30 2. 5 policy implications...,198,15,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
12,............................................................................................................. 36 * * 3. * * * * review of white paper implementation.....,169,14,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
13,............................................................. 37 * * 3. 1 overview of approach to white paper implementation......................................................,178,13,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
14,37 3. 2 overview of approach to the review of white paper projects............................................. 39 3. 3 review of chapter 3 projects : national security - defence policy response...................... 41 3. 4 review of chapter 4 projects : other policy requirements..................,299,40,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
15,............................... 42 3. 5 review of chapter 6 projects : capability requirements..................................................... 43 3. 6 review of chapter 7 projects : defence human resources...................,229,24,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
16,............................... 45 3. 7 review of chapter 8 projects : the reserve defence force ( rdf )....................................... 47 3. 8 review of chapter 9 projects : civil defence............................,224,28,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
17,"............................................ 48 3. 9 review of chapter 10 projects : white paper implementation............................................ 49 * * 4. * * * * consultation with the joint committee on foreign affairs and trade, and defence - * * * *",263,38,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
18,"tuesday, 5th march 2019............................................................................................. 51 * * 4. 1 list of white paper projects...................",176,14,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
19,............................................................................... 51 4. 2 consultation............................................,144,5,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
20,.............................................................................. 52 4. 3 fundamental policy changes and legislation.........................................,170,9,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
21,............................... 54 4. 4 reserve defence force..........................................................................................,151,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
22,............... 55 4. 5 department of defence staff................................................................................................ 56 4. 6 overview of consultation..,182,14,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
23,.................................................................................................... 58 - - - - - * * 5. * * * * developments since publication of the white paper.......,185,21,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
24,......................................... 59 * * 5. 1 defence forces climate survey.............................................................................,160,10,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
25,................ 59 5. 2 public service stability agreement 2018 - 2020..................................................................... 59 5. 3 recruitment and retention.........................,199,17,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
26,......................................................................... 60 5. 4 equality and diversity................................................,152,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
27,........................................................... 61 5. 5 training and education..............................................................,152,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
28,........................................... 61 5. 6 review of the conciliation and arbitration scheme............................................................. 62 5. 7 new ombudsman for,188,17,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
29,defence forces.................................................................................. 62 5. 8 organisation of working time act 1997..................................,176,11,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
30,............................................. 62 5. 9 veterans..............................................................................,140,5,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
31,.................................................. 63 5. 10 programme for a partnership government.....................................................................,167,9,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
32,..... 63 5. 11 strategy statement 2017 - 2020............................................................................................. 64 5. 12 permanent structured cooperation ( pesco )..........,200,18,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
33,............................................................. 65 5. 13 european defence fund ( edf )........................................................,156,10,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
34,...................................... 65 5. 14 status of forces agreements..................................................................................,157,8,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
35,.............. 66 5. 15 brexit...........................................................................................................,137,5,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
36,.......................... 66 5. 16 national security management............................................................................................ 66 5.,162,9,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
37,17 strategic emergency management - national structures and framework.......................... 67 5. 18 capability development – equipment and infrastructure.................................................... 67 5. 19 overseas operations.........................,264,23,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
38,.................................................................................... 68 5. 20 commemorations......................................,146,5,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
39,........................................................................... 71 * * 6. * * * * white paper update 2019 - conclusions......................................,169,15,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
40,............................. 72 * * 6. 1 introduction............................................................................................,146,7,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
41,.............................. 72 6. 2 update – main conclusions..........................................................................................,154,8,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
42,......... 72 6. 3 conclusions in relation to the update process..................................................................... 82 6. 4 the future.................................,184,16,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
43,............................................................................................ 84 * * appendices..............................,140,5,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
44,......................................................................................................... 85 * * a. transcript of oireachtas committee meeting..........,168,10,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
45,................................................................ 86 b. white paper implementation – latest statistics.......................................................,172,9,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
46,.............. 100 c. list of white paper projects.................................................................................................... 101 d. report of the,171,13,130,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
47,review of white paper implementation........................................................... 109 e. programme for a partnership government – department of defence led commitments.... 122 - - - - -,199,24,90,1,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
48,"# # # executive summary defence remains of paramount importance to this state and, as a vital element of overall security policy, provides the bedrock of stability and prosperity across political, social, economic and environmental domains. the white paper on defence was approved by government in july 2015 and provides the strategic and comprehensive defence policy framework for the period up to 2025. it was developed following a lengthy consultation process that involved extensive stakeholder consultation. while ultimately approved by government, and reflective of the fact that a range of government departments and state agencies have primary responsibilities when it comes to the security of the state and its citizens, development of the white paper was led",768,117,130,2,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
49,"by the minister for defence, supported by a high - level civil - military steering group. one of the most significant commitments made by government in the white paper is to ensure that defence policy remains up to date and to bring certainty and regularity to the process of defence planning and overall preparedness. this is being achieved through the introduction of a new fixed cycle of defence reviews, to be carried out every three years. the first such review is this white paper update, with the next iteration under the cycle being a more comprehensive strategic defence review. the white paper specifies that these reviews are to encompass a fully updated assessment of the security environment and a",710,119,130,2,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
50,"fresh consideration of implications for overall policy requirements, associated tasks, capability development and resourcing. into the future, the fixed cycle reviews will be integrated with the security assessments undertaken by the newly established national security analysis centre. the hallmarks of defence policy will continue to be : - a policy of active military neutrality ; - a highly engaged and participative approach internationally, particularly through the united nations ( un ) and european union ( eu ) ; 1 - - - - - - a commitment to defence provision appropriate to present and contingent requirements ; - strong recognition of the individual and collective contribution of members of the defence forces and the requirement to",745,116,130,2,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
51,"value these as vital elements of ireland ’ s statehood. at the outset, the 2015 white paper sets out a comprehensive and forward - looking assessment of the dynamic security environment. this provides the context for the government ’ s defence policy response and the defence contribution to security, including defence of the state from armed aggression and the defence contribution to domestic security through provision of a wide range of day - to - day supports to an garda siochana. furthermore, in an effort to maximise value for money achieved from defence expenditure, for the broader benefit of the state, the white paper also makes provision for “ non - security ” policy requirements with",699,116,130,2,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
52,"the associated provision of a range of services to other departments and agencies. all of these requirements are reflected in the various roles that government assigned to the defence forces in the white paper. the updating of the security environment assessment from the 2015 white paper is the starting point in this update. the review was completed by a high - level inter departmental / inter - agency group led by the department of defence. this comprised senior defence forces ’ representation as well as various other departments and agencies with security responsibilities, including the department of justice and equality and an garda siochana. the review concludes that while the essential aggregate level of threat facing this state",743,118,130,2,ireland_2019_WhitePaper.md,2025-01-28 18:54:22
