chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# national security strategy december 17, 2013",46,7,10,0,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
2,"# # i. purpose maintaining the peace and security of japan and ensuring its survival are the primary responsibilities of the government of japan. as japan ' s security environment becomes ever more severe, japan needs to identify its national interests from a long - term perspective, determine the course it should pursue in the international community, and adopt a whole - government approach for national security policies and measures in order to continue developing a prosperous and peaceful society. japan has contributed to peace, stability and prosperity of the region and the world. in a world where globalization continues, japan should play an even more proactive role as a major global player in the international community.",736,117,130,1,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
3,"based on such a recognition, the government of japan hereby sets forth this national security strategy ( hereinafter referred to as "" the strategy "" ) in order to set out japan ' s fundamental policies pertaining to national security. the strategy first elaborates on japan ' s peaceful orientation to date and the policy of "" proactive contribution to peace "" based on the principle of international cooperation, examines its national interests and identifies its national security objectives. furthermore, the strategy identifies national security challenges japan faces, taking into account the trends of the security environment surrounding japan. finally, the strategy presents strategic approaches to be taken for national security, with diplomatic",754,113,130,1,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
4,"and defense policies at their core, based on the recognition that in order to overcome the challenges and achieve its objectives, japan needs to effectively utilize its diverse resources and promote comprehensive measures, strengthen the domestic foundation for national security and seek deeper understanding both at home and abroad, and advance efforts at various levels in a multifaceted and coordinated manner. the strategy, as fundamental policies pertaining to national security, presents guidelines for policies in areas related to national security, including sea, outer space, cyberspace, official development assistance ( oda ) and energy. pursuant to the strategy, and with the national security council ( nsc ) serving as the control",745,110,130,1,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
5,"tower, as well as with strong political leadership, the government of japan will implement national security policies in a more strategic and structured manner through a whole - government approach. in addition, when implementing policies in other areas, the government of japan will give due consideration to national security so that japan can utilize its strengths, such as its diplomatic ability and defense capability, in a smooth and fully - functional way as a whole, based on the strategy. the strategy will guide japan ' s national security policy over the next decade. through the implementation of concrete policies, the nsc will regularly carry out systematic evaluation and upgrade the strategy in a timely and appropriate",735,116,130,1,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
6,"manner. should any major changes in the situation occur, the nsc will review this strategy in consideration of the security environment at the time, and make necessary revisions.",178,28,35,1,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
7,"# # ii. fundamental principle of national security 1. * * principles japan upholds * * japan is a country with rich culture and tradition, and upholds universal values, such as freedom, democracy, respect for fundamental human rights and the rule of law. japan has a wealth of highly educated human capital and high cultural standards, and is an economic power with strong economic capacity and high technological capabilities. japan has achieved its development benefiting from an open international economic system. surrounded by the sea on all sides and blessed with an immense exclusive economic zone and an extensive coastline, japan as a maritime state has achieved economic growth through maritime trade and development",726,114,130,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
8,"of marine resources, and has pursued "" open and stable seas. "" japan has consistently followed the path of a peace - loving nation since the end of world war ii. japan has adhered to a basic policy of maintaining an exclusively national defense - oriented policy, not becoming a military power that poses a threat to other countries, and observing the three non - nuclear principles. in addition, japan has maintained its security, and contributed to peace and stability in the asia - pacific region, by enhancing its alliance with the united states ( u. s. ) with which it shares universal values and strategic interests, as well as by deepening cooperative relationships",672,114,130,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
9,"with other countries. moreover, japan has contributed to the realization of stability and prosperity in the international community through initiatives for supporting the economic growth of developing countries and for addressing global issues based on the principle of human security, as well as through trade and investment relations with other countries. in particular, japan ' s cooperation contributed to realizing stability, economic growth and democratization in many countries, especially those in asia, including the member states of the association of southeast asian nations ( asean ). furthermore, as a peace - loving nation, complying with the united nations ( u. n. ) charter, japan has been cooperating with the u.",729,110,130,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
10,"n. and other international organizations, and has actively contributed to their activities. in particular, japan has continuously participated in u. n. peacekeeping operations ( pko ), as the role of military forces diversified after the end of the cold war. in addition, as the only country to have ever suffered atomic bombings in war, japan has consistently engaged in disarmament and non - proliferation efforts, playing a leading role in international initiatives to realize "" a world free of nuclear weapons. "" the course that japan has taken as a peace - loving nation has garnered significant praise and respect from the international community, and japan must continue these steps to further",700,112,130,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
11,"consolidate such a position. at the same time, surrounded by an increasingly severe security environment and confronted by complex and grave national security challenges, it has become indispensable for japan to make more proactive efforts in line with the principle of international cooperation. japan cannot secure its own peace and security by itself, and the international community expects japan to play a more proactive role for peace and stability in the world, in a way commensurate with its national capabilities. against this backdrop, under the evolving security environment, japan will continue to adhere to the course that it has taken to date as a peace - loving nation, and as",691,110,130,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
12,"a major player in world politics and economy, contribute even more proactively in securing peace, stability, and prosperity of the international community, while achieving its own security as well as peace and stability in the asia - pacific region, as a "" proactive contributor to peace "" based on the principle of international cooperation. this is the fundamental principle of national security that japan should stand to hold.",430,68,80,2,japan_2013_NationalSecurityStrategy.md,2025-01-28 18:57:47
