chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * 2020 * * # # # # defense of japan - - - - - * * 2020 * * # # # # defense of japan - - - - - * * on the publication of defense of japan 2020 * * minister of defense kono taro thank you very much for taking a look at the 2020 version of the defense white paper. the defense white paper was fi rst published exactly 50 years ago, in 1970, based on then defense agency director - general nakasone yasuhiro ’ s strong conviction that “ more than anything else, it is the understanding, active support, and cooperation of the people that is",538,115,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
2,"essential to the defense of the nation, ” at a time when the general public still had a strong negative perception of the self - defense forces ( sdf ). since then, as the international situation has changed dramatically and the uncertainty over the security environment surrounding japan has grown rapidly, the role and the fi eld of activities of the ministry of defense ( mod ) / sdf have broadened to cover the space, cyberspace and electromagnetic domains. although dramatic changes unimaginable half a century ago have occurred, widespread understanding and support from the japanese people continue to be essential in any era in order to defend their peaceful lives and japan",682,113,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
3,"’ s territorial land, seas and airspace. we believe that mr. nakasone ’ s conviction lives on in the current defense white paper, which marks the 50th anniversary of publication. we are looking forward to your reading it. in compiling the 2020 version of the defense white paper, we pursued ease of understanding and user - friendliness. below, let me explain the notable features of the white paper. - - - - - first, in order to provide an overall picture, we summarized important international developments and the mod / sdf ’ s activities that we would like you to understand in the special feature “ defense chronology ” and “ digest",637,112,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
4,". ” these include north korea ’ s repeated ballistic missile launches ; china ’ s persistent continuation of the unilateral attempt to alter the status quo ; the mod / sdf ’ s dedicated contributions to bringing the outbreak of the novel coronavirus disease under control ; disaster relief operations conducted in response to large - scale natural disasters ; the start of information gathering activity in order to ensure the safety of japan - related vessels in the middle east ; and defense cooperation and exchange with the united states and other countries. in addition, in the current white paper, we introduce to readers around 50 sdf personnel, a higher number than previously, in order",694,117,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
5,"to convey the voices of sdf personnel engaging in various activities inside and outside of the country with a strong sense of mission so that you can feel more familiar with the mod / sdf. in addition, in a new departure, we have prepared more than 50 videos related to the contents of the main text and placed qr codes linked to them in the main text. as you can easily play various videos via a smartphone, we hope that you will enjoy watching them. we also changed the coverage period of the white paper. previously, the white paper covered a period of approximately one year to around june, but the period was changed to approximately",638,116,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
6,"one year to the end of march, namely the end of a fiscal year. as a result, the 2020 version of the defense white paper mainly covers activities and incidents in fy2019. however, it also covers some important incidents, such as those related to the novel coronavirus, that occurred by june this year. furthermore, while the defense white paper can be accessed through the mod ’ s website, the 2020 version for the first time contains editable data in the reference section at the end. i hope that this will be very useful for readers. as indicated above, i expect that more people, including security experts and ordinary people",628,109,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
7,", will find the 2020 version of the defense white paper enjoyable and satisfying to read. i sincerely hope that by using the white paper as a convenient reference, you will deepen your understanding of matters related to the security of japan and activities of the mod / sdf. - - - - - * * table of contents * * * * of * * * * special * * * * feature 1 * * * * defense chronology * * … … … … … … … … … … … … … … … … … … … … … … … 001 * * feature 2 * * * * new domains * * … … … …",479,123,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
8,… … … … … … … … … … … … … … … … … … … … … … … … 011 * * special * * * * feature 3 * * * * 50 years of the defense of japan * * … … … … … … … … … … … … … 013 special feature digest the content of part i to part iv of the main text is summarized in 24 pages. … … … … … … … … … … … … … … … … … … … … … … … … 015 * * chapter 1 overview * * 1. current trends in security environment … … … …,385,123,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
9,… … … … … … … … … … … 41 2. regional security environment surrounding japan … … … … … … … … … … … 42 * * chapter 2 defense policies of countries * * * * section 1 the united states … … … … … … … … … … … … … … … … … … … … 45 * * 1 security and defense policies … … … … … … … … … … … … … … … … … … … 45 2 military posture … … … … … … … … … … … … … … … … … … … … … … … … 53 * * section 2,384,127,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
10,china … … … … … … … … … … … … … … … … … … … … … … … … … 56 * * 1 general situation … … … … … … … … … … … … … … … … … … … … … … … 56 2 military affairs … … … … … … … … … … … … … … … … … … … … … … … … 57 3 relations with countries and regions … … … … … … … … … … … … … … … … 80 4 military capabilities of taiwan … … … … … … … … … … … … … … … …,341,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
11,… … 86 * * section 3 korean peninsula … … … … … … … … … … … … … … … … … … … … 90 * * 1 north korea … … … … … … … … … … … … … … … … … … … … … … … … … 91 2 the rok and the u. s. forces korea … … … … … … … … … … … … … … … … … 109 * * section 4 russia … … … … … … … … … … … … … … … … … … … … … … … … … 113 * * 1 general situation …,327,125,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
12,… … … … … … … … … … … … … … … … … … … … … … 113 2 security and defense policies … … … … … … … … … … … … … … … … … … … 114 3 military posture and trends … … … … … … … … … … … … … … … … … … … 115 4 russian forces in the vicinity of japan … … … … … … … … … … … … … … … 120 5 russian forces in japan ’ s northern territories … … … … … … … … … … … … … 122 6 relations with other countries … … …,389,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
13,… … … … … … … … … … … … … … … 123 * * section 5 oceania … … … … … … … … … … … … … … … … … … … … … … … … 129 * * 1 australia … … … … … … … … … … … … … … … … … … … … … … … … … … 129 2 new zealand … … … … … … … … … … … … … … … … … … … … … … … … … 132 * * section 6 southeast asia … … … … … … … … … … … … … … … …,308,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
14,… … … … … 134 * * 1. general situation … … … … … … … … … … … … … … … … … … … … … … … 134 2. security and defense policies of each country … … … … … … … … … … … … 134 3 military modernization in the region … … … … … … … … … … … … … … … … 139 4 intra - and extra - regional cooperation … … … … … … … … … … … … … … … … 140 * * section 7 south asia … … … … … … … … … … … … … … … …,376,126,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
15,… … … … … … … 142 * * 1 india … … … … … … … … … … … … … … … … … … … … … … … … … … … … 142 2 pakistan … … … … … … … … … … … … … … … … … … … … … … … … … … 144 3 disputes over the sovereignty of kashmir … … … … … … … … … … … … … … 145 * * section 8 europe … … … … … … … … … … … … … … … … … … … … … … … … … 146 * * 1 general situation,330,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
16,"… … … … … … … … … … … … … … … … … … … … … … … 146 2 enhancement of multinational security frameworks … … … … … … … … … … 146 3 security / defense policies of european countries … … … … … … … … … … … … 149 * * section 9 middle east, north africa, and other regions … … … … … … … 153 * * 1 overview … … … … … … … … … … … … … … … … … … … … … … … … … … 153 2 situation in the gulf region … … … … … … …",397,125,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
17,… … … … … … … … … … … … 153 3 the situation surrounding middle east peace … … … … … … … … … … … … … 156 4 situation in syria … … … … … … … … … … … … … … … … … … … … … … … 156 5 situation in yemen … … … … … … … … … … … … … … … … … … … … … … … 157 6 situation in libya … … … … … … … … … … … … … … … … … … … … … … … 158 7 situation in egypt … … … … … …,349,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
18,"… … … … … … … … … … … … … … … … … 159 8 situation in afghanistan … … … … … … … … … … … … … … … … … … … … … 159 9 situation in south sudan … … … … … … … … … … … … … … … … … … … … 160 * * 10 situation in somalia … … … … … … … … … … … … … … … … … … … … … … 161 * * * * chapter 3 trends concerning new domains including outer space, * * * * cyberspace, and electromagnetic spectrum, and relevant * *",395,124,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
19,* * challenges facing the international community * * * * section 1 trends concerning military science and technology … … … … 163 * * 1 military science and technological trends … … … … … … … … … … … … … … 163 2 trends concerning defense technological and industrial bases … … … … … … 167 * * section 2 trends in space domain … … … … … … … … … … … … … … … … … 169 * * 1 space domain and security … … … … … … … … … … … … … … … … … … … 169 2 various countries ’ outer space initiatives … … … … … …,495,128,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
20,… … … … … … … … 170 * * section 3 trends in cyber domain … … … … … … … … … … … … … … … … … 174 * * 1 cyberspace and security … … … … … … … … … … … … … … … … … … … … 174 2 threats in cyberspace … … … … … … … … … … … … … … … … … … … … … 174 3 initiatives against cyberspace threats … … … … … … … … … … … … … … … 177 * * section 4 trends in electromagnetic domain … … … … … … … …,376,125,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
21,… … … … 180 * * 1. electromagnetic domain and security … … … … … … … … … … … … … … … 180 2 each country ’ s electronic warfare initiatives … … … … … … … … … … … … … 181 * * section 5 developments regarding the novel coronavirus disease * * * * ( covid - 19 ) … … … … … … … … … … … … … … … … … … … … … … … 183 * * * * section 6 maritime trends … … … … … … … … … … … … … … … … … … … … 186 * * 1,392,125,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
22,trends related to the “ principle of the freedom of the high seas ” … … … … … 186 2 national maritime security initiatives … … … … … … … … … … … … … … … … 187 3 trends in the arctic ocean … … … … … … … … … … … … … … … … … … … … 189 * * section 7 transfer and proliferation of weapons of mass destruction * * * * ( wmds ) … … … … … … … … … … … … … … … … … … … … … … … … 191 * * 1 nuclear weapons … … … … … … … …,410,126,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
23,… … … … … … … … … … … … … … … 191 2 biological and chemical weapons … … … … … … … … … … … … … … … … … 192 3 ballistic missiles and other missiles … … … … … … … … … … … … … … … … 193 4 growing concerns about transfer and proliferation of wmds and other technologies … 193 * * section 8 trends in international terrorism … … … … … … … … … … … … … 195 * * 1 general situation … … … … … … … … … … … … … … … … … … … … … … …,418,126,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
24,195 2 trends in isil - related international terrorist organizations … … … … … … … … 195 3 movements of international terrorist organizations other than isil - affi liated groups … 197 * * chapter 1 basic concepts of japan ’ s security and defense * * * * section 1 measures to ensure japan ’ s security … … … … … … … … … … … 199 * * * * section 2 constitution and the basis of defense policy … … … … … … … … 200 * * 1 constitution and the right of self - defense … … … … … … … … … … … … … … 200 2 the government ’ s view,521,126,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
25,on article 9 of the constitution … … … … … … … … … 200 3 basic policy … … … … … … … … … … … … … … … … … … … … … … … … … 202 * * chapter 2 organizations responsible for japan ’ s security and defense * * * * section 1 national security council … … … … … … … … … … … … … … … … 204 * * * * section 2 organization of the mod / self - defense forces ( sdf ) … … … … 205 * * 1 organizational structure supporting defense capability … … … … … … … … … 205 2 joint,455,127,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
26,operations system of the sdf … … … … … … … … … … … … … … … … 211 * * chapter 3 japan ’ s security and defense policy * * * * section 1 outline of the national security strategy ( nss ) … … … … … … … 213 * * 1. japan ’ s national security policy framework … … … … … … … … … … … … … 213 2. outline of the nss : proactive contribution to peace … … … … … … … … … … … 213 * * section 2 outline of ndpg … … … … … … … … … … … …,420,121,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
27,… … … … … … … … … 215 * * 1 basic approach — building a multi - domain defense force … … … … … … … … 215 2 japan ’ s basic defense policy … … … … … … … … … … … … … … … … … … … 216 3 priorities in strengthening defense capability … … … … … … … … … … … … … 217 4 organization of the sdf … … … … … … … … … … … … … … … … … … … … … 217 5 elements supporting defense capability … … … … … … … … … … … … … … … 220,405,127,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
28,"* * section 3 outline of the mtdp ( fy2019 – fy2023 ) … … … … … … … … … … 221 * * 1 program guidelines … … … … … … … … … … … … … … … … … … … … … … 221 2 quantities of major procurement … … … … … … … … … … … … … … … … … 222 3 expenditures … … … … … … … … … … … … … … … … … … … … … … … … … 222 * * chapter 4 build - up of defense capability, etc. * * * * section",360,119,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
29,1 build - up of defense capability in fy2020 … … … … … … … … … 224 * * * * section 2 defense - related expenditures … … … … … … … … … … … … … … 226 * * 1 overview of defense - related expenditures … … … … … … … … … … … … … … 226 2 breakdown of defense - related expenditures … … … … … … … … … … … … … 226 3 initiatives for increasing the effi ciency of procurement … … … … … … … … … … 229 4 comparison with other countries … … … … … … … … …,440,123,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
30,"… … … … … … … … 229 * * chapter 5 development of legislation for peace and security and the * * * * self - defense forces ( sdf ) activities since legislation ’ s * * * * enforcement * * * * section 1 framework for activities of the sdf and others … … … … … … 231 * * 1 responses to armed attack situations, etc., and survival - threatening situations … 231 2 responses to situations that will have an important infl uence … … … … … … … 233 3 maintenance of public order and responses to aggression that do not amount to an armed attack … … … … …",546,121,130,0,japan_2020_DefenseOfJapan.md,2025-01-28 18:54:47
