chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # r e p o rt on state defence policy and armed forces development - - - - - - - - - -,91,27,29,0,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
2,# # # # # # ministry of defence of the republic of latvia,57,14,16,1,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
3,# r e p o rt,12,6,8,2,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
4,"# # # # # # on state defence policy and armed forces development - - - - - published by : ministry of defence of the republic of latvia k. valdemara 10 / 12, riga, lv – 1473, latvia www. mod. gov. lv designed by t. folks photos : a. kukemilka, m. zemgalietis, a. rikveilis, u. davidovs - - - - -",295,63,97,3,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
5,# # ta b l e o f c o n t e n t s,32,16,18,4,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
6,# # # # # # 7 9 13 18 25 37 41 48 59 61 64,42,17,19,5,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
7,# # # # # # chapter 1 chapter 2 chapter 3 chapter 4 chapter 5 chapter 6 chapter 7 chapter 8 chapter 9 chapter 10,112,26,28,6,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
8,"# # # # # # latvian historic experience basic principles of latvian national security and defence policy ministry of defence development of structure for the national armed forces kinds of national armed forces, commands of national armed forces and specialised units naf command and control, communications, computers and intelligence systems, personnel management defence development planning international co - operation environmental protection links to society conclusion 2004 - - - - - - - - - -",501,77,84,7,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
9,"# # # # # # chapter 1 latvian historic experience 2004 - - - - - latvia from the height of the bird ’ s flight 2004 national defence system. the ministry of defence, other types of armed forces and their military units, recruitment of which is still based on the professional and the conscript service, were established a little later. taking into account the lessons learned from the history, the latvian initial security and defence policy was based on the concept of the territorial defence with a strategic goal to become a full member of the nato. the new security situation and international co - operation gave opportunities to train the military and civil experts of the national",687,120,130,8,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
10,"defence system, which are now people who develop the latvian military capabilities and build the nato - compliant armed forces. as a result, during the prague summit on 21 november 2002 nato heads of state and governments officially invited latvia to start accession talks to join the nato. the invitation internationally acknowledged the achievement of latvia to have become a legal, stable and democratic country, which has established a successful national defence system. in spite of that, latvia still continues to work intensively and demonstrate its commitment to put an equal share for achievement of the alliance ’ s goals, as well as the regional security. also, the referendum of 20 september 2003, when most",719,115,130,8,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
11,"of the latvian citizens voted yes for joining the european union, demonstrated the willingness of latvia to join the democratic and economically developed european countries, as well as its commitment to assume responsibility for providing the peace and stability within europe. 29 march 2004 can be considered a symbolic landmark between the historically inherited insufficiency of security guarantees and the prospects of stability and security never experienced in the latvian history. after becoming a full - fledged member of international organisations, latvian state and population can be confident about their future and contribute to the development of the country with determination. - - - - -",703,106,117,8,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
12,"# # # # # # chapter 2 basic principles of latvian national security and defence policy 2004 - - - - - – defence enhancement to fight the nbc - weapons ; – readiness of units to participate in the international military and peace - keeping operations ; – necessity to establish modern training bases. for ensuring the compliance to the nato requirements and for receiving the ad hoc support from the allies, latvia continues to improve its hostnation ’ s support system. necessity to have professional armed forces is a prerequisite for a gradual transition to fully professional armed forces by 2006 by dismissing the conscript service. mod ’ s and naf ’ s experts have produced",678,119,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
13,"a concept to implement this transition. it will allow to utilise resources required for the numerically small latvian armed forces in a more efficient way. recruitment of motivated people to the national defence is essential for establishing and developing of the armed forces, which are based on the professional military service. therefore, the systems of recruitment and military conscription are being improved in order to create interest in people and ensure competitiveness in the labour market. principle of co - operation between the armed forces and the society is a key prerequisite for achieving the goals and tasks of the national defence. the public awareness about the national defence system, armed forces and their",730,114,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
14,"principles form a solid support to the national security and defence. due to the limited resources, as well as the participation in the collective security system latvia does not need to build a massive mobilisation system. however, the co - responsibility of the publics for the national defence is preserved through the national guard. the armed forces ’ capabilities allow them to professionally clear the natural and unnatural catastrophes, carry out the explosive ordnance disposal, search and rescue operations, as well as ecological monitoring. there is a similar co - operation between the public and the civil institutions for carrying out the military tasks – they provide civil expertise, mobilisation resources and",726,112,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
15,"host - nation ’ s support. principle of international military co - operation envisages an expanded international co - operation, including co - operation with the nato and the baltic states, co - operation with the eu and the baltic sea region countries and co - operation with the nato partner countries. after joining nato, latvia retains its current international bi - lateral co - operation projects, 2004 pre - mission training in denmark for the latvian contingent baltsqn - 9 soldiers, february 2004 - - - - - though it will also define new fields of co - operation with the nato states to ensure efficient integration to nato. after nato integration, the",663,114,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
16,"baltic states should continue to develop and enhance their joint military projects, thus ensuring efficient utilisation of resources and improvement of the joint military capabilities. latvian goal in respect of the european security and defence policy is to facilitate the stability and security within europe, strengthen the eu crisis management capabilities and contribute to the transatlantic co - operation. co - operation with the nato partner countries, including russia, is a way to facilitate trust, security and stability within europe. nato membership gives an opportunity to latvia to co - participate in and contribute to the further development of this co - operation by sharing its experiences with the cis and the south - east european countries,",762,117,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
17,"thus facilitating the process of democratic reforms in these nato partner states. * * 2. 2. declaration on the work of the * * * * cabinet of ministers * * the main goals stated in the chapter on national defence and security of the government ’ s declaration, adopted on 9 march 2004, are the following : – by the end of 2006, latvia will only maintain a professional army. provision of enhancement of professionalism of the national armed forces ( naf ) and cancellation of the compulsory military service. creation of an efficient system for selection and training of personnel, as well as ensuring a competitive salary system and a social guarantees programme for soldiers",676,117,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
18,of the professional military service ; – further progress of the defence system reforms and ensuring compatibility of the armed forces with the nato. remaining a reliable ally in the trans - atlantic alliance and participating in its collective defence system and operations ; – re - structuring of the national armed forces by 2004 in order to ensure settlement of latvia ’ s obligations with regard to the collective defence system and quality - driven development of the naf according to the development aims set by latvia itself and the nato ; – further allocation of 2 % of the gross domestic product for defence needs also ensuring planned and sound use of the funds ; – through assistance of other nato member,716,124,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
19,"states, ensuring full control and defence of our air space ; – enhancement of the military infrastructure in order to be able to accept nato ’ s military assistance in case it is needed ; – development of the latvian brigade in order to ensure permanent participation of one battalion in nato ’ s operations. development of specialised units – military medical specialists, military policemen and sappers according to the development aims set by latvia itself and the nato ; – active participation in formulation and implementation of the common european defence policy, further work on the baltic military cooperation projects and assistance to those countries intending to develop their military forces according to the principles of a democratic country ; – completion",771,123,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
20,"of the state security bodies ’ reform, ensuring protection of classified information according to the nato requirements ; – development of the home guard or zemessardze in order to ensure fulfilment of the collective defence tasks ; – by 2004, re - consideration of the basic principles of the mobilisation and crises control system according to the new defence system ; – provision of efficient strategic management and planning by preventing functional overlapping between the ministry of defence and headquarters of the national armed forces ; – provision of the national armed forces with modern equipment and outfit ( weapons for antiaircraft and anti - tank defence, communication systems, armour, sea observation",719,112,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
21,"systems and other equipment ) ; – support to education that enhances loyalty to the country and patriotism, physical training and support and development of the youth guard or jaunsardze ; – active use of the potential of the latvian science for attaining the aims set for the national defence system ; – provision of discipline in the national armed forces ; – improvement of public procurement for military needs and enhancement of its efficiency ; – until transition to professional military service, improvement of opportunities for alternative military service. 2004 - - - - - minister of defence a. slakteris handing the defence minister ’ s award “ medal of honorary recognition ” to",690,115,130,9,latvia_2003_StateDefencePolicy.md,2025-01-28 18:56:15
