chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"_ approved by the latvian cabinet of ministers on 20 may 2008 _ _ accepted by the latvian saeima ( parliament ) on 19 june 2008. _ * * the state defence concept * * * * 1. introduction * * 1. the state defence concept has been developed based on article 29 of the national security law, with the aim of outlining the fundamental strategic principles, priorities and measures for ensuring national defence. it is prepared according to latvia ’ s geopolitical situation, national security and foreign policy objectives, and latvia ’ s commitments as a nato and eu member state. 2. the concept is prepared taking into account the national security",644,113,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
2,"threat assessment and an analysis of regional and international security developments, as well as documents defining nato and eu security and defence policy. 3. the concept provides guidelines for latvian national defence task implementation and national armed forces ( hereinafter naf ) development. * * 2. latvia ’ s security and international security environment * * 4. with accession to nato and the eu latvia has significantly strengthened its national security and defence. the basis of latvian national defence and security is strengthening latvia ’ s military capabilities, nato ’ s collective defence principle and military cooperation with allied nations in the context of nato and the eu. 5. latvia ’ s security is",726,114,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
3,"indivisible from the security of the other baltic sea region nato and eu member states and is fostered by close mutual cooperation. military cooperation with the baltic states, the nordic countries and the usa ( which will continue to be an important strategic partner for latvia in the future ) is important in providing security for latvia and the entire region. the european security and defence policy also has an important role in the international security environment and is an important element in strengthening latvia ’ s security and defence. 6. uncertainty in the domestic and foreign policies of individual countries could negatively affect the security of latvia and its allies and must be taken into account when implementing",739,119,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
4,"national defence policy. a possible shift in the balance of power in international relations triggered by individual countries ’ rapid economic development, competition over natural resources, trends in increasing armament and attempts to regain influence in global politics, poses a significant security risk. 7. the security of latvia and other nato and eu member states is affected by developments and challenges in the international security environment – international terrorism, the proliferation of weapons of mass destruction, organised crime, instability in various regions of the world, as well as the desire by individual countries to engage in military rivalry. 8. the global nature of threats makes them difficult to anticipate as they do not originate",765,114,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
5,"solely from state actors. the changing nature of global security challenges requires that an effective system for ensuring security and defence must be based on the readiness to - - - - - respond to all types of crisis situations in peacetime, during a state of emergency and in war time. * * 3. ensuring national defence * * * * _ 3. 1. the key task of national defence _ * * 9. the principal task of latvia ’ s national defence system is to guarantee the independence of the state, its territorial integrity and the security of its population. in order to ensure national security and defence most effectively, latvia has joined nato and the",643,117,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
6,"eu. to respond to national threats quickly, an effective warning system and preventative measures are required. 10. in the case of national threats, the naf shall ensure the inviolability of latvia ’ s territory, territorial waters and air space in cooperation with allied armed forces. the naf, in collaboration with civilian state institutions, must be ready to receive allied armed forces on latvian soil. 11. the naf shall provide support to state civilian institutions in preventing emergency situations and dealing with their consequences. the involvement of the naf in performing these tasks contributes to the effective use of state resources and increases the naf ’ s prepared",685,107,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
7,"##ness. * * _ 3. 2. the strategic principle of national defence _ * * 12. the strategic principle of latvia ’ s national defence is participation in nato ’ s collective defence system – the task of which is defending its members against any type of military threat. it is therefore in latvia ’ s interests that nato retain and develop its capabilities and effectiveness, thereby also strengthening latvia ’ s defence. to achieve this, it is important for latvia to strengthen its voice in nato contributing actively to the organization ’ s decision making and consultation process. 13. basing its security on the collective defence system, latvia is actively involved in strengthening nato capabilities",702,116,132,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
8,"and participates in nato - led operations and in other activities promoting security. latvia ’ s naf contributes to nato military combat units with a special focus on the nato response force ( hereinafter nrf ). by participating in the nrf, the naf gains valuable experience allowing it to improve its combat capabilities. 14. latvian defence capability development is guided by nato capability requirements which are derived from the nato comprehensive political guidelines ( which define military capability requirements for member countries ). armed forces interoperability is essential for latvia ’ s successful participation in nato. interoperability facilitates cooperation between armed forces units of nato members in performing common tasks",749,110,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
9,". 15. for the national defence system to effectively deal with military and non - military threats it is important that all state institutions involved coordinate their activities and cooperate in anticipating, planning, preventing and overcoming various threats. this contributes to the effective use of national resources and a rapid response to every possible threat or its consequences. * * 4. activities to ensure military defence * * - - - - - 16. the basis of national military defence is the naf, which ensures the inviolability of the state ’ s territory, territorial waters and air space, participates in international military operations, provides training for regular and reserve military personnel, and",715,112,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
10,"is involved in responding to all sorts of national emergencies. in a national state of emergency the bank of latvia security unit is incorporated in the naf and during war, both the bank of latvia security unit and the state border guard are incorporated in the naf. 17. the naf is being developed as a professionally trained, socially secured, well equipped force with a balanced structure, tasks and funding, capable of adapting to various combat and security situations and interoperable with nato military units and eu battlegroups. 18. priority is given to developing those naf combat capabilities which can be used for fulfilling both national and collective defence tasks and",682,110,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
11,"which meet the following requirements : a. effectiveness – the mobility of units, interoperability of military capabilities with allied forces, readiness to operate in multinational military formations in a broad spectrum of operations ; b. deployability – the ability to generate, prepare and deploy units within latvia and to areas of international operations ; c. sustainability – the readiness to sustain units and supply them with resources throughout an operation ; d. multi - functionality – the ability of units to perform tasks in all types of threat situations both within latvia and abroad ; e. survivability – protection of units from the threat of weapons of mass destruction ; f. information superiority",717,113,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
12,"– obtaining strategic and operational information rapidly and using it in performing tasks. 19. the naf performs national defence tasks with high combat readiness units in accordance with national and collective defence plans. lower level combat readiness units prepare individual specialists and specialised sub - units for performing naf tasks as required. 20. the naf maintains a structure in which administrative functions are subordinate to combat and combat support tasks. 21. the national guard is a component of the naf and is tasked with involving latvia ’ s citizens in the defence of the state ’ s territory and society. within the national defence system, the national guard provides support to the regular force by",727,115,130,0,latvia_2008_NationalDefenceConcept.md,2025-01-28 18:53:38
