chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"valsts aizsardzibas koncepcija apstiprinata lr ministru kabineta 2008. gada 20. maija pienemta lr saeima 2008. gada 19. junija 1. valsts aizsardzibas koncepcija ( turpmak - koncepcija ) izstradata, pamatojoties uz nacionalas drosibas likuma 29. pantu. tas merkis ir noteikt valsts militaras aizsardzibas strategiskos pamatprincipus",331,44,130,0,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
2,", prioritates un pasakumus valsts aizsardzibas nodrosinasanai. koncepcija sagatavota atbilstosi latvijas geopolitiskajai situacijai, nacionalas drosibas un arpolitikas merkiem un latvijas saistibam, kas izriet no dalibas ziemelatlantijas liguma organizacija un eiropas savieniba. 2. koncepcija ir sagatavota, nemot vera nacionalas drosibas apdraude",348,40,130,0,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
3,"##juma faktoru izvertejumu, ka ari regionalas un starptautiskas drosibas attistibas tendencu analizi un ziemelatlantijas liguma organizacijas un eiropas savienibas drosibas un aizsardzibas politiku definejosos dokumentus. 3. koncepcija nosaka latvijas valsts aizsardzibas uzdevumu istenosanas un latvijas nacionalo brunoto speku ( turpmak - nacional",349,42,132,0,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
4,##ie brunotie speki ) attistibas planosanas vadlinijas.,55,7,22,0,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
5,"# # 2. latvijas drosibas un starptautiskas drosibas raksturojums 4. lidz ar dalibu ziemelatlantijas liguma organizacija un eiropas savieniba latvija ir butiski nostiprinajusi valsts drosibu un aizsardzibu. pamatu valsts drosibai un aizsardzibai veido latvijas militaro speju nostiprinasana, ziemelatlantijas liguma organizacijas kole",333,41,130,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
6,"##ktivas aizsardzibas princips un militara sadarbiba ar sabiedrotajam valstim ziemelatlantijas liguma organizacijas un eiropas savienibas ietvaros. 5. latvijas drosiba nav atdalama no parejo baltijas juras regiona ziemelatlantijas liguma organizacijas un eiropas savienibas valstu drosibas, ko veicina ciesa savstarpeja sadarbiba. sv",333,40,133,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
7,"##ariga loma latvijas un visa regiona drosibas veicinasana ir militarajai sadarbibai ar baltijas valstim, ziemelvalstim, ka ari amerikas savienotajam valstim, kas ari turpmak bus nozimigs latvijas strategiskais partneris. eiropas savienibas drosibas un aizsardzibas politikai ir nozimiga loma starptautiskaja drosibas vide, un tas ir svarigs latv",346,45,132,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
8,"##ijas drosibas un aizsardzibas stiprinasanas elements. 6. istenojot valsts aizsardzibas politiku, ir janem vera atsevisku valstu iespejama iekspolitikas un arpolitikas nenoteiktiba, kas var negativi ietekmet latvijas un tas sabiedroto valstu drosibu. viens no drosibas riskiem ir iespejamas speku lidzsvara izmainas starptautiskaja pol",336,42,132,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
9,"##itika, kas saistitas ar atsevisku valstu straujo ekonomisko attistibu, cinu par dabas resursiem, pieaugosajam brunosanas tendencem, ka ari centieniem atgut ietekmi pasaules politika. 7. vienlaikus latvijas ( tapat ka parejo ziemelatlantijas liguma organizacijas un eiropas savienibas dalibvalstu ) drosibu butiski ietekme starptautiskas",338,42,132,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
10,"drosibas vides attistibas tendences un drosibas izaicinajumi. piemeram, starptautiskais terorisms, masu iznicinasanas ierocu izplatiba, organizeta noziedziba, kiberuzbrukumi, ka ari nestabilitate dazados pasaules regionos un atsevisku valstu velme iesaistities militaraja sancensiba. 8. musdienu draudiem raksturiga globala izplatiba, tos",338,37,130,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
11,"ir sarezgiti paredzet, un tiem nav tikai valstiska izcelsme. globalo drosibas izaicinajumu mainigais raksturs nosaka to, ka efektivai latvijas drosibas un aizsardzibas nodrosinasanai jabalstas uz gatavibu noverst valsts apdraudejuma situacijas miera, valsts apdraudejuma un kara laika.",285,36,113,1,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
12,"# # 3. valsts aizsardzibas nodrosinasana 3. 1. valsts aizsardzibas pamatuzdevums 9. latvijas valsts aizsardzibas pamatuzdevums ir garantet valsts neatkaribu, teritorialo nedalamibu un iedzivotaju drosibu. lai visefektivak nodrosinatu valsts drosibu un aizsardzibu, latvija ir pievienojusies ziemelatlantijas liguma organizacijai",328,38,130,2,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
13,"un eiropas savienibai. savlaicigai valsts apdraudejuma noversanai ir nepieciesama efektiva bridinasanas sistema un preventivo pasakumu kopums. 10. valsts apdraudejuma gadijuma nacionalie brunotie speki sadarbiba ar sabiedroto valstu brunotajiem spekiem nodrosina latvijas valsts sauszemes teritorijas, juras akvatorijas un gaisa telpas neaizskaramibu.",351,40,130,2,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
14,nacionalajiem brunotajiem spekiem kopa ar civilajam valsts institucijam ir jabut gataviem uznemt sabiedroto valstu brunotos spekus latvijas teritorija. 11. nacionalie brunotie speki sniedz atbalstu valsts civilajam institucijam apdraudejuma situaciju noversana un to radito seku parvaresana un likvidacija. nacionalo brunoto speku iesaistisana sajos pas,353,43,130,2,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
15,##akumos veicina valsts resursu efektivu izmantosanu un paaugstina nacionalo brunoto speku praktisko sagatavotibu.,114,13,45,2,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
16,"# # 3. 2. valsts aizsardzibas strategiskais pamatprincips 12. latvijas valsts aizsardzibas strategiskais pamatprincips ir daliba ziemelatlantijas liguma organizacijas kolektivas aizsardzibas sistema, kuras uzdevums ir tas dalibvalstu aizsardziba pret jebkura veida militaru apdraudejumu. lidz ar to latvijas intereses ir",320,39,130,3,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
17,", lai ziemelatlantijas liguma organizacija saglaba un attista ricibspeju un efektivitati savu uzdevumu istenosanai, ta stiprinot ari latvijas aizsardzibu. lai to istenotu, latvijai ir svarigi stiprinat savu ietekmi ziemelatlantijas liguma organizacija, darbojoties ziemelatlantijas liguma organizacijas lemumu pienemsanas un ko",327,39,130,3,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
18,"##nsultaciju procesa. 13. balstot savu drosibu uz kolektivo aizsardzibas sistemu, latvija ir aktivi iesaistijusies gan ziemelatlantijas liguma organizacijas speju stiprinasana, gan tas istenotajas starptautiskajas operacijas un citos drosibas veicinasanas pasakumos. nacionalie brunotie speki ieklaujas ziemelatlantijas liguma organizacijas milita",347,38,132,3,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
19,"##rajas kaujas vienibas, ipasu uzmanibu pieversot ieguldijumam ziemelatlantijas liguma organizacijas atras reagesanas spekos. piedaloties atras reagesanas spekos, nacionalie brunotie speki iegust pieredzi, kas nepieciesama kaujas speju pilnveidosanai. 14. latvijas aizsardzibas speju attistiba notiek saskana ar ziemelatlantijas ligum",334,37,132,3,latvia_2008_NationalDefenceConcept_noneng.md,2025-01-28 18:57:56
