chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * national security concept * * the saeima approved at its 2 october session a national security concept. the decision to approve the national security concept was published in the 65 [ th ] issue of saeima documents ( "" lv "", no. 165, 23. 10. 2008 ). – “ lv ” editorial office * * national security concept ( summary ) * * the national security of the republic of latvia means the ability of the state and the public to protect, strengthen and develop the interests of the state and the individual security interests of every member of the population and the basic values as laid down in the constitution of",610,114,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
2,"the republic of latvia. national security policy is the sum of internal and external policy measures targeted at the prevention of threats and potential risk factors, as well as international co - operation and the strengthening of solidarity among allied states. the main task of the national security concept ( hereafter – concept ) is to determine the strategic basic principles, priorities and measures for preventing a possible threat to the state. many of the principles of operation included in the previous national security concept remain unchanged, however new conclusions need to be reached on certain issues. within a comparatively short period of time latvia has become an equal partner in cooperation with other european countries in strengthening the",765,119,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
3,"security of the common european space. during recent years certain positive changes have taken place in latvia ’ s external and internal security environment, however, there exist potential threats to economic security, unresolved issues of environmental protection, and the problems of organised crime and corruption. latvia ’ s participation in international peace keeping operations has given the state an opportunity to become more widely involved in global political processes and to receive allied support in implementing national security interests, however, at the same time this can give cause for terrorist organisations to identify latvia as a target. increasingly more often, global threats : terrorism, the spread of weapons of mass destruction and threats to the",776,115,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
4,"environment – cause local and unforeseeable consequences. temporary and one - off measures with regard to individual threats will not make it possible to stop these threats entirely. it is not possible to fight any of the types of the aforementioned threats with the national means available to one single country. thus the importance of inter - state cooperation becomes ever greater. an adequate level of security for latvia may be achieved by implementing a united, targetted and systematic state and public policy, ensuring a stable internal political, social and economic situation, developing effective defence force bodies appropriate to the security conditions, improving crisis management and civil defence systems, strengthening the system and",753,113,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
5,"institutions of a rule - of - law state, encouraging involvement and support of the public in achieving the goals of the national security policy, honouring - - - - - international obligations and standards, as well as continuing active involvement in european and transatlantic security, defence, political and economic structures. thus an especially important prerequisite for the successful implementation of the national security policy of latvia is public understanding of the goals stated in this concept as well as its involvement in and support for the implementation of these goals. the priorities set forth in the concept form the basis for activities of state institutions and the promotion of mutual co - operation amongst them in shaping",750,118,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
6,"the comprehensive security policy of the state and developing plans and programmes of individual sectors. the priorities determined by the concept must be taken into account when preparing new policy planning documents and programme documents. based on the priorities determined by this concept, the cabinet of ministers shall prepare the national security plan which will set out next year ’ s priorities for the improvement of the situation as regards national security.. * * narional security concept ( information section ) * * * * contents * * introduction 1. national security of latvia and the national security policy 2. priorities for prevention of threats to the national security 2. 1 foreign policy 2. 2 terrorism and",729,117,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
7,"the critical infrastructure 2. 3 economic security 2. 4 national military defence 2. 5 social integration and the social environment 2. 6 border control and migration 2. 7 crime 2. 8 environmental risks, prevention and counteracting of crisis conclusion - - - - - * * introduction * * the opportunities and experience that latvia has gained in the three years since becoming a member of the european union ( hereafter - eu ) and the north atlantic treaty organisation ( hereafter – nato ), as well as the signing of the border treaty with russia and its ratification by the saeima is confirmation of a positive improvement of the national security",647,112,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
8,"environment of latvia. although many principles of operation have remained unchanged since the approval of the previous national security concept, changes have taken place in certain areas which affect national security and measures for the prevention of new threats. an awareness of the newly - acquired experience and opportunities, and an initial assessment allow us to draw up an appropriate national security concept ( hereafter – the concept ). the main purpose of the concept is to determine the strategic basic principles, priorities and measures for the prevention of possible threats to the state. in implementing security policy latvia observes the principles of international law included in the charter of the united nations ( hereafter – un",754,117,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
9,"), documents of the organisation for the security and cooperation of europe ( hereafter – osce ), as well as other international agreements binding to latvia. the security policy of latvia is implemented without threat to other countries. the situation in the area of national security is affected not only by internal factors – the democratic base, economic development, the situation with respect to fighting crime, social security, environmental quality and other factors, but also the foreign policy and military policy situation. an adequate level of security for latvia may be achieved by ensuring a stable internal political, social and economic situation, by developing effective structures of the defence forces corresponding to the",741,113,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
10,"security circumstances, developing a crisis management model corresponding to the present situation and perfecting the civil defence system, strengthening the system and institutions of a rule - of - law state, encouraging the involvement and support of the public in achieving the goals of security policy, observing international commitments and norms, and continuing active involvement in european and transatlantic political, economic, security and defence structures. the status as a member country of nato and eu continues to significantly improve the external security environment of latvia, maximally reducing the external military and political threat. during a relatively short period of time latvia has become an equal partner in co - operation among european countries in enhancing the",797,116,130,0,latvia_2008_NationalSecurityConcept.md,2025-01-28 18:54:14
