chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"| izdevejs : saeima veids : pazinojums pienemts : 26. 11. 2015. | publicets : latvijas vestnesis, 233, 27. 11. 2015. op numurs : 2015 / 233. 2 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - -",286,100,130,0,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | saeimas * * pazinojums * *,156,71,78,0,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
3,"# par nacionalas drosibas koncepcijas apstiprinasanu! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) daru zinamu, ka saeima sa gada 26. novembra sede apstiprinajusi nacionalas drosibas koncepciju. saeimas priekssedetaja * i. murniece * riga 2015. gada 26. novembri nacionalas drosibas * * koncepcija * * ( informativa * * dala ) * * 1. *",336,63,130,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
4,"* ievads * * nacionalas drosibas koncepcija ( turpmak - koncepcija ) ir uz valsts apdraudejuma analizes pamata sagatavots dokuments, kura noteikti valsts apdraudejuma noversanas strategiskie pamatprincipi un prioritates, kas janem vera, izstradajot jaunus politikas planosanas dokumentus, tiesibu aktus un ricibas planus nacionalas drosibas joma. valsts apdra",359,47,130,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
5,"##udejuma analize un saja koncepcija ir aplukoti draudi, kas tiesi un pastarpinati ietekme latvijas nacionalo drosibu un ir saistiti ar izmainam starptautiskaja drosibas vide, militarajam aktivitatem latvijas robezu tuvuma, starptautiska terorisma tendencem, kiberdrosibu, ka ari atsevisku arvalstu centieniem ar politiskiem, humanitariem, informativiem un",356,43,132,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
6,"ekonomiskiem lidzekliem ietekmet latvijas sabiedribas vienotibu, valsts arpolitisko orientaciju un iekspolitisko stabilitati. koncepcija atbilstosi katrai apdraudejuma jomai tiek noteiktas galvenas prioritates so apdraudejumu noversanai. valsts parvaldes instituciju izstradatajai politikai, planotajiem un veiktajiem pasakumiem, ka ari savstar",344,36,130,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
7,"##pejai sadarbibai nacionalas drosibas joma ir jabalstas uz koncepcija noteiktajam prioritatem. ministru kabinets, balstoties uz koncepcija noteiktajam prioritatem, izstrada nacionalas drosibas planu, kura ietverti konkreti valsts apdraudejuma neitralizacijas un noversanas pasakumi un lidzekli. 2. nacionala drosiba un nacionalas drosibas * * politika * * nacional",365,45,132,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
8,"##a drosiba ir valsts istenotu merktiecigu pasakumu rezultata sasniegts noteikts apstaklu kopums, kas nodrosina to, ka tiek mazinata latvijas iekseja un areja ievainojamiba, ka ari uzlabojas valsts kopejas spejas un vispareja gataviba nacionalas drosibas apdraudejumu apzinasana, noversana un parvaresana. latvijas nacionalajai drosibai ir",339,43,132,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
9,"arpolitiska un iekspolitiska dimensija, kas ir savstarpeji saistitas. arpolitisko dimensiju raksturo pasreizeja starptautiska drosibas vide, izmainas taja un arejie draudi. savukart iekspolitisko dimensiju raksturo latvijas republikas satversme noteikto pamatvertibu nodrosinasana no valsts puses, ka ari speciga pilsoniska sabiedriba, kurai ir",344,40,130,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
10,"vienota izpratne jautajumos par tas vertiborientaciju, latvijas valsts piederibu rietumu pasaulei, kurai ir velme redzet latviju ka neatkarigu, demokratisku un tiesisku valsti ari nakotne, un kas ir gatava aizstavet valsti tai kritiskos brizos. valsts robezas drosiba, valsts drosibas iestazu, tiesibu aizsardzibas instituciju",326,42,130,1,latvia_2015_NationalSecurityConcept_noneng.md,2025-01-28 18:57:56
