chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national security policy - - - - -,36,9,11,0,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
2,# # contents 1. introduction 2. national security policy statement 3. malaysia in the geostrategic context 4. national security environment 5. malaysia ’ s core values 5. 1 core value 1 : territorial sovereignty and integrity 5. 2 core value 2 : socio - political stability 5. 3 core value 3 : national unity 5. 4 core value 4 : good governance 5. 5 core value 5 : economic integrity 5. 6 core value 6 : social justice 5. 7 core value 7 : sustainable development 5. 8 core value 8 : people ’ s security 5. 9 core value 9 : international recognition 6. primary strategies 7. conclusion,584,109,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
3,5. 1 core value 1 : territorial sovereignty and integrity 5. 2 core value 2 : socio - political stability 5. 3 core value 3 : national unity 5. 4 core value 4 : good governance 5. 5 core value 5 : economic integrity 5. 6 core value 6 : social justice 5. 7 core value 7 : sustainable development 5. 8 core value 8 : people ’ s security 5. 9 core value 9 : international recognition 6. primary strategies - - - - - * * 1. introduction * * 1. 1 malaysia is a multi - racial country adopting a system of government based on parliamentary democracy with a constitutional monarchy. the,579,115,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
4,"nation is built on integration of its people, territorial integrity, a stable government, sovereignty and international recognition. 1. 2 the government is responsible for ensuring that sovereignty and national security are continuously safeguarded and maintained. in this context * * malaysia ’ s * * * * national security refers to a state of being free from any threat, whether * * * * internally or externally, to its core values. * * threats to national security since 1957 such as the communist party of malaya insurgency, incursion by the terrorist army of the sulu sultanate into sabah in 2013, efforts to overthrow the government through non - democratic process, militan",680,111,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
5,"##cy and terrorism as well as global threats in various forms have necessitated the formulation of a comprehensive national security policy ( nsp ). 1. 3 the nsp is introduced as the principal policy in confronting the various security threats which have become increasingly dynamic and complex. through the nsp, the implementation of the primary strategies will ensure that national core values are safeguarded thereby keeping malaysia safe from all forms of threat, not only physical but also non - physical, that which may influence and corrupt people ’ s minds. this includes interference by foreign powers in the administration and internal affairs of the nation. 1. 4 in this sense, the formulation of",707,114,132,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
6,"the nsp as the primary guide and reference for federal and state ministries and agencies is proof that the government is persistently committed in ensuring that national security is assured and maintained. consequently, the support and cooperation of the people is detrimental in guaranteeing the survival of malaysia as an independent, safe and sovereign nation based on the principles of parliamentary democracy and constitutional monarchy. not only is the nsp intended for the society in - being but more importantly, for the well - being and peace of generations to come. * * 2. national security policy statement * * 2. 1 the nsp is the overarching policy or basis for comprehensive national",696,113,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
7,"security aimed at maintaining, safeguarding and defending the national core values which will ensure the survival of malaysia as an independent, peaceful, safe and sovereign nation. 2. 2 the nsp was formulated under the national security council act 2016 [ act 776 ] which confers power to the national security council in formulating policies and strategies for national security. this responsibility includes the monitoring of the implementation of such policies and strategies. * * 3. malaysia in the geostrategic context * * 3. 1 malaysia has a strategic position in the south - east asian geo - political environment. geographically, it is also located along important sea lines of",686,109,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
8,"communication, namely, the straits of melaka and the south china sea which have frequently attracted the attention of the major powers. malaysia ’ s location influences its bilateral and multi - lateral relations with other countries, both regional and international, in terms of important political, socio - economic, security, defence, the nsp is introduced as the principal policy in confronting the various security threats which have become increasingly dynamic and complex. through the nsp, the implementation of the primary strategies will ensure that national core values are safeguarded thereby keeping malaysia safe from all forms of threat, not only physical but also non - physical, that which may influence and corrupt",731,111,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
9,"people ’ s minds. this includes interference by foreign powers in the administration and internal affairs of the nation. in this sense, the formulation of the nsp as the primary guide and reference for federal and state ministries and agencies is proof that the government is persistently committed in ensuring that national security is assured and maintained. consequently, the support and cooperation of the people is detrimental in guaranteeing the survival of malaysia as an independent, safe and sovereign nation based on the principles of parliamentary democracy and constitutional monarchy. not only is the nsp intended for the society in - being but more importantly, for the well - being and peace of generations to come",729,116,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
10,". * * 2. national security policy statement * * 2. 1 the nsp is the overarching policy or basis for comprehensive national security aimed at maintaining, safeguarding and defending the national core values - - - - - cultural interests amongst others. in addition, malaysia ’ s security is influenced to a larger degree by regional and international geopolitics in the following premise : * * regional * * 3. 1. 1 asean is the primary focus in malaysia ’ s foreign policy. as one of the founder members of asean, malaysia fully supports and upholds the basic principles contained in the asean charter such as the opposition in the",629,111,130,1,malaysia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:09
