chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - - - - - - - * * titulo primero * *,52,21,26,0,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
2,# # # # # # situation geopolitics......................................................... 11 * * capitulo i * * * * _ s _ * * * * _ t _ * * aspecto mundial.............. t..... '...........,190,33,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
3,"................................... * * 1 * * 12 / ' * * capitulo ll * * aspecto continental.. -.. :.,... '...... aspecto nacional..... ' :... * * capitulo i * * situacion general a.......,... *.., + t,!,,,... ~ -. -,.",218,39,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
4,"!..,. % i ' * - 1 - : '..,.. $ 5..!.,. ; * -.. - _ ' yf & t.. < i '. _ -,, ' a [, ' ] * * capitulo iii * *, -. i..!,. i - -,. ;. >., - - - [ <. = - ] ' [.. ],.. "" - ' tl - a ; - -.... \ i c ~., ' ' objetivos nacionales.",219,72,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
5,":.,. ).........,.. -.... -......... : -.......... : * * b,, x \ k < :, : * * * * * capitulo ill * *,. : a ` c ; +, z7 `. seguridad nacional....., -.,....,.... - * * _ 8 _ * * * * _, _ * * * * ' 1, * * * * _",206,59,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
6,"8, v c... _ * *......... * * capitulo iv * *. * * a +,, -. - * * * *... + l * * * * - - c * *.. * * t \ '. * *. lnterferencias a la seguridad ~ acionav.,. + l... i : ' : ;... - :. : -., -. -. :...................",212,60,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
7,.................. 35 * * capitulo v * * politica de defensa y politica militar.................................................... 38 * * capitulo vi * * doctrina militar....................,191,23,130,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
8,.............................................. 42 - - - - - * * titulo tercero * *,82,13,64,1,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
9,# # # # # # el ejercit ~ y fuerza a & - ea mexicanos............................................... 45 * * capitulo i * * antecedentes historicos.............................................,190,25,130,2,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
10,........................ 46 * * capiteclc i1 * * razon de ser del ejercito y fuerza aerea mexicanos.................................................. 50 * * capitulo ill * * marcojuridico.............,200,25,130,2,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
11,.............................................................. 5 1 * * capitulo iv * * organizacion de la secretaria de la defensa nacional...........................................,182,17,130,2,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
12,"....... 54 * * capitulo v * * ' * * _ a _ * * integracion y organizacion del ejercito y fuerza aerea mexicanos......... '..... *.............................. 57 lntegracion ' ' a. \ '... : - ' & ',. k ' - ', ; ~ \",214,46,122,2,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
13,"# # # # # # - recursos humanos.. ""....................... 58 - recursos materiales....................................... 59 - recursos financieros.............. 59. i organizacion '. * * l * * - niveles de mando.",213,31,130,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
14,"............ :.................................. 60 - division territorial milltar................. :.............................. 60..., - organismos...... i............",171,12,130,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
15,"........... i. \ -. ' - *. * * : < i : ;.. * \. * *.... '............................... 64,, ',.,, '! * * _ t _ * *,,, ' # ) *,. ' "" ` - j \ ' $ ` * * capitulo vi * * i '. \, k * *? * * i '. act",195,59,130,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
16,"##ividades lnstitucionales del ejercito y fup - za akrea ~ e x i c d s,... \.... 1.,.............................. 66....... i ' ila. seccion _ i _ \ # # # # # # '. contribuir a hacer valer las decisiones soberanas. de ~ e x i c o dentro de un marco estrategic",260,53,132,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
17,##o de seguridad nacional 6 6 - vigilancia del territorio nacional...................................................... 66 - protecci ( jn del espacio aereo national........................................,206,20,132,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
18,.......... 66 - fortalecimiento de la soberania national................................................ 67 - fortalecimiento de la identidad national...............................................,197,15,130,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
19,. 67 2la. seccion hacer frente a situaciones de riesgo que atenten contra el estado de derecho y la seguridad interior de la nacion.. 68 - combate integral al trafico ilicito de drogas............................................... 68 - apoyo al sistema nacional de seguridad........,283,41,130,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
20,......................................... 69,44,2,44,3,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
21,"# # # # # # - aplicacion de la ley federal de armas de fuego y explosivos................................... 70 - - - - - 31a. seccion contar con unidades, dependenclas e! nsta! aciews, cuyes recurses hurnancs ester : debidamente espe - cializados, adiestrados y equipados para hacer frente",290,48,130,4,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
22,de manera eficaz a las continge & ias que en el cum - plimiento de sus misiones se presenten,92,19,35,4,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
23,"# # # # # # - sistema logistic0................ - produccion de equipo militar......... - educacion militar................ - adiestramiento militar.............. - investigation cientifica y tecnologica... apoyar 10s programas de mejoramiento, y proteccion a",259,33,130,5,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
24,"i i medio ambiente, de rezago educativo, de atencion a necesidades sociales urgentes, de salud ' pdblica y de ' de ~ ar ~ ollo de infraestructura basica.. * * i * *..,",167,33,66,5,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
25,"# # # # # # - programas de ~ a b o r s & i : ~..................? = i................... 4....,........................",119,22,92,6,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
26,"# # # # # # - plan acuario....... - : : i... -...........,....., :. - - : - restaiiaci6n bel ecos @ ema y la naiiirale ~.......... ` 7. 7. ` h '. * * _. a _ * * 5la. seccion.. ',,.., : ' i - *. > * * 1 * * salvaguardar la viday",227,58,130,7,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
27,"los fen a de desa $ ies naturales prcducidcs por la man @ & i ho @ re, e? rctedci6n1civi!..... * * capitulo vii * * los derechos humanos y e! dereche inter uerza aerea mexicanos. * * titulo cuapao * *",200,42,82,7,mexico_2005_WhitePaper_noneng.md,2025-01-28 18:55:44
