chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # programa sectorial de defensa nacional 2 0 1 3 – 2 0 1 8,66,19,25,0,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
2,"# # mensaje presidencial. l objetivo general del gobierno de la republica es llevar a mexico a su maximo potencial, su consecucion corresponde a todos los actores, todos los sectores y a todas las personas del pais.",215,37,69,1,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
3,"# e para lograr lo anterior, se establecieron cinco metas nacionales en el plan nacional de desarrollo 2013 - 2018 : un mexico en paz, un mexico incluyente, un mexico con educacion de calidad, un mexico prospero y un mexico con responsabilidad global. asimismo, impulsa un federalismo articulado y promueve transversalmente en todas las politicas publicas, tres estrategias : democratizar la productividad, consolidar un gobierno cerca",435,66,130,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
4,"##no y moderno ; asi como fortalecer la perspectiva de genero. como parte de este esfuerzo nacional, la secretaria de la defensa nacional juega un papel esencial dentro del contexto de la defensa exterior de la federacion, a fin de preservar la integridad, la independencia y la soberania de la nacion ; asi como, coadyuvar en la seguridad interior del pais para mantener el orden constitucional y el fortalecimiento de las",423,71,132,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
5,"instituciones democraticas de gobierno. en este sentido, el ejercito y fuerza aerea mexicanos, han actuado de forma permanente con valor y lealtad al servicio de la patria dentro del devenir historico de la nacion, donde han sido pilares en el mantenimiento de la integridad, estabilidad y permanencia del estado mexicano. el caracter social de las fuerzas armadas las identifica como un ejercito de paz",403,64,130,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
6,", por su entrega y compromiso con el pueblo de mexico en casos de necesidades publicas. asimismo, por el apoyo inmediato a la poblacion en casos de desastres, lo que les ha valido ganarse el reconocimiento integro y el aprecio de la ciudadania. mexico ha enfrentado en los ultimos anos una problematica sin precedentes por la inseguridad que generan las organizaciones del crimen organizado, situacion que incide negativament",425,68,130,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
7,"##e en el desarrollo nacional. debido a este flagelo, las fuerzas armadas han permanecido desplegadas en forma permanente en todo el territorio nacional y con mayor densidad en las areas mas algidas del pais, en coadyuvancia a las autoridades responsables de la seguridad publica de los tres ordenes de gobierno. de tal forma, que el programa sectorial de defensa nacional 2013 - 2018 proyecta para los proximos seis anos,",422,69,132,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
8,"fortalecer y modernizar las capacidades operativas, logisticas y administrativas de sus organismos. - - - - -",109,17,38,2,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
9,"# # # # # programa sectorial de defensa nacional 2 0 1 3 – 2 0 1 8 destacando la transformacion del sistema educativo militar hacia la excelencia academica, y fortalecer el adiestramiento y doctrina militar, la investigacion cientifica, la innovacion y el desarrollo tecnologico, que tendran como objetivo, renovar al ejercito y fuerza aerea. es importante enfatizar que el citado instrumento de pol",399,65,130,3,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
10,"##itica publica retoma la necesidad de impulsar el marco legal que provea certeza juridica a las actividades que realizan el ejercito y la fuerza aerea mexicanos para coadyuvar en la contencion de los grupos delictivos y reducir los indices de violencia del pais, con el objeto de armonizar los esfuerzos del estado mexicano y aprovechar las fortalezas y oportunidades de la institucion. en este sentido",403,65,132,3,mexico_2013_DefenseProgram.md,2025-01-28 18:56:14
