chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"dof : * * 30 / 04 / 2014 * * programa * * para la seguridad nacional 2014 - 2018. * * programa para la seguridad nacional 2014 - 2018 una politica multidimensional para mexico en el siglo xxi resumen ejecutivo el programa para la seguridad nacional 2014 - 2018 es el documento rector de la politica de seguridad nacional del estado mexicano. expresa las prioridades y la vision del gobierno de la republica en la materia, asi como los objetivos estrate",452,83,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
2,"##gicos que la definen. bajo el liderazgo del presidente de la republica, este programa presenta los fundamentos de una politica de estado para la seguridad nacional en el siglo xxi. sustentado en el analisis de la posicion de mexico en el mundo y de sus retos internos, responde a los desafios de una nacion democratica y moderna que debera consolidar su condicion de potencia emergente en un escenario global complejo y definido por",434,73,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
3,"cambios constantes. al adoptar un enfoque multidimensional, el programa reconoce el impacto de aquellas tendencias y factores que podrian incidir negativamente sobre los intereses y objetivos nacionales de mexico y sobre las condiciones para el desarrollo social y economico de su poblacion. asimismo, presta atencion a aquellos riesgos globales derivados de la transformacion del panorama tecnologico, energetico, demografico y ambient",436,60,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
4,"##al. del mismo modo, reconoce las vulnerabilidades que pueden comprometer la estabilidad y el desarrollo de la nacion. el programa resalta el desafio de garantizar la seguridad interior y reducir la violencia donde mas afecta a la poblacion. considerando el papel destacado que las fuerzas armadas han desempenado en la preservacion del orden publico y la contencion del crimen organizado, este document",404,62,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
5,"##o presenta opciones de politica publica para fortalecer la gobernabilidad democratica y la seguridad interior en todo el territorio nacional. lo anterior, conforme a las exigencias de la sociedad mexicana y al objetivo de alcanzar un mexico en paz, en el que la libertad, la vida, el bienestar y el patrimonio de todos los ciudadanos sean garantizados por la plena vigencia del estado de derecho. para hacer frente a estos des",428,71,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
6,"##afios, el gobierno de la republica ha definido dos grandes objetivos estrategicos : · consolidar el sistema de seguridad nacional para asegurar la atencion integral de las vulnerabilidades, los riesgos y las amenazas a la seguridad nacional. · asegurar que la politica de seguridad nacional del estado mexicano adopte una perspectiva multidimensional para favorecer la consecucion de los objetivos e intereses nacionales",422,62,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
7,". la consolidacion del sistema de seguridad nacional permitira que el titular del poder ejecutivo federal disponga de las instituciones, procesos e instrumentos para atender de modo integral la agenda de seguridad nacional del estado mexicano. para lograrlo, se desarrollara el sistema nacional de inteligencia ( sin ), el cual sustentara el proceso de deliberacion del consejo de seguridad nacional ( csn ) con productos de inteligencia de caracter estrate",457,70,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
8,"##gico. con ello, las instituciones que forman parte de la comunidad de seguridad y defensa podran evaluar oportunamente los desafios presentes y futuros. una politica de estado en materia de seguridad nacional requiere que todos los componentes del poder nacional sean considerados al momento de salvaguardar los intereses del pais. el programa para la seguridad nacional considera de modo integral el papel de las instituciones que forman parte",446,68,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
9,"de la comunidad de seguridad y defensa, y desarrolla los mecanismos que seran promovidos por esta administracion para garantizar su coordinacion. la primera seccion del programa, una politica * multidimensional para la seguridad nacional de mexico *, establece los fundamentos de la politica de seguridad nacional de esta administracion. al mismo tiempo, presenta la vision del ejecutivo federal en la materia y la forma en la que",430,67,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
10,"este promovera el interes nacional en los proximos anos. la segunda seccion, denominada * el entorno estrategico de mexico en el siglo xxi *, identifica los desafios que derivan de la posicion del pais en el sistema internacional y la naturaleza de los retos de seguridad interior. al determinar la posicion geopolitica de mexico, se destaca su peso estrategico y el conjunto de intereses nacionales que deben ser tutelados en",426,70,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
11,"un escenario internacional en constante cambio. por otra parte, se presenta un panorama de los retos para la seguridad interior y la estrategia adoptada por esta administracion para enfrentarlos. esta seccion concluye con una exposicion de los riesgos y amenazas que inciden sobre la seguridad del estado mexicano. la tercera seccion, * objetivos estrategicos *, presenta los contenidos programaticos que orientaran la politica de se",433,65,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
12,"##guridad nacional durante esta administracion. asimismo, detalla el conjunto de objetivos especificos, estrategias y lineas de accion que articularan la politica sectorial durante los proximos anos. la cuarta seccion, una agenda para el futuro : los retos del estado mexicano en materia de seguridad * nacional *, identifica una serie de tendencias globales de mediano y largo plazos que pueden incidir sobre la est",416,64,133,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
13,"##abilidad del estado mexicano. fenomenos que pueden tener un impacto real sobre la seguridad de nuestra nacion y la gobernabilidad del sistema internacional, tales como el cambio climatico, el desarrollo de tecnologias emergentes o la manifestacion de nuevas tendencias demograficas, sociales y ambientales que deben considerarse como parte de los posibles desafios que mexico enfrentara en las proximas decadas. al presentar el programa para la se",449,66,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
14,"##guridad nacional 2014 - 2018, el gobierno de la republica ha asumido con claridad el reto de concebir una politica de estado para la seguridad nacional de mexico en el siglo xxi. de este modo, se adopta una aproximacion estrategica, multidimensional y dinamica con el proposito de anticiparse a los hechos y fijar las bases de una accion coordinada frente a aquellos riesgos y amenazas que pueden comprometer",410,68,133,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
15,"el desarrollo de la nacion. con el firme objetivo de garantizar la viabilidad de nuestro proyecto de nacion y llevar a mexico a su maximo potencial, este programa salvaguarda los derechos humanos y las libertades democraticas de sus ciudadanos. am dof - de la i. una politica multidimensional para la seguridad nacional de mexico en el siglo xxi 1. vision del ejecutivo federal alcanzar un mexico en paz es una de",413,71,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
16,"las grandes aspiraciones compartidas por todos los mexicanos. el plan nacional de desarrollo 2013 - 2018 ha hecho de esta la primera de las cinco grandes metas nacionales del gobierno de la republica. en el ambito de la seguridad nacional, esta aspiracion se traduce en la atencion de los multiples retos que el pais enfrenta en el siglo xxi. una politica integral de seguridad nacional debe atender todos los factores que puede",428,72,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
17,"##n vulnerar la seguridad del estado y nuestro proyecto de nacion. bajo esta perspectiva, el ejecutivo federal ha adoptado una vision que privilegia un enfoque multidimensional que trasciende las aproximaciones tradicionales a la seguridad nacional. al desarrollar una agenda amplia, esta vision considera una serie de fenomenos y problematicas sociales, economicas, ambientales, tecnologicas y de salud, en funcion de su impact",428,61,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
18,"##o sobre los intereses nacionales, las condiciones que permiten el desarrollo del pais, y el disfrute de los derechos de sus ciudadanos. "" al ampliar el concepto de seguridad nacional en el diseno de las politicas publicas de nuestro pais, se podran atender problematicas de naturaleza diversa a las estrictamente relacionadas con actos violentos que vulneran los derechos fundamentales de la poblacion mexicana. ademas de cumpl",429,66,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
19,"##ir con la obligacion del gobierno de la republica de restablecer la tranquilidad y seguridad de los ciudadanos, a traves del combate a toda manifestacion de violencia y delincuencia de alto impacto, se debe transitar hacia un modelo de seguridad nacional mas amplio y de justicia e inclusion social, de combate a la pobreza, de educacion con calidad, de prevencion y atencion de enfermedades, de equilibrio ecologico y proteccion al ambient",442,71,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
20,"##e, de promocion del desarrollo economico, social y cultural, asi como de seguridad en las tecnologias de la informacion y la comunicacion. de este modo, la seguridad nacional adquiere un caracter multidimensional que la hace vigente y fortalece el proyecto nacional "". ( 1 ) conforme a la vision del ejecutivo federal, la politica de seguridad nacional es multidimensional en la medida en que presta atencion integral a las vulnerabil",436,70,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
21,"##idades, los riesgos y las amenazas que impactan directamente sobre el desarrollo del estado mexicano y la calidad de vida de su poblacion, estableciendo un vinculo entre la seguridad, la defensa y el desarrollo en tres vertientes : humana, politico - militar y economico - ambiental. al mismo tiempo, es estrategica por trascender el limite temporal de una politica de gobierno para permitir la formulacion de",411,66,132,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
22,"escenarios alternativos con el fin de anticiparse a los hechos, bien para administrar el cambio, adaptarse a el, o mitigar sus efectos negativos oportunamente ; asi como para impulsar una accion coordinada contra amenazas y riesgos especificos en los niveles tactico, operacional y estrategico. finalmente, se trata de una aproximacion dinamica que requiere de politicas publicas",379,56,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
23,"flexibles para adaptarse a los cambios vinculados con la manifestacion de amenazas emergentes, tal como se vislumbra en el complejo horizonte nacional e internacional del siglo xxi. esta vision engloba los desafios de seguridad nacional que mexico enfrenta actualmente y ofrece una guia clara para orientar los alcances de la politica de seguridad nacional durante los proximos anos. al mismo tiempo, permite que las autoridades que forman parte del con",453,70,130,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
24,##sejo de seguridad nacional puedan definir prioridades en funcion de la evaluacion del entorno estrategico nacional e internacional y la naturaleza de los riesgos y amenazas que pueden comprometer la seguridad de la nacion.,224,34,69,0,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
25,"# # 2. marco juridico y conceptual a. fundamentos juridicos de la politica de seguridad nacional del estado mexicano la constitucion politica de los estados unidos mexicanos senala, en su articulo 1, que todas las personas que se encuentren en el territorio nacional gozaran de los derechos humanos reconocidos en dicha constitucion y en los tratados internacionales de los que el estado mexicano sea parte. su observancia, respet",430,68,130,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
26,"##o, promocion y proteccion, por parte de cada una de las autoridades constituidas en el pais esta garantizada por el poder judicial de la federacion. de la lectura de los articulos 39, 40 y 41 de la carta magna se desprende que la soberania nacional radica esencial y originariamente en el pueblo mexicano, quien decidio constituirse en una republica representativa, democratica, laica y federal, y que la institucionali",421,68,132,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
27,"##zacion del poder publico tiene como proposito fundamental el bienestar general. por su parte, la fraccion vi del articulo 89 constitucional confiere de manera exclusiva al presidente de la republica el mandato de preservar la seguridad nacional, en los terminos de la ley respectiva, y disponer de la totalidad de la fuerza armada permanente, es decir del ejercito, de la armada y de la fuerza aerea, para garantizar la se",424,70,132,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
28,"##guridad interior y defensa exterior de la federacion. en cuanto a los intereses y objetivos nacionales del estado, el articulo 25 de la constitucion politica de los estados unidos mexicanos establece que corresponde a este la rectoria del desarrollo nacional para garantizar que sea integral y sustentable, que fortalezca la soberania de la nacion y su regimen democratico y que, mediante la competitividad, el fomento del crecimiento economico,",447,68,133,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
29,"el empleo y una mas justa distribucion del ingreso y la riqueza, permita el pleno ejercicio de la libertad y la dignidad de los individuos y grupos sociales. adicionalmente, el articulo 26, apartado a, de la constitucion determina que el estado organizara un sistema de planeacion democratica del desarrollo nacional que imprima solidez, dinamismo, permanencia y equidad al crecimiento de la",391,61,130,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
30,"economia para la independencia y la democratizacion politica, social y cultural de la nacion. el articulo 9 de la ley organica de la administracion publica federal establece que las dependencias y entidades de la administracion publica centralizada y paraestatal conduciran sus actividades en forma programada, con base en las politicas que para el logro de los objetivos y prioridades de la planeacion nacional del desarrollo, establezca el e",443,68,130,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
31,"##jecutivo federal. por su parte, el articulo 7 de la ley de seguridad nacional indica que en el plan nacional de desarrollo y en el programa que de el derive, se definiran los temas en esa materia. am dof - de la en este sentido, el reglamento para la coordinacion de acciones ejecutivas en materia de seguridad nacional en sus articulos 5, 6 y 7 establece que los temas de seguridad nacional se atenderan con una vision est",425,78,132,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
32,"##rategica, integral, amplia, de largo alcance y con base en dos vertientes : · politicas publicas en materia de seguridad nacional. · inteligencia estrategica. lo anterior, a fin de salvaguardar los intereses y objetivos de seguridad nacional. asimismo, el articulo 9 del reglamento citado prescribe que, para la atencion integral de los temas de seguridad nacional, el programa para la seguridad nacional se estructurara a partir de",434,67,132,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
33,"los procesos siguientes : i. decision politica fundamental. ii. integracion de inteligencia estrategica. iii. promocion de politicas publicas. iv. planeacion y direccion de emergencias y operaciones de seguridad. v. proteccion. en virtud de lo anterior, para la formulacion del programa para la seguridad nacional 2014 - 2018 se retomaron las prioridades, politicas, lineamientos y acciones procedentes, establecidas en el plan nacional de",439,62,130,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
34,"desarrollo 20132018, con el objeto de promover : ( 1 ) el desarrollo institucional permanente de los sistemas y procesos de seguridad nacional propios de un estado constitucional democratico de derecho ; y ( 2 ) las estrategias y acciones de desarrollo que contribuyan a reducir la incertidumbre, minimizar los riesgos y amenazas, y maximizar las oportunidades para preservar la segur",384,61,130,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
35,##idad del estado mexicano.,27,4,12,1,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
36,"# # b. fundamentos conceptuales de la politica de seguridad nacional del estado mexicano los principios fundamentales contenidos en nuestra constitucion politica, al igual que las grandes metas nacionales ( 2 ) definidas en el plan nacional de desarrollo 2013 - 2018, integran el proyecto nacional y dan fundamento a la razon practica del estado mexicano. lo anterior cobra relevancia debido a que la politica de seguridad nacional es una fun",442,71,130,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
37,"##cion esencial del estado que permite el disfrute de derechos fundamentales de interes general, que tiene como atributos ser estrategica, multidimensional y dinamica, y cuya preservacion compete al presidente de la republica. al respecto, la ley de seguridad nacional establece las bases de integracion y accion coordinada de las instituciones y autoridades encargadas de preservar la seguridad nacional, en sus respectivos ambitos de",435,63,133,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
38,"competencia ; asi como la forma y los terminos en que las autoridades de las entidades federativas y los municipios colaboraran con la federacion en dicha tarea ( articulo 1 ). el articulo 3 del citado cuerpo legal senala que por seguridad nacional se entienden las acciones destinadas de manera inmediata y directa a mantener la integridad, estabilidad y permanencia del estado mexicano, que conlleven a : i",408,68,130,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
39,. la proteccion de la nacion mexicana frente a las amenazas y riesgos que enfrente nuestro pais ; ii. la preservacion de la soberania e independencia nacionales y la defensa del territorio ; iii. el mantenimiento del orden constitucional y el fortalecimiento de las instituciones democraticas de gobierno ; iv. el mantenimiento de la unidad de las partes integrantes de la federacion senaladas en el art,403,66,130,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
40,"##iculo 43 de la constitucion politica de los estados unidos mexicanos ; v. la defensa legitima del estado mexicano respecto de otros estados o sujetos de derecho internacional, y vi. la preservacion de la democracia, fundada en el desarrollo economico, social y politico del pais y sus habitantes. de lo anterior se desprenden las proposiciones siguientes : 1. la poblacion, el territorio nacional, el orden constitu",417,66,132,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
41,"##cional, las instituciones de gobierno y la soberania e independencia nacionales son elementos indispensables para la existencia del estado mexicano, por lo que constituyen intereses nacionales permanentes o esenciales. 2. la preservacion de la democracia aentendida no solamente como una estructura juridica y un regimen politico, sino como un sistema de vida fundado en el constante mejoramiento economico, social y cultural del pueblo de mexicoa",449,65,132,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
42,"constituye un objetivo nacional permanente del que derivan las aspiraciones y los objetivos nacionales de caracter estrategico. 3. la politica de seguridad nacional es una funcion de indole superior que dirige, integra y coordina las acciones de las autoridades e instituciones que estan vinculadas con los sectores de la seguridad, la defensa y el desarrollo a fin de prever, prevenir, disuadir, contener o",407,63,130,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
43,"desactivar aquellas vulnerabilidades, riesgos y amenazas que pueden comprometer nuestro proyecto de nacion. las tres consideraciones anteriores confirman que los propositos de la politica de seguridad nacional del estado mexicano son definidos por acciones tendientes a fortalecer, preservar, mantener y defender los intereses y objetivos nacionales, para consolidar nuestro proyecto de nacion.",394,52,122,2,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
44,"# # c. alineacion de los objetivos especifcos del programa al pnd 2013 - 2018 en cumplimiento de lo dispuesto por la guia tecnica para la elaboracion de los programas derivados del * plan nacional de * desarrollo 2013 - 2018, el programa para la seguridad nacional considera seis objetivos especificos que corresponden a las estrategias derivadas del objetivo 1. 2. ( garantizar la seguridad nacional ) de la",408,69,130,3,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
45,"primera meta nacional ( mexico en paz ) del plan nacional de desarrollo 2013 - 2018. sin embargo, es necesario apuntar que dichos objetivos especificos fueron agrupados bajo dos grandes objetivos estrategicos : · consolidar el sistema de seguridad nacional mediante el desarrollo y articulacion permanente de los sistemas y procesos de los que dispone el estado mexicano para asegurar la atencion integral de las vulnerabil",423,66,130,3,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
46,"##idades, los riesgos y las amenazas a la seguridad nacional. am dof - de la · asegurar que la politica de seguridad nacional del estado mexicano adopte una perspectiva multidimensional mediante la coordinacion de las autoridades e instituciones competentes, para favorecer la consecucion de los objetivos e intereses nacionales. la definicion de estos objetivos derivo del ejercicio de evaluacion y diagnostico del entorno",423,63,132,3,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
47,"estrategico nacional, el cual fue realizado durante los meses de octubre y noviembre de 2013 por medio de una serie de mesas tematicas que contaron con la presencia de especialistas y funcionarios vinculados con la comunidad de seguridad y defensa del pais. los distintos objetivos especificos del programa fueron agrupados para permitir el cumplimiento de los dos objetivos estrategicos identificados al",404,61,130,3,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
48,termino de dicho ejercicio. a continuacion se presenta una tabla que define el modo en el que los distintos objetivos especificos del programa fueron alineados a lo dispuesto en el plan nacional de desarrollo 2013 - 2018. | alineados a lo dispuesto en el plan nacional de desarrollo 2013 - 2018. meta nacional objetivo de la meta estrategias del objetivo de la | objetivos | especificos | del | | | |,400,72,130,3,mexico_2014_NationalSecurityProgram_noneng.md,2025-01-28 18:56:56
