chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,proiect al strategiei securitatii nationale a republicii moldova,64,8,19,0,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
2,"# # chisinau - 2023 cuprins | viziunea presedintelui republicii moldova | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | aspiratii. | | provocarile : evaluare, implicatii si imperative | | de la viziune la realitate. | | capitolul i. | | introducere",324,96,130,1,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
3,"| | capitolul ii. | | interese si principii de securitate | | capitolul iii | | mediul de securitate | | capitolul iv. | | amenintari, riscuri si vulnerabilitati de securitate. | | capitolul v | | metode si directii de actiune pe domenii de securitate. | | capitolul vi | | dispozitii finale |",293,56,102,1,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
4,"# viziunea presedintelui republicii moldova viziunea presedintelui republicii moldova asupra domeniului de securitate subliniaza angajamentul national pentru o tara europeana democratica si prospera, in care oamenii traiesc in siguranta si pace. elementul fundamental al viziunii este transformarea republicii moldova intr - o economie performanta, protejata de un sector de securitate modern, sustinuta de institutii guvernamentale puternice si de un",451,59,130,2,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
5,"serviciu public adus la standarde inalte de responsabilitate, integritate incoruptibilitate si eficienta. in implementarea viziunii, vom lucra impreuna cu aliatii si cu partenerii de dezvoltare ai tarii, pentru a construi un stat prosper in care cetatenii nostri se simt liberi si in siguranta. in vederea realizarii viziunii : vom fi intransigenti in afirmarea valorilo",370,54,130,2,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
6,"##r democratiei reprezentative, construite pe baza egalitatii si libertatii, a respectarii demnitatii umane si a statului de drept. vom promova o societate civila vibranta si pe deplin implicata, si vom stimula un parteneriat strans intre institutiile statului, sectorul privat si diaspora din afara tarii. vom urmari neobosit pregatirea pentru aderarea la uniunea europeana la oriz",382,55,132,2,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
7,"##ontul anului 2030, indeplinind in mod pro - activ toate pre - conditiile necesare. vom dezvolta un sector profesionist de aparare si securitate nationala, modern si finantat in mod adecvat, capabil sa asigure nevoile nationale largi de securitate.",249,38,88,2,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
8,"# # aspiratii republica moldova isi vede viitorul ca : [UNK] un stat consolidat, sigur, prosper, democratic, in care toti cetatenii isi pot realiza in mod liber intregul potential. [UNK] un stat care asigura nevoile de baza ale cetatenilor sai. [UNK] un stat care exercita controlul deplin asupra teritoriului sau recunoscut international. [UNK] un stat membru al uniunii europene care contribuie, pe masura resurse",415,64,130,3,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
9,"##lor disponibile, la dezvoltarea si sustenabilitatea proiectului european. [UNK] un stat ce protejeaza mediul inconjurator si contribuie la conservarea naturii pentru generatiile viitoare.",189,23,70,3,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
10,"# # provocarile : evaluare, implicatii si imperative europa trece prin transformari politice, economice si de securitate profunde, care vor defini pentru deceniile urmatoare atat viitorul continentului, cat si cel al republicii moldova. doar printr - un efort comun si continuu al institutiilor de stat, al societatii civile, al sectorului privat si al tuturor cetatenilor, de acasa si din diaspora, poate fi",408,62,130,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
11,"asigurata securitatea durabila, pacea si prosperitatea in republica moldova. aceste deziderate nationale se afirma si sunt implementate in cel mai periculos, de la obtinerea independentei incoace, mediu regional de securitate. continentul european este zguduit de cea mai mare conflagratie militara din ultimii 75 de ani. prin agresiunea totala impotriva ucrainei, federatia rusa urmareste distrugerea",401,54,130,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
12,"statalitatii si a natiunii ucrainene, iar in consecinta - extinderea posesiunilor sale teritoriale. insa ambitiile moscovei nu se limiteaza doar la ucraina. politica agresiva a federatiei ruse are puternice valente regionale. astfel, actiunile sale ostile fac din consolidarea accelerata a capacitatilor din sectorul de aparare si securitate nationala un imperativ strategic urgent pentru",388,53,130,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
13,"republica moldova. republica moldova a resimtit din plin efectele invaziei neprovocate a federatiei ruse in ucraina. am avut si avem in continuare un flux fara precedent de refugiati. rutele noastre traditionale de transport de marfuri au fost afectate in mod semnificativ. la acestea s - au adaugat actiunile deliberate ale federatiei ruse de a slabi republica moldova, pentru ca ulterior sa preia controlul",408,63,130,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
14,"politic si economic asupra tarii. federatia rusa a cautat sa - si croiasca un coridor militar terestru de acces catre republic moldova. a recurs la santaj energetic, reducand substantial livrarile de gaze catre tara noastra, cu scopul de a pune presiune pe guvern si pe intreaga societate. a intreprins actiuni de destabilizare a tarii prin intermediul atacurilor cibernetice si al campaniilor de de",399,63,130,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
15,"##zinformare, precum si prin actiuni de perturbare a ordinii publice. la fel, federatia rusa s - a implicat in procesele electorale din republica moldova, pentru a influenta sau a vicia rezultatul acestora. in realizarea acestor actiuni ostile federatia rusa a beneficiat, deseori, de sustinerea si contributia interpusilor locali - politicieni corupti, oligarhi fu",365,53,133,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
16,"##gari si reprezentanti ai lumii criminale. republica moldova a rezistat in fata acestor provocari si va rezista in continuare. un timp prea indelungat, noi am tolerat o serie de vulnerabilitati pe care federatia rusa le - a exploatat impotriva noastra : finantarea ilegala a partidelor, ( quasi ) monopolurile in economie si pe piata media, coruptia in sistemul de justiti",373,60,132,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
17,"##e, infrastructura de transport limitata, conectarea insuficienta la piata europeana de electricitate, dependenta semnificativa a sectorului agricol de piata rusa, lipsa politicii coerente fata de minoritatile nationale, slabiciunea institutiilor publice. este evident ca federatia rusa nu va renunta curand la actiunile ostile la adresa republicii moldova. prin urmare, trebuie sa invatam sa traim in conditiile un",416,56,132,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
18,"##ui razboi hibrid de intensitate inalta, purtat de federatia rusa pe o perioada lunga de timp. republica moldova trebuie sa dezvolte si sa - si intareasca in mod constant imunitatea fata de amenintarile de securitate de tip hibrid. de rand cu provocarile regionale si nationale, republica moldova trebuie sa ramana vigilenta la un numar mare de riscuri globale, cum ar fi schimbarile climatice, pan",399,64,132,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
19,"##demiile si dezastrele naturale si cele provocate de om. schimbarile climatice sporesc numarul de evenimente meteorologice extreme, care vor afecta economia si cetatenii nostri prin perturbarea productiei agricole, periclitarea securitatii alimentare si a conditiilor de viata, si care vor influenta sistemul de ocrotire a sanatatii. intelegerea si pregatirea pentru aceste provocar",383,51,131,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
20,"##i trebuie inclusa in strategia de securitate nationala, pentru a imbunatati rezilienta noastra. totodata, unul dintre imperativele noastre strategice cele mai critice consta in combaterea coruptiei si punerea in aplicare a legii. succesul in acest efort este esential pentru a recastiga increderea societatii si pentru a crea institutii guvernamentale puternice.",364,50,124,4,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
21,"# # de la viziune la realitate un sector puternic de aparare si de securitate nationala este esential pentru a asigura cresterea economica si a proteja economia nationala. fara capacitati solide de aparare si securitate, nu putem garanta dezvoltarea economiei, furnizarea de servicii publice si protectia infrastructurii critice, nu putem atrage si mentine in tara investitorii straini sau readuce ac",400,60,130,5,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
22,"##asa cetatenii nostri din diaspora. avem nevoie de pace si de securitate pentru a putea planifica, construi, investi si culege roadele muncii noastre. securitatea trebuie sa fie recunoscuta ca o investitie necesara care aduce beneficii pentru toti. agresiunea federatiei rusiei impotriva ucrainei evidentiaza nevoia esentiala de a creste investitiile in sectorul national de apara",381,54,132,5,moldova_2023_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:02
