chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * national security concept of mongolia * * * * chapter one general provisions * * * * 1. 1 national security * * i. 1. 1. mongolia ’ s national security shall mean ensuring favorable external and internal conditions for securing and protecting the genuine national interests of mongolia. i. 1. 2. mongolia ’ s genuine national interests shall incorporate the very existence of the mongolian people and its civilization, independence, sovereignty, territorial integrity and inviolability of its borders, national unity, constitutional establishment, security, economic independence and sustainable ecological development. i. 1. 3. the prime purpose of ensuring national security shall be safeguarding",702,105,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
2,"and guaranteeing national independence, sovereignty and unity. i. 1. 4. parliamentary governance built on respect for human rights and freedoms, the rule of law as well as a democratic state structure built on social stability shall be the preeminent guarantee for the assurance of national security. i. 1. 5. mongolia ’ s national security shall be attained when the interrelationship between state, society and civilian security is assured. i. 1. 6. protection and preservation of national history, language, culture, heritage, customs and traditions shall serve as fundamental and vital requisites for the existence and vitality of the mongolian identity and",661,100,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
3,"nationality. - - - - - * * i. 2. principles of ensuring national security * * i. 2. 1. respect for a national sense of patriotism mongolia ’ s national security shall depend upon active actions of each mongolian citizen as creator, defender and holder of national values. 1. 2. 2 interaction between state and citizen the prime responsibility of the state shall be to ensure national security. the state shall provide its citizens with wide - ranging information and knowledge on security issues as well as possibilities for cooperation and contribution towards the protection and enhancement of national security. 1. 2. 3. integrated security strategy national security shall be assured",687,112,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
4,"through the interrelationship among the “ security of the existence of mongolia ”, “ economic security ”, “ internal security ”, “ human security ”, “ environment security ” and “ information security ”. 1. 2. 4. knowledge based approach the approach to security and action - making shall be based on knowledge, information and analysis. 1. 2. 5. realistic approach - - - - - potential threats and challenges shall be realistically identified and remedies and resources shall be efficiently found. 1. 2. 6. globalization impact while world globalization increases the vulnerability and dependency of a state upon others ; it offers opportunities for",649,105,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
5,"safeguarding national interests through use of external ways and means. * * chapter two mongolia ’ s security environment : * * * * challenges and risks * * * * chapter three national security components * * * * and compliance * * * * 3. 1. security of existence * * assurance of mongolia ’ s independence, sovereignty, inviolability of borders, territorial integrity, security of mongolian civilization, population and genetic uniqueness shall constitute a - - - - - foundation for the security of its existence. * * 3. 1. 1 independence and sovereignty * * 3. 1. 1. 1. commitment to a unified foreign policy",609,108,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
6,and supremacy of national interests in foreign affairs shall be consistently maintained. 3. 1. 1. 2. the basic methods for ensuring mongolia ’ s independence and sovereignty shall be political and diplomatic actions. accordingly a multi - pillared foreign policy directed towards building active relationships and cooperation with foreign states and international institutions shall be implemented. 3. 1. 1. 3 a consistent peacemaking foreign policy coupled with active support for international community efforts aimed at strengthening peace and security shall be implemented. 3. 1. 1. 4 good neighbor friendly relations and wide - ranging cooperation with the russian federation and the people ’ s republic of china shall be developed. more,742,111,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
7,"specifically, national interests and the history of bilateral relationships shall be taken into account while regional peace and stability as well as a general balance of relations with neighbors shall be sought. 3. 1. 1. 5. pursuant to a “ third neighbor ” strategy, bilateral and multilateral cooperation with highly developed democracies in political, economic, cultural and humanitarian affairs shall be undertaken. 3. 1. 1. 6 bilateral relations and multilateral cooperation shall be continuously pursued in security and defense areas with mongolia ' s two neighboring states, the usa, member states of nato, the european union and the asia - pacific region along with active participation in international",711,108,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
8,"peacemaking missions. 3. 1. 1. 7 active cooperation with un security council member - states and international - - - - - organizations shall be made on implementation of un general assembly resolutions on strengthening mongolia ’ s international security. 3. 1. 1. 8 active support shall be given to regional countries ’ policies and efforts towards strengthening strategic stability and establishing security cooperation mechanisms in the asia - pacific region and east asia, including north - east asia. 3. 1. 2 inviolability of borders and territorial integrity 3. 1. 2. 1. with a view to ensuring territorial security, mongolia ’ s land administration policy and land",671,107,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
9,"management system shall be improved. 3. 1. 2. 2. an integrated defense and armed forces system based upon local defense shall be put in place while strengthening armed forces ’ professionalism and capacity - building. increased citizen participation in the border protection strategy shall be encouraged. 3. 1. 2. 3. an early - warning and rapid - deployment system shall be put into operation to prevent mass refugee border - crossings or related emergency situations while a set of legal, political and diplomatic actions shall be undertaken. 3. 1. 2. 4. structural, technical and technological renovation shall be made on border protection, surveillance and a rapid deployment information",691,108,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
10,"network established. 3. 1. 2. 5. border area regional economies shall be developed in accordance with unified national interests, mongolia ’ s sovereignty, inviolability of borders and territorial integrity. 3. 1. 2. 6. the supreme state authority shall make decisions on opening or closing border checkpoints or making modifications to the border checkpoint regime. - - - - - 3. 1. 2. 7. border area development strategy and its foreign connections shall be defined and regulated by unified state policy. * * 3. 1. 3. security of population and genetic identity * * 3. 1. 3. 1. mongolia ’",589,99,130,0,mongolia_2010_NationalSecurityConcept.md,2025-01-28 18:56:10
