chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) 2016 оны 09 [UNK] сарын 01 - нии [UNK] улаанбаатар хот # монгол улсын батлан хамгаалах тухаи ( шинэчилсэн наируулга ) [UNK] [UNK] ниитлэг * * [UNK] * *,199,46,117,0,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
2,"# # 1 [UNK] [UNK]. хуулиин зорилт 1. 1. энэ хуулиин зорилт нь монгол улсын батлан хамгаалах тогтолцоо, [UNK] ажиллагааг тодорхоилж, [UNK] баигууллага, засаг захиргаа, нутаг",172,26,130,1,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
3,"дэвсгэриин нэгжиин удирдлага, аж ахуин нэгж, баигууллага, иргэнии эрх, [UNK] холбогдсон харилцааг зохицуулахад оршино.",118,14,100,1,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
4,"# # 2 дугаар [UNK]. батлан хамгаалах тухаи хууль тогтоомж 2. 1. батлан хамгаалах тухаи хууль тогтоомж нь монгол улсын [UNK] хууль, энэ хууль болон эдгээр хуультаи [UNK] г",170,29,130,2,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
5,##аргасан хууль тогтоомжиин бусад актаас [UNK]. 2. 2. монгол улсын олон улсын гэрээнд энэ хуульд зааснаас [UNK] заасан бол олон улсын гэрээнии заалтыг дагаж [UNK].,163,25,124,2,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
6,"# # 3 дугаар [UNK]. хуулиин нэр томьеоны тодорхоилолт 3. 1. энэ хуульд хэрэглэсэн дараахь нэр томьеог доор дурдсан утгаар оилгоно : 3. 1. 1. "" батлан хамгаалах "" гэ",164,30,130,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
7,"##ж монгол улсын тусгаар тогтнол, [UNK] эрхт баидал, нутаг дэвсгэриин [UNK] [UNK] баидлыг гадны зэвсэгт халдлага, [UNK] хамгаалахад улсын бэлэн баидлыг хангах, хамгаалах з",171,24,132,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
8,"##орилго [UNK] улс [UNK], эдиин засаг, ниигэм, эрх [UNK], мэдээллиин болон цэргиин нэгдмэл арга хэмжээг ; 3. 1. 2. "" батлан хамгаалах чадавх "" гэж улсын эдиин засаг, [UNK] амын [UNK] мэнд",187,32,132,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
9,", боловсрол, [UNK] цэргиин баигуулал, мэдээллиин болон улс [UNK] - дипломатын чадавхын нэгдлииг ; 3. 1. 3. "" батлан хамгаалах тогтолцоо "" гэж батлан хамгаалах [UNK] ажиллаг",172,27,130,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
10,"##ааг [UNK] зорилго [UNK] улс [UNK], эдиин засаг, ниигэм, эрх [UNK], цэргиин арга хэмжээ, тэдгээрииг [UNK] удирдлага, зохион баигуулалтын цогцыг ; 3. 1. 4. "" батлан хамгаалах бодлого",182,28,132,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
