chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"strategic * * defence * *! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) review of montenegro july * 2013 * montenegro! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png )! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) ministry of defence strategic defence review of montenegro podgorica, july 2013 it is our pleasure to have the chance to present to you the! [ 2",404,104,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
2,"_ image _ 0. png ] ( 2 _ image _ 0. png ) new strategic defence review, which defines the modalities and pace of reforms in our defence system and identifies directions for further development of the ministry of defence and the armed forces of montenegro. this document reflects the vision of the goals and values we aspire to, which need to be enacted and developed within the framework of structuring the defence sector, in order to be able to adequately respond to the ever more complex and demanding modern security and defence challenges and meet the expectations of the citizens of montenegro, as well as our international partners and future allies.",656,113,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
3,"given the dynamics of contemporary processes that strongly affect our security environment, the strategic defence review presents an important document for all those who are participating in the process of developing the ministry of defence and the armed forces of montenegro, as well as the citizens and the economy of montenegro. the ever more changing security environment requires that we clearly define our goals and priorities. only with this approach to defence reform will the efforts being made be visible and purposeful. flexibility must be allowed in the work of the members of the ministry of defence and the armed forces of montenegro, in line with the new global trends, security challenges of the 21st century and the need to",740,120,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
4,"manage the risks associated with modern lifestyle. modern security threats call for a new approach to build our capacities and enhance our capabilities. therefore, a new approach to governance and management in the field of defence and security is needed. in the spirit of libertarian montenegrin tradition we have to find the smartest way to make the life of every citizen and well - meaning guest safe, because only a safe citizen can contribute to the overall security of the state and the broader international community. despite the fact that significant and measurable progress has been made in the development of the defence capabilities in the previous period, it is clear that this process is conditioned by constant technological",739,119,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
5,"developments, changes in the security environment on a global scale and the economic strength of the state. that is why we have recognized this moment as the moment when it is necessary to react and prepare a document that would be a realistic platform for further development and progress in this sector. expecting that the processes of european and euro - atlantic integrations of montenegro will be more dynamic and demanding in the future, we have decided to draft the new strategic defence review with the aim of resolutely directing our defence sector towards the system of collective security, supported by close and sincere cooperation with our partners, who are providing immense contribution in all the stages of",722,118,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
6,"our journey towards achieving the strategic objectives proclaimed. we believe that the efforts we invest will be recognized as such through our full nato and eu membership. the ministry of defence and the armed forces of montenegro have been recognized as a reliable partner in montenegro and also in the wider international community. this strategic document has been created with the aim to be the best possible way to prepare the defence sector for the challenges that lie ahead, by defining the level of the existing capacities as well as ways for their improvement and development. proud of our past and the right decisions which many generations made before us, i am convinced that we will find the proper way to respond",726,122,130,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
7,"to contemporary challenges and threats to security and continue to contribute to the progress of montenegro, with readiness to participate in international missions, as far as our capacities allow to do so, in the areas where our knowledge, experience and commitment can contribute to peace in the world.! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png )",398,80,97,0,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
8,# contents | 1. | introduction. | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,271,126,130,1,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
9,"- - - - - - - - - - | | 2. | strategic environment | | 2. 1. | security environment. | | 2. 2. | defence interests and goals of montenegro | | 2. 3. | challenges, risks and threats | | 3. | critical resources. | | 3. 1. | defence costs | | 3. 2. | weapons and equipment | | 3. 3. | infrastructure. | | 3. 4. | human resources | | 4. | national challenges | | 4. 1. | defence of the national sovereignty | | 4. 1. 1. | montenegro ' s",432,102,130,1,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
10,"sovereignty on land. | | 4. 1. 2. | sovereignty over the airspace of montenegro | | 4. 1. 3. | sovereignty of montenegro at sea. | | 4. 1. 4. | mobility, movement and transportation | | ministry of defence | | | 4. 2. | | | 4. 3. | material resources | | 4. 3. 1. | logistical support. | | 4. 3. 2. | solving the problem of surplus military equipment and infrastructure.............. 18 | | [UNK]. | redefining defence missions and tasks |",439,88,130,1,montenegro_2013_StrategicDefenceReview.md,2025-01-28 18:58:02
