chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# strategy of national! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) security of montenegro with the action plan! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) strategy of national security of montenegro with the action plan,225,53,65,0,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
2,"# # podgorica, december 2018 4 strategy of national security of montenegro with action plan",91,15,20,1,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
3,"# # respected citizents,! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) it has been 13 years since the referendum in 2006, which was organized in cooperation with the eu, when montenegro restored its statehood in a peaceful, democratic way, following highest european standards, untypical of the balkans. today, montenegro isa sovereign, internationally recognized country, achieving national interests through its policies, strategies and activities, while strengthening the international unison, as well as national and cultural identity in all aspects of social life. montenegro inherited a thousand years old liberal state tradition, while historically, culturally and ethnically",683,104,130,2,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
4,"belonging to european civilization, firmly rooted in antifascism as the fundamental value of its modern statehood. in the meantime, we have achieved one of the strategic goals of our foreign policy. montenegro has become a full member of the nato alliance, the most successful global defense and security alliance. extraordinary progress has been made in the eu negotiation process. weare resolutely pursuing reforms in order to prepare the country to be the next member state of the eu. as conditions arise. montenegro is ultimately committed to the policy of good neighborly relations, which is why it has been recognized by international partners as an important factor of regional stability.",695,109,130,2,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
5,"our country respects traditional friendships, but driven by national and state interests. it is focused on new partnerships through the sharing of common ideas and values. the preconditions of all our successes are the building of an internal security system and resilience to external destabilizing influences, the democratization of the society, and the promotion of a policy of peace and stability. the new national security strategy of montenegro is based precisely on such premises, as it recognizes challenges our society faced and still faces, the current processes on the global level, as well as our status and commitments arising from the nato membership. the national security strategy stems from",707,109,130,2,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
6,"the sovereignty, territorial integrity and ir, dependence of montenegro routed in the rule of law, respect for human and minority rights, environmental protection, democracy and economic prosperity. the national security strategy endorses montenegro ' s readiness to preserve its own statehood tradition, affirm and achieve good neighborly cooperation and contribute to the improvement of regional, european and euro - atlantic security. the readiness to further strengthen montenegro ' s reputation in international relations as well as to protect and strengthen ties with numerous montenegrin diaspora is also outlined. through the identification of threats, challenges and risks, the national security strategy calls for the awareness raising to respond to them nationwide, but",780,111,130,2,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
7,"also in cooperation with other states and international organizations, primarily na to allies, whose security is inextricably linked with ours, based on the washington treaty. as the highest strategic document, the strategy represents a reference point for the preparation of documents in all other spheres, as well as a foundation for the functioning of public authorities and individuals so to ensure the safety of the society, the state and the citizens. in achieving national interests, all available resources and means shall be used, implyirig that all elements of national security must be focused towards coordinated, efficient, reliable and proactive action and responsibility president of montenegro milo djukanovic",725,107,130,2,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
8,# contents introduction............................................................................................................. 7 basic commitments of national security policy.........,189,10,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
9,............................. 10 2 national security interests and objectives of montenegro............... 11 3 elements of national security policy........................................................ 13 4 security environment........,238,21,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
10,............................................................................... 14 4. 1. strategic context ( global environment )......................................,167,10,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
11,"............ 14 4. 2. regional context ( regional environment )................................................. 14 5 security challenges, risks and threats................................................",204,17,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
12,".... 15 6 montenegro and security challenges, risks and threats.................... 18 6. 1. montenegro · s responses to security challenges. risks and threats..............................................................................",237,23,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
13,............................................... 18 | 7 | national security system of montenegro | 22 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - -,240,82,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
14,- - - - - - - - - - - - - - - - - - - | - - - - - - | | 71. structure of national security system |... 22 | | | 7. 2. structure of national security | 24 | | | 7. 3. crisis management | 24 | | | 7. 4. resources | 25 | | 8 conclusion..................................................,282,68,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
15,....................................................... 26 guidelines for implementation of the strategy.......................................... 27 transitional and final provisions...................,202,13,130,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
16,................................................. 28,52,2,52,3,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
17,"# introduction strategy of national security of montenegro ( hereinafter : the strategy ) is the most important strategic document that determines the security policy of montenegro and defines mechanisms and instruments for the realization and protection of national security interests. the strategy represents the starting point for the development of all other strategic documents and plans in the field of security policy. this document represents the revision of the 2008 strategy and reflects the need to redefine montenegro ' s security responses in the light of constant and profound changes in the modern security environment, as well as the fact that montenegro by joining the nato on 5 june 2017 achieved one of the two key foreign policy goals",754,120,130,4,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
18,"and has become an integral part of the collective security system. the strategy aims to establish a systemic framework for achieving the security interests of montenegro and it sets out key guidelines for defining national security policies. the preconditions for the development of the strategy are to identify the principles and basic tendencies of the national security policy, to define national security interests and objectives and determine the course of action of all entities in order to provide adequate responses to the current security challenges, risks and threats. the strategy is proactive. it aims to anticipate challenges, risks and threats in a timely manner and analyse them, define them in advance, create",725,112,130,4,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
19,"conditions for the unity of actions of all relevant entities, ensure efficient and sustainable use of all resources, the necessary resilience and the ability to recover all elements of the security system. the strategy is an expression of commitment and consensus of all elements of the system to ensure that montenegro ' s security is treated in a unified and comprehensive manner, and in full synergy of the overall elements of the system. the strategy must be sustainable, long - term and subject to change in order to improve the national security system.",559,93,105,4,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
20,"# 1 basic commitments of national security policy montenegro ' s security policy is based on the principle of inviolability of security. the safety of citizens and the state of montenegro is directly dependent on security in the region, europe and beyond. it is designed and developed within national boundaries, as well as outside of them. a clear separation line between external and internal security no longer exists. montenegro recognized in a timely manner that the best way to guarantee the long - term and sustainable security, sovereignty and territorial integrity of the state is precisely the approach to the collective and cooperative security and defence system that the na to membership brings. the membership significantly improved",746,117,130,5,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
21,"the international position of montenegro and facilitated the fulfilment of the other key foreign policy goal - accession to the european union. therefore. active participation in the collective security system, activities, missions and operations of nato is a key precondition for the protection of montenegro from armed threats and other recognized threats to national security. also, strengthening of the transatlantic cooperation. cooperation with partner countries and joining the european union will further improve the security climate in the region and strengthen the capacities of montenegro to respond to current challenges, risks and threats. during the drafting of this strategy, nato ' s key strategic documents were considered in detail and their principles were",775,113,130,5,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
22,"incorporated to the extent possible. furthermore, the obligations that montenegro has as a nato member. in the process of accession negotiations to join the european union and the need to align our policy with the common foreign and security policy of the eu, were taken into account.",284,47,54,5,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
23,"# 2 national security interests and! [ 11 _ image _ 0. png ] ( 11 _ image _ 0. png ) objectives of montenegro national security interests of montenegro derive from the fundamental values defined by the constitution of montenegro and reflect the most important needs of citizens and the state. the strategy categorizes these interests into three categories : vital, strategic and other important interests. the vital interests of montenegro are the protection of the sovereignty, territorial integrity and independence of montenegro, internal stability, protection of the life and property of citizens and economic goods, protection of democracy, legal state and the rule of law and the guarantee and protection",710,112,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
24,"of human rights and freedoms. defence and protection of vital interests of montenegro is the basic duty and obligation of all pillars of authority and implies the use of all legitimate means and available resources ( capacities ) in accordance with the constitution and international law. * * strategic * * interests of montenegro are : development of an effective and sustainable national security system, prevention and suppression of threats and challenges that can affect the security of montenegro and its allies, strengthening resilience, civilian readiness and crisis management capabilities, stable and long - term economic development continuous improvement of the cyber defence system, safety and security, strengthening the capacity to counter intelligence and hybrid actions of other",795,118,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
25,"states, terrorism and other forms of organized violence, organized crime and corruption, and threats to economic interests, protection of tradition, culture, language, national identity and customs, strengthening and developing links with the diaspora and providing support in preserving the montenegrin tradition, culture, language, national identity and customs, protection of natural and all other resources and potentials of montenegro ', integration into the european union, strengthening cohesion and efficiency within nato, promoting the policy of good neighbourly relations and cooperation at the regional and global level, capacity development for part1cipation in nato missions, operations and other activities, as well as for support and assistance",759,103,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
26,"to allies in case of need, in accordance with obligations arising from nato membership, contribution to international stability through active participation in eu missions and international peace missions and un operations. accomplishment of strategic interests of montenegro contributes to the protection of vital interests, social development and overall prosperity. promoting other important interests of montenegro contributes to the protection of vital and strategic interests and strengthens the society ' s resilience to security challenges, risks and threats. other important interests of montenegro lnclude : strengthening system institutions, autonomy, independence and efficiency of the judiciary. access to justice and public confidence in the judiciary, strengthening institutional capacities for strengthening integrity, combat",841,110,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
27,"##ing money laundering, financing terrorism and corruption, in accordance with the law on state property protection of critical infrastructures by fostering cooperation between state institutions, civil and private sectors, in order to strengthen civilian readiness to respond to security challenges, risks and threats, protection of the sea and submarine, hydro, solar and aero energy potential, strengthening institutional capacities for managing emergencies caused by natural, technical, biological, chemical, nuclear, radiological and other disasters, strengthening the transparency of the defence and security sectors, and civilian control of the armed forces, preservation and protection of nature, biodiversity, healthy environment and promotion of ecological montenegro and sustainable development. ensuring",815,105,132,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
28,"the protection of information resources of state administration and security and defence systems from unauthorized access or modification of information in the storage, processing or transfer, including measures of prevention, detection, documentation, reactions and elimination of consequences, improving the living standard of citizens by offering better quality public services through efficient education, healthcare, social security and electronic information services of the information society, developing tolerance in society and combating any form of discrimination and extremism in its roots, including the prevention of radicalization, de - radicalization and reintegration of foreign terrorist fighters ( ftf ), strengthening the role of the academic community, the civil sector and the",798,107,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
29,"media, encouraging the research, development and use of new technologies. the fulfilment of national security interests improves the safety of citizens, society and the state, strengthens national security institutions and creates conditions for preventive action and an appropriate response to security challenges, risks and threats, which are the basic national security goals. the achievement of national security objectives is facilitated by the implementation of national security policy and the definition of concrete responses to security challenges, risks and threats. protection of critical infrastructures by fostering cooperation between state institutions, civil and private sectors, in order to strengthen civilian readiness to respond to security challenges, risks and threats,",791,107,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
30,"protection of the sea and submarine. hydro, solar and aero energy potential, strengthening institutional capacities for managing emergencies caused by natural, technical, biological, chemical, nuclear, radiological and other disasters, strengthening the transparency of the defence and security sectors, and civilian control of the armed forces, preservation and protection of nature, biodiversity, healthy environment and promotion of ecological montenegro and sustainable development. ensuring the protection of information resources of state administration and security and defence systems from unauthorized access or modification of information in the storage, processing or transfer, including measures of prevention, detection. documentation, reactions and elimination of consequences, improving the living standard of citizens by offering",845,107,130,6,montenegro_2018_NationalSecurityStrategy.md,2025-01-28 18:57:54
