chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,1 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,130,23,27,0,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
2,"# national security policy, 2016",32,5,8,1,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
3,"# # part - 1 introduction 1. 1 background protection and promotion of national unity, social and cultural solidarity, tolerance and good faith is necessary in the context of multi - ethnic, multi cultural, multi - lingual, multi - religious features and geographical diversity of nepal. the constitution of nepal internalizes the people ' s sovereign power and right to autonomy and self - rule while maintaining the freedom, sovereignty, territorial integrity, national unity, independence and dignity of nepal intact. the constitution of nepal solemnly pledges for building up of an equity - oriented society founded on the basis of principles of proportional inclusion and participation in order to ensure economic equality,",727,112,130,2,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
4,"prosperity and social justice having eliminated all types of discrimination including class - based, ethnic, regional, linguistic, and religious discrimination and practices of untouchability. the constitution of nepal internalizes commitment to socialism based on democratic norms and values including the people ' s competitive multiparty democratic system of governance ; civil liberties ; fundamental rights ; human rights ; adult franchise ; periodic elections ; full freedom of the press ; an independent, impartial and competent judiciary ; concept of the rule of law ; and directs towards the building of a prosperous nation. moreover, the constitution directs towards achieving sustainable peace, good governance, 2 this english version of national security",766,111,130,2,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
5,policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,86,16,20,2,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
6,"# # development and prosperity through the federal, democratic, republican system of governance. this national security policy has been formulated being directed by these aims and objectives. 1. 2 meaning of security and national security policy 1. 2. 1 being a multi - dimensional subject, security includes sovereignty, national integrity, physical, social, economic, cultural and humanitarian aspects of a nation. security policy also includes security and protection of public and private norms and values, national respect and dignity, lives and property and socio - cultural norms and values. it also includes aspects of environment, good governance, development and human rights. paramount national interests of a nation are safeguard",741,108,130,3,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
7,"##ed through the implementation of the security policy by minimizing the problems and risks to be emerged in these sectors. this includes the aspects and dimensions of security priority and measures including military security. 1. 2. 2 national security means complete safeguarding of a country in geographical, social, economical and political perspectives. each country has identified the matters of its national aspirations and of vital national interests based on its fundamental norms and values. such matters of national aspirations and vital national interests must be protected from external intervention and internal pressures and challenges, and they must be promoted and further enhanced. in this way, national security policy is an integrated framework of overall",775,114,132,3,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
8,structure and implementation of security to be made available by the state for the nation and citizens. 1. 2. 3 the national security policy has close link with the present and future. it addresses national interests and concerns and guides to a direction having 3 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,393,67,75,3,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
9,"# # taken into account the existing and potential threats and opportunities. since the national security policy is the main policy of the state on security of the state, it directs defense policy and internal security policy. 1. 2. 4 there has occurred sea change in traditional forms of tensions between / among nations and ethnic, linguistic, regional and religious conflicts have been emerging in various parts of the world. in so many places, those conflicts have taken the form of extremism and separatism and innocent persons have been losing life and refugee problems have been emerging. there is a rise in organized international crimes and misuse of modern technology. moreover,",687,111,130,4,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
10,"climate change and natural disasters have posed threats to ecological equilibrium. the problems such as massive and unmanaged exploitation of natural resources, uncontrolled growth of population, spread of endemic diseases, food insecurity, and lack of drinking water are on the rise. there have emerged problems in supply side due to international, regional and local conflicts and instability. inequality has been created due to increasing dominance of limited persons and nations over resources thereby conflicts are emerging. in this context where international security environment is getting complicated and challenging, it is inevitable to have stronger national security. functions relating to national security have to be carried out through the defense policy",769,110,130,4,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
11,", foreign policy, economic policy, internal security and public information policy having timely analysis of internal and external circumstances. the national security policy is necessary in order to achieve to have proper adjustment of means and resources such as political, economic, diplomatic, security and information and to achieve the goal of national security. 4 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",499,76,87,4,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
12,"# # 1. 3 need of national security policy 1. 3. 1 to create an atmosphere of appropriate utilization of national means and resources having maintained the country ' s freedom, sovereignty, territorial integrity, national unity, independence, dignity and social cohesion intact ; 1. 3. 2 to establish confidence that the state responds to all types of threats and risks ; 1. 3. 3 to enhance effectiveness of security sector by strengthening and making the security mechanism and structures capable and well - equipped with modern technology and instruments and with active involvement and contribution of all working in this sector ; 1. 3. 4 to direct the implementation of the policies adopted",693,113,130,5,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
13,"by the state ; 1. 3. 5 to develop an internal understanding among all classes, regions, communities and sectors of the country ; 1. 3. 6 to promote regional and international credibility and cooperation for national security and world peace ; 1. 3. 7 to promote a sense of co - existence, tolerance and good will among all cultural, religious, linguistic, and geographical communities ; 1. 3. 8 to enhance national security capacity having used rapid development of technology and communication ; 1. 3. 9 to operate the state security system in consistent, coordinative and planned manner in order to prevent and defeat potential security threats ; 1",650,108,130,5,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
14,. 3. 10to create an atmosphere in which national security mechanism may be mobilized both in time of peace and conflict and to create a circumstance in which support of all could be garnered ; and 5 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,327,59,65,5,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
15,"# # 1. 3. 11 to achieve national objectives and aims by protecting and promoting national interests having addressed the changed international, regional and national security atmosphere, geo - political situation and security threats and potentialities. 1. 4 limitations and balance of national security policy 1. 4. 1 limitations 1. 4. 1. 1 geographical location of the country and structure of the population with multi - ethnic, multi - linguistic, multi - religious and multi - cultural characteristics ; 1. 4. 1. 2 nepal ’ s commitment to international treaties, conventions, declarations, and the national obligations to comply with them ; and 1. 4. 1",657,105,130,6,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
16,. 3 availability of means and resources. 1. 4. 2 balance 1. 4. 2. 1 balance between utilization of natural resources for prosperity of the country and safeguarding of national interests ; 1. 4. 2. 2 balance between openness adopted by the country and confidentiality ; 1. 4. 2. 3 balance between protection of freedoms and the duties to be complied with by citizens ; 1. 4. 2. 4 balance of means and resources necessary for implementation of the national security policy ; 1. 4. 2. 5 balance between public discourse and expert advices ; 1. 4. 2. 6 balance between national integrity,583,103,130,6,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
17,and provincial and local autonomy ; 6 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,166,29,33,6,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
18,"# # 1. 4. 2. 7 coordination and cooperation between national defense and internal security ; and 1. 4. 2. 8 balance of national security mechanism and timely strengthening of it. 1. 5 bases for guiding national security policy 1. 5. 1 safeguarding of nepal ’ s freedom, sovereignty, territorial integrity, national unity, independence, dignity, and protection of rights and interests of nepali people, border security, economic advancement and prosperity ; 1. 5. 2 strengthening of federal democratic republic of nepal ; 1. 5. 3 defense of nepal and nepali peoples ; 1. 5. 4 sustainable peace, political stability and development ;",631,102,130,7,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
19,"1. 5. 5 the following matters envisaged in the directive principles and policies of the state in the constitution of nepal : 1. 5. 5. 1 guarantee of equality, freedom, welfare and just system ; 1. 5. 5. 2 guarantee of proportional inclusive participation of peoples in the system of governance ; 1. 5. 5. 3 provisions of just distribution of social justice, means and resources and services ; 1. 5. 5. 4 development of sustainable and prosperous national economy ( development of self - reliant, independent, progressive and socialism - oriented economy based on the collaboration of public, private and cooperative sectors )",625,104,130,7,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
20,"; 1. 5. 5. 5 attainment of all - round human security, social good - will, tolerance and cohesion ; 7 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",230,43,54,7,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
21,"# # 1. 5. 5. 6 development of national security system and effective and dynamic security management ; 1. 5. 5. 7 making national security agencies capable, strengthened, professional, inclusive and accountable ; 1. 5. 5. 8 building up of citizens ready and capable for service of the nation ; 1. 5. 5. 9 mobilization of the knowledge, skills and experiences of ex servicemen in national interests ; 1. 5. 5. 10 expansion of harmonious and cooperative cooperation between the center and provinces ; 1. 5. 5. 11 utilization of natural resources in national interests ; 1. 5. 5. 12 reduction of",592,102,130,8,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
22,"risks of natural disasters ; 1. 5. 5. 13 population management according to capacity and need of the country ; 1. 5. 5. 14 operation of foreign policy bases on the charter of the united nations, principles of the panchsheel and recognition to non alignment. 1. 5. 6 assurances of rule of law, transparency and accountability ; 1. 5. 7 compliance, protection and promotion of human rights ; 1. 5. 8 promotion of national identity, self - reliance and proud 1. 5. 9 safeguarding and promoting national interests and vital national concerns. 1. 6 matters of national interest, concerns and security",595,101,130,8,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
23,"1. 6. 1 matters of paramount national interests 1. 6. 1. 1 safeguarding of freedom, sovereignty, territorial integrity, national unity, independence, dignity, and guarantee of security of people ; 8 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",327,52,68,8,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
24,"# # 1. 6. 1. 2 protection and promotion of the federal democratic republic ; 1. 6. 1. 3 promotion of national unity, social cohesion and religious tolerance ; 1. 6. 1. 4 protection of national identity and existence ; 1. 6. 1. 5 protection of fundamental human rights and freedoms of peoples ; 1. 6. 1. 6 maintenance of sustainable law and order and political stability ; 1. 6. 1. 7 protection of environment and climate ; 1. 6. 1. 8 protection of natural resources and heritages such as water resources and their utilization in national interest ; 1. 6. 1",556,102,130,9,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
25,. 9 promotion of world peace by contributing to international and regional security ; 1. 6. 1. 10 creation of a formidable position that territory of nepal will in no case be allowed to be used against any friendly country ; 1. 6. 1. 11 protection of rule of law ; 1. 6. 1. 12 operation of the foreign policy based on the principles enshrined in the charter of the united nations and panchsheel. 1. 6. 2 matters of strategic interests and concerns 1. 6. 2. 1 observance of appropriate strategy and working policy for preservation of matters of paramount interests ; 1. 6,570,104,130,9,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
26,". 2. 2 social development, prosperity, good faith, cohesion and building up of tolerant civil society ; 1. 6. 2. 3 enhancement of national capacity ; 1. 6. 2. 4 enhancement in living - standard of citizens ; 1. 6. 2. 5 enhancement of good governance and effectiveness of public administration ; 9 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",425,75,93,9,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
27,# # 1. 6. 2. 6 minimization of economic and social imbalances prevailing at provincial and local levels ; 1. 6. 2. 7 development and use of science and technology ; 1. 6. 2. 8 development of appropriate security system for economic prosperity ; 1. 6. 2. 9 control of organized crimes and illegal emigration ; 1. 6. 2. 10 prevention and minimization of natural disasters and industrial accidents ; 1. 6. 2. 11 prevention and control of illegal activities ; 1. 6. 2. 12 prevention and control of terrorism and disintegration ; 1. 6. 2,532,96,130,10,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
28,". 13 control in use of illicit weapons and explosives ; 1. 6. 2. 14 enhancement of international and regional cooperation. 1. 7 elements influencing national security 1. 7. 1 geographical location and open border ; 1. 7. 2 transformation in state system ; 1. 7. 3 political instability ; 1. 7. 4 religious, geographical and ethnic issues ; 1. 7. 5 levels of economic development and discipline ; 1. 7. 6 matters of immediate, short - term, long - term and permanent types of national interests ; 1. 7. 7 activities and activeness of disintegrative or separatist groups",568,99,130,10,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
29,"; 1. 7. 8 concerns and interests of neighboring and other countries ; 1. 7. 9 matters of internal security at central, regional and local levels ; 1. 7. 10 abuse of science and technology and modern equipments ; 1. 7. 11 matters concerning global, regional and sub - regional security. 10 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",417,74,90,10,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
30,# # 1. 8 sources and measures for ensuring national security 1. 8. 1 sources to ensure national security 1. 8. 1. 1 nepali peoples and their organized strength ; 1. 8. 1. 2 security mechanism and structure of governance of nepal ; 1. 8. 1. 3 natural resources of nepal utilized according to national necessity ; 1. 8. 1. 4 contribution to be made by migrant nepali peoples for national interests ; and 1. 8. 1. 5 foreign assistance mobilized for interests of nepal. 1. 8. 2 measures to ensure national security 1. 8. 2. 1 effective implementation and compliance of the constitution,581,104,130,11,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
31,"of nepal ; 1. 8. 2. 2 appropriate utilization and mobilization of national means and resources ; 1. 8. 2. 3 professionalization and modernization of security agencies ; 1. 8. 2. 4 guarantee of law and order by observance of political, economic, social, diplomatic, judicial, communication and military / security measures ; 1. 8. 2. 5 understanding and observance of civic duties ; 1. 8. 2. 6 development of a system of getting prior information based on correct evaluation and settlement of credible information and by observance of counter - measures ; 1. 8. 2. 7 development of",580,98,130,11,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
32,strengthened transportation system ; 1. 8. 2. 8 border security and management ; and 11 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -,216,37,44,11,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
33,"# # 1. 8. 2. 9 enhancement of international support and cooperation by increasing bilateral and multilateral relations and cooperation through effective operation of diplomatic relations. 1. 9 threats and challenges to national security 1. 9. 1 political challenges and threats 1. 9. 1. 1 system of governance, transformation and transitional phase 1. 9. 1. 2 political instability and division 1. 9. 1. 3 polarization of unwarranted groups 1. 9. 1. 4 unconstitutional activities, and 1. 9. 1. 5 unwarranted external influence 1. 9. 2 challenges and threats related to law and order 1",584,94,130,12,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
34,. 9. 2. 1 trend of politicization of crimes and criminalization of politics ; 1. 9. 2. 2 obstructions to the culture of rule of law ; 1. 9. 2. 3 trends of violation of law and impunity ; 1. 9. 2. 4 abuse of modern technology in commission of crimes ; 1. 9. 2. 5 increase in violence and armed crimes ; 1. 9. 2. 6 increase in organized crimes ; 1. 9. 2. 7 illicit smuggling of narcotic drugs ; 1. 9. 2. 8 unlawful import of arms and explosives ; 1. 9.,450,95,130,12,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
35,"2. 9 increasing incidents of violence in community ; 1. 9. 2. 10 looting, kidnapping, white collar crimes and cyber crimes ; 1. 9. 2. 11 corruption ; 1. 9. 2. 12 traffic in human beings ; 1. 9. 2. 13 narrow communalism and regionalism. 12 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",367,68,90,12,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
36,"# # 1. 9. 3 socio - economic challenges and threats 1. 9. 3. 1 weak economy and dependence on others ; 1. 9. 3. 2 illiteracy, increasing unemployment and poverty ; 1. 9. 3. 3 minimal national production ; 1. 9. 3. 4 economic inequality ; 1. 9. 3. 5 population growth and unmanaged migration ; 1. 9. 3. 6 negligence to national interests while allocating, consuming and utilizing national resources and means ; 1. 9. 3. 7 financial crimes and revenue leakage ; impact of external financial crisis and infirmities ; 1.",516,94,130,13,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
37,"9. 3. 8 insecure environment having direct adverse impact on investment ; 1. 9. 3. 9 industrial disharmony ; 1. 9. 3. 10 abuse of civil rights ; 1. 9. 3. 11 conflicts among various classes, regions, tribes and communities and activities causing adverse impact on social cohesion ; 1. 9. 3. 12 negligence towards social and moral values ; 1. 9. 3. 13 inadequacy of assistance and resources necessary for deprived communities and regions ; 1. 9. 3. 14 increase of hiv / aids, epidemics and other infectious diseases ; 1. 9. 3.",524,94,130,13,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
38,"15 narrow ethnic and regional trends and activities ; and 1. 9. 3. 16 effects of religious extremism. 1. 9. 4 challenges and threats related to disasters and natural resources 1. 9. 4. 1 disasters emerged by human - induced problems such as unmanaged settlement, forests degradation, pollution ; 13 this english version of national security policy 2016 is translated by law books management board babarmahal kathmandu - - - - -",427,72,91,13,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
39,"# # 1. 9. 4. 2 natural disasters such as earthquake, soil erosion, flood, landslide, and water submergence 1. 9. 4. 3 unmanaged and irregular exploitation of natural resources 1. 9. 4. 4 climate change and environmental loss ; and 1. 9. 4. 5 chemical, radiation and technology - induced disasters. 1. 9. 5 challenges and threats posed by extremism 1. 9. 5. 1 threats created in society due to disorder, insecurity, terrorism, and chaos ; 1. 9. 5. 2 likelihood of involvement of terrorists in smuggling of arms, explosives",521,90,130,14,nepal_2016_NationalSecurityPolicy.md,2025-01-28 18:56:21
