chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # national risk assessment - - - - -,38,10,12,0,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
2,# national risk assessment 6,28,5,7,1,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
3,"# # # # the network of analysts for national security dr m. g. mennen ( editor ) - - - - - the national risk assessment 6 has been produced by the network of analysts for national security ( anv ) for the national steering committee for national safety and security ( snv ). national institute for public health and the environment ( rivm ) research and documentation centre ( wodc ), ministry of security and justice general intelligence and security service of the netherlands ( aivd ) netherlands organisation for applied scientific research ( tno ) netherlands institute of international relations ‘ clingendael ’ international institute of social studies (",661,112,130,2,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
4,"iss ), erasmus university rotterdam contact : marcel. mennen @ rivm. nl project number : e / 609042 / 14. © rivm 2014 extracts from this publication may be reproduced if cited as follows : ‘ national institute for public health and the environment ( rivm ) title of publication and year of publication ’ - - - - -",313,60,75,2,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
5,# contents * * 1 introduction * * * * 4 * * * * 2 scenarios for the nra 6 * * * * 5 * * * * 2. 1 far - right extremism scenario * * * * 5 * * aim and rationale for inclusion 5 scenario description 5 * * 2. 2 lek dike breach / flooding of lopiker - and krimpenerwaard scenario * * * * 7 * * aim and rationale for inclusion 7 scenario description 7 * * 2. 3 foreign enterprise unmasked as a criminal trojan horse * * * * 9 * * aim and rationale for inclusion,456,108,130,3,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
6,9 scenario description 9 * * 3 comparative analysis of the scenarios * * * * 11 * * the risk diagram 11 positions of the new scenarios in the risk diagram 12 what are the main effects of the new scenarios? 14 which are the most relevant impact criteria in view of all the scenarios? 15 * * appendix 1 * * * * 17 * * the national network of safety and security analysts 17 * * appendix 2 * * * * 18 * * organisations involved in the nra 18 - - - - -,448,99,104,3,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
7,"# introduction in support of the inter - departmental national safety and security strategy of the netherlands, a national risk assessment ( known by the initials nra ) is carried out once a year. the exercise involves exploring a number of safety and security themes by analysing various scenarios in the context of a standard reference framework. the approach is referred to as the nra methodology [ 1 ]. the findings are intended to provide policy makers with insight into the relative likelihood and impact of the various scenarios. such insight is important for specifying capability implications, formulating policy, and defining priorities, with the aim of preparing the netherlands as well as possible for",713,114,130,4,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
8,"various types of disaster and threat. this report summarises the nra 6. this nra and the constituent scenarios have been independently produced by the network of analysts for national security ( known by the dutch initials anv ). the anv is an authoritative knowledge network, which since 2011 has been tasked by the ministry of security and justice with performing the annual nra on behalf of the national steering committee for national safety and security ( known by the dutch initials snv ). the nra 6 examined three scenarios : far - right extremism, lek dike breach / flooding of lopiker - and krimpen",607,104,130,4,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
9,"##erwaard 1 the nra methodology is described in a manual entitled working with scenarios, risk analysis, and capabilities in the national safety and security strategy ( 2014 ), published by the ministry of security and justice and foreign enterprise unmasked as a criminal trojan horse. for each of the scenarios addressed in the nra 6, the impact and likelihood assessments have been used as the basis for a capability analysis. in this report a summary of each scenario is given, preceded by an explanation on its aim and rationale for inclusion. subsequently the nra risk diagram and the main conclusions of the analysis of each scenario ’ s likelihood and impact are",670,112,132,4,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
10,"provided. consideration is also given to the impact scores : which criteria often yield high scores, and what can be concluded from such patterns. - - - - -",156,29,34,4,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
11,# scenarios for the nra 6,25,6,9,5,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
12,# # # 2. 1 far - right extremism scenario,41,10,15,6,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
13,"# # # # aim and rationale for inclusion on the advice of the network of analysts for national security ( anv ), the national steering committee for national safety and security ( snv ) has selected the theme of extremism for the nra 6. the main reason for this is that the extremism - related scenarios produced for previous nras are now several years old and develop ments regarding the issue of radicalisation have increased the urgency of fresh analysis. in order to define the theme of extremism, a brainstorming session was organised with experts from the anv and a number of policy advisors from the",605,107,130,7,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
14,"ministry of the interior and kingdom relations and the ministry of security and justice. the experts and advisors indicated that updating the scenario for the issue of right - wing extremism ( referred to here as far - right extremism ) would be the most desirable option for the national risk assessment. other subjects relating to polarisation and radicalisation – such as left - wing extremism, muslim extremism and animal - rights extremism – were also considered important, albeit less urgent. it was therefore advised that these issues are addressed during the next national risk assessment.",597,96,117,7,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
15,"# # # # scenario description at the beginning of 2015, there is a major economic crisis and mass unemployment. as a result, anti - government, anti - europe and anti - immigration sentiments are successfully exploited by ' populist ' movements within the netherlands. by this point, the traditional far - right groups in the netherlands ( neo - nazis and ultranationalists ) haven ' t yet figured out how to capitalise on these opportunities. in 2016, this situation begins to change following a split in the ' right - wing populist ' party set up several years before. the parliamentary group in the dutch lower house is divided regarding whether",647,112,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
16,"or not to co - operate with groups in other european countries that hold either private or open anti - jewish and anti - semitic viewpoints. the split in 2016 results in two ' right - wing populist ' parties, both with strongly anti - islamic and eurosceptic viewpoints, with one of these parties also embracing a northern european identity and occupying an anti - zionis tic position. in mid - 2016, a number of medium - sized southern european banks go bust despite years of financial support - - - - - from the eu emergency fund. on the internet and on social media, unconfirmed reports regularly appear of large",615,111,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
17,"- scale mismanagement and corruption by an alleged network of southern european bank directors of jewish descent. the web forum of the schwarzwald council – a think - tank that focuses on opinion forming about the ' northern european identity ' – regularly displays messages making such insinuations. despite the think - tank ' s claims that they have no connections to far - right extremist groups, the forum also regularly features other racist, anti - semitic and anti - islamic posts. a fire at a mosque in munich in may 2017, which kills 12 people, is applauded by a number of forum contributors. in the dutch think - tank",627,110,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
18,", like those in many other western european countries, participants have been involved in threats against prominent figures in the islamic and jewish communities. in the meantime, the old anti - capitalist attitude of the traditional right - wing extremists is gaining new momen tum. this movement, which a few years earlier distanced itself from the classic nazi ideology of adolf hitler, subscribes predominantly to the early, more anti - capitalist ideology of the 1920s nazi party. the movement conducts active online propaganda that preaches the maintenance of social achievements for natives at the expense of non - natives, hatred of what it sees as the neoliberal european",680,108,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
19,"union, the supposed threat of ' capitalist ' zionism and judaism around the world ( as ' they ' purpor tedly seek to control the dutch government and the financial world ) and anti - capitalist ' solutions ' to the global financial crisis. their opinions regularly coincide with those held in anarchist circles. due to the weakness and limited influence of far - left extremist groups in the netherlands, there is growing willingness amongst these groups to join forces with the far - right extremists. this development is also evident in other european countries. collaborations are set up between far - left and far - right extremists, serving",645,109,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
20,"as a hotbed for further radicalisation. in 2016, a previously unknown group known as the anti - capitalist alliance ( aca ) carries out an arson attack on the ministry of finance in the hague and threatens the ceo of the bank of the netherlands. cyber attacks made possible by collaborations between far - left hacktivists and far - right extremists bring down government and bank websites. the police and the general intelligence and security service of the netherlands ( aivd ) work together with their german counterparts following clues about possible links between the aca and the new red army faction in germany. another development is the rise of the far -",663,113,130,8,netherlands_2014_RiskAssesment.md,2025-01-28 18:56:08
