chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# # 2018 defence white paper # investing in our people, capabilities and visibility - - - - - - - - - -",103,24,27,0,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
2,"# # foreword we present to you a realistic and future - oriented defence white paper, a white paper which we firmly believe constitutes a starting point for strengthening trust in the defence organisation ; the trust of our people, trust in our organisation and the trust of society in the defence organisation. after decades of budget cuts, there are new prospects for the future of the defence organisation. we are moving forward with a realistic point of view. the discussions conducted by the state secretary and myself gave us a first - hand impression of just how important this is. we discussed matters with individuals at all levels both within and outside our organisation. those discussions will continue,",715,119,130,1,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
3,"because it is our people who are the strength of the defence organisation! we wish to be transparent and reliable in what we do and what we achieve. we wish to be an attractive and reliable employer. we are working to firmly embed the defence organisation as a whole in society. above all, we are realistic. the additional investments will be used to take a major step forward. a step which we believe should become visible quickly. at the same time, however, we are aware that a process of building and strengthening takes time. we are making a good start and realise that we need to think in terms of long - term objectives. these",632,115,130,1,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
4,"long - term objectives are set out in this white paper. and that is because the ministry of defence protects what we value! also for the state secretary for defence, * * the minister of defence * * a. t. b. bijleveld - schouten - - - - - - - - - -",247,54,68,1,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
5,# # contents * * summary * * * * 7 * * * * current developments * * * * 8 * * * * introduction * * * * 9 * * * * what we want to achieve * * * * 10 * * * * what we want to be * * * * 11 * * * * what we are going to do * * * * 13 * * * * people * * * * 13 * * * * means * * * * 14 * * * * methods * * * * 15 * * * * what we will be capable of doing * * * * 17 * * * * how we will,378,128,130,2,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
6,"achieve future - proof funding * * * * 21 * * _ appendix i charter, constitution, main tasks and treaty obligations _ * * 23 * * _ appendix ii the measures _ * * 24 * * * * people * * * * 24 * * * * means * * * * 25 * * * * methods * * * * 26 * * _ appendix iii the funding _ * * 27 * * _ appendix iv the investment programme _ * * 28 * * - - - - - - - - - -",358,102,106,2,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
7,# # summary,11,3,5,3,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
8,# # # samenvating,17,4,8,4,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
9,# # # # # # main tasks of the defence organisation ( as laid down in the constitution of the kingdom of the netherlands ),121,26,28,5,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
10,"# # # # # # current developments * * driving forces : geopolitical shifs, imbalance in * * world population growth, digital information revolution, evolving human - machine relationship, diverging values. protection of promotion of support of civil dutch and nato the international authorities territory legal order * * threat landscape : more complex, more diverse * * and more uncertain. * * security politics : more compelling nato and * * eu demands on the netherlands to meet nato and other targets. * * society : interests of the kingdom of the netherlands * * and the international legal order at risk.",609,104,120,6,netherlands_2018_DefenceWhitePaper.md,2025-01-28 18:55:44
