chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # national security strategy,30,5,7,0,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
2,# # # 2019 - - - - -,20,9,11,1,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
3,"# table of contents * * summary * * * * introduction * * * * the national security strategy cycle * * * * the term ' national security ' * * * * trends and developments that influence national security * * * * predominant national security risks * * * * priority assessment of threats and risks : which issues require extra focus? * * 1. threats from state - sponsored actors will be addressed 2. combating polarisation via a broad approach based on coexistence 3. intensified approach to protect critical infrastructure 4. terrorism and extremism : evaluate, intensify and continually develop countermeasures 5. minimise",621,108,130,2,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
4,military threats via close collaboration and optimal military effectiveness 6. highly programmatic approach to combat criminal subversion 7. intensified approach against cyber threats * * continual focus on resilience * * * * generic national security instruments * * * * development and expansion of the national security approach * * * * annex 1 * * * * annex 2 * * * * 12 * * * * 16 * * * * 21 * * * * 26 * * * * 26 * * * * 27 * * * * 27 * * * * 28 * * * * 28 * * * * 29 * * * * 30 * * * * 33 *,497,122,130,2,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
5,* * * 37 * * * * 40 * * * * 42 * * * * 44 * * - - - - - - - - - -,65,31,33,2,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
6,"# summary * * national security is a dynamic and multifaceted issue that requires a solid yet * * * * flexible approach. this national security strategy ( nss ) specifies all national * * * * security interests that must be protected, as well as how these interests are * * * * currently under threat and how we can minimise these risks and threats. * * * * strategic agenda that undergoes periodic assessment * * this nss marks the beginning of a strategic cycle that is periodically repeated to ensure continual assessment of whether the measures to protect national security interests remain sufficiently adequate to tackle all developments, threats and risks that could affect national security",698,119,130,3,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
7,". this cycle is repeated every three years, although interim adjustments are made in the event of any new developments, threats or risks concerning national security. in this way, the nss fulfils the function of a strategic agenda that inventories all of the threats and risks that jeopardise national security and examines the extent to which a comprehensive approach has been established to minimise these threats and increase resilience. as such, the focus of the strategy can change over time and is therefore flexible in nature. * * intensified approach to risks * * current developments concerning threats and risks show that the following security issues require an intensified approach.",694,110,130,3,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
8,"- * * threats from state - sponsored actors will be addressed. this * * approach consists of generic measures to boost resilience against various types of threats from state - sponsored actors. - * * polarisation can undermine our open society. to tackle polari - * * sation, we will implement a broad and overarching approach focusing on the promotion of coexistence. municipalities, civic organisation and the security chain will make an important contribution to this process. the strategic cycle of the national security strategy – which repeats every three years – enables the netherlands to continually protect itself against the development of threats and risks and intensifies",684,109,130,3,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
9,"the national security approach in a future - proof manner. * * preventing social disruption and protecting the * * * * democratic rule of law * * for this purpose, our national security interests are classified into six categories : 1. _ territorial security ; _ 2. physical security ; 3. economic security ; 4. ecological security ; 5. social and political stability ; 6. the international rule of law. national security is jeopardised when one or more national security interests are threatened to such an extent that this results in or could result in social disruption. with regard to national security, the netherlands is more dependent than ever on the smooth functioning",677,114,130,3,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
10,"of the international system of rules, standards and agreements. for this reason, we have added ' the functioning of the international rule of law ' to the list of national security interests. this national security interest is not an isolated interest, as it is closely interwoven with the other five national security interests and with other interests and values of dutch society. as all national security interests can also be threatened via cyberspace, cybersecurity is interwoven into all interests as well. the availability, confidentiality and integrity of essential information services has been added to this nss as a criterion for territorial security and is therefore covered by the national",702,109,130,3,netherlands_2019_NationalSecurityStrategy.md,2025-01-28 18:53:59
