chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # defence vision 2035 # # fighting for a safer future - - - - - - - - - -,81,25,28,0,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
2,# # # # # foreword :,20,7,9,1,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
3,"# choices are necessary flexible and scalable military force that can respond to threats proactively. a military force that can operate on a small and specialist scale, but also together with others in larger configurations. those choices must be worth something to us. because security is precious. at the moment, we are not sufficiently able to cope with the changing threats. in our vision, we set out where we stand and what it ’ s all about. in any event, long - term political commitment is important for our people to be able to bring about the necessary changes. together, we have worked hard on this defence vision. a vision that will",643,112,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
4,help with choices. security is not a luxury ; we and the whole of the defence organisation will continue to fight for a safer future. precisely so that in 2035 we are able to protect what we value! ank bijleveld - schouten minister of defence * * “ fighting for a safer future ” is the * * * * title we have given to the defence * * * * vision on the way to 2035. we did * * * * that for a reason! * * i still find it remarkable that here in the netherlands we take it for granted that we can live our lives in freedom and that,527,114,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
5,"nothing will happen to us. threats seem far away, but they are actually close to home. ukraine, crimea, syria : the repercussions of conflicts there can be felt here too. we are also facing new, different threats : russia tried to hack the organisation for the prohibition of chemical weapons ( opcw ) in the hague. our own defence intelligence and security service was able to uncover the plot. elections have been and are still being influenced. every day, cyberattacks occur in the netherlands. our open economy is being threatened by the trade war between the united states ( us ) and china. and fake news is",612,107,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
6,"spreading throughout our society. we are seeing that now, for example, in the coronavirus crisis. a crisis that is in any case taking a heavy toll on us all. this by no means comprehensive list of issues is jeopardising our democratic constitutional state. the constitutional state that is crucial for our way of life, for our freedom. security is not a luxury! it is a hard and fast condition for prosperity and democracy. it is a core task of the government that should be prioritised. after we took office, the state secretary and i rolled up our sleeves and wrote and implemented the 2018 defence white paper. we set",620,109,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
7,"in motion all kinds of investments and improvements and took steps to restore and modernise the organisation. the people on the work floor have noticed that too. it is a good start, but no more than that. especially as we have come across a huge backlog of overdue maintenance. in recent years, we have spoken to a great many people, both inside the defence organisation ( from the bottom to the top ) and outside it, about what still needs to happen. that has given us a good idea of what is required for the future. a safe future for us all. for we must not be naive. as a society, we",586,112,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
8,"must become more resilient and we should also be prepared to invest in those who defend our values : the men and women of our armed forces. risking their lives if they have to, they fight for our future security! the future is after all uncertain. threats are on the increase and we will need to be less reliant on our allies. the defence organisation will have to step up to the plate. the conclusion of the threat and problem analyses in this defence vision is that, with the current design and state of the organisation, we are not sufficiently or appropriately equipped for the changing threats. clear choices are necessary! the defence organisation",653,114,130,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
9,"needs greater adaptive capability, speed and fighting power. we are choosing a new profile and a different way of working. in 2035, we want to be a smart, technologically advanced organisation. we need to be a * * 3 * * ank bijleveld - schouten - - - - - - - - - -",264,55,72,2,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
10,"# table of contents foreword : choices remain necessary 3 summary 6 introduction 10 threat analysis 13 problem analysis 17 consequences of the threat and problem analyses 19 the defence organisation in 2035 20 _ design principle 1 : unique personnel and labour - extensive capabilities _ 26 _ design principle 2 : flexibility of action : rapidly deployable, scalable and self - supporting _ 27 _ design principle 3 : strong innovative capability _ 29 _ design principle 4 : escalation dominance, with our partners _ 30 _ design principle 5 : authoritative information position _ 31 _ design principle 6 : multidomain and integrated operations _ 33 _ design priniciple 7 : transparent and",687,116,130,3,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
11,"visible in an engaged society _ 35 _ design principle 8 : focus on a stronger, more self - reliant europe _ 36 _ design principle 9 : focus on further specialisation within nato and the eu _ 37 _ design principle 10 : strategic capabilities for a resilient society _ 38 financial overview 40 in conclusion 45 explanatory annexes i * * 5 * * - - - - -",350,71,83,3,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
12,# defence vision 2035 * * 6 * *,31,9,12,4,netherlands_2020_DefenceVision.md,2025-01-28 18:54:07
