chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defence white paper 2010 - - - - - - - - - -,46,15,17,0,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
2,# # contents foreword from the prime minister 4 preface from the minister of defence 6 * * chapter 1 : executive summary * * 9 * * chapter 2 : national security and defence * * 15 * * chapter 3 : new zealand ’ s strategic outlook to 2035 * * 23 * * chapter 4 : tasks for the nzdf * * 35 * * chapter 5 : the nzdf ’ s military capabilities * * 45 * * chapter 6 : a people - centred nzdf * * 57 * * chapter 7 : infrastructure * * 67 * * chapter 8 : affordability * * 75 * * chapter 9 : organisational reform * * 83 abbreviation,524,122,130,1,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
3,##s 90 glossary 92 annex - facts and figures 96 - - - - -,57,15,20,1,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
4,"# # # foreword # # from the prime minister it is a great pleasure to introduce the government ’ s defence white paper. this government is committed to making sure new zealand has a strong and effective defence force. that ’ s why, before the 2008 general election, we promised to undertake a comprehensive defence review. this white paper delivers on that promise. it is the first white paper we ’ ve had for 13 years, and it is an excellent step forward for defence policy in new zealand. it sets out the future strategic direction for the new zealand defence force, provides a framework for reform, and outlines how we can get the best value for",647,118,130,2,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
5,"money from our defence budget. the white paper looks at global security, the challenges new zealand is likely to face, and what resources and capabilities our defence force will need to protect us and advance our interests. it ’ s vital that we have a blueprint of the strategic and defence challenges for new zealand over the next 25 years. many challenges will come our way and we need to be ready to face them. for example, we are likely to see growing pressures on our maritime resources, and an increase in illegal migration attempts. some pacific island states will look to us for help as instability continues there, and the strategic balance in east asia is",665,117,130,2,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
6,"shifting. to meet the challenges of the future, we need to preserve, and in some cases enhance, the current capabilities of the new zealand defence force. the white paper sets out our approach to do that. in particular, it addresses the capabilities needed for operations at home and abroad — such as ground forces, self - protection, air transport, air and surface maritime surveillance, and naval combat. - - - - - a key theme running through this white paper is financial sustainability. the government wants to get the most out of the defence budget, and put as many resources as possible into the frontline. to this end, the new zealand",641,111,130,2,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
7,"defence force is undertaking a comprehensive redistribution and investment programme. this programme will transfer the defence force ’ s resources to the frontline and enhance its deployable military capabilities. this is important because our defence personnel serving us proudly overseas face significant challenges and risks. this government wants to make sure that they are appropriately trained and equipped to undertake the tasks required of them, often under exceptionally difficult conditions. this white paper provides the framework for a strong and effective defence force in the years ahead. rt hon john key prime minister - - - - -",643,98,108,2,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
8,"# # # preface # # from the minister of defence this white paper presents the government ’ s plan for a modern defence force that will meet our security needs over the coming 25 years. our future defence force must complete a range of roles. it must protect new zealand ’ s territory and citizens. it must conduct and lead missions in the south pacific. the defence force must also enable new zealand to contribute meaningfully to regional and international security with partners and friends. the white paper will produce a new zealand defence force ( nzdf ) well equipped to complete all of these roles. our navy, army, and air force serve new zealand well.",658,117,130,3,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
9,"the white paper will develop and enhance these forces. the combat effectiveness and sustainability of our land forces will be enhanced. this will allow the nzdf to deploy more troops and for longer. our air and sea transport capabilities will be maintained and improved. we will invest in the anzac frigates to ensure they continue to add value to coalition operations. the white paper will prioritise intelligence, surveillance and reconnaissance ( isr ) capabilities. a new satellite imagery capability and the proposed addition of short - range maritime patrol aircraft will provide a more diverse fleet of isr assets. the white paper addresses financial issues in detail. forecasts show a gap between current",712,113,130,3,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
10,"defence funding and projected costs. we need to plan now so that we can replace the strategic air transport and air surveillance fleets and the naval combat force. nzdf resources will be redistributed to sustain and build front line capabilities. this redistribution process is already underway, led by the chief of defence force. it will result in new ways of doing business. - - - - - defence requires a skilled and disciplined workforce. the nzdf ’ s servicemen and women have always been its greatest asset. this white paper introduces a new approach to managing the nzdf ’ s workforce. the over - riding goal is to fill positions with staff",645,112,130,3,newzealand_2010_DefenceWhitePaper.md,2025-01-28 18:54:14
