chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"synthese de la strategie! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) nationale de securite interieure ( snsi ) ( phase ii, 2022 - 2026 )",139,34,53,0,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
2,"# # introduction dans le cadre de la gouvernance securitaire, le niger, avec l ' appui de ses partenaires techniques et financiers, s ' est dote d ' une strategie nationale de securite interieure ( snsi ) suivant le decret n°2017 - 760 / prn / misp / acr du 29 septembre 2017, pour la periode 2017 - 2021. cette strategie a ete evaluee et renouvelee par le decret n°2022 - 517 / pr",381,74,130,1,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
3,"##n / mi / d du 22 juin 2022 pour la periode 2022 - 2026. elle est accompagnee par un plan d ' actions pour la meme periode. la * * snsi * * et son plan d ' actions quinquennal sont le * * cadre de reference * * de la politique, des programmes et des actions de la securite interieure du niger. elle est adoptee dans le but d ' optimiser l ' offre de la securite sur l ' ensemble du territoire national. cette strategie",419,88,132,1,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
4,s ' articule autour de six ( 6 ) points : i. etat de lieu * * du systeme de la securite interieure * * a. le cadre institutionnel 1. les acteurs de la securite interieure,170,36,56,1,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
5,# # 1. 1. les acteurs etatiques 1. 1. 1. les institutions le ministere en charge de la securite interieure elabore et met en œuvre la politique nationale de securite interieure. plusieurs autres institutions concourent a cette mission. il s ' agit notamment de : [UNK] l ' assemblee nationale ; [UNK] le ministere en charge de la defense nationale ; [UNK] le ministere en charge de la justice ; [UNK] le ministere en charge des finances ; [UNK] le ministere en charge de la sante publi,485,87,130,2,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
6,"##que ; [UNK] le ministere en charge de l ' environnement ; [UNK] le ministere en charge de la communication ; [UNK] le ministere en charge du plan ; [UNK] le ministere en charge des postes et telecommunications. au niveau de l ' administration territoriale, les gouverneurs, les prefets, les maires sont tenus, chacun dans sa sphere de responsabilite, de l ' application de ladite politique.",392,66,105,2,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
7,# # 1. 1. 2 les forces de securite interieure la securite interieure est assuree traditionnellement par : [UNK] la police nationale ; [UNK] la garde nationale du niger ; [UNK] la gendarmerie nationale ; [UNK] la protection civile ; [UNK] la police municipale. d ' autres forces concourent egalement a l ' execution de la mission de securite interieure : [UNK] les forces armees nigeriennes ; [UNK] les douanes nationales ; [UNK] l ' administration penitentiaire ; [UNK] les eaux et forets.,489,83,125,3,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
8,# # 1. 2 les acteurs non etatiques [UNK] les societes privees de securite et de gardiennage ; [UNK] les communautes rurales ( les groupes d ' autodefense ) ; [UNK] les medias prives ; [UNK] les comites de paix et de securite ; [UNK] les comites de dialogue inter et intra religieux ; [UNK] les associations religieuses ; [UNK] les organisations de la societe civile ; [UNK] les organisations non gouvernementales ; [UNK] les operateurs charges d ' interets vitaux pour le niger : - les telecommunications,504,88,130,4,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
9,; - les eaux et energies. ii. * * les menaces / risques et vulnerabilites du systeme * *,88,19,32,4,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
10,"# securitaire 2. 1. * * les menaces * * 1. terrorisme. 2. criminalite organisee. 3. blanchiment des capitaux et le financement du terrorisme. 4. radicalisation et l ' extremisme violent. 5. migration irreguliere, trafic illicite des migrants * * et la traite des personnes. * * 6. troubles sociaux. 7. insecurite routiere. 8. conflits communautaires. 9. cybercriminalite 10. insurrections et rebellions. 11",406,63,130,5,niger_2002_StrategyNationalInternalSecurity_noneng.md,2025-01-28 18:58:04
