chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# norwegian defence 2008 - - - - -,34,9,11,0,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
2,# # # norwegian defence 2008 - - - - - 2 - - - - -,50,17,19,1,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
3,# # # # content norwegi a n secur it y a nd defence policy 4 1. security policy objectives 5 _ defence policy objectives _ 5 2. defence tasks 6 3. areas of government focus 7 4. international cooperation 8 _ un _ 8 _ nato _ 9 _ eu _ 10 _ nordic cooperation _ 11 5. national cooperation 12 defence struc tur e a nd acti vities 14 1. constitutional division of responsibility in norway 15 2. the strategic leadership of the armed forces 15 _ the ministry of defence _ 16 3. the defence agencies 17 _ the norwegian armed forces _ 17 4. the,536,109,130,2,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
4,norwegian armed forces 18 5. the service branches 19 _ the norwegian army _ 19 _ the royal norwegian navy _ 20 _ royal norwegian air force _ 21 _ home guard _ 22 6. personnel policy 23 7. national service 23 8. materiel and investments 24 overview of forces engaged in international operations 25 supplement – the fac t s 26 1. the defence budget 27 2. international operations 27 3. ranks and insignia 28 4. non - governmental organisations 29 5. addresses 32 - - - - -,470,90,103,2,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
5,# # norwegian security and defence policy 4 - - - - -,53,13,15,3,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
6,"# # # # 1. secur it y policy objec ti v es the principal objective of norwegian security policy is to safeguard and promote national security policy interests. this is best achieved by contributing to peace, security and stability both in areas adjacent to norway and in the wider world. nationally norway must be in a position to uphold its sovereignty and sovereign rights and to exercise authority in order to safeguard our interests. at the same time, the progress of globalisation means that geographical distance is no longer a determining factor for potential threats to our security. norway ’ s most important contribution to the strengthening of international, and therefore norwegian security, is",706,115,130,4,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
7,"active and constructive participation in the un and nato. map source : norwegian military geographic service _ the principal national security policy objectives are : _ - to prevent war and the emergence of various kind of threat to norwegian and collective security - to contribute to peace, stability and the further development of the international rule of law - to uphold norwegian sovereignty, norwegian rights and interests and to protect norwegian freedom of action in the face of political, military and other kinds of pressure - to defend, together with our allies, norway and nato against assault and attack - to protect society against assault and attack by state and non - state actors * * defence policy objectives * *",731,122,130,4,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
8,"norway ’ s defence organisation is structured to be as relevant and effective as possible as an instrument for the achievement of the national security policy objectives. this is reflected in the overall objectives laid down for norwegian defence activities. the defence policy objectives are intended to form a link between defence policy - - - - - and security policy by stating the contribution to be made by the norwegian armed forces in ensuring as far as is possible that the overall security policy objectives are achieved. the relevant defence policy objectives are as follows. the norwegian armed forces, within their area of responsibility and in concert with other national authorities where this is natural, must be able to : -",739,122,130,4,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
9,"alone and together with allies, secure norwegian sovereignty, safeguard norwegian rights and interests as well as ensuring norwegian freedom of action in the face of military or other pressure - together with allies, through participation in multinational peace operations and international defence cooperation, contribute to peace, stability, the enforcement of international law and respect for human rights and to prevent the use of force by state and non - state actors against norway and nato - together with allies, contribute to the collective defence of norway and other allies in accordance with our alliance commitments and to meet different kinds of assaults or attacks with force in order to safeguard norwegian and collective security - contribute to safeguarding the security",789,120,130,4,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
10,"of norwegian society, save lives and limit the consequences of accidents, disasters, assaults and attacks by state and non - state actors.",138,22,28,4,norway_2008_NorwegianDefence.md,2025-01-28 18:56:17
