chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# norwegian defence 2013,24,4,6,0,norway_2013_NationalDefence.md,2025-01-28 18:54:06
2,# # # # # facts and figures,27,8,10,1,norway_2013_NationalDefence.md,2025-01-28 18:54:06
3,# # # # # norwegian security and defence policy security policy objectives 2 defence policy objectives 3 defence tasks 4 the government ’ s main priorities 5 international cooperation 6 total defence and national civil - military cooperation 11,244,40,42,2,norway_2013_NationalDefence.md,2025-01-28 18:54:06
4,# # # # # defence structure and activities constitutional division of responsibility in norway 12 who ’ s who in norwegian defence 13 leadership of the norwegian armed forces 14 [ ranks and insignia ] ( http : / / www. regjeringen. no / upload / fd / dokumenter / fakta - om - forsvaret - 2013 _ ranks - and - insignia. pdf ),325,66,83,3,norway_2013_NationalDefence.md,2025-01-28 18:54:06
5,"# # # # # the norwegian armed forces and the home guard the norwegian army 19 the royal norwegian navy 21 the royal norwegian air force 23 the home guard 25 personnel policy 27 international operations and veterans 28 culture 29 national service 30 the defence budget 31 materiel and investments 32 international operations 34 - - - - - the principal objective of norwegian security policy is to safeguard norway ’ s sovereignty, territorial integrity and political freedom of action. norway ’ s fundamental security interest is to contribute to a world order under the auspices of the un with the emphasis on human rights and the international rule of law. in addition it is most important to strengthen and develop further",724,124,130,4,norway_2013_NationalDefence.md,2025-01-28 18:54:06
6,the transatlantic security community through nato. nationally the high north is norway ’ s most important area for strategic investment. the norwegian armed forces constitute one of the most important instruments available to the norwegian authorities to underpin the following overarching security policy objectives :,318,45,52,4,norway_2013_NationalDefence.md,2025-01-28 18:54:06
7,# # # # • to prevent war and the emergence of various kinds of threats to norwegian and collective security,107,21,23,5,norway_2013_NationalDefence.md,2025-01-28 18:54:06
8,"# # # # • to contribute to peace, stability and the further development of the international rule of law under the auspices of the un",133,26,29,6,norway_2013_NationalDefence.md,2025-01-28 18:54:06
9,"# # # # • to uphold norwegian sovereignty, rights, interests and values, and to protect norwegian freedom of action in the face of political, military or other pressure",168,29,35,7,norway_2013_NationalDefence.md,2025-01-28 18:54:06
10,"# # # # • together with our allies, to defend norway and nato against assault or attack",87,18,21,8,norway_2013_NationalDefence.md,2025-01-28 18:54:06
11,# # # # • to protect the society against assault and attack from state and non - state actors,93,20,22,9,norway_2013_NationalDefence.md,2025-01-28 18:54:06
12,# # norwegian security and defence policy security policy objectives - - - - - the defence policy objectives constitute the central link between security policy and defence policy. they set out what the norwegian armed forces must contribute in order to ensure the fullest possible achievement of the overarching security policy objectives. the defence policy objectives are the following :,390,61,68,10,norway_2013_NationalDefence.md,2025-01-28 18:54:06
13,"# # # # • alone and together with allies, to secure norwegian sovereignty, rights and interests as well as maintaining norwegian freedom of action in the face of military or other pressure",188,33,37,11,norway_2013_NationalDefence.md,2025-01-28 18:54:06
14,"# # # # • through participation in multinational peace operations authorised by un mandate and through international defence cooperation, to contribute to peace, stability, the enforcement of international law and respect for human rights, and to prevent the use of force by state and nonstate actors against norwegian and international security",345,52,60,12,norway_2013_NationalDefence.md,2025-01-28 18:54:06
15,"# # # # • to counter all kinds of assaults or attacks in order to safeguard norwegian and collective security and, together with allies, to contribute to the collective defence of norway and other allies in accordance with our nato treaty obligations",250,43,47,13,norway_2013_NationalDefence.md,2025-01-28 18:54:06
16,"# # # # • to contribute to safeguarding the security of norwegian society, saving lives and limiting the consequences of accidents, natural disasters, assaults and attacks by state or non - state actors",202,34,40,14,norway_2013_NationalDefence.md,2025-01-28 18:54:06
17,# # norwegian security and defence policy defence policy objectives - - - - -,77,15,17,15,norway_2013_NationalDefence.md,2025-01-28 18:54:06
18,"# # # nnorwegian security and defence policy defence tasks the tasks and level of ambition of the norwegian armed forces reflect in operational terms the security and defence policy aims. the norwegian armed forces have a broad spectrum of tasks both in peace, in times of crisis and in armed conflict or war. the norwegian armed forces have been given the following nine tasks in the current long - term defence plan ( white paper 73 s 2011 - 2012, _ “ a defence for our time ” ) : _ 1. provide a preventive threshold for war based on nato membership 2. defend norway and its allies against serious threats, assaults or attacks within",635,116,130,16,norway_2013_NationalDefence.md,2025-01-28 18:54:06
19,"the framework of nato ’ s collective defence 3. avert and manage episodes and security crises using national resources, including preparation for allied involvement if necessary 4. ensure that there is a sound basis for national decision - making through timely surveillance and intelligence 5. uphold norwegian sovereignty and sovereign rights 6. safeguard the exercise of authority in demarcated areas 7. participate in international crisis management including peace support operations 8. contribute to international cooperation in the area of defence and security. 9. contribute to the safeguarding of public safety and other central social tasks in principle, the size and capability of the main elements of norway ’ s defence structure are designed to",757,114,130,16,norway_2013_NationalDefence.md,2025-01-28 18:54:06
20,"meet the requirements of tasks 1 - 7 above. at the same time, however, the size and equipment of individual elements shall take into account the requirement to provide support to the civil community. - - - - -",209,39,45,16,norway_2013_NationalDefence.md,2025-01-28 18:54:06
21,"# # norwegian security and defence policy the government ’ s main priorities in executing the new long - term plan, the government will give particular priority to :",165,29,32,17,norway_2013_NationalDefence.md,2025-01-28 18:54:06
22,"# # # # • strengthening the norwegian armed forces ’ ability to provide a preventive threshold for war through the further development of their collective capabilities, and viewing military capacity in an overall perspective both nationally and in an allied context",265,42,46,18,norway_2013_NationalDefence.md,2025-01-28 18:54:06
23,"# # # # • contributing to international operations in order to ensure international peace and stability, promote a un - led world order and contribute to nato ’ s collective capacity for bringing about stability and preventing war",230,39,42,19,norway_2013_NationalDefence.md,2025-01-28 18:54:06
24,# # # # • developing further the ability of the defence sector to assist the civil community in crisis situations smoothly and efficiently by arranging regular exercises with other sectors and agencies including the clarification of roles and responsibilities,259,40,44,20,norway_2013_NationalDefence.md,2025-01-28 18:54:06
25,# # # # • strengthening the work of introducing preventive protection measures across all sectors of the community in the areas of security and it security,155,27,30,21,norway_2013_NationalDefence.md,2025-01-28 18:54:06
26,"# # # # • addressing the competency challenges facing the defence sector through reforms that will develop further the sector ’ s ability to attract, recruit and employ the right personnel with the right competencies while at the same time ensuring that all personnel are well looked after. - - - - -",300,54,60,22,norway_2013_NationalDefence.md,2025-01-28 18:54:06
27,"# # norwegian security and defence policy international cooperation un the united nations organisation ( un ) plays a key role as an anchor point for norwegian security policy. the un treaty and the provisions of international law are more important than ever in ensuring the coordination of action needed to overcome the majority of the security challenges that face the global community. the aim is to build a world order with the un as a central actor, something which can contribute towards ensuring a peaceful and more stable path for global development. this is a world order which is built on the foundations of international law and one in which the use of force is regulated. this emphasis on international law and",723,123,130,23,norway_2013_NationalDefence.md,2025-01-28 18:54:06
28,"human rights is a clear expression of support for international solidarity, but it also reflects norway ’ s own interest in having clear international rules for the use of military force or other means of exerting pressure. norway is therefore deeply engaged in ensuring that these rules are observed internationally and that they are strictly complied with in our own internal practices. the un does not itself have the resources to carry out all the peace operations required to safeguard international peace and security. in many cases, therefore, the un has granted a mandate for operations to be carried out by a smaller number of member states or regional organisations such as nato, the eu and the african union",718,119,130,23,norway_2013_NationalDefence.md,2025-01-28 18:54:06
29,"( au ). nato ’ s operations in afghanistan, libya and the balkans, the au ’ s operations in darfur and somalia, and the eu ’ s operations in chad and the democratic republic of congo are all examples of this. sharing responsibility in this way allows the regional organisations to relieve the load on the un, and strengthen the un ’ s role and credibility. a mandate from the un gives such operations the necessary legitimacy and legality under international law. - - - - - france ’ s full reintegration into nato ’ s military structure in spring 2009 is important both politically and militarily. changes in the nature of challenges",633,113,130,23,norway_2013_NationalDefence.md,2025-01-28 18:54:06
