chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,for budsjettaret 2016 det kongelige forsvarsdepartement prop. 1 s ( 2015 – 2016 )! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) ( 2015 – 2016 ) proposisjon til stortinget ( forslag til stortingsvedtak ) utgiftskapitler : 1700 – 1795 inntektskapitler : 4700 – 4799,311,69,118,0,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
2,# innhold | 3. 3. 3 | interne prosessar | 54 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - -,268,123,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
3,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | 3. 3. 4 | menneske, læring og utvikling | 57 | | 3. 3. 5 | kulturverksemda i forsvarssektoren | 59 | | 3. 3. 6 | forsvarsrelaterte organisasjonar | 59 | | 3. 4",273,92,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
4,"| forsvarsbygg, nasjonalt tryggingsorgan og forsvarets forskingsinstitutt | 60 | | 3. 4. 1 | forsvarsbygg | 60 | | 3. 4. 2 | nasjonalt tryggingsorgan | 60 | | 3. 4. 3 | forsvarets forskingsinstitutt | 61 | | del ii | budsjettforslag | 63 | | 4 | nærmere omtale av bevilgningsforslagene mv | 65 | | programomrade 04 militært for",327,63,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
5,##svar | 65 | | | programkategori 04. 10 militært forsvar mv.. | 65 | | | kap. 1700 forsvarsdepartementet | 67 | | | kap. 4700 forsvarsdepartementet | 68 | | | kap. 1710 forsvarsbygg og nybygg og nyanlegg | 69 | | | kap. 4710 forsvarsbygg og nybygg og nyanlegg | 72 | | | kap. 1716 forsvarets forskningsinstitutt | 73,317,63,132,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
6,| | | kap. 1719 fellesutgifter og tilskudd til foretak under forsvarsdepartementet 73 | | | | kap. 4719 fellesinntekter til foretak under forsvarsdepartementet | 78 | | | kap. 1720 felles ledelse og kommandoapparat | 79 | | | kap. 4720 felles ledelse og kommandoapparat | 82 | | | kap. 1721 felles ledelse av forsvarets spesialstyrker | 82 |,341,61,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
7,| | kap. 1723 nasjonal sikkerhetsmyndighet | 82 | | | kap. 4723 nasjonal sikkerhetsmyndighet | 83 | | | kap. 1725 fellesinstitusjoner og - utgifter under forsvarsstaben | 84 | | | kap. 4725 fellesinstitusjoner og - inntekter under forsvarsstaben | 85 | | | kap. 1731 hæren | 86 | | | kap. 4731 hæren | 88 | | | kap,314,63,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
8,. 1732 sjøforsvaret | 88 | | | kap. 4732 sjøforsvaret | 90 | | | kap. 1733 luftforsvaret | 90 | | | kap. 4733 luftforsvaret | 93 | | | kap. 1734 heimevernet | 94 | | | del i | innledende del | 9 | | - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,280,90,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
9,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | 1 | hovedmal og prioriteringer | 11 | | 1. 1 | mal og oppgaver i forsvarssektoren | 12 | | 1. 1. 1 | gjeldende langtidsplan | 12 | | 1. 1. 2 | arbeidet med ny langtidspl,287,98,130,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
10,"##an | 13 | | 1. 1. 3 | revisjon av forsvars - og beredskapsplaner | 13 | | 1. 1. 4 | samfunnssikkerhet og siviltmilitært samarbeid | 14 | | 1. 1. 5 | kompetansereformen | 16 | | 1. 2 | videre utvikling av forsvaret i 2013 – 2016, samt perioden for kampflyprogrammet | 17 | | 1. 2. 1 | status etter tredje ar i planperio",320,69,132,1,norway_2015_StrategicDefenceReview_noneng.md,2025-01-28 18:57:06
