chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national internal security policy 2018 - 2023,47,8,11,0,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
2,# # ministry of interior government of pakistan - - - - - - - - - -,67,18,20,1,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
3,"# # # # # message by prime minister the citizens of pakistan are its greatest wealth and asset. the security and safety of citizens has remained the top most priority of my government. over the past five years, we adopted and implemented a number of concrete and radical measures to promote peace and stability in the country. as a result of these efforts, the law and order situation in the country has improved significantly. terrorism - related violence has declined sharply. the economy is back on track and set to grow at an impressive rate of 5. 8 % during the fiscal year 2018 - 19 — the highest growth rate in a decade. the armed forces,",645,118,130,2,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
4,"police, political parties and resilient people of pakistan deserve credit for this huge success. pakistan takes immense pride in being the leader and partner in fighting the war against terrorism. we have conducted the world ’ s most complex, successful and largest military operations against terrorism. moreover, the gains made through security measures have been consolidated through socio - economic development. moving forward, we shall continue to contribute to peace and stability in the region and the world at large. today, pakistan is developing at a very rapid pace. the china pakistan economic corridor ( cpec ) has changed the landscape of the country and made previously inaccessible areas open to trade and development",733,114,130,2,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
5,"following the extension of basic infrastructure. cpec is not only opening up economic opportunities domestically but also contributing to promoting regional trade and connectivity. in coming years, this is likely to lead to peace, stability and prosperity in pakistan and the region. the national internal security policy 2018 builds on our counter - terrorism experience of the past years and reflects the emerging security challenges faced by the country. i appreciate the broad focus and depth of the 6 - rs strategy chosen for this policy. in particular, the focus on inclusive and sustainable development and strengthening of the state - citizen relationship is commendable and likely to go a long way towards bringing lasting and sustainable",747,117,130,2,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
6,"peace. the ministry of interior under the able leadership of prof. ahsan iqbal deserves felicitations for formulating this policy which will guide the internal security paradigm of the nation for the next five years. may allah almighty be with us in our efforts to make pakistan a more peaceful, inclusive and prosperous country. * * shahid khaqan abbasi * * prime minister - - - - -",383,67,84,2,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
7,# # # # foreword the security of pakistan and its citizens remains the first and foremost duty of the government of pakistan. since 2013 - 14 internal security has improved significantly. incidents of terrorism have seen a marked decline and overall improvement in law and order situation has been noted all around the country. these improvements in security environment are also reflected by the gains made by pakistan in economic sphere in last 5 years by recording highest economic growth rate in a decade. this was made possible only by the range of hard and soft security measures that the government adopted over the past five years. notable measures included the launch of the country ’ s first - ever national internal,726,123,130,3,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
8,"security policy ( nisp ) 2014, kinetic operations such as zarb - e - azb, raddul fasaad and karachi operation, numerous counter - terrorism legislations and adoption and implementation of the national action plan ( nap ). notwithstanding the gains, the internal security situation is continuously evolving and new challenges are emerging. in order to consolidate the hard - won gains made over the past few years and address the emerging challenges, the government in consultation with all major stakeholders devised a comprehensive framework for dealing with the multi - faceted threat of violent extremism and terrorism along with other security challenges. recognising the successes of",688,106,130,3,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
9,"the hard measures introduced in the wake of the adoption of the nisp 2014 and nap, nisp 2018 prioritizes effective undertaking of soft interventions to consolidate the gains made in last 5 years. promotion of inclusive and sustainable development and re - imagining and strengthening of the state - citizen relationship lie at the heart of the new security approach underpinning / informing the nisp 2018. it places special emphasis on the promotion of democracy, rule of law, inclusive growth and respect for diversity for achieving sustainable peace and security. the policy draws upon the tolerant teachings of islam, vision of quaid - eazam and constitution of pakistan to foster a counter",693,112,130,3,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
10,"- narrative against extremism and terrorism. pakistan is a country of strong and resilient people who aspire to build a peaceful, democratic and inclusive society. the history of pakistan is a testimony to the fact that its people have always rejected the forces of extremism, terrorism and authoritarianism and always sided with the forces of peace, development and democracy. * * prof. ahsan iqbal * * minister for interior - - - - -",435,74,92,3,pakistan_2018_SecurityPolicy.md,2025-01-28 18:55:33
