chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"papua new guinea! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) national security policy! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) "" and we assert …. that we guard with our lives our national identity, integrity and self - respect... "" national constitution | | page ( s ) | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",371,113,130,0,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
2,- - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - | | table of contents | | | | | foreword by the prime minister | iv | | overview by the chief secretary to government | vi | | executive summary | 1 | | chapter 1 - introduction | ნ | | chapter 2 - papua new guinea in context | 15 | | chapter 3 - papua new guinea ' s strategic security environment | 42 | | chapter 4 - prioritisation of png ' s security challenges | | | chapter 5 - institutional policy frameworks,483,124,130,0,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
3,and gaps | 45 | | | 48 | | chapter 6 - strategic policy goals and implementation strategies | 53 | | chapter 7 - monitoring and evaluation | | | annex a - glossary of acronyms and abbreviations | i | | | iv | | annex b - key security sector actors | |! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ),298,73,83,0,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
4,"# foreword! [ 2 _ image _ 1. png ] ( 2 _ image _ 1. png ) papua new guinea ( png ) is the ' land of a thousand tribes '. there is! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) great beauty and strength in our diversity. we acknowledge our forefathers who have gone before us and forged the path along which we travel, and it is now the responsibility of our generation and those to come after us, to protect that which is so dear to us ; our lives, our land, our diverse cultures, our",485,108,130,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
5,"resources and our relationship with god. many nations around the world have gone to war to acquire and protect what is theirs. they understand the inextricable link between development and security. we did not have to fight for independence, as it was granted to us in good faith. we have,! [ 2 _ image _ 2. png ] ( 2 _ image _ 2. png ) therefore, tended to focus on development at the expense of security, such that the security gaps of today are seriously undermining our development efforts. the current security environment is directly affecting our people. it is, therefore, time for us to",594,106,130,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
6,"tie development and security and apportion them equal attention. we must do this for the sake of the well - being of our people and prosperity of our nation. since independence, our national security has lacked effective co - ordination. the manner in which we have managed our security has either been reactionary or disjointed. it is imperative that we improve on our security coordination mechanisms to ensure delivery of effective security to our people. additionally, our national security institutions have been neglected to the extent where they lack appropriate capabilities to provide effective public safety and protection of our natural resources and our international borders. law and order remains one of our",721,113,130,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
7,biggest challenges and my government is committed to addressing this malaise. this will be achieved through support to the royal papua new guinea constabulary ' s ( rpngc ' s ) modernisation programme and similar programmes within the law and justice sector. the national security policy becomes the veritable instrument through which such security sector programmes can be achieved. it will not impede the key functions and responsibilities of individual agencies but rather provide the platform upon which national security can be better co - ordinated nationwide.! [ 2 _ image _ 3. png ] ( 2 _ image _ 3. png ) national security is a key government,651,109,130,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
8,"task ; however it is also every citizen ' s responsibility. in order to overcome the enormous security challenges that confronts us as a nation, we must change our mindset and attitudes by taking on the responsibility of security at all levels and across all sectors. security is inexorably linked to png ' s survival as a developing country. in this regard i entreat all my fellow citizens to embrace this policy to help build a safe, secure and prosperous png.! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) iii! [ 3 _ image _ 1. png ]",537,106,130,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
9,( 3 _ image _ 1. png ) ry citizen ' s › nfronts us › onsibility of his regard i secure and,90,23,30,1,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
10,"# # overview! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) | am very delighted to inform the people, international business community and development partners, and all other stakeholders that the government is fully committed to improving the security of png. we live in a globalized world of increasing interdependence and high mobility of people, resources and capital across borders. głobał business is well established in our nation and information connectivity has generated a wide range of complex, non - traditional security challenges that have permeated all levels of our society. our land, air and",608,103,130,2,papua_2013_SecurityPolicy.md,2025-01-28 18:57:54
