chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# white book on national security of the republic of poland the national security bureau - - - - - the national security bureau,127,24,26,0,poland_2013_WhiteBook.md,2025-01-28 18:55:40
2,# # white book on national security of the republic of poland warsaw 2013 - - - - -,83,19,21,1,poland_2013_WhiteBook.md,2025-01-28 18:55:40
3,# # # white bookton national security of the republic of poland - - - - -,73,17,20,2,poland_2013_WhiteBook.md,2025-01-28 18:55:40
4,# # # # # # table of contents foreword by president bronisław komorowski....................... 5 synthesis................................................................... 7 introduction...............,204,18,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
5,.............................................. 17 chapter 1. diagnosis of the state of national security.............. 25 1. 1. historical evolution of poland ’ s security........................................ 28 1. 2.,220,24,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
6,poland ’ s security potential.................................................... 36 1. 3. national interests and strategic objectives in the fi eld of security................... 102 chapter 2. the security environment outlook........................ 107 2.,258,28,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
7,1. th e global dimension........................................................ 109 2. 2. th e regional dimension...................................................... 122 2.,175,14,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
8,3. th e national dimension...................................................... 128 2. 4. strategic scenarios of the development of security conditions...................... 145 chapter 3. concept of strategic activities ( operational strategy ).....................,267,27,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
9,............................. 153 3. 1. foundations and guiding principle of the operational strategy........................ 155 3. 2. strategic tasks of national security operational subsystems........................... 166 3. 3. strategic tasks of national security support subsystems.........,297,32,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
10,..................... 179 chapter 4. concept of preparing the national security system ( preparatory strategy ).......................................... 191 4. 1. th e foundations and the leading theme of the preparatory strategy.................... 193 4. 2. preparation of the national security control subsyste,314,39,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
11,##m.............................. 194 4. 3. preparation of the national security operational subsystems......................... 203 4. 4. preparation of the national security support subsystems............................ 224 conclusion................,253,23,132,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
12,................................................ 235 list of tables and figures................................................ 239 appendices......................,164,9,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
13,............................................ 243 1. summary of the main recommendations of the national security strategic review......... 245 2. list of the main conceptual categories............................................. 246 3. list of the basic,254,28,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
14,legal acts pertaining to national security.............................. 250 4. list of the persons involved in the national security strategic review................... 255 5. list of abbreviations....................................................,250,24,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
15,"....... 261 - - - - - foreword by the president of the republic of poland bronisław komorowski _ th e past two decades brought about numerous dynamic changes in poland ’ s security _ _ strategic environment. globalization and information revolution have contributed to the _ _ world ’ s becoming more interconnected through increasingly tighter networks of interdepen - _ _ dence. along with the opportunities, new challenges, risks and threats to security have ap - _ _ peared. uncertainties have grown, while the level of trust has gone down. although the threat _ _ of mass - scale armed confl",596,103,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
16,"icts among states has become less imminent and the number of _ _ internal confl icts ( aft er the initial increase in the 1990s ) has dwindled, equally dangerous _ _ transnational and asymmetric threats have occured as well as new challenges have emerged, _ _ particularly for the societal and economic ( fi nancial, energy ) security sectors. in addition, _ _ we are facing an eruption of threats in cyberspace. all this will require a new approach to _ _ national security. _ _ poland has grasped the opportunity provided by the peace dividend of the past twenty _ _ years. th e polish national",596,108,130,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
17,"security potential has grown, we have become a part of nato _ _ and the european union, and we develop strategic cooperation with the united states. th is _ - - - - -",166,34,39,3,poland_2013_WhiteBook.md,2025-01-28 18:55:40
18,"# # # white bookton national security of the republic of poland _ allows us to get engaged in stabilization operations in the world – we no longer “ consume ” _ _ security ; now we also “ produce ” it. it does not mean, however, that we can rest on our laurels. _ _ we must continuously bear in mind the security of our country ; we must constantly strive _ _ for it. _ _ today, at the onset of the second decade of the 21 [ st ] century, we need to view national _ _ security in a comprehensive perspective. we must defi ne our interests and strategic objec -",560,115,130,4,poland_2013_WhiteBook.md,2025-01-28 18:55:40
