chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,doktryna cyberbezpieczenstwa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) rzeczypospolitej polskiej! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) doktryna cyberbezpieczenstwa rzeczypospolitej polskiej warszawa 2015,217,42,93,0,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
2,# spis tresci słowo wstepne prezydenta rp.................................................... 4 wprowadzenie...................................................,159,9,130,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
3,........................... 7 1. cele strategiczne rp w dziedzinie cyberbezpieczenstwa............................................................... 9 | 2. srodowisko cyberbezpiecz,181,14,130,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
4,##enstwa rp 1 | 0 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | 2. 1. wymiar wewnetrzny 1 | 0 | | 2. 1. 1. zagrozenia 10 2. 1. 2. wyzwania ( ryzyka i szanse ) 11 |,255,99,132,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
5,| | 2. 2. wymiar zewnetrzny 1 | 2 | | 2. 2. 1. zagrozenia 12 2. 2. 2. wyzwania ( ryzyka i szanse ) 13 | | 3. koncepcja zadan operacyjnych w dziedzinie cyberbezpieczenstwa....................................... 14 4. koncepcja zadan,231,39,130,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
6,preparacyjnych ( przygotowawczych ) w dziedzinie cyberbezpieczenstwa ( utrzymania i rozwoju systemu cyberbezpieczenstwa rp )....................... 17 4. 1. podsystem kierowania...........................................,220,20,130,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
7,.................... 18 4. 2. ogniwa operacyjne.................................................................... 19 4. 3. publiczne i prywatne ogniwa wsparcia..........,171,14,130,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
8,.............................. 20 zakonczenie................................................................................ 23,128,4,119,1,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
9,# słowo wstepne prezydenta rzeczypospolitej polskiej,52,6,26,2,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
10,"# # szanowni panstwo, jedna z najwazniejszych zmian we wspołczesnym srodowisku bezpieczenstwa jest pojawienie sie nowego obszaru aktywnosci panstwa, podmiotow prywatnych i obywateli, jakim jest cyberprzestrzen. zmiana ta sprawia, ze musimy byc przygotowani na zagrozenia z jakimi wczesniej nie mielis",300,40,130,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
11,"##my do czynienia. cyberprzestrzen jest polem konfliktu, na ktorym przychodzi nam zmierzyc sie nie tylko z innymi panstwami, ale takze z wrogimi organizacjami, jak chocby z grupami ekstremistycznymi, terrorystycznymi, czy zorgani - zowanymi grupami przestepczymi. dlatego jednym z istotnych priorytetow polskiej st",314,42,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
12,"##rategii stało sie bezpieczenstwo tego nowego srodowiska. zgodnie z tym priorytetem dokonalismy juz pewnych zmian w polskim systemie prawnym, wprowadzajac do niego w 2011 r. m. in. pojecie cyberprzestrzeni oraz ustanawiajac prawne podstawy nadzwyczajnego reagowania na wystepujace w niej zagrozenia. w pełni wyk",312,43,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
13,"##orzystujemy dorobek unii europejskiej i nato w tej dziedzinie. na potrzeby polskiej administracji wprowadzono nowe rozwiazania w toku prac nad polityka ochro - ny cyberprzestrzeni rp, przyjeta przez rade ministrow w 2013 r. dokument ten dotyczy przede wszystkim ochrony cyberprzestrzeni w wymiarze pozamilitarnym. w ministerst",328,45,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
14,##wie obrony narodowej trwaja prace nad budowa systemu cyberobrony. prywatne podmioty dbaja o swoje bezpieczenstwo w cyberprzestrzeni takze we własnym zakresie. celem niniejszej doktryny jest stworzenie warunkow do połaczenia i strategicznego ukierunkowania tych wysiłkow na rzecz budowania zintegrowanego systemu cyberbezpieczens,330,40,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
15,"##twa rzeczypospolitej polskiej. dokument przygotowany został w wyniku analiz prowadzonych z udzia - łem przedstawicieli administracji publicznej, srodowiska akademickiego, organizacji pozarzadowych oraz sektora prywatnego. głowne załozenia doktryny zostały rozpatrzone i zaakceptowane przez rade bezpieczenst",309,34,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
16,"##wa narodowego. doktryna cyberbezpieczenstwa wskazuje strategiczne kierunki działan dla zapewnienia bezpieczenstwa rzeczypospolitej polskiej w cyber - przestrzeni. jednoczesnie powinna byc traktowana jako jednolita podstawa koncepcyjna, zapewniajaca spojne i kompleksowe podejscie do zagadnien cyberochrony i cyberobron",320,35,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
17,"##y - jako wspolny mianownik dla działan realizowanych przez podmioty administracji publicznej, słuzby bezpieczenstwa i porzadku publicznego, siły zbrojne, sektor prywatny oraz obywateli. dzieki temu doktryna cyberbezpieczenstwa moze stanowic punkt wyjscia do dalszych prac na rzecz wzmocnienia bezpie",301,38,132,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
18,"##czenstwa polski. warszawa, 22 stycznia 2015 roku! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png )",97,23,43,3,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
19,"# wprowadzenie 1. we wspołczesnym swiecie bezpieczenstwo panstwa, w sferze militarnej i po - zamilitarnej, zewnetrznej i wewnetrznej, zyskało dodatkowy wymiar, jakim - obok ladu, wody, powietrza i przestrzeni kosmicznej - jest cyberprzestrzen. 2. działania na rzecz cyberbezpieczenst",283,38,130,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
20,"##wa musza byc podejmowane z uwzglednieniem ochrony praw człowieka i obywatela, a takze poszanowa - niem prawa do wolnosci słowa oraz prywatnosci. proporcjonalnosc srodkow bezpieczenstwa w stosunku do zagrozen powinna byc oparta na efektywnej i wiarygodnej analizie ryzyka. 3. punktem wyjscia ni",295,42,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
21,"##niejszej doktryny sa kierunkowe postanowienia strategii bezpieczenstwa narodowego rp dotyczace cyberbezpieczenstwa, a takze zapisy polityki ochrony cyberprzestrzeni rp oraz strategii bezpieczenstwa cybernetycznego unii europejskiej : otwarta, bezpieczna i chroniona cyberprzestrzen. 4. głowne pojecia przyjete w do",316,36,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
22,"##ktrynie : - * * cyberprzestrzen * * - przestrzen przetwarzania i wymiany informacji tworzona przez systemy teleinformatyczne ( zespoły wspołpracujacych ze soba urzadzen informatycznych i oprogramowania zapewniajace przetwarzanie, przechowywanie, a takze wysyłanie i odbieranie danych przez sieci telekomuni",308,39,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
23,##kacyjne za pomoca własciwego dla danego rodzaju sieci telekomunikacyjnego urzadzenia koncowego przeznaczonego do podłaczenia bezposrednio lub posrednio do zakonczen sieci ) wraz z powiazaniami miedzy nimi oraz relacjami z uzytkownikami ; - * * cyberprzestrzen * * rp - cyberprzestrzen w obrebie terytorium pan,311,44,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
24,"##stwa polskiego oraz w miejscach, gdzie funkcjonuja przedstawicielstwa rp ( placowki dyplomatyczne, kontyngenty wojskowe, jednostki pływaja - ce oraz statki powietrzne poza przestrzenia rp, podlegajace polskiej jurysdykcji ) ; - cyberbezpieczenstwo rp ( bezpieczenstwo rp w cyberprzestrzeni ) - pro",299,40,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
25,"##ces zapewniania bezpiecznego funkcjonowania w cyberprzestrzeni panstwa jako całosci, jego struktur, osob fizycznych i osob prawnych, w tym przedsiebiorcow i innych podmiotow nieposiadajacych osobowosci prawnej, a takze bedacych w ich dyspozycji systemow teleinformatycznych oraz zasobow informacyjnych w globalnej cyberpr",323,39,133,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
26,"##zestrzeni ; - bezpieczenstwo * * cyberprzestrzeni * * rp - czesc cyberbezpieczenstwa panstwa, obejmujaca zespoł przedsiewziec organizacyjno - prawnych, technicznych, fizycznych i edukacyjnych majacych na celu zapewnie - nie niezakłoconego funkcjonowania cyberprzestrzeni rp wraz ze stanowiaca jej kompone",306,39,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
27,##nt publiczna i prywatna teleinformatyczna infrastruktura krytyczna oraz bezpieczenstwa przetwarzanych w niej zasobow informacyjnych ; - srodowisko * * cyberbezpieczenstwa * * - ogoł warunkow funkcjonowania danego podmiotu w cyberprzestrzeni charakteryzowany przez wyzwa - nia ( szanse i ryzyka ) oraz zagrozenia dla os,320,44,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
28,"##iagania przyjetych celow ; - wyzwania * * cyberbezpieczenstwa * * - sytuacje problemowe w dziedzinie cyberbezpieczenstwa, stwarzane zwłaszcza przez szanse i ryzyka oraz generujace dylematy decyzyjne, przed jakimi stoi podmiot w rozstrzyganiu spraw cyberbezpieczenstwa ; - szanse * * cyberbezpieczenst",302,41,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
29,##wa * * - niezalezne od woli podmiotu okolicz - nosci ( zjawiska i procesy w srodowisku bezpieczenstwa ) sprzyjajace realizacji interesow oraz osiaganiu celow podmiotu w dziedzinie cyberbezpieczenstwa ; - ryzyka * * cyberbezpieczenstwa * * - mozliwosci negatywnych dla danego podmiotu skutkow własnego,302,45,132,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
30,"działania w sferze cyberbezpieczenstwa ; - * * zagrozeniacyberbezpieczenstwa – * * posrednie lub bezposrednie zakłocajace lub destrukcyjne oddziaływania na podmiot w cyberprzestrzeni ; - doktryna * * cyberbezpieczenstwa * * rp - oficjalne poglady i ustalenia dotyczace celow, ocen srodowiska oraz ko",299,43,130,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
31,"##ncepcji ( zasad i sposobow ) działania ( w tym tzw. dobrych praktyk ) dla zapewnienia bezpieczne - go funkcjonowania panstwa jako całosci, jego struktur, osob fizycznych i osob prawnych - w tym przedsiebiorcow i innych podmiotow nieposiadajacych osobowosci prawnej - w cyberprzestrzeni.",288,43,129,4,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
32,"# 1. cele strategiczne rp w dziedzinie cyberbezpieczenstwa 5. strategicznym * * celem * * w obszarze cyberbezpieczenstwa rp, sformułowanym w strategii bezpieczenstwa narodowego rp, jest zapewnienie bezpiecznego funkcjonowania rzeczypospolitej polskiej w cyber - * * przestrzeni * *, w tym adekwatnego",300,42,130,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
33,"poziomu bezpieczenstwa narodowych systemow teleinformatycznych - zwłaszcza teleinformatycznej infrastruktury krytycznej panstwa - a takze kluczowych dla funkcjonowania społeczenstwa prywatnych podmiotow gospodarczych, w szczegolnosci wchodzacych w skład sektorow : finansowego, energetycznego i och",298,32,130,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
34,"##rony zdrowia. 6. cel strategiczny osiaga sie przez realizacje zadan prowadzacych do osiagania celow o charakterze * * operacyjnymipreparacyjnym * *. głowne cele operacyjne to : - ocena warunkow cyberbezpieczenstwa, w tym rozpoznawanie zagrozen, szacowanie ryzyk i identyfikacja szans ; - zapobiegan",300,42,132,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
35,"##ie ( przeciwdziałanie ) zagrozeniom, redukowanie ryzyk i wykorzystywanie szans ; - obrona i ochrona własnych systemow i zgromadzonych w nich zasobow ; - zwalczanie ( dezorganizowanie, zakłocanie i niszczenie ) zrodeł zagrozen ( aktywna obrona oraz działania ofensywne ) ; - po ewentualnym ataku - odt",302,47,132,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
36,"##warzanie sprawnosci i funkcjonalnosci systemow tworzacych cyberprzestrzen. 7. do osiagniecia powyzszych celow operacyjnych potrzebne jest, w wymiarze * * preparacyjnym, * * zbudowanie, utrzymywanie i systematyczne doskonalenie ( rozwoj ) zintegrowanego, zarzadzanego ( koordynowanego ) ponadresortowo, systemu cyberbez",320,38,132,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
37,##pieczenstwa rp obejmujacego : - podsystem kierowania - zdolny do organizowania i koordynowania dzia - łan podmiotow rzadowych i pozarzadowych realizujacych zadania w zakresie cyberbezpieczenstwa ; - podsystemy operacyjne i wsparcia - zdolne do samodzielnego prowadzenia defensywnych ( ochronnych i obronnych ) oraz ofensy,323,44,132,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
38,"##wnych cyberoperacji, a takze udzielania i przyjmowania wsparcia w ramach działan sojuszniczych.",97,12,42,5,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
39,# 2. srodowisko cyberbezpieczenstwa rp,38,5,20,6,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
40,"# # 2. 1. wymiar wewnetrzny 2. 1. 1. * * zagrozenia * * 8. wraz z postepujacym rozwojem technologicznym wszystkie tradycyjne wewnetrzne zagrozenia bezpieczenstwa coraz czesciej moga znajdowac odpowiedniki ( analogie ) w cyberprzestrzeni. mowa o zjawiskach takich, jak cyberprzestepczosc, cyber",293,42,130,7,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
41,"##przemoc, cyberprotesty czy cyberdemonstracje o charakterze destrukcyjnym, zakłocajace realizacje istotnych zadan admi - nistracji publicznej oraz sektora prywatnego. 9. wsrod cyberzagrozen szczegolnie istotne sa te dotyczace infrastruktury krytycznej panstwa, sterowanej za pomoca systemow informatycznych. w tym zakr",319,37,132,7,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
42,"##esie nadzwyczaj niebezpieczne dla panstwa moga byc celowe ataki na systemy komunikacji ( łacznosci ) zapewniajace sprawne funkcjonowanie podsystemu kierowania bezpieczenstwem narodowym, podsystemu obronnego i podsystemow ochronnych, a takze podsystemow wsparcia ( gospodarczego i społecznego ). 10. z podmiota",311,39,132,7,poland_2015_CybersecurityDoctrine_noneng.md,2025-01-28 18:57:14
