chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,koncepcja obronna rzeczypospolitej polskiej the defence concept of the republic of poland ministerstwo obrony narodowej ministry of national defence maj 2017 may 2017 tkongepcial re,181,25,51,0,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
2,# # słowo wstepne ministra obrony narodowej 5 – 8 foreword by the minister of national defence 2. strategiczny przeglad obronny 2016. 9 – 15 wprowadzenie * * pełnomocnika ministra obrony * * narodowej ds. * * strategicznego przegladu obronnego * * the strategic defence review of 2016. introduction by the representative of the minister of national defence for the strategic defence review 3. srodowisko bezpieczenstwa rp,421,67,130,1,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
3,16 – 37 dzisiaj i w perspektywie 15 lat security environment of poland today and in 15 years | 3. 1. | | - - - - - - - - | kontekst globalny 18 – 21 | 3. 2. | | - - - - - - - - | global context głowne zagrozenia i * * wyzwania * * 22 – 37 | 4. | | - - - - - - | | 4. 1. | | - - - - - - - - | main threats and challenges | 4. 2.,327,96,130,1,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
4,| | - - - - - - - - | polska obronnosc w * * perspektywie 2032 roku * * 39 – 68 | 4. 3. | | - - - - - - - - | polish defence in the perspective of 2032 | 4. 4. | | - - - - - - - - |,181,59,77,1,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
5,# # katalog zadan sił * * zbrojnych rp * * 40 – 41 catalogue of tasks for the polish armed forces,97,22,31,2,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
6,"# # model sił zbrojnych * * rp 2032 * * 42 – 56 the model of polish armed forces in 2032 system kierowania i dowodzenia siłami zbrojnymi rp 57 – 61 command and control system of the polish armed forces obrona narodowa jako wysiłek całego * * panstwa * * 62 – 65 national defence as a whole nation effort 4. 5. polityka obronna oparta na * * analizie danych * * 66 – 69 defence policy based on data analysis "" konce",414,84,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
7,"##pcja obronna rzeczypospolitej polskiej "" jest dokumentem przeznaczonym na uzytek publiczny, podsumowujacym strategiczny przeglad obronny 2016. "" the defence concept of the republic of poland "" is a document designed for public use that summarises the findings of the strategic defence review of 2016. 1.! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) słowo wstepne ministra obrony narodowej foreword by",404,68,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
8,"the minister of national defence wydarzenia ostatnich lat, takie jak agresja federacji rosyjskiej na ukraine, destabilizacja bliskiego wschodu i afryki połnocnej czy kolejne zamachy terrorystyczne, pokazuja rosnace zagrozenia dla polski. the events of the past few years, such as russian aggression in ukraine, the destabilisation of the middle east and north africa, and successive terrorist attacks, show a growing number",423,60,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
9,"of threats for poland. 5 zamierzamy realnie zwiekszyc zdolnosc do odstraszania w oparciu o własny potencjał obronny - ta mysl przyswiecała pracom nad rekomendacjami, na czele z modelowaniem pozadanego modelu sił zbrojnych rp we are going to realistically strenghen our deterrence capabilities, building them on our own national defence capabilities. this is the axiom of all sdr recommendations, the",399,59,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
10,"focus of which is the desired model of the polish armed forces podstawowym narzedziem zapewnienia bezpieczenstwa jej obywatelom pozostaja siły zbrojne rp. w ostatnich latach rozwijały sie one jednak w oparciu o błedne załozenia. brakowało rzetelnej oceny geopolitycznej sytuacji naszego kraju, a takze prognozy oparte",317,45,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
11,"##j na uwaznej obserwacji trendow rozwijajacych sie w otoczeniu. skutkiem tego było błedne przeswiadczenie, ze ryzyko konfliktu zbrojnego w naszej czesci europy jest minimalne, zas zagrozenia nalezy upatrywac głownie wsrod aktorow niepanstwowych. strategiczny przeglad obronny, zainicjowany w lip",296,38,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
12,"##cu 2016 roku, stał sie dla sił zbrojnych rp podstawa koniecznej refleksji na temat biezacych i przyszłych wyzwan. choc podobne przedsiewziecia w ramach resortu realizowano juz wczesniej dwukrotnie, po raz pierwszy przyjeto realistyczne załozenia dotyczace naszego srodowiska bezpieczenstwa. strategiczna analiza poł",317,41,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
13,"##ozenia polski dała jasny wniosek : skala zagrozen wynikajacych z agresywnej polityki rosji nie była dotychczas własciwie oszacowana. tym samym, po latach dryfu, polska polityka obronna wreszcie uzyskuje jasny i odpowiadajacy podstawowej potrzebie cel. zespoł pracujacy nad spo na pierwszym miejscu post",304,42,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
14,"##awił koniecznosc przygotowania panstwa do obrony własnego terytorium. zamierzamy realnie zwiekszyc zdolnosc do odstraszania w oparciu o własny potencjał obronny - ta mysl przyswiecała pracom nad rekomendacjami, na czele z modelowaniem pozadanego modelu sił zbrojnych rp. inne wazne zagadnienia to",298,40,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
15,wzmacnianie wiezi sojuszniczych i roli polski w tych relacjach oraz udział w zarzadzaniu kryzysowym i operacjach zagranicznych. budowanie potencjału obronnego naszego panstwa powinno byc osadzone w szerszym kontekscie rozwoju polski. dlatego działalismy według ram rozwoju the polish armed forces remain the best guarantor of the security,338,46,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
16,"of polish citizens. however, over recent years, those forces have been developed based on erroneous assumptions. there was a lack of both an accurate assessment of poland ' s geopolitical situation, and of a sound strategic diagnosis supported by the careful observation of trends in our neighbourhood. this resulted in a wrong conviction that the risk of an armed conflict in our part of europe was marginal, and that any potential threats would be attributed mainly to non - state actors. the strategic defence review ( sdr ), initiated in july 2016, became for the polish armed forces a trigger for the necessary reconsideration of the current and future challenges",668,110,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
17,". although similar processes had been conducted within the ministry on two previous occasions, for the first time we based the review on realistic premises concerning our security environment. the strategic analysis of the current position of poland on the international scene yielded a clear conclusion : the scale of threats resulting from the russian aggressive policy had not been adequately assessed in the past. thus, after years of floating adrift, polish defence policy finally has a clear goal that corresponds with our basic security objectives. for the team working on the sdr, the number one priority was the necessity of adequately preparing poland to defend its own territory. we are going to realistically strengthen our deter",741,117,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
18,"##rence capabilities, building them on our own national defence capabilities. this is the axiom of all sdr recommendations, the focus of which is the desired model of the polish armed forces. other important themes are the strengthening of bonds with allies, the role of poland in those relations, as 6! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) panstwa i finansowania obronnosci, nakreslonych w strategii na rzecz odpowiedzialnego rozwoju. po raz pierwszy w historii iii",475,83,133,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
19,"rp tworzymy perspektywe skutecznej obrony panstwa i jego zywotnych interesow. nowoczesne wojsko musi byc elastyczne i odpowiadac na coraz bardziej zroznicowane zagrozenia. podstawa sił zbrojnych rp pozostana wojska operacyjne wspierane przez wojska obrony terytorialnej, przygotowane m. in. do neutralizowania wr",312,40,130,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
20,"##ogich działan ponizej progu wojny. przyszłe zadania na rzecz obronnosci beda wypełniane nie tylko na polu walki, ale rowniez w cyberprzestrzeni, w mysl postanowien szczytu nato w warszawie. przewidujemy, ze wzrosnie rola uzbrojenia i sprzetu wojskowego nie wymagajacego bezposredniego sterowania prze",302,41,132,3,poland_2017_TheDefenseConcept_noneng.md,2025-01-28 18:57:50
