chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# omanian r defence 2013 ministry of national defence omanian r defence u transformation of the romanian armed! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) forces - a direct answer to emerging challenges 1 u romania ' s participation in regional cooperation initiatives 3 u romania in nato * smart defence * and eu pooling and sharing initiatives 7! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png )! [ 1 _ image _ 2. png ] ( 1 _ image _ 2. png )! [ 1 _ image _ 3. png,466,107,130,0,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
2,] ( 1 _ image _ 3. png )! [ 1 _ image _ 4. png ] ( 1 _ image _ 4. png ),71,25,34,0,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
3,"# # ministry of national defence u us - romania strategic partnership 8 u rou military contribution to nato - led operations 10 u afghanistan : 1600 troops deployed in the hotest area of operations 12 u the romanian armed forces in eu operations 14 u the first participation of a romanian military ship in a counter - piracy operation 15 u the romanian special operations forces - a new identity for an old caste 17 u personnel ' s quality of life - a priority of the ministry of national defence 19 u who ' s who in romanian defence 20 u special rights for the 33, 000 romanian war veterans 22 u romanian military charity association - "" comrades "" - 5 years",659,125,130,1,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
4,of existence and over 300 severe cases solved 23 u from cincu range to the land forces combat training center 24 u nato humint centre of excellence from oradea 28 u the centenary of the romanian military aeronautics 30 u the romanian naval forces on mission at seas and oceans worldwide 32 u the national defence industry - a main player in the romanian armed force ' s procurement process 34 u the higher military educational institutions - connected to the international scientific circuit 36 publisher : information and public relations directorate tel. / fax : + 40 213195698 ; e - mail : drp @ mapn. ro editorial board : col valentin va,641,114,130,1,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
5,"##sile ( deputy director of the information and public relations directorate ), maj monica szlavik ( chief of electronic publications office ), gabriela chircea ( layout and cover ), anca - cristina mihail ( translator ) photos by : mond photographers & pr officers printed at military technical publishing center c. 2460 / 2013 b 00411 u ministry of national defence social media 40",383,64,86,1,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
6,"# contents transformation of the romanian armed forces - a direct answer to emerging challenges over the past 20 years, the romanian military system has gone through an important conceptual and structural transformation, determined by the development of the constantly changing security environment, as well as by the accession of our country to nato and eu. the transformation was intended to ensure the capabilities needed to promote and protect national interests against current and future threats so that romania can be able to fulfill its commitments to nato, eu and other international security and defense organizations. this triggered doctrinal and organizational changes, along with significant adjustments in the force structure and connected areas, such as capabilities, intelligence",795,117,130,2,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
7,", training and education, acquisitions, personnel management, budgeting and planning. the restructuring process was essentially called for by the overall process of social and military reform, and by the differences between the oversized structure of the military system ( over 300, 000 people ) and the poor socio - economical potential to support it, as well as by limitations imposed by international treaties, in terms of downsizing and reduction of armaments ( the vienna document and the paris treaty ). there were some major milestones in the transformation process, such as the signing of the partnership for peace ( 26th january, 2004 ) and of the strategic partnership with the us ( 11th",697,113,130,2,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
8,"july, 1997 ), the adoption of the membership action plan ( map ) planning system, starting with 1999. they all marked the beginning of the process of harmonizing the measures by 2025, the transformation process will consist of the following stages : • the first stage - * * the basic reorganization process * * - ( 2005 - 2007 ) was completed. the next short - term objectives of the transformation process were accomplished : restructuring and reorganization of the management system at the strategic and operational levels, initiating the process of making the nato and eu designated forces operational as established in the force planning processes of the two organizations ; creating an all volunteer force etc",714,119,130,2,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
9,". • the second stage of the transformation deals with the * * operational * * integration into nato and eu ( 2008 - 2015 ). at this point, we are going to meet the medium - term goals of transformation, which consist of : continuing making the nato and eu designated forces operational, continuing the acquisition of new equipment, implementing the major procurement programs and re - organizing the military educational system according to the conception established, increasing participation in nrf and the contribution to eu ' s defense capabilities. • the third stage, the * * full technical integration into nato and * * european union ( 2016 / 2025 ), will enable the fulfillment",685,117,130,2,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
10,"of the long - term transformation objectives. the efforts and the financial and human resources will converge to meet the assumed capabilities included into capability targets. the participation in the nato and eu missions and operations and the further upgrading and equipping of the forces as well as the interoperability with other eu and nato armed forces are some of the long - term transformation objectives. taken and activities developed by the romanian armed forces and nato. in this context, the basic aim of the transformation process is to adjust the romanian armed forces structure to the current and future security environment evolution in order to be able to fulfill our national commitments to the alliance, according to",737,118,130,2,romania_2013_RomanianDefence.md,2025-01-28 18:57:56
