chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,r o m a n i a! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministry of national defense,89,27,34,0,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
2,"# the military strategy of romania - * modern armed forces for a powerful romania *! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) within europe and around the world - blank page romania finds itself in a security environment characterized by complex developments, which require on the one hand redefining its military power and on the other hand adapting its reaction in order to counter risks and threats against national security. currently, our country enjoys strong security guarantees offered by its status as a member of the north atlantic alliance and of the european union, and by its good relations with its neighboring countries and strategic partners.",663,116,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
3,"in this context, romania ' s priority is to meet its obligations by developing its own defense capabilities in accordance with european and euro - atlantic standards and with its geostrategic profile. the military strategy is the document through which national defense and security policy is put into practice. it defines the framework for the development of the military for the defense of the country in an allied context. based on the provisions of the national defense strategy, the white paper on defense and of nato and eu documents, the military strategy provides coherence to concepts and actions required to carry out the missions of the armed forces and achieve the objectives of the defense policy.",710,116,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
4,"strategic principles are defined in a modern vision, leading, in a logical progression, to the strategic and operational concepts which will become the basis for the role and use of the romanian armed forces. achieving and maintaining an adequate reaction capacity, in order to carry out missions, will be sustained through the allocation of specific resources at an appropriate level and through the use of the experience acquired in international missions and theaters of operations like afghanistan, iraq, the western balkans, the mediterranean or the gulf of aden, and throughout the training process. to ensure an optimal level of coherence, flexibility, and institutional capability, the document seeks to materialize the directions",738,111,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
5,"of action regarding the configuration, size, training, and procurement of the romanian armed forces. in this respect, implementing the program of transformation, development, and procurement of the romanian armed forces until 2026 and beyond, and the allocation of at least 2 % of gdp to the ministry of national defense, ensure the necessary conditions for the continuation of the process of transformation of the romanian armed forces and the completion of planned objectives, in accordance with its missions, responsibilities, and commitments. the romanian armed forces will continue to guarantee that national sovereignty and independence, the unity and territorial integrity are preserved, and make an active contribution to regional and global stability and",763,112,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
6,"security. mihnea ioan motoc minister of national defense blank page according to the constitution of romania, the armed forces are exclusively under the will of the people and guarantee the sovereignty, independence, and unity of the state, the territorial integrity of the country, and constitutional democracy. under the law and under international treaties ratified by romania, the armed forces contribute to collective defense in military alliance systems and take part in peacekeeping or peace enforcement actions. carrying out these fundamental missions requires the identification of potential military risks and threats, the establishment of military objectives in agreement with national interests, the configuration of the most effective package of defense capabilities, and",784,111,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
7,"the setting of operational concepts on which the use of military force is based. the military strategy achieves these requirements through detailing the force structure and providing the guidelines for the planning of organisation, size, training and endowment of the romanian armed forces over the next four years. since the publication of the previous military strategy, the dynamics and complexity of the security environment have increased. the military conflicts in georgia and ukraine, the volatility of the security environment, the proliferation of terrorism, and the migration generated by the situation in the middle east and north africa ( mena ) represent a true paradigm shift in romania ' s area of strategic interest. security",741,114,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
8,"and collective defense assurances, provided by the status of romania as a north atlantic alliance member, the solidarity and mutual assistance clauses within the european union, and the strategic partnerships - of which the one with the united states of america is essential -, represent evidence of the democratic path and evolution that romanian society made towards more security. a diversified spectrum of threats against our national security, and the obligations romania assumed in the allied context, require the armed forces to develop necessary defense capabilities at the right level of readiness, well - equipped and ready for action according to operational plans. the military strategy has an active - defensive character, and emphasizes the need to",762,117,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
9,"quickly adapt our posture and force structure to the complexity of challenges. the ability to accurately produce the desired effects by effectively engaging the forces assigned to the mission is dependent on the flexible architecture of the command structure, on the quality of the leaders, and on the initiative of the forces executing the missions. reaction time will be very short, and challenges will combine in unexpected ways. it will not be sufficient for operations to be carried out in a joint context. they will also need to have an integrating character, fully correlated with the actions of other instruments of national power, within a coherent and flexible interagency framework. the concept of expanded national security",735,116,130,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
10,"requires the training of military personnel in understanding the role of national power structures and of international organizations in order to ensure the synergy of action of all actors involved in the area of military action. the military strategy offers the guidelines for a new generation of military leaders, with their character shaped in theaters of operations and experience gained in allied commands and encourages them to be innovative, flexible, effective, and oriented towards the achievement of the operational capability of the force structure of the romanian armed forces. general nicolae - ionel ciuca chief of the general staff blank page",657,101,113,1,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
11,"# chapter 1 - introduction released under the provisions of law no. 203 / 2015 on defense planning, the * military * strategy of romania renders operational the defense dimension established in the * national * defense strategy for 2015 - 2019, specifies the implementation of objectives in the governing programme at the military level, and describes the ways and concepts derived from the provisions of the * white paper on defense 2016 *. the starting point of the * military strategy of romania * is the extended approach to national security, in which defense is merged and mutually balanced with the dimensions of law enforcement, intelligence, counterintelligence and security, diplomacy, crisis management,",714,113,130,2,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
12,"education, health, economy, energy, and demographics. thus, the military instrument adapts its principles, missions, force structure, and capabilities to the new changes in the security context. based on the assessment of potential military risks and threats, the * military strategy * outlines in detail the way that missions of the romanian armed forces are carried out, and the guidelines for the configuration of the force structure in accordance with the defense policy objectives listed in the * white paper on defense *. it outlines the main missions of the military for a timeframe of four years, with medium and long term perspectives. complementary to the other defense planning documents at the",705,111,130,2,romania_2016_MilitaryStrategy.md,2025-01-28 18:57:39
