chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"romania! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministerul apararii nationale bucuresti 2021 ministerul apararii nationale str. izvor, 110 - sector 5 - cod postal 050561 telefon 021. 319. 5660 - fax 021. 319. 5864! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) | cuprins cuvant inainte 5 introducere 8 premise 8 evaluarea mediului de securitate 10 mediu",360,75,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
2,##l international de securitate 10 riscuri si amenintari 12 obiectivele politicii de aparare 14 dezvoltarea posturii nationale de aparare si contributia la consolidarea rezilientei nationale 15 consolidarea profilului strategic al romaniei in cadrul nato si ue pe dimensiunea de aparare si descurajare 16 aprofundareaparteneriatului strategic cu sua si dezvoltarea cooperarii cu ceilalti parteneri strategici ai romani,418,56,132,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
3,##ei 20 consolidarea profilului romaniei de furnizor de securitate in regiunea extinsa a marii negre 21 dezvoltarea cooperarii internationale bilaterale si in format multilateral in domeniul apararii 22 sprijinirea autoritatilor publice in gestionarea situatiilor de urgenta 24 misiunile si cerintele specifice pentru armata romaniei 26 misiunile armatei romaniei 26 nivelul de ambitie 29 cerinte specifice 32 principalele,422,57,133,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
4,directii de dezvoltare a capabilitatilor de aparare 38 politicile privind managementul integrat al resurselor pentru aparare 41 planificarea apararii 42 managementul resurselor umane 43 managementul achizitiilor pentru aparare 45 managementul activitatii de cercetare - dezvoltare si inovare ( cdi ) 47 managementul infrastructurii de aparare 48 resursele financiare 51 consideratii finale 54 |,394,53,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
5,| - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
6,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
7,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
8,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
9,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
10,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
11,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
12,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
13,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,romania_2021_DefenseWhitePaper_noneng.md,2025-01-28 18:56:58
