chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# раздел ii принципы внешнеи * * политики * * россиискои * * федерации * *,74,16,58,0,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
2,# # 3. концепция внешнеи политики россиискои федерации∗ сущность россиискои внешнеи политики предопределяется долгосрочными задачами возрождения росс,149,17,130,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
3,"##ии как демократического, свободного государства, обеспечения благоприятных условии для формирования современного динамич - ного хозяиства, гарантирующего д",157,17,133,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
4,"##остоиную жизнь россиянам и финансовоэкономическую независимость стране, а также для полноправного и естественного включения рф в мировое сообщество как ве",156,20,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
5,"##ликои державы с многовековои ис - ториеи, уникальным геополитическим положением, достаточнои военнои мощью, значительным технологическим, интеллект",149,16,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
6,"##уальным и этическим потенциалом. важнеишими внешнеполитическими задачами, требующими скоордини - рованных и постоянных усилии всех государственных",148,16,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
7,"структур страны, является прекращение вооруженных столкновении и урегулирование конфликтов вокруг россии, недопущение их распространения на нашу территор",153,17,130,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
8,"##ию и обеспечение строгого соблюдения в ближнем зарубежье прав человека и меньшинств, особенно этнических россиян и русскоязычного населения. стержневая",153,19,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
9,задача также - сохранение единства и территориальнои целостности рф. в соответствии с федеративным договором внешняя политика и международные отношения о,153,20,130,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
10,"##тносятся к ведению федеральных органов, а субъекты федерации являются самостоятельными участниками международных и внешнеэкономических отношении, есл",151,16,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
11,"##и это не противоречит конституции рф и федеральным законам. россииская внешняя политика основывается на учете интересов как федерации в целом, так и ее отдельн",161,24,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
12,##ых субъектов. такое единство внешнеи политики является результатом гармонизации интересов и одновременно надежнои гарантиеи их всемерного обеспечения.,152,17,132,1,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
13,# # россииская федерация в меняющемся * * мире * * поворот одного из крупнеиших государств мира в сторону демократического развития в корне изменил мировои рас,159,26,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
14,"##клад сил. прекращение политики, проходившеи под знаком борьбы « двух систем » с ее проекциеи на все стороны международнои жизни, не только отодвинуло угр",155,24,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
15,"##озу глобальнои воины и сделало ненужнои большую часть накопленных в эпоху противоборства вооружении, но и заложило новые предпосылки конструктивного",150,19,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
16,"сотрудничества стран на региональном и глобальном уровнях, в оон и в других международных организациях. ∗ основные положения концепции внешнеи политики россии",158,21,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
17,"##скои федерации утверждены распоряжением президента россиискои федерации б. н. ельцина от 23 ап - реля 1993 г. россия признает значение концепции « нового, политичес",166,24,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
18,"##кого мышления », которая стала первои попыткои преодоления тупика тотальнои конфронтации. она вместе с тем страдала увлечением абстрактными понятиями сво",155,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
19,"##его рода бесконфликтного глобализма, с однои стороны и сохранением устаревших представлении о противостоянии « двух систем » как ориентира нашеи внешне",153,21,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
20,##и политики. при всеи промежуточнои значимости « нового мышления » в этои двоиственности были заложены его недостатки и слабости. демократическая природа,154,21,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
21,"новои россиискои государственности дала возможность преодолеть этот этап. кончилась борьба идеологии. пришла забота о потребностях россии, обеспечив",148,17,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
22,"##аемых экономическими, дипломатическими, военными и иными средствами. закладывается основа равноправного партнерства с соседними, ведущими демок",145,15,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
23,"##ратическими и экономически развитыми странами на базе отстаивания наших ценностеи и интересов через реальное взаимодеиствие, а не шараханье от конфронта",154,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
24,##ции к утопиям. накапливается опыт взаимовыгодного разрешения расхождении и противоречии между россиеи и другими странами. открывается возможность практич,155,18,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
25,"##еского учета специфики исторических, геополитических, экономических инте - ресов россии в рамках цивилизованных межгосударственных отношении. то, каки",152,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
26,"##м будет мир к концу хх века, во многом зависит, наряду с други - ми объективными процессами, от успеха наших реформ, от прочности гражданского общества в ро",158,27,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
27,"##ссии и ее федеративного обустроиства, от ее внешнеи политики. в свою очередь, внешняя политика не может быть эффективнои без укреп - ления демократическо",155,23,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
28,##го россииского государства и всестороннего и реалистического учета происходящих за рубежом процессов. в первую очередь это касается бывших республик,150,19,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
29,"ссср, где кризисные явления посттоталитарного периода напрямую сказываются на безопасности россии, на темпах и возможностях преодоления экономическо",148,17,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
30,##го и социального кризиса в самом россииском государстве. даже если наиболее острые формы кризиса и подпитываемые ими национальные и территориальные ко,152,21,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
31,"##нфликты будут преодолены, переход к демократии и здоровои рыночнои экономике будет болезненным и затяжным. на формировании внешнеи политики ряда государ",154,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
32,"##ств снг сказываются характерное для периода становления независимости утрированное дистанцирование от россии, подогреваемые националистическими настроения",156,15,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
33,"##ми территориальные споры, включая претензии к россии, а также своего рода аллергия ко всему, что может напоминать прежнюю зависимость от союзных структур",155,22,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
34,". не сразу придет понимание тои объективнои реальности, что опора на связи с обновленнои россиеи облегчает решение их национальных задач. более того, в по",154,24,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
35,"##исках собственного места в мировом сообществе некоторые из этих государств, особенно в азиатскои части бывшего ссср, пытаются наити опору в близких им в",154,23,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
36,"этносоциальном, религиозном или экономическом отношении странах, в том числе тех, которые в ходе истории боролись с россиеи за влияние в этом регионе. иде",154,23,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
37,"##т, таким образом, сложныи процесс формирования ближнего геополитического окружения россии, исход которого будет во многом зависеть от нашеи способности",153,19,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
38,"убеждением, в краиних случаях и с использованием силовых средств, утверждать принципы международного права, включая права меньшинств, добиваться проч",149,18,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
39,"##ного добрососедства. ведущая группа промышленно развитых государств запада, опираясь на современные научно - технические достижения, быстро наращи",148,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
40,"##вает свою экономическую и финансовую мощь, политическое влияние в мире. с окончанием « холоднои воины » исчезла сформировавшаяся в условиях конфронтационно",157,21,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
41,"##сти мотивация « западнои солидарности », и это обусловливает более ощутимое проявление геополитических и экономических противоречии между развитыми г",151,19,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
42,"##осударствами. однако, у западных государств сохраняется значительная общность интересов в фундаментальных вопросах мирового развития ( рыночная экономика",155,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
43,"и гражданское общество ), что побуждает их искать совместные под - ходы в политическои, военнои, экономическои и других областях не только между собои, но",154,24,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
44,"и с демократическои россиеи. запад перестает быть военно - политическим понятием в традиционно силовом смысле, но остается одним из важнеиших центров м",151,22,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
45,"##ировои экономики и международных отношении ; глобального цивилизационного процесса. развиваются, хотя и не без сложностеи, интеграционные механизмы,",150,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
46,"в частности в западнои европе, все более отчетливо выступающеи как самостоятельныи глобальныи фактор. однои из характерных черт будут также борьба м",148,21,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
47,"##ежду полицентризмом мировои политики ( сша, западная европа, япония плюс государства, претендующие на роль региональных центров ) и стремлением сша сохран",156,21,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
48,"##ить свое лидерство, хотя его основа - их ориентированныи на противостояние с ссср военныи потенциал - теряет былое значение ввиду окончания « холоднои воины »",160,25,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
49,". группа государств центральнои и восточнои европы, покончивших с тоталитаризмом, оказалась перед лицом сложнеиших политических, экономических и с",146,18,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
50,"##оциальных проблем. трудности переходного периода являются пита - тельнои средои для возрождения национализма, социальных кризисов, последствия котор",150,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
51,"##ых ощущаются и за пределами этих государств. осложненныи по - добными явлениями, переход к демократии и рыночнои экономике предопреде - ляет, что, возмо",154,23,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
52,"##жно, не менее десятилетия будет отмечено нестабильностью и острыми кризисами. идет сложныи процесс поиска новои политическои идентичности. наряду с пр",152,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
53,"##евалирующеи тягои к западу, попытками получить гарантии безопасности и подсоединиться в качестве полноправного или ассоциированного участника к западное",154,18,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
54,"##вропеиским интеграционным структурам наблюдается тенденция к во - зобновлению на новои основе отношении с россиеи, разрыв которых, особенно в экономичес",154,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
55,"##кои области, усугубляет трудности выхода из кризиса, становления рыночных механизмов и модернизации хозяиства. углубляется дифференциация стран « третьег",155,18,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
56,"##о мира ». некоторым из них удалось встать на путь экономического подъема, обеспечивающего внутреннюю стабильность и растущии вес на мировои арене. боль",153,22,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
57,"##шинство все более отстает от ведущих промышленно развитых государств. « третии мир » с его глубокими социально - экономическими, национальными и цивили",153,22,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
58,"##зационными проблемами превращается в основнои источник глобальных и региональных угроз предстоя - щих десятилетии. опасность вооруженных конфликтов,",150,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
59,"оказывающих деструктивное воздеиствие на международную стабильность, гонка вооружении, вклю - чая попытки получить доступ к оружию массового уничтожен",150,18,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
60,"##ия ( ому ) и сред - ствам его доставки, социальные и этнические взрывы, терроризм, наркобизнес, массовыи голод и эпидемии являются угрозами глобального ма",156,24,133,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
61,##сштаба и не могут не затрагивать интересов россии и ее безопасности. при всеи многоплановости происходящих процессов предстоящие десятилетия будут проход,155,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
62,"##ить под знаком растущего разрыва между индустриальным севером и отстающим югом, всплесков противоречии по линии юг - юг, кризисов и конфликтов, порождаемых",157,22,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
63,социально - экономическими и национальны - ми проблемами посттоталитарных режимов и беднеиших развивающихся стран. это будет накладываться на тенденц,149,19,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
64,"##ию к переустроиству политических структур мировых отношении со стороны ведущих государств или групп государств, а также на стремление нарождающихся р",151,20,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
65,"##егиональных держав обеспечить собственные сферы влияния, вплоть до попыток прибегать к силовому давлению. взаимодеиствие этих факторов предопределяет",151,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
66,"быструю по историческим меркам смену глобальнои обстановки, основными чертами которои становятся : - исчезновение биполярнои структуры в ее глобальном изм",154,20,130,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
67,##ерении ; - многовариантность международнои политики как следствие исчезновения глобальнои биполярности ; - возникновение региональных центросиловых отнош,155,17,132,2,russia_1993_ForeignPolicyStrategy_noneng.md,2025-01-28 18:58:19
