chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# rustrans,10,2,6,0,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
2,"# # # # useful translations * * [ create account or sign in ] ( javascript : ; ) * * | search this site | search | | - - - | - - - | [ translations ] ( javascript : ; ) [ contact ] ( http : / / rustrans. wikidot. com / contact ) 1. russia has overcome the consequences of the systemic political and socio - economic crisis of the end of the 20th century — having stopped the decline in the quality of life of russian citizens ; withstood the pressures of nationalism, separatism and international terrorism ; prevented the discreditation of the constitutional",559,112,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
3,"form of government ; preserved its sovereignty and territorial integrity ; and restored the country ' s potential to enhance its competitiveness and defend its national interests as a key player within evolving multipolar international relations. russia is pursuing a state policy of national defense, state and social security, and stable development, which responds adequately to internal and external conditions. the preconditions for reinforcing the system of national security have been created, and the relevant legal space has been consolidated. priority issues in the economic sphere have been resolved, and the attractiveness of the economy for investment has grown. authentically russian ideals and spirituality are being born, alongside",747,108,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
4,"a dignified attitude to historical memory. social harmony is being formed on the basis of shared values — the freedom and independence of the russian state, humanism, the peaceful coexistence and cultural unity of russia ' s multinational population, respect for family traditions, and patriotism. overall, the preconditions have been formed for the reliable pre - emption of internal and external threats to national security, as well as for the dynamic development and transformation of russia into a world leader with regards to the level of technological progress, quality of life, and influence over global affairs. in the context of the globalisation of processes of world",678,106,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
5,"development, as well as of international political and economic relations, which creates new threats and risks to the development of the individual, society, and the state, russia is transitioning to a new state national security policy, as a guarantee of successful national development. 2. the main directions of the national security policy of the russian federation are the [ socalled ] strategic national priorities, in the form of important social, political and economic transformations intended to create secure conditions for the realisation of russian citizens ' constitutional rights and freedoms, the stable development of the country, and the preservation of the territorial integrity and sovereignty of the state. 3. the",734,110,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
6,"national security strategy of the russian federation until 2020 is an officially acknowledged system of strategic priorities, goals and measures with regards to domestic and foreign policy, which determine the degree of national security and the level of stable, long - term development of the state. conceptual assumptions in the area of ensuring national security are based on the fundamental interconnectedness and interdependence of the national security strategy of the russian federation to 2020 and the concept for long - term socio - economic development of the russian federation to 2020. 4. the given strategy forms the basis of the development of a system ensuring the national security of the russian federation, and presents a",739,115,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
7,"plan of action and measures intended to | welcome how to join this site site members recent changes list all pages site manager page tags it seems you have no tags attached to pages. to attach a tag simply click on the tags button at the bottom of any page. add a new page new page edit this panel | russia ' s national security strategy to 2020 as far as i can tell, this is the only non - machine - translated version currently on the web ( nb this was back in 2009, now the official kremlin version is up as well ). judging from the feedback i ' ve had, it ' s a pretty accurate",581,119,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
8,"translation and should be sufficient to give the reader an idea of the contents of this important document. all are welcome to contribute suggestions and make changes on the page where the russian text is juxtaposed with the english. approved by decree of the president of the russian federation 12 may 2009 no. 537 national security strategy of the russian federation to 2020 i. general provisions 1. russia has overcome the consequences of the systemic political and socio - economic crisis of the end of the 20th century — having stopped the decline in the quality of life of russian citizens ; withstood the pressures of nationalism, separatism and international terrorism ; prevented the",692,114,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
9,"discreditation of the constitutional form of government ; preserved its sovereignty and territorial integrity ; and restored the country ' s potential to enhance its competitiveness and defend its national interests as a key player within evolving multipolar international relations. russia is pursuing a state policy of national defense, state and social security, and stable development, which responds adequately to internal and external conditions. the preconditions for reinforcing the system of national security have been created, and the relevant legal space has been consolidated. priority issues in the economic sphere have been resolved, and the | | - - - | - - - | - - - - -",686,110,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
10,"g y, y 5. the main purpose of the given strategy is to formulate and support, with the aid of national security forces, the internal and external conditions conducive to the implementation of strategic national priorities. 6. the given strategy employs the following concepts : "" national security "" - the protection of the individual, society and the state from domestic and foreign threats, which in turn ensures constitutional rights and freedoms, an appropriate quality of life for citizens, sovereignty, territorial integrity and stable development of the russian federation, the defense and security of the state ; "" national interests of the russian federation "" — the aggregate of the internal and",705,112,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
11,"external needs of the state in ensuring the protection and stable development of the individual, society and the state ; "" threat to national security "" — the direct or indirect possibility of damage to constitutional rights and freedoms, quality of life, sovereignty / territorial integrity, stable development of the rf, defense and security of the state ; "" strategic national priorities "" — the most important directions in terms of ensuring national security, in accordance with which are realised the constitutional rights and freedoms of rf citizens, stable socio - economic development, and the protection of the country ' s sovereignty, independence and territorial integrity ; "" system of national security "" — the forces and means which",747,119,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
12,"ensure national security "" forces of national security "" — the armed forces of the russian federation, other troops, military formations and bodies which under federal legislation are designated as engaging in military and / or law enforcement service, and likewise federal organs of state power which participate in the provision of national security on the basis of legislation of the russian federation ; "" means of ensuring national security "" — technologies, and likewise technical, programming, linguistic, legal, and organisational resources, including telecommunications channels, which are used within the system of provision of national security in order to collect, formulate, process, transmit or receive information on the status of national security and",767,113,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
13,"measures for its reinforcement. 7. the forces and means which ensure national security concentrate their efforts and resources on the provision of national security in the political, economic and social spheres, in the areas of science and education, in the intercultural, spiritual, informational, military, military - industrial and ecological spheres, and likewise in the area of social security. ii. russia and the modern world : current conditions and trends of development 8. world development is following the path of globalisation in all spheres of international life, which in turn is characterised by a high degree of dynamism and interdependence of events. nation - states",683,104,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
14,"have experienced the intensification of conflicts connected to unequal development, as a result of globalising processes, and of the deepening rift between rich and poor countries. values and models of development have become the subject of global competition. the vulnerability of all members of the international community to new threats and challenges has grown. as a result of the rise of new centres of economic growth and political influence, a qualitatively new geopolitical situation is unfolding. there is an increasing tendency to seek resolutions to existing problems and regulate crisis situations on a regional basis, without the participation of non - regional powers. the inadequacy",697,105,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
15,"of the current global and regional architecture, oriented ( particularly in the euroatlantic region ) towards nato, and likewise the imperfect nature of legal instruments and mechanisms, create an ever - increasing threat to international security. 9. the transition in the international system from opposing blocs to principles of multivector diplomacy, together with russia ' s resource potential and pragmatic policy for its use, have broadened the possibilities for the russian federation to reinforce its influence on the world stage. the russian federation has sufficient potential to count on the creation, in the medium - term, of conditions conducive to its entrenchment among",685,103,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
16,"the leaders of the world economy, on the basis of effective participation in global division of labour, improved global competitiveness of the national economy, of defense potential, and of the level of state and social security. 10. a negative influence on the assurance of russia ' s national interests will be exerted by the likely recurrence of one - sided use of force in international relations, disagreements between the - - - - - g, p g gy g gg intensify, threats will increase to the stability of industrialised and developing countries, their socio - economic development and democratic institutions. nationalist sentiments, xenophobia, sep",650,104,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
17,"##aratism and violent extremism will grow, including under the banner of religious radicalism. the global demographic situation and environmental problems will become more acute, and threats associated with uncontrolled and illegal migration, drug and human trafficking, and other forms of transnational organised crime, will also increase. epidemics caused by new, previously unknown viruses are likely to spread. the deficit of fresh water will become more obvious. 11. in the long term, the attention of international politics will be focused on ownership of energy resources, including in the near east, the barents sea shelf and other parts of the arctic, in the caspian basin",681,103,132,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
18,", and in central asia. in the medium term, the situation in iraq and afghanistan, as well as conflicts in the near and middle east, in a number of south asian and african countries, and on the korean peninsula, will continue to exert a negative influence on the international situation. 12. the critical condition of physical storage of dangerous materials and objects, especially in countries with unstable political situations, together with the proliferation of regular armaments beyond the control of the state, can lead to the intensification of existing, as well as the creation of new regional and interstate conflicts. under conditions of competition for resources, it is not excluded",692,110,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
19,"that arising problems may be resolved using military force, and that the current balance of power on the borders of russia and its allies may be disturbed. there is an increasing risk that the number of countries possessing nuclear weapons will rise. the possibility of maintaining global and regional stability will substantially decrease with the placement in europe of elements of the global missile defense system of the united states of america. the consequences of global financial - economic crises may become comparable, in terms of overall losses, to the consequences of large - scale application of military force. 13. in the long term, the russian federation will seek to construct international relations based on the principles of international",757,119,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
20,"law, and on the institution of reliable and equal security of nation - states. for the defense of its national interests, russia, while remaining within the boundaries of international law, will implement a rational and pragmatic foreign policy, one which excludes expensive confrontation, including a new arms race. russia perceives the united nations and the security council of the united nations as a central element of a stable system of international relations, at the basis of which lie respect, equal rights and mutually beneficial cooperation among nations, resting on civilised political instruments for the resolution of global and regional crisis situations. russia will increase its interaction with multilateral fora",730,109,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
21,"such as the g8, g20, ric ( russia / india / china ), bric ( brazil / russia / india / china ), and will likewise capitalise on the potential of other informal international institutions. the development of bilateral and multilateral cooperation with member states of the commonwealth of independent states is a priority direction of russian foreign policy. russia will seek to develop the potential for regional and subregional integration and coordination among member - states of the cis, first of all within the framework of the commonwealth, and also the csto and evrazes, which exert a stabilising influence on the overall situation in the",644,106,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
22,"regions bordering on the cis. moreover, the csto is regarded as the main interstate instrument for responding to regional threats and challenges of a military - political or military - strategic nature, including the fight with illegal trafficking in narcotic and psychotropic sybstances. 14. russia will promote the strengthening of evrazes as the nucleus of economic integration, and instrument of assistance to the realisation of major hydropower, infrastructural, industrial and other joint projects having a primarily regional significance. 15. of particular significance for russia will be the reinforcement of the political potential of the sco, and the stimulation within",679,99,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
23,"its framework of practical steps towards the enhancement of mutual trust and partnership in the central asian region. 16. the russian federation is in favour strengthening the mechanisms of cooperation with the european union by all possible means, including the continued formation of common spaces in the economic, educational, scientific and cultural spheres, and in terms of internal and external security. the long - term national interests of russia are served by the creation of an open system of euro - atlantic collective security, on a clear legal and treaty basis. - - - - - functions that go counter to norms of international law, are unacceptable to russia. russia is prepared to develop relations with nato",720,117,130,1,russia_2009_NationalSecurityStrategy.md,2025-01-28 18:54:36
