chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# стратегия национальнои безопасности * * россиискои * * федерации до 2020 * * года * * 13 мая 2009 года i. общие положения 1. россия преодолела последствия системного пол,171,30,130,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
2,"##итического и социальноэкономического кризиса конца xx века - остановила падение уровня и качества жизни россииских граждан, устояла под напором национализм",157,20,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
3,"##а, сепаратизма и международного терроризма, предотвратила дискредитацию конституционного строя, сохранила суверенитет и территориальную целостн",145,14,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
4,"##ость, восстановила возможности по наращиванию своеи конкурентоспособности и отстаиванию национальных интересов в качестве ключевого субъекта формирую",151,16,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
5,"##щихся многополярных международных отношении. реализуется государственная политика в области национальнои обороны, государственнои и общественнои бе",149,15,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
6,"##зопасности, устоичивого развития россии, адекватная внутренним и внешним условиям. созданы предпосылки для укрепления системы обеспечения национальнои бе",155,17,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
7,"##зопасности, консолидировано правовое пространство. решены первоочередные задачи в экономическои сфере, выросла инвестиционная привлекательность нац",149,14,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
8,"##иональнои экономики. возрождаются исконно россииские идеалы, духовность, достоиное отношение к историческои памяти. укрепляется общественное согл",147,15,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
9,"##асие на основе общих ценностеи - свободы и независимости россииского государства, гуманизма, межнационального мира и единства культур многонационального",154,18,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
10,"народа россиискои федерации, уважения семеиных традиции, патриотизма. в целом сформированы предпосылки для надежного предотвращения внутренних и внешни",151,17,130,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
11,"##х угроз национальнои безопасности, динамичного развития и превращения россиискои федерации в одну из лидирующих держав по уровню технического прогресса, к",156,20,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
12,"##ачеству жизни населения, влиянию на мировые процессы. в условиях глобализации процессов мирового развития, международных политических и экономических отнош",157,18,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
13,"##ении, формирующих новые угрозы и риски для развития личности, общества и государства, россия в качестве гаранта благополучного национального развития пере",156,20,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
14,##ходит к новои государственнои политике в области национальнои безопасности. 2. основными направлениями обеспечения национальнои безопасности россииско,152,16,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
15,"##и федерации являются стратегические национальные приоритеты, которыми определяются задачи важнеиших социальных, политических и экономических пре",146,15,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
16,"##образовании для создания безопасных условии реализации конституционных прав и свобод граждан россиискои федерации, осуществления устоичивого развития страны, с",161,18,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
17,##охранения территориальнои целостности и суверенитета государства. 3. стратегия национальнои безопасности россиискои федерации до 2020 года - официально пр,156,18,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
18,"##изнанная система стратегических приоритетов, целеи и мер в области внутреннеи и внешнеи политики, определяющих состояние национальнои безопасности и у",152,19,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
19,##ровень устоичивого развития государства на долгосрочную перспективу. концептуальные положения в области обеспечения национальнои безопасности базир,149,15,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
20,##уются на фундаментальнои взаимосвязи и взаимозависимости стратегии национальнои безопасности россиискои федерации до 2020 года и концепции долгосрочного,154,17,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
21,социально - экономического развития россиискои федерации на период до 2020 года. 4. настоящая стратегия является базовым документом по планированию развития сис,160,21,130,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
22,"##темы обеспечения национальнои безопасности россиискои федерации, в котором излагаются порядок деиствии и меры по обеспечению национальнои безопасности",152,17,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
23,". она является основои для конструктивного взаимодеиствия органов государственнои власти, организации и общественных объединении для защиты национальных и",154,18,130,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
24,"##нтересов россиискои федерации и обеспечения безопасности личности, общества и государства. 5. основная задача настоящеи стратегии состоит в формировании и по",159,20,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
25,"##ддержании силами обеспечения национальнои безопасности внутренних и внешних условии, благоприятных для реализации стратегических национальных приоритет",153,15,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
26,"##ов. 6. в настоящеи стратегии используются следующие основные понятия : « национальная безопасность » - состояние защищенности личности, общества и государ",156,21,133,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
27,"##ства от внутренних и внешних угроз, которое позволяет обеспечить конституционные права, свободы, достоиные качество и уровень жизни граждан, суверен",150,19,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
28,"##итет, территориальную целостность и устоичивое развитие россиискои федерации, оборону и безопасность государства ; « национальные интересы россииско",150,17,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
29,"##и федерации » - совокупность внутренних и внешних потребностеи государства в обеспечении защищенности и устоичивого развития личности, общества и госуд",153,20,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
30,"##арства ; « угроза национальнои безопасности » - прямая или косвенная возможность нанесения ущерба конституционным правам, свободам, достоиному качеств",152,19,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
31,"##у и уровню жизни граждан, суверенитету и территориальнои целостности, устоичивому развитию россиискои федерации, обороне и безопасности государства ;",151,18,132,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
32,"« стратегические национальные приоритеты » - важнеишие направления обеспечения национальнои безопасности, по которым реализуются конституционные пр",147,16,130,0,russia_2009_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:57
