chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # mfa russia рус en de fr es pt 中 文 ةيبرع search 8 june 2020 10 : 31,74,22,30,0,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
2,# basic principles of state policy of the russian federation on nuclear deterrence,82,13,16,1,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
3,"# # # # # the president of the russian federation executive order * * on basic principles of state policy of the russian federation * * * * on nuclear deterrence * * with a view to provide for the implementation of the state policy of the russian federation on nuclear deterrence i hereby resolve : 1. to approve the attached basic principles of state policy of the russian federation on nuclear deterrence. 2. this executive order shall enter into force upon its signing. president of the russian federation vladimir putin moscow, kremlin june 2nd, 2020 | col1 | search | col3 | col4 | | - - - | - -",600,113,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
4,"- | - - - | - - - | - - - - - approved by executive order of the president of the russian federation of june 2, 2020 no. 355 * * basic principles * * * * of state policy of the russian federation on nuclear deterrence * * i. general provisions 1. these basic principles represent a strategic planning document in the area of ensuring defence and reflect the official view on the essence of nuclear deterrence, identify military risks and threats to be neutralized by implementation of nuclear deterrence, the principles of nuclear deterrence, as well as the conditions for the russian federation to proceed to the use of nuclear weapons",636,116,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
5,". 2. the guaranteed deterrence of a potential adversary from aggression against the russian federation and / or its allies is one of the highest state priorities. deterrence of aggression is ensured by the entire military strength of the russian federation, including its nuclear weapons. 3. the state policy of the russian federation on nuclear deterrence ( hereinafter – “ the state policy on nuclear deterrence ” ) is a set of political, military, military - technical, diplomatic, economic, information and other measures, coordinated and united by a common design, implemented through reliance on forces and means of nuclear deterrence to prevent aggression against the russian federation and",697,108,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
6,"/ or its allies. 4. state policy on nuclear deterrence is defensive by nature, it is aimed at maintaining the nuclear forces potential at the level sufficient for nuclear deterrence, and guarantees protection of national sovereignty and territorial integrity of the state, and deterrence of a potential adversary from aggression against the russian federation and / or its allies. in the event of a military conflict, this policy provides for the prevention of an escalation of military actions and their termination on conditions that are acceptable for the russian federation and / or its allies. 5. the russian federation considers nuclear weapons exclusively as a means of deterrence, their use being an",707,112,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
7,"extreme and compelled measure, and takes all necessary efforts to reduce nuclear threat and prevent aggravation of interstate relations, that could trigger military conflicts, including nuclear ones. 6. the normative and legal foundation of these basic principles is formed by the constitution of the russian federation, universally recognized principles and norms of international law, international treaties of the russian federation on defence and arms control, federal constitutional laws, federal laws and other normative and legal acts and documents that regulate defence and security issues. - - - - - bodies and other government bodies and organizations that are involved in ensuring nuclear deterrence. 8. these basic principles may be further specified",762,111,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
8,"depending on the external and internal factors that influence defence implementation. ii. essence of nuclear deterrence 9. nuclear deterrence is aimed to provide comprehension by a potential adversary of the inevitability of retaliation in the event of aggression against the russian federation and / or its allies. 10. nuclear deterrence is ensured by the presence in the armed forces of the russian federation of the combat - ready forces and means that are capable to inflict guaranteed unacceptable damage on a potential adversary through employment of nuclear weapons in any circumstances, as well as by the readiness and resolve of the russian federation to use such weapons. 11. nuclear deterrence is ensured",715,112,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
9,"continuously in peacetime, in periods of a direct threat of aggression and also in wartime, up until the actual use of nuclear weapons. 12. the main military risks that might evolve into military threats ( threats of aggression ) to the russian federation due to changes in the military - political and strategic situation, and that are to be neutralized by implementation of nuclear deterrence, are as follows : a ) build - up by a potential adversary of the general purpose forces groupings that possess nuclear weapons delivery means in the territories of the states contiguous with the russian federation and its allies, as well as in adjacent waters ; b ) deployment by states which",687,117,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
10,"consider the russian federation as a potential adversary, of missile defence systems and means, medium - and shorter - range cruise and ballistic missiles, non - nuclear high - precision and hypersonic weapons, strike unmanned aerial vehicles, and directed energy weapons ; c ) development and deployment of missile defence assets and strike systems in outer space ; d ) possession by states of nuclear weapons and ( or ) other types of weapons of mass destruction that can be used against the russian federation and / or its allies, as well as means of delivery of such weapons ; e ) uncontrolled proliferation of nuclear weapons, their delivery means, technology and equipment for their manufacture",700,116,130,2,russia_2020_PolicyOnNuclearDeterrence.md,2025-01-28 18:56:17
