chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # republic of rwanda ministry of internal security b. p. 446 kigali,69,13,20,0,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
2,# internal security policy,26,4,6,1,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
3,"# # approved by cabinet, in its session of 09 july 2008 1 - - - - - 2 i i - - - - - _ in his inaugural speech delivered on 12. 09. 2003 on the occasion of his _ _ swearing - in ceremony following his election as president of the republic _ _ of rwanda for a term of seven years, his excellency the president, paul _ _ kagame, said : _ “... rwanda seeks to develop good relations of friendship and cooperation with all countries, especially with countries in our region ; we will therefore make every effort to live in peace with them, develop trade relations with them",568,114,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
4,"and, together, improve the living conditions of the peoples of this region. however, all these lofty goals can only be achieved if we ensure internal security... ’ ’ 3 - - - - - 4 i i - - - - - * * list of acronyms * * 1. 2020 : vision twenty twenty 2. edprs : economic development and poverty reduction strategy 3. cesca : conference of eastern, southern and central african heads of correctional service 4. nps : national prisons service 5. rnp : rwanda national police 6. minadef : ministry of defence 7. mininter : ministry of internal",539,102,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
5,security 8. nss : national security service 9. community policing : role of citizens in maintaining security 10. prsp : poverty reduction strategy program 11. ldu : local defence unit 12. ict : information and communication technology 13. apr / rpa : armee patriotique rwandaise / rwanda patriotic army 14. rdf : rwanda defence forces 15. ex - far : former rwandan armed forces “ the army which belonged to the genocidal regime ” 5 - - - - - 16. mdr ( parmehutu ) : the republican democratic movement for the hutu emancipation 17. rpf : rwandese,545,98,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
6,patriotic front 18. mrnd : national revolutionary movement for development 19. cdr : coalition for the defence of the republic 20. himo : high intensity of labour / haute intensite de main d ’ oeuvre 21. gdp : gross domestic product 22. frw : franc rwandais / rwanda franc 23. tig : travaux d ’ interet general / community service 24. minuar : mission des nations unies pour l ’ assistance au rwanda / united nations assistance mission to rwanda ( unamir ) 25. gender : equality and equity 26. rra : rwanda revenue authority 27. arede,534,97,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
7,##twa : association pour le relevement democratique des batwa 6 i i - - - - - * * table of contents * * list of acronyms..................................................................................... 5 * * introdution....,227,31,132,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
8,........................................................................................... 9 * * i. 1. internal security in pre - colonial era.......................,166,13,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
9,............................. 9 i. 2. internal security in colonial era......................................................... 10 i. 3. internal security from 1959 to 01 october 1990...................,203,20,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
10,............ 10 i. 4. internal security 01 / 10 / 1990 up to 19 / 07 / 1994................................. 11 i. 5. internal security under the government of national unity.......................... 12 * * ii. objectives of the internal security policy..............,268,39,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
11,................ 14 * * ii. 1. general objectives............................................................................. 14 ii. 2. specific objectives of internal security policy :..............,200,18,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
12,.................... 14 * * iii. role of security in national development * * * * programmes........................................................................................ 16 * * iii,191,20,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
13,". 1. security and overall economic development................................... 16 iii. 2. security, social welfare and economy............................................. 16 iii. 3. security and justice.....................",227,21,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
14,.................................................... 17 iii. 4. security and democracy................................................................... 18,156,8,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
15,iii. 5 security and good governance......................................................... 19 iii. 6. security and foreign affairs cooperation......................................... 19 * * iv. challenges.......,214,19,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
16,.................................................................................... 20 * * * * v. strategies for internal security policy................................,170,12,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
17,.... 22 * * * * vi. institutions involved in implementing internal security * * * * policy......................................................................................................... 27,198,19,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
18,* * vi. 1. the ministry holding internal security within its remit.............................. 27 vi. 1. 1. rwanda national police................................................................. 28 vi. 1. 2. national,219,24,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
19,prisons service................................................................ 30 vi. 2. supporting instances for the implementation of rwanda internal security policy...............................................,215,15,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
20,..................... 31 * * vii. conclusion......................................................................................... 36 * * 7 - - - - - 8 i i,158,18,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
21,"- - - - - * * i. * * * * introduction * * the internal security policy serves as a guideline and strategy for rwanda to ensure proper management of security for the people and their property. to ensure full security countrywide, everybody is requested to abstain from activities likely to undermine security. in the same development, government is required to put in place laws to punish offenders, and institutions to maintain security, identify law breakers and bring them to book. government provides prison centres where law breakers serve their prison sentences. it also puts in place correctional mechanisms for prisoners while ensuring respect for their fundamental rights. * * i. 1",689,114,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
22,"internal security in pre - colonial era * * before colonial era, the rwandan culture was observed in general daily life. examples include enthroning a king, wedding ceremony, inheritance, and punishing those infringing the culture for instance drowning girls who became pregnant outside proper marriage, etc. at that time, there was a national elite troupe [ 1 ] responsible for training the army and teach patriotism so that every citizen was keeping a security eye for his neighbour in particular and the nation in general. rwandans were classified in several ethnic groups / clans like : abega, abasindi, abagesera, etc [ 2",626,102,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
23,"]. all groups used one language, one culture and one traditional religion [ 3 ]. at that time, nationals had the zeal to extend the borders of the country and defend it. 1 kagiraneza z. ibitaramo ku mateka y ’ u rwanda, imprimerie nationale 1990, p 84 2 marcel h. les clans du rwanda anciens. imprimerie hayez, bruxelles 1971, p 11 3 muzungu b. l histoire du rwanda precolonial. l ’ harmattan paris 1997 p 53 9 - - - - - social crimes were minimal because every person",468,89,130,2,rwanda_2008_InternalSecurityStrategy.md,2025-01-28 18:54:32
