chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"republic of serbia ministry of defence! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) white paper on defence of the republic of serbia одебрана editorial board major general bozidar forca, phd! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) stanislav stojanovic, phd lt. col. zoran putica katarina terzic media center "" odbrana "" director lt. col. slavoljub m. markovic editor - in - chief dragana markovic editor slavica",420,84,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
2,"djeric - magazinovic! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) republic of serbia ministry of defence defence policy sector strategic planning department! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ) white paper on defence of the republic of serbia belgrade, 2010. defence is one of the most important functions of each state, because all other spheres of human activity aimed at creating basic preconditions for the overall development and prosperity overlap there. the republic of serbia, being an independent state since 2006, builds up its defence system tailored",573,105,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
3,"to meet its needs in the conditions characterizing the totality of relationships at the global, regional and local level. year 2010 is a milestone in the reform of defence system, which is demonstrated through adoption of strategic - doctrinal and legal - normative documents, in the long and! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png )! [ 5 _ image _ 1. png ] ( 5 _ image _ 1. png ) medium term planning and programming of the defence system development, professionalization of the serbian armed forces, the reform of the military education and military health care",569,106,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
4,"system, systematization and rationalization of the ministry of defence, revitalization of the defence industry and encouragement of participation of the armed forces and other defence forces members in building and maintaining peace in the world and the region. white paper on defence is developed for the first time in the republic of serbia as an independent state. this is a document which transparently presents to the wide domestic and international public the processes, achievements and projections regarding the development of the defence system of the republic of serbia. based on the right of each citizen of the republic of serbia to be informed on the defence system, the white paper is a kind of text",713,115,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
5,"suitable for all generations of our people. at the same time, it represents a reasonably structured set of information for the interna4 tional public and the countries with which we have been developing cooperation.! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) 5 the content of the white paper on defence offers a historical thread connecting the past to the present, provides a realistic description of the present situation and the projection of future development of the defence system. by preserving our traditions while using experiences of the most advanced systems, we are laying foundations for the vision and the projections of our defence system.",658,113,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
6,"the vision of the defence system is based on the vision of a contemporary and modern serbia, serbia as an european union member country, integrated into collective security systems, with the armed forces powerful enough to guarantee peace and stability in the region and participate with their capabilities in regional and global peace maintenance, with soldiers who can live on their work, committed to their job, and free from worries about their family ' s existence. such a defence system enables us to join the community of responsible states and, as an equal, take a seat at the table with the countries and organizations to which we seek to become a member, as it will make a contribution",695,118,130,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
7,to the efforts to transform the republic of serbia from a user to an exporter of security. modernization of serbia and its defence system is our chance in! [ 6 _ image _ 1. png ] ( 6 _ image _ 1. png ) the 21 century. minister of defence dragan sutanovac,254,52,66,0,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
8,# 1. defence policy of the republic of serbia......................... 11! [ 7 _ image _ 0. png ] ( 7 _ image _ 0. png ) 1. 1. security environment of the republic of serbia................. 11 1. 2. interests of the republic of serbia in the defence area...... 13 1. 3. strategic defence concept of the republic of serbia.........,331,59,130,1,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
9,. 15 2. defence system reform.......................................................... 19 2. 1. strategic and doctrinal documents..................................... 19 2. 2. normative prerequisites....,204,18,130,1,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
10,................................................. 22 2. 3. defence planning.............................................................. 23 2. 4. organizational and functional changes.,185,13,130,1,serbia_2010_WhitePaperOnDefence.md,2025-01-28 18:57:58
