chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# orientation of the foreign policy of the slovak republic in 2010,66,12,14,0,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
2,# # contents * * introduction – basic premises and key objectives of the foreign policy of the slovak * * * * republic in 2010......................................................................................................,228,26,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
3,...................... 2 * * * * a. slovakia in a safe and democratic world............................................................................. 4 * * a. 1. enhancing bilateral cooperation with slovakia ’ s key,218,27,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
4,partners.......................................... 4 a. 2. strengthening the security of the euro - atlantic area......................................................... 7 a. 3. facing global threats......,206,19,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
5,".................................................................................................. 10 a. 4. enlarging the zone of freedom, democracy, respect for human rights, rule of law and good governance....",211,20,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
6,................................................................................................................... 11 a. 5. strengthening effective multilateralism in the united,178,10,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
7,nations.......................................... 13 a. 6. contributing to the elimination of migration risks in line with slovakia ’ s interests..... 16 * * b. a prosperous slovakia and sustainable development..................................................,260,28,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
8,...... 17 * * b. 1. contributing to the mitigation of the impact of the economic crisis on slovakia............ 17 b. 2 promoting economic development and prosperity and enforcing slovakia ’ s economic interests........................................................................,283,34,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
9,.............................................................. 18 b. 3. increasing the volume and effectiveness of slovakia ’ s development aid and humanitarian assistance...............................................,218,18,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
10,............................................................. 21 b. 4. increasing the energy security of slovakia........................................................,169,10,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
11,"............... 22 * * c. slovakia ’ s interests in an effective eu, strengthening neighbourly relations and * * * * intensifying regional cooperation.....................................................................................",235,24,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
12,....... 22 * * c. 1. supporting the attainment of slovakia ’ s interests in the eu and strengthening slovakia ’ s influence on the development of common eu policies........................................................... 22 c. 2. supporting eu enlargement and contributing to a successful european neighbourhood policy............,333,44,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
13,.............................................................................................................................. 24 c,131,3,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
14,. 3. contribution to strengthening the effective functioning of eu institutions..................... 24 c. 4. reinforcing neighbourly relations and intensifying regional cooperation.................... 25 * * d. assistance to the citizens and a slovakia open to the world..........................................,313,36,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
15,.. 28 * * d. 1. defending the interests of slovak citizens........................................................................ 28 d. 2. improving the communication of foreign policy objectives and outcomes inside and outside slovakia.......................,260,28,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
16,................................................................................................. 29 d. 3. coordinating a uniform presentation of slovakia abroad...................,180,11,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
17,............................. 29 d. 4. promoting cooperation with the third sector................................................................... 30 * * e. modern slovak diplomacy.............,196,17,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
18,....................................................................................... 30 * * e. 1. optimising the internal functioning of the mfa.........................,172,13,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
19,...................................... 30 e. 2. ensuring technologically advanced communication....................................................... 31 e. 3. optimising financial management and structure of the budget..........,229,19,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
20,............................. 31 e. 4. strengthening the expertise of foreign service staff........................................................ 31 e. 5. enhancing the representation of the slovak republic in the eu and in international organisations............,265,28,130,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
21,.................................................................................................................. 32 - - - - -,127,7,122,1,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
22,"# # # introduction – basic premises and key objectives of the foreign policy of the slovak republic in 2010 orientation of foreign policy of the slovak republic, a basic political planning document on the foreign policy of slovakia, is based on the manifesto of the slovak government. it presents foreign policy objectives pursued by slovakia within the european union, the north atlantic alliance, the united nations and in other international organisations, as well as in bilateral relations and in connection with asserting slovakia ’ s economic interests. its structure and content correspond to the long - term strategy of the ministry of foreign affairs of the slovak republic ( “ the mfa ” hereinafter ) outlined in",722,118,130,2,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
23,"“ a successful slovakia in a safe world. ” its five priorities represent key chapters of slovakia ’ s foreign policy orientation in 2010. the global economic and financial crisis is the main factor that will continue to significantly influence the development of international relations in 2010. the pace of global economic downturn has diminished, but the social consequences of the crisis will continue to be felt throughout 2010. there will be continued pressure to reform the global system of relations and international organisations and to consolidate and restructure the global economic and financial system. to ensure effective mitigation of the negative impact of the crisis on its economy and population, slovakia will closely cooperate in",749,116,130,2,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
24,"coordinating anti - crisis activities within the eu and other international organisations and forums. an exceptionally important role in the implementation of slovakia ’ s foreign policy objectives will be played by the coordinated and synergic activities of its top constitutional officers – the president, the speaker of the national council of the slovak republic, the prime minister, and other cabinet ministers. the adoption of the lisbon treaty will increase the importance of parliamentary diplomacy. international relations will be influenced in 2010 by the activities of the administration of us president obama, which will face important challenges at home and on the global political scene. in the spirit of the principles of effective multilateralism, the",767,115,130,2,slovakia_2010_ForeignPolicyOrientation.md,2025-01-28 18:54:02
