chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,bezpecnostna strategia slovenskej republiky,43,4,20,0,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
2,"# # 2021 jednou zo zakladnych uloh statu v * demokratickej spolocnosti je zarucit bezpecnost a ochranu * vsetkych svojich obcanov, ich prav, slobod a * majetku. naplnenie tejto ulohy vyzaduje * zvysovat pripravenost statu celit bezpecnostnym vyzvam, hrozbam a krizam, prispievat k udrziavani",291,44,130,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
3,"##u medzinarodneho mieru a * bezpecnosti, predchadzat situaciam ohrozujucim * bezpecnost statu a jeho obcanov a mat zodpovedajuce zdroje, nastroje a politiky, ako aj doveru obyvatelstva. slovenska republika je stale bezpecnou krajinou, avsak v poslednych rokoch sa globalna bezpecnost vo viacerych ohladoch *",308,43,132,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
4,"zhorsila, aj s priamymi dopadmi na nasu bezpecnost * a odolnost. hrozby a * vyzvy, ktorym celime, su coraz zlozitejsie, previazanejsie, * bezprostrednejsie a maju vacsie dosledky na nasu bezpecnost. globalna pandemia zviditelnila nielen niektore nase zranitelnosti, ale urychlila a prehlbila uz existuj",302,43,130,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
5,"##uce trendy oslabovania multilateralizmu, obnoveneho geopolitickeho superenia, asertivneho presadzovania individualnych zaujmov a pokracujucej nestability v * susedstve europy * a * regionalnych kriz vo svete. * svet sa zmenil, stal sa menej stabilnym, predvidatelnym, a tym aj menej bezpecnym. tato situacia je prilezitostou na strategicke zhodnotenie",353,46,133,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
6,a * nastavenie nasej bezpecnostnej politiky. * spracovanie novej bezpecnostnej strategie slovenskej republiky je v * tomto zmysle reakciou na * prebiehajuce zmeny bezpecnostneho prostredia a * potrebu komplexneho pristupu k * zaruceniu nasej bezpecnosti v kontexte nasho clenstva v * severoatlantickej ali,305,43,130,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
7,##ancii * a europskej unii.,27,5,16,1,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
8,"# # i. uvod 1. bezpecnostna strategia slovenskej republiky ( bezpecnostna strategia ) je zasadnym strategickym dokumentom v oblasti bezpecnosti statu. vychadza z ustavy slovenskej republiky a legislativy, zo spojeneckych a dalsich medzinarodnych politickych a zmluvnych zavazkov slovenskej republiky, osob",305,40,130,2,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
9,"##itne z charty organizacie spojenych narodov, strategickej koncepcie severoatlantickej aliancie a globalnej strategie pre zahranicnu a bezpecnostnu politiku europskej unie. 2. bezpecnostna strategia pomenuva hodnoty slovenskej republiky, ako aj zasady vychodiska a zaujmy slovenskej republiky v oblasti bezpecnostnej politiky",326,39,132,2,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
10,". na zaklade zhodnotenia bezpecnostneho prostredia formuluje bezpecnostnu politiku slovenskej republiky a urcuje jej ciele, sposoby a nastroje na jej realizaciu takym sposobom, aby vytvarala predpoklady pre bezpecnost, stabilitu, prosperitu a rozvoj slovenskej republiky a jej obcanov.",285,37,122,2,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
11,"# # ii. hodnoty slovenskej republiky a zasady a vychodiska jej bezpecnostnej politiky 3. slovenska republika je nezavisly, zvrchovany, demokraticky a pravny stat, ktory sa hlasi k univerzalnym hodnotam a zasadam slobody, pluralitnej demokracie, ludskych prav a slobod, spravodlivosti, ludskej dostojnost",303,41,130,3,slovakia_2021_SecurityStrategy_noneng.md,2025-01-28 18:57:30
