chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"republic of slovenia * * ministry of defence * * vojkova cesta 55, 1000 ljubljana pursuant to article 38 of the regulation on the ministry of defence planning ( no. 024 - 34 / 2011 - 21 of 13 september 2012 ) i hereby issue the",227,46,55,0,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
2,# annual report of the ministry of defence for 2014 number : 0100 - 101 / 2014 - 35 date : 22 june 2015 - - - - -,113,29,32,1,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
3,# # # table of contents,23,6,8,2,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
4,# # # # military defence.............................................................................................................. 4 1 scope and structure of the saf...,172,14,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
5,............................................................................... 4 2 saf military training and exercises.........................................,160,8,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
6,.................................. 5 3 development and building of saf capabilities........................................................ 8 4 maintaining the level of readiness......................,200,16,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
7,..................................................... 9 5 key projects of the saf modernisation.................................................................,160,9,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
8,.. 10 6 saf operation in support of the system of protection against natural and other disasters.............................................................................................................,205,17,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
9,"... 12 7 saf contribution to international peace, security and stability.................... 15 protection against natural and other disasters................................................... 19 1 prevention activities...............................",251,22,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
10,".................................................................... 19 2 preparedness of the system of protection against natural and other disasters and protection, rescue and relief forces.......................................",230,20,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
11,....... 21 3 disaster response and damage assessment........................................................... 30 4 education and training..................................................,189,13,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
12,........................................... 35 5 international cooperation.................................................................................,155,5,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
13,...... 43 6 inspection activity in the field of protection against natural and other disasters............................................................................................................,202,15,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
14,................ 48 defence system and crisis management.................................................................... 49 1 defence policy..................................,178,11,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
15,............................................................................. 49 2 slovenia ’ s crisis preparations and response measures...................................... 54 3 development,192,14,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
16,of civilian capabilities....................................................................... 56 4 intelligence and security operations................................................,185,9,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
17,"..................... 59 5 equipping, real estate management, standardization and codification..... 60 6 communication and information system ( cis )..................................................... 62 7 inspection and internal audit activities in the field of defence..............",286,31,130,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
18,....... 64 8 investigations of aircraft accidents and military aircraft incidents.......... 66 2 / 102 - - - - -,112,20,38,3,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
19,# # # # 9 strategic communication......................................................................................... 68 10 normative acts...........................,170,11,130,4,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
20,................................................................................ 70 11 cooperation with civil society organisations.........................................,172,8,130,4,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
21,.......... 74 implementation of resource plans............................................................................ 75 1 implementation of the financial plan..............................,194,13,130,4,slovenia_2014_AnnualDefenceReport.md,2025-01-28 18:54:21
