chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # republic of slovenia,30,8,10,0,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
2,# cyber security strategy,25,4,6,1,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
3,"# # establishing a system to ensure a high level of cyber security strategija kibernetske varnosti * * 1 * * - - - - - | document info | col2 | | - - - | - - - | | title | cyber security strategy | | date | february 2016 | | participants in document preparation : | agency for communication networks and services of the republic of slovenia energy agency of the republic of slovenia ministry of defence ministry of economic development and technology ministry of education, science, and sport ministry of finance ministry of foreign affairs ministry of health ministry of infrastructure ministry of public administration ministry of the interior ministry of",657,117,130,2,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
4,the interior – the police national security council office of the government of the republic of slovenia for the protection of classified information slovenian computer emergency response team ( si - cert ) slovenian intelligence and security agency | - - - - -,261,44,47,2,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
5,# # # index 1 introduction..........................................................................................................................,148,6,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
6,........... 3 2 analysis of the present situation..................................................................................................... 4 3 vision......,167,11,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
7,................................................................................................................................,128,1,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
8,......... 6 4 cyberspace risks..................................................................................................................,144,5,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
9,............ 6 4. 1 technological development....................................................................................................... 7 4. 2 the internet.,169,11,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
10,............................................................................................................................... 7,129,2,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
11,4. 3 cyber crime...........................................................................................................................,139,4,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
12,...... 7 4. 4 intelligence.....................................................................................................................,143,5,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
13,............ 8 4. 5 changes of the security environment........................................................................................ 8 4. 6 intrusions of privacy...........,183,15,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
14,........................................................................................................ 8 5 identification of stakeholders...................,158,6,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
15,....................................................................................... 8 6 the establishment of a comprehensive cyber security system and clear governance structure... 8 7 the areas of strategy implementation.................,242,22,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
16,......................................................................... 10 7. 1 prevention..................................................,142,5,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
17,.............................................................................. 10 7. 2 response.............................................,140,5,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
18,..................................................................................... 10 7. 3 awareness raising.....................................,148,6,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
19,................................................................................ 10 8 strategy objectives and measures for their achievement.......................................,179,10,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
20,...................... 11 8. 1 strengthening and systemic regulation of the national cyber security assurance system...... 12 8. 2 the safety of citizens in cyberspace..........................................................................,241,24,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
21,............... 13 8. 3 cyber security in the economy................................................................................................. 13 8. 4 providing the operation,182,15,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
22,of critical infrastructure in the sector of ict support........................ 14 8. 5 cyber security assurance to ensure public security and combat cyber crime......................... 14 8. 6 development of defensive cyber capabilities..............................................,284,31,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
23,........................... 15 8. 7 ensuring safe operation and availability of key ict systems in the event of major natural and other disasters...............................................................................,224,22,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
24,............. 15 8. 8 strengthening national cyber security through international cooperation............................. 15 9 strategy implementation risks......................................................................,227,16,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
25,................................. 16 a list of abbreviations.........................................................................................,149,6,130,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
26,............................. 18 cyber security strategy 1 - - - - -,68,11,41,3,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
27,"# # # purpose and summary slovenia ’ s cyber security strategy will improve the country ’ s cyber security assurance system, while also systematically regulating this area. strengthening the overall system is necessary because of the ever - growing importance of cyber security for the smooth functioning of the systems the whole society depends on. moreover, the state is encouraged and bound to do so by national and international strategic documents. an efficient cyber security assurance system is not and cannot be cheap, but it is incomparably cheaper than fixing any consequences that might arise as a result of security incidents if such systems were missing. the strategy comprises an overview of the situation in those areas",734,118,130,4,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
28,"that are relevant for cyber security assurance, outlining the vision and setting objectives. it further defines the areas where it will be implemented, as well as the risks occurring in cyberspace. the strategy proposes the way the cyber security assurance system should be organised, and the measures necessary for achieving the set objectives. * * 2 * * cyber security strategy - - - - -",389,66,76,4,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
29,"# # # 1 introduction in modern world, the use of information systems and networks is constantly increasing, and therefore the importance of these systems for the successful development of economic and noncommercial activities, as well as the life and welfare of the society as a whole, is also increasing. network and information security contributes to strengthening important societal values and objectives in the society, such as human rights and fundamental freedoms, democracy, the rule of law, and economic and political stability. on the one hand, the increasingly rapid development of information and communication technologies ( ict ) brings benefits to modern society, while on the other it gives rise to ever new",723,113,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
30,"and technologically more sophisticated cyber threats. the trend in the use of ict for political, economic and military supremacy is becoming more and more pronounced. undoubtedly, cyber attacks are among the most significant security threats to the modern world, and therefore, cyber security has become an important, integral part of national security. in order to strengthen the cyber security assurance system, the state is encouraged and bound to adopt strategic documents at the national and international levels. this issue is addressed in the resolution on the national security strategy of the republic of slovenia [ 1 ], the cyber security strategy of the european union "" open, safe and secure cyberspace "" [ 2",720,114,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
31,"], and draft directive on measures to ensure a common high level of network and information security across the union [ 3 ]. this strategy will help slovenia define its measures for establishing a national cyber security system that will facilitate a rapid response to security threats and will serve to effectively protect the ict infrastructure and information systems, thus ensuring the continuous operation of both public and private sectors, and, in particular, the key functions of the state and society in all security situations. ensuring the security of cyberspace [ 4 ] will be balanced with the interests of ensuring safety and economic viability as well as human rights and fundamental freedoms. 1 resolution on national security",741,118,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
32,"strategy of the republic of slovenia. uradni list rs ( online ), 2010, no. 27 / 2010, point 5. 3. 5 responding to cyber threats and misuse of information technologies and systems. available at : https : / / www. uradnilist. si / 1 / content? id = 97018. 2 cyber security strategy of the european union : an open, safe and secure cyberspace. digital agenda for europe - a europe 2020 initiative [ online ], 2013. available at : http : / / ec. europa. eu / digital - agenda / en / news / eu - cyber security -",507,101,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
33,"planprotect - open - internet - and - online - freedom - and - opportunity - cyber - security 3 proposal for a directive of the european parliament and of the council concerning measures to ensure a high common level of network and information security across the union. digital agenda for europe - a europe 2020 initiative [ online ], 2013. available at : http : / / ec. europa. eu / digital - agenda / en / news / eu - cyber security - plan - protect - open - internet - and - onlinefreedom - and - opportunity - cyber - security [ 4 the term cyberspace covers the information technology network, telecommunication networks",625,116,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
34,"and computer processing ] ( https : / / sl. wikipedia. org / wiki / informacijska _ tehnologija ) systems. cyber security strategy 3 - - - - - * * definition of cyber security [ 5 ] * * cyber security is generally defined as : - a range of activities and other measures, both technical and non - technical, intended to protect computers, computer networks, hard - and software and the information stored and processed therein, including programmes and data as well as other cyberspace elements, from all threats, including threats to national security ; - the level of protection provided by these activities and measures",621,108,130,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
35,;,1,1,3,5,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
36,"# # # # # joint professional endeavours, including research and development to implement and improve these measures and increase their quality.",143,22,27,6,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
37,"# # # 2 analysis of the present situation in slovenia, there have already been a few proposals for systemic regulation of cyber security, however, their implementation never took place. nevertheless, it became clear that the country needs a cyber security strategy that would join and direct the efforts of all stakeholders toward strengthening and systematically regulating this important area. currently, the operational capacities to respond to cyber threats are distributed among si - cert [ 6 ] as the national response centre for network incidents, the information security sector within the it directorate at the ministry of public administration, the ministry of defence for defence system and protection against natural and other disasters, slovenian intelligence and",776,117,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
38,"security agency ( sova ) in counter - intelligence activities, and the police within its it and telecommunications office and the criminal police directorate, mainly in the centre for computer investigations with the capacities to combat cybercrime. apart from the police, which in the past five years has improved its capacities for investigating and preventing cybercrime, all other bodies lack personnel, material and technical resources, and organisation. despite the shortcomings, the capacities at the operational level do exist though a coordination body that would link the concerned stakeholders at the strategic level is missing. 5 dunn, m. a comparative analysis of cyber security initiatives worldwide. v : it",721,108,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
39,"##u wsis thematic meeting on cyber security [ [ online ], 2005, p. 4. available at : https : / / www. itu. int / osg / spu / cyber security / docs / background _ paper _ comparative _ ] ( https : / / www. itu. int / osg / spu / cybersecurity / docs / background _ paper _ comparative _ ) analysis _ cyber security _ initiatives _ worldwide. pdf. 6 slovenian computer emergency response team ( si - cert ) is a national response centre for dealing with incidents in electronic network and information security, which has been operating",534,104,132,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
40,"within the public institute arnes since 1995. it coordinates incident resolution, provides technical advice in the event of intrusions, infections with computer viruses and other abuses, and issues warnings to network administrators and general public on the current threats to electronic networks. currently, it also performs the tasks of government ' s centre for responding to network indigents ( sigov - cert ) and assists in the establishment of an independent centre that will be responsible for protecting the it infrastructure of the state administration. si - cert is a member of the forum of incident response and security teams ( first ), a member of the group of national response centres",700,112,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
41,"at cert / cc, a member of a work group of the european response centres tf - csirt, and is accredited trusted introducer. si - cert is the slovenian contact point for the security authority of the general secretariat of the eu council and the national information point for the impact programme of the international telecommunication union ( itu ). * * 4 * * cyber security strategy - - - - - according to si - cert data [ 7 ], 2060 incidents were handled in slovenia in 2014, which is almost a 6. 4fold increase with respect to 2008. the increasing trend regarding the above - mentioned deficiencies",600,110,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
42,"of the cyber security assurance system raises concern. cooperation of stakeholders in cyber security assurance is not formally regulated, however, response centres cooperate informally, unless there is a legal basis for it [ 8 ]. this includes providing information about incidents and help in their resolution, the exchange of experience or the use of existing capacities. an opportunity to establish cooperation is found, inter alia, joint participations in the implementation of international cyber security exercises, organised by the european network and information security agency ( enisa ) [ 9 ]. thus, such cooperation has already been established with some banks, telecommunication providers and electricity distributors. there are two awareness - raising",765,111,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
43,"projects : since 2011, si - cert has worked to raise national awareness and holding the educational program "" safe on the internet "" [ 10 ]. the project ’ s key objective, which is targeted at the general slovenian public, and with a specific set of content also at small enterprises, craftsmen and sole proprietors, is to raise the awareness on the safe use of the internet. the project, which is financed by the ministry of education, science and sport, is also participating in the campaigns of the european month of cyber security. within the framework of the centre for safer internet, which is run by a consortium consisting of the faculty of",648,114,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
44,"social sciences, arnes, slovenian association of friends of youth and the youth information and counselling centre of slovenia - misss [ 11 ] and funded by the directorate - general connect of the european commission and the ministry of education, science and sport, safe. si [ 12 ], tom telephone and the web eye projects are being carried out. the safe. si program operates as a national point for raising awareness among children and adolescents about the safe use of the internet and mobile devices. the tom telephone program also informs children and adolescents about the safe use of the internet and mobile devices. web eye is an online reporting point, which – in",671,114,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
45,"partnership with the police, prosecution, ombudsman for human rights, internet service providers, public and other interested governmental and non - governmental organisations – allows anonymous reporting of material allegedly containing instances of the sexual abuse of a minor and hate speech on the internet, and raises awareness on the problem of illegal web content. in the education sector, it or cyber security is included in the higher school study programme at the faculty for security studies of the university of maribor, and in the curricula of study programmes at the faculty of computer and information science and the faculty of social sciences of the university of ljubljana, at the faculty of electrical engineering",732,113,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
46,"and computer science of the university of maribor, the faculty of health sciences of the university of primorska, the faculty of information 7 the data for 2014 and the reports for past years are available at https : / / www. cert. si. 8 e. g., article 81 of the electronic communications act sets out the procedure of information exchange between akos and si - cert at the breach of security or integrity. electronic communications act. in : uradni list rs, 2012, no. 109 / 2012, article 81. available at : http : / / www. uradni - list. si",541,100,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
47,"/ 1 / content? id = 111442. 9 european union agency for network and information security ( enisa ) 10 https : / / www. varninainternetu. si / 11 youth information and counselling centre of slovenia. 12 http : / / safe. si / cyber security strategy 5 - - - - - studies of novo mesto, and the licensed independent higher education institution gea college ; as part of the corporate security subject it is also included in the study programs at some other higher education institutions. no subject in this area is taught at the primary and secondary school levels. in accordance with its abilities,",595,107,130,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
48,"slovenia participates in international cyber security exercises. in cyber europe exercises, organised by enisa, in 2010 slovenia took part as an observer and in 2012 and 2014 as an active participant. furthermore, from 2013 on, it actively participates in cyber coalition exercises within nato. participation in these exercises proved to be a good opportunity to check the capacities for cyber security assurance at the national level, as well as to exchange experience and establish new connections between stakeholders. national cyber security exercise has not yet been carried out.",584,88,101,7,slovenia_2016_CyberSecurityStrategy.md,2025-01-28 18:56:35
