chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# the south african defence related industries december 1999 * * table of contents * * [ introduction ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # intro ) [ chapter 1 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap1 ) [ chapter 2 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap2 ) [ chapter 3 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap3,427,102,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
2,) [ chapter 4 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap4 ) [ chapter 5 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap5 ) [ chapter 6 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap6 ) [ chapter 7 ] ( http : / / www. gov. za / whitepaper / 1999 / defence. htm # chap7 ) * * introduction * * mandate the department of defence (,398,100,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
3,"dod ) prepared a white paper on defence, which was approved by parliament in may 1996 and forms the policy framework for defence. chapter seven of the white paper on defence addressed arms control and the defence related industries, and stated that government wouldprepare a white paper on the defence industry. the dod began such preparations within the context of the defence review, which built upon the policy framework of the white paper on defence. on 21 august 1996 cabinet tasked the national conventional arms control committee ( ncacc ) to initiate and oversee the preparation of a white paper on the south african defence industry. on 12 november 1996 the ncacc set out",680,114,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
4,"ina memorandum what the broad contents of the white paper should be. these are reflected in the chapters in this white paper : some of the topics put forward by the ncacc have been synthesised while others have been expanded. aim the primary aim of this white paper is to review the role, nature and current status of defence industries in south africa, to provide government ’ s vision for the future of the future of these industries and to prepare policy options for the governance of the industries and for those areas critical to their continued viability. the white paper deals with the following subjects : g the existing policy framework for defence related industries. g an",682,118,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
5,"overview of the industries including an analysis of their economic viability, as requested by the ncacc. g critical defence industrial capabilities and technologies which need to be sustained. g acquisition and technology management structures. g industrial policy and defence related industries. g governance of the industries - - - - - defining the defence industry / defence related industry the term ` defence industry ’ is widely used internationally, sometimes interchangeably with ` armaments industry ’ and ‘ defence suppliers ’. however, the term ‘ defence - related industries ’ in some ways more accurately describes the focus of this white paper, since there is a growing tendency for companies producing defence equipment to",737,114,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
6,"make use of civilian technologies, or to manufacture dual - use products which can be sold to both defence and non - defence markets. there is also an increasing overlap between defence and civilian production within companies, both nationally and internationally. while there is no clearly defined ‘ defence industry ’ as a distinct industrial sector, it is evident that the production of armaments for use by national defence forces, and related activities, requires special control measures by governments and forms an identifiable cluster of activities which are recognisable globally and to which some specific economic and political processes apply. for the purposes of this paper, south african defence - related industries are defined as",745,115,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
7,"those clusters of organisations in the public and private sector, and commercial companies and business units of such organisations, which are directly or indirectly active in the provision of goods and services to security forces which are defined as armaments. this provision can include research, design, development, production, assembly, test, evaluation, upgrading, procurement, export, import, maintenance, logistical support, human support or project management. the defence - related industries are mainly involved in the material, mechanical, electrical, electronic and chemical sectors of the manufacturing industry and produce armaments for both domestic and international clients. armaments are defined as any vessels, vehicles, aircraft,",751,101,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
8,"ammunition and weapons, as well as substances, materials, raw materials, components, equipment systems, articles, techniques or services, that are designed, modified or adapted to be utilised to equip, maintain or support security operations, or which are usedin the development, manufacture or maintenance of such armaments. throughout this white paper the term ‘ defence - related industries ’ is used and not the term ‘ defence industry ’. this white paper does not view the south african defence industrial capability as a distinct sector of the economy. it adopts the approach of addressing this capability as an integral part of the south african industrial base. the green",679,106,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
9,"paper identifies and addresses defence related capabilities and technologies within south africa ’ s industrial base and seeks to apply a generic industrial strategy to these capabilities and technologies. a specific industrial strategy is adopted only for those key technologies and capabilities which are considered by government to be strategic for national defence. government ’ s vision for defence related industries government recognises that defence related industries are an integral part of south africa ' s defence capability. government also recognises the strategic and defence value of having a local defence industrial capability. however, due to budgetary constraints, and within the framework of broader national industrial strategy, government will be very selective of which technologies and capabilities are",827,118,130,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
10,"to be retained on the basis that they are strategic or that they constitute a national asset. the south african government, as a responsible member of the international community, perceives south african defence industrial capabilities as being singularly different from other components of the national industrial base for two reasons. #. firstly, the south african defence industrial capability has strategic importance for the national defence interest. only certain key components have such strategic characteristics, however.",530,75,88,0,southafrica_1999_DefenceWhitePaper.md,2025-01-28 18:53:49
