chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # # mtef fy 2010 / 11 to fy 2012 / 13,45,16,21,0,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
2,# # # # # safeguarding south africa for a better life for all,61,14,17,1,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
3,# # # department of defence # # strategic # plan - - - - - - - - - -,68,21,23,2,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
4,# # # # # # “ doing things diff erently to achieve more with less ”,67,17,21,3,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
5,# # # # strategic plan ( mtef fy 2010 / 11 to fy 2012 / 13 ),60,18,23,4,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
6,# # # # # # the dod strategic plan 2010 ( mtef fy 2010 / 11 – fy 2012 / 13 ) is available on the website at http : / / www. mil. za enquiries about this plan are to be forwarded to mr m. s. dlamini tel no : + 27 ( 12 ) 355 5663 fax no : + 27 ( 12 ) 355 6134 email : hoc @ mil. za - - - - - - - - - -,299,85,104,5,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
7,# # # # # # table of contents,29,9,11,6,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
8,# # # # # # topic page list of tables i list of figures ii foreword by the honourable minister of defence iii introduction by the accounting offi cer : acting secretary for defence v,182,36,40,7,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
9,# # # # # # chapter 1 – strategic overview 8 introduction 8 constitutional and legislative mandate of the dod 9 defence core objectives 10 structure and post establishment of the dod 10 vision 11 mission 11 mission success factors 11 the dod ’ s value system 12 defence strategic approach 13 defence strategy 13 overview of defence diplomacy 13 military strategy 14 force preparation strategy 16 force employment strategy 16 force support strategies 17 organisational performance management ( bsc ) 17,501,83,86,8,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
10,# # # # # # chapter 2 medium - term strategic focus 19 introduction 19 overview of the dod strategic planning cycle 19 government ’ s medium term strategic focus 20 dod ’ s medium term strategic focus 21 defence alignment with government priorities 22 minister of defence ’ s priorities for fy 2010 / 11 23 dod alignment with mtsf priorities 25 legislative changes likely to infl uence programme spending plans over the 29 mtef period financial considerations 30 allocations of the defence programmes 30 - - - - -,513,92,100,9,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
11,# # # # # # topic page expenditure trends 31 infrastructure spending 31 departmental receipts 31 analysis of the 2010 / 11 defence budget allocation 32 risk management 32,170,30,32,10,southafrica_2010_StrategicPlan.md,2025-01-28 18:54:14
