chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# o ra rategic stateme,22,5,9,0,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
2,# # defence department :,24,5,7,1,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
3,# rategic stateme,17,3,7,2,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
4,# ra rategic stateme,20,4,8,3,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
5,# o - - - - -,13,7,9,4,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
6,# # # department of defence ( dod ),35,9,11,5,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
7,# # # # # # “ doing things differently to achieve more with less ”,66,16,18,6,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
8,# # # overarching strategic statement,37,6,10,7,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
9,# # # # # for the scal years 2011 / 12 – 2015 / 16,50,16,19,8,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
10,# # # # # # date of tabling : 09 march 2011 - - - - -,53,18,21,9,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
11,# # # contents,14,4,6,10,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
12,# # # # # # topic.........................................................................................................................,138,7,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
13,".............................. page foreword by the honourable minister of defence & military veterans, ms l. n. sisulu, mp.................................. 3 the defence function in contex...................................",225,23,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
14,..................................................................................... 5 defence constitutional mandate.......................................,157,5,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
15,......................................................................... 5 vision.....................................................,135,3,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
16,........................................................................................................... 5 mission...................,136,3,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
17,................................................................................................................................,128,1,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
18,.......... 5 the dod medium - term strategic focus..................................................................................................... 5 the minister of defence and military veterans (,201,18,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
19,mod & mv ) priorities....................................................... 6 defence outcomes.................................................................,160,8,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
20,...................................................................... 6 defence outputs.......................................................,143,4,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
21,.................................................................................... 7 defence activities.........................................,146,4,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
22,................................................................................................. 7 defence inputs............................,142,4,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
23,................................................................................................................... 7 building for the future........,149,6,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
24,............................................................................................................................ 7 dod strategy map,143,5,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
25,................................................................................................................................,128,1,130,11,southafrica_2011_OverarchingStrategicStatement.md,2025-01-28 18:54:59
