chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) 국가사이버안전관리규정 [ 시행 2013. 9. 2. ] [ 대통령훈령 제316호, 2013. 9. 2., 일부개정. ] 국가정보원 제1조 ( 목적 )",181,37,130,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
2,이 훈령은 국가사이버안전에 관한 [UNK] [UNK] 운영에 대한 사항을 규정하고 사이버안전업무를 수행 하는 기관간의 협력을 강화함으ᄅ,151,16,130,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
3,##ᅩ써 국가안보를 [UNK] 사이버공격으로부터 국가정보통신망을 보호함을 목적 으로 한다. 제2조 ( 정의 ) 이 훈령에서 사용하는 용어의 저,151,18,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
4,"##ᆼ의는 다음과 [UNK]. < 개정 2008. 8. 18., 2012. 1. 2. > 1. "" 정보통신망 "" 이라 함은 「 전기통신기본법 」 제2조제2호의 규정에 의한 전기통신설비를 ᄒ",166,26,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
5,##ᅪᆯ용하거나 전기통신 설비와 컴퓨터 [UNK] 컴퓨터의 이용기술을 활용하여 정보를 수집 · 가공 · 저장 · 검색 · 송신 [UNK] 수신하는 정보 통ᄉ,159,22,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
6,"##ᅵᆫ체제를 말한다. 2. "" 사이버공격 "" 이라 함은 해킹 · 컴퓨터바이러스 · 논리폭탄 · 메일폭탄 · 서비스방해 등 전자적 수단에 의하여 국",151,22,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
7,"##가정보통신망을 불법침입 · 교란 · 마비 · [UNK] 정보를 [UNK] · [UNK] 일체의 [UNK] 말한다. 3. "" 사이버안전 "" 이라 함은 사이버공격으로부터 국가정보",168,23,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
8,"##통신망을 보호함으로써 국가정보통신망과 정보의 기밀 성 · 무결성 · 가용성 등 안전성을 유지하는 상태를 말한다. 4. "" [UNK] "" 란",153,20,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
9,사이버공격으로 정보통신망을 통해 유통 · [UNK] 정보를 유출 · 변경 · [UNK] 국가 안보에 [UNK] 미치거나 [UNK] · 경제적 혼란을 발생시키거나 국가 저,166,23,130,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
10,"##ᆼ보통신시스템의 핵심기능이 [UNK] · [UNK] 는 등 [UNK] 상황을 말한다. 5. "" 공공기관 "" 이라 함은 다음 각목의 기관을 말한다. 가. 「 공공기과",164,23,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
11,##ᆫ의 운영에 관한 법률 」 제5조에 [UNK] [UNK] 공기업 [UNK] 준정부기관인 공공기관 나. 「 공공기관의 운영에 관한 법률 」 제5조에 [UNK] [UNK] 기타공공기,172,23,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
12,##관 중 「 정부출연연구기 등의 설립 · 운영 [UNK] 육성에 관한 법률 」 제8조제1항 [UNK] 「 [UNK] 정부출연연구기관 등의 설립 · 운영 [UNK] 육성에 ᄀ,170,25,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
13,##ᅪᆫ한 법률 」 제8조제1항에 [UNK] 연구기관 다. 「 초 · 중등교육법 」 [UNK] 「 고등교육법 」 에 [UNK] 국 · 공립학교 라. 그 [UNK] 다른 법령의 규정에 의하여 [UNK] 공,179,30,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
14,##공기관 중 제6조의 규정에 의한 [UNK] 서 정보통신망의 안전성 확보가 필요하다고 지정한 기관 제3조 ( [UNK] ) 이 훈령은 중앙행정기관 ( 대,159,22,132,0,southkorea_2013_CyberSecurityManagement_noneng.md,2025-01-28 18:58:23
