chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,directiva de defensa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) nacional 1 / 2004 30 de diciembre de 2004,109,28,40,0,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
2,# directiva de defensa nacional 1 / 2004 0. antecedentes 1. el escenario estrategico 2. el marco de la seguridad y defensa de espana 3. la respuesta espanola 4. objeto de la directiva 5. lineas generales de actuacion 6. directrices para el desarrollo de la politica de defensa a ) en el ambito internacional b ) en el ambito nacional 7. disposicion final,354,63,116,1,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
3,# directiva de defensa nacional 1 / 2004,40,8,13,2,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
4,"# # 0. antecedentes desde la transicion a la democracia, la politica de defensa espanola ha venido evolucionando de acuerdo con los cambios en la situacion estrategica internacional, la presencia cada vez mayor de espana en el mundo, el desarrollo de nuestra sociedad y los sucesivos gobiernos de la nacion. este proceso ha sido encauzado por las sucesivas directivas de defensa nacional promul",394,63,130,3,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
5,"##gadas en 1980, 1984, 1986, 1992, 1996 y 2000. en el ambito internacional, dichas directivas nos han orientado hacia la incorporacion plena a las organizaciones occidentales de seguridad y defensa. asi, hemos pasado de una concepcion tradicional, vinculada al ambito territorial de soberania - con planteamiento casi exclusivamente militar - a otra mas amplia de seguridad compartida y defensa colectiva con nuestros",417,62,132,3,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
6,"socios y aliados, en la cual la sociedad en su conjunto debe estar involucrada. en el ambito nacional, las directivas han incluido siempre entre sus objetivos la mejora de la estructura organica y funcional del ministerio de defensa y la modernizacion de las fuerzas armadas, especialmente en lo que se refiere a modelo, entidad, estructura y capacidades operativas de los ejercit",380,61,130,3,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
7,"##os, y al caracter conjunto de las operaciones militares. en esta ocasion, el gobierno ha presentado en el congreso de los diputados y en el senado los criterios generales de esta directiva y ha incorporado algunas de las observaciones formuladas por los grupos parlamentarios.",278,44,90,3,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
8,"# # 1. el escenario estrategico el escenario estrategico de principios del siglo xxi se caracteriza porque, junto a los riesgos y amenazas tradicionales para la paz, la estabilidad y la seguridad internacionales, han emergido otros nuevos, como el del terrorismo de 1 caracter transnacional y alcance global, con gran capacidad de infligir dano indiscriminadamente. los atentados de nueva york, madrid",401,61,130,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
9,"o beslan han evidenciado que, frente a los nuevos riesgos y amenazas, la superioridad militar tradicional no constituye un factor de disuasion eficaz ni garantiza mas seguridad automaticamente. tampoco asegura una prevencion efectiva contra ataques terroristas ni evita el riesgo de proliferacion de armas de destruccion masiva, cuya posibilidad de caer en manos de tales grupos es hoy la amenaza",396,60,130,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
10,"mas grave para la seguridad global. la lucha contra estas nuevas amenazas, muy en particular contra el terrorismo, es clave en la estrategia de las organizaciones internacionales de seguridad y defensa. tambien europa debe afrontarlas decididamente si no quiere convertirse en un objetivo facil. en este empeno, europa cuenta con el respaldo explicito y el apoyo decidido de espana, como uno de sus socios mas comprometidos. por ve",431,68,130,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
11,"##z primera en la historia, la union europea se ha dotado de una estrategia de seguridad propia. pero esta reclama una mayor determinacion, recursos suficientes y un uso mas eficaz y coherente de cuantos instrumentos dispone para la gestion de crisis y la prevencion de conflictos ; unos requerimientos realmente exigentes a los que ningun pais europeo es capaz de hacer frente en solitario. la estrategia europea se fundamenta en",430,70,132,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
12,"un sistema multilateral, de acciones e iniciativas concertadas dentro de las organizaciones de seguridad y defensa, con la posibilidad de realizar intervenciones tempranas, rapidas y, de ser necesario, contundentes ; un sistema basado en el reconocimiento de que el consejo de seguridad de las naciones unidas tiene la responsabilidad fundamental en el mantenimiento de la paz y la seguridad internacionales. a",410,61,130,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
13,"su vez, la alianza atlantica de la que somos parte, y que fue la primera en percibir la necesidad de acomodar las respuestas tradicionales al nuevo escenario estrategico, esta inmersa en un proceso de transformacion profunda de sus estructuras, procedimientos y capacidades, con el fin de conseguir unas fuerzas aliadas mejor dotadas, interoperables y capaces de actuar con la maxim",382,60,130,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
14,"##a eficacia. nos encontramos, pues, dentro de un nuevo escenario estrategico en el que la politica de seguridad demanda planteamientos novedosos y cambios de mentalidad, de un modo especial en lo que se refiere a la gestion de crisis y 2 resolucion de conflictos y a la necesidad de adaptacion de las fuerzas armadas a las circunstancias de cada momento. todo esto debera incorporarse a",387,65,132,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
15,"una nueva politica de defensa que, como la exterior y otras politicas nacionales, contara con elementos de continuidad y de cambio en relacion con las etapas que la precedieron.",177,29,54,4,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
16,"# # 2. el marco de la seguridad y la defensa de espana en cuestiones de seguridad y defensa, europa es nuestra area de interes prioritario ; somos europa y nuestra seguridad esta indisolublemente unida a la del continente. espana promovera e impulsara una autentica politica europea de seguridad y defensa, respaldara las iniciativas tendentes a alcanzar una defensa comun, contribuira a que la union europea se dote de las",423,70,130,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
17,"capacidades civiles y militares necesarias para poder intervenir activa y autonomamente en la prevencion y resolucion de conflictos, y en la preservacion de la paz y la seguridad internacionales de acuerdo con la carta de las naciones unidas. para ello, deberemos estar en condiciones de poder participar con determinados paises, si asi se decidiese, para el desarrollo de capacidades militares mas exigen",405,62,130,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
18,"##tes y en la adquisicion de compromisos mas vinculantes, en los terminos previstos en el tratado constitucional de la union europea. esta prioridad es compatible con una relacion transatlantica robusta y equilibrada, un elemento tambien esencial de la defensa europea, como preve el propio tratado constitucional. los aliados de ambos lados del atlantico compartimos y defendemos los mismos principios y valores. espana tiene",426,63,133,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
19,"el convencimiento de que una europa fuerte no debilita dicha relacion sino que, por el contrario, la refuerza. en este sentido, espana es un aliado firme y claramente comprometido con la alianza atlantica, y que ademas mantiene una relacion estrecha y consolidada con los estados unidos ; una relacion que debe estar articulada sobre la lealtad, el dialogo, la confianza y el respeto reciprocos. as",398,65,130,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
20,"##imismo, el area del mediterraneo es de un interes especial para espana. en materia de seguridad y defensa, las iniciativas que agilicen el dialogo e impulsen la cooperacion bilateral con los paises de la region son indispensables. tambien apoyaremos las iniciativas multilaterales de la union europea, de la alianza 3 atlantica y de la organizacion para la seguridad y cooperacion en europa dirigidas a la region mediterranea. iberoamerica consti",448,69,133,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
21,"##tuye otra area preferente para espana. la politica de defensa intensificara las relaciones bilaterales y, en su caso, de cooperacion militar. igualmente, apoyaremos las iniciativas regionales encaminadas a reforzar la cooperacion multilateral entre los paises de la comunidad iberoamericana.",293,39,90,5,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
22,"# # 3. la respuesta espanola la accion exterior espanola debe basarse en el respeto escrupuloso a la legalidad internacional como medio para la resolucion de conflictos ; en el reconocimiento de las naciones unidas como organizacion responsable de velar por la paz y seguridad internacionales, y hara hincapie en una utilizacion mas eficaz de todos los instrumentos politicos, diplomaticos, economicos y sociales para el arreglo pacifico",437,67,130,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
23,"de controversias y la prevencion de conflictos, de modo que la accion militar solo se contemple como un ultimo recurso. asimismo, para contribuir a extender la paz, la seguridad y la estabilidad en el mundo, y, especialmente, en la prioridad de la lucha contra el terrorismo, la accion exterior espanola asumira el cumplimiento de los compromisos que tenemos contraidos con organizaciones internacionales como la union europea",426,66,130,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
24,", la alianza atlantica y la organizacion para la seguridad y cooperacion en europa. en consecuencia, la actuacion de nuestras fuerzas armadas en el exterior se enmarcara dentro de un multilateralismo eficaz, que requerira el cumplimiento de dos condiciones : en primer lugar, que exista una decision previa de naciones unidas o, en su caso, otra organizacion multinacional de las que espana forma parte y, en se",411,67,130,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
25,"##gundo lugar, que se acuerde con la participacion activa del parlamento. todo ello sin perjuicio del ejercicio de legitima defensa individual o colectiva, reconocido por el articulo 51 de la carta de naciones unidas y plasmado en los tratados internacionales de defensa ratificados por espana. ante la necesidad de estar preparados y poder reaccionar ante cualquier eventualidad, la concepcion estrategica espanola",415,61,132,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
26,"se basara, por un lado, en el mantenimiento de una capacidad defensiva propia, que sea factor de disuasion y constituya una capacidad de respuesta genuinamente nacional ; por otro, en la defensa colectiva y en la seguridad compartida con nuestros socios y aliados. para hacer frente a los nuevos retos se precisan nuevas capacidades y estructuras militares y nuevos procedimientos de actua",389,62,130,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
27,"##cion. por ello sera preciso acometer un proceso de transformacion de las fuerzas armadas y desarrollar un modelo realista de profesionalizacion, para que puedan cumplir eficazmente las misiones que el gobierno les asigne. del mismo modo, de conformidad con esta concepcion estrategica, debera determinarse nuestro nivel de ambicion militar ; es decir, el esfuerzo que espana esta dispuesta a materializa",405,60,133,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
28,"##r para atender tanto las necesidades nacionales como nuestros compromisos en el ambito de la seguridad compartida y la defensa colectiva. todo lo anterior, unido a una nueva etapa de gobierno, hace preciso la promulgacion de una nueva directiva de defensa nacional que, en respuesta a cuanto antecede, oriente el desarrollo de la politica de defensa espanola durante la viii legislatura.",389,61,127,6,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
29,"# # 4. objeto de la directiva la presente directiva tiene por objeto establecer las lineas generales de actuacion de la politica de defensa y las directrices para su desarrollo, con el fin de garantizar la defensa de espana, colaborar a la seguridad de los espanoles y promover la paz, la seguridad y la estabilidad internacionales.",332,56,104,7,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
30,"# # 5. lineas generales de actuacion la politica de defensa se ajustara a las siguientes lineas generales de actuacion : 1 ) la consolidacion del papel de las fuerzas armadas como elemento relevante de la accion exterior del estado. 2 ) la transformacion, dinamica y permanente, de las fuerzas armadas, para conseguir su adaptacion a las circunstancias y necesidades que se deriven de la situacion estrategica en cada",417,69,130,8,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
31,"momento. 3 ) la asuncion solidaria con nuestros socios y aliados de nuestros compromisos en el ambito de la seguridad compartida y de la defensa colectiva. 4 ) el apoyo firme y decidido a un sistema multilateral eficaz como medio para la resolucion de conflictos, con respeto absoluto a las resoluciones del consejo de seguridad de naciones unidas. 5 ) la participacion activa del",380,64,130,8,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
32,parlamento en el debate de las grandes cuestiones de politica de defensa y la busqueda del respaldo parlamentario a las decisiones del gobierno relativas a la participacion de nuestras fuerzas armadas en operaciones en el exterior.,231,36,73,8,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
33,# # 6. directrices para el desarrollo de la politica de defensa la politica de defensa se desarrollara de acuerdo con las siguientes directrices :,146,25,50,9,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
34,"# # a ) en el ambito internacional : 1 ) impulsar decididamente la politica comun de seguridad y defensa de la union europea, mediante nuestro compromiso con el objetivo global de helsinki 2010, nuestra contribucion al desarrollo de los grupos tacticos y nuestra participacion en el plan de accion europeo de capacidades y en la agencia europea de defensa. 2 ) participar activamente en las iniciativas de una otan amp",418,71,130,10,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
35,"##liada y transformada, en particular en el compromiso de capacidades de praga y en la fuerza de respuesta, con el fin de contribuir a la prevencion eficaz de los conflictos y, en su caso, a la gestion de crisis. 3 ) potenciar las relaciones entre la union europea y la otan, desde el convencimiento de que un vinculo transatlantico solido, robusto y equilibrado es un elemento decisivo para la paz y",400,71,132,10,spain_2004_NationalDefenceDirective_noneng.md,2025-01-28 18:58:04
