chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * national defence directive 2020 * * * * introduction * * defence is a public service that contributes to maintaining the security and the rights and freedoms of all spanish citizens in any situation. guaranteeing national defence is, therefore, the duty of every government. in this context, the armed forces are the specialized instrument to ensure an effective defence against any security challenge of a military nature. under the leadership of the government, supported by its citizens, and complemented by other state security instruments, the armed forces must be ready and able to face constant adaptation and transformation that will enable them to tackle multiple and changing threats and challenges. since the publication of",738,116,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
2,"the national defence directive 2012, the global security situation has evolved significantly. in addition, the covid - 19 crisis and documents such as the european union global strategy have shifted perceptions about security in europe and the way to manage it. the commencement of a new legislative term seems to be the right time to review and modernize the guidelines of the defence policy, undertaking an in - depth update of the national defence directive and thus initiating a new planning cycle, rooted in the 2015 national security law and the 2017 national security strategy. the defence of spain is founded, on the one hand, on its own capabilities and strengths as a contribution to a national",704,117,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
3,"security that is conceived as an integrating whole and, on the other hand, on the practice of an effective multilateralism that better defends and promotes our interests and values. in this regard, the capacity to support and cooperate with civilian authorities in crisis and emergency management is of vital importance. the security threats and challenges we face are complex and transnational in nature and must be addressed globally. membership in major international organizations with responsibilities in security and defence, and the existence of a wide network of bilateral relations, enable our country to be integrated into a robust and flexible system, which acts as a multiplier of our capabilities and our influence on",730,113,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
4,"risk situations. spain offers itself to the world as a responsible and supportive partner, fully committed to peace and to the improvement of global stability. today, our country is a security provider with its own specific model, based on respect for the sovereignty and idiosyncrasies of other peoples, on empathy in dealing with other - - - - - populations, on interest in human security, as an element of conflict prevention, and on our armed forces ’ experience of over thirty years participating in operations outside our national territory. preserving this model and further contributing to security in an efficient manner requires appropriate resources, both human and material as well as financial",706,112,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
5,". the full integration of women, as well as the capability to attract talent in a world dominated by technology, are other necessary requirements to guarantee that our armed forces continue to be an example of modernity and professional excellence, permanently adapting to the new security challenges and seeking to contribute to the achievement of the sustainable development goals of the 2030 agenda. * * the strategic scenario * * this past decade has witnessed substantial changes in the international security architecture, resulting in a notable erosion of the international order and the unusual prominence of the use of force. the relationship between governments and the people they rule has also changed dramatically. the media and digital communications have",769,119,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
6,"contributed to making these changes happen. security challenges now come from both state actors, in intense strategic competition among them, and non - state actors ( terrorism and organized crime ), with significant capillarity between them, particularly evident in disinformation actions and cyberattacks. sometimes, as is the case with climate change or even pandemics, challenges are not the consequence of a hostile or deliberate act, although they may pose a major threat. in any event, citizens demand that their values, interests and way of life be protected, bearing in mind not only the present but also the future. in order to address this combination",662,104,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
7,"of challenges, defence has moved from being a concept aimed at managing specific threats to contributing, with its own idiosyncrasy, to an integrating national security system. defence provides unique capabilities, specialization and availability to increase the possibilities of action in multiple scenarios, including the challenging fight against international terrorism and cyberattacks. although there are no longer problems exclusive to defence, defence is part of the solution to any security problem. much of the erosion in the international security architecture is connected to socio - economic phenomena. the consequences of the 2008 economic crisis have redefined the role of international organizations, economic relations between states and their relationship with",778,108,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
8,"large corporations. moreover, certain undesirable consequences of globalization have led to frustration - - - - - among large sectors of the population in many countries. this frustration results in demonstrations - violent at times - rejecting the established systems, the rise of economic protectionism and the withdrawal of many countries into themselves, leading to a retreat from the multilateralism that has guided international relations since the mid - 20th century. the change from a dynamic of negotiation and agreement to one of competition and confrontation has not yet given rise to any major armed conflicts, although it does bring this possibility closer. paradoxically, new challenges are emerging that no country can",733,112,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
9,"manage on its own. this is the case of the consequences of climate change which, apart from its direct impact in the form of natural disasters, also affects the livelihood of the population in some regions, fuelling conflict and forcing mass migrations. also included in this chapter is the security of digital networks, the new critical resource of the global economy. safe access to networks and the protection of private data, and cyberspace in general, is a key element in the security of the 21 [ st ] century, as is the free access to the remaining global commons that articulate other forms of global communication and trade, including international airspace, outer",672,112,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
10,"space, sea routes or the seabed. in a context of withdrawal from the multilateral approach, the european union must take on greater responsibilities. in a broader sense, much of the future of our security lies in the union, where we contribute decisively to the development of a coherent and effective common security and defence policy. we intend to remain in the leading group of member states committed to developing the instruments of the treaty on european union relating to security and defence, in order to make this common policy more visible and effective, increase and modernize military capabilities, and strengthen the european defence technological and industrial base. going further in the europe of",713,113,130,0,spain_2020_NationalDefenceDirective.md,2025-01-28 18:53:47
