chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,defense · protection de la population · sports difesa · protezione della popolazione · sport,92,15,23,0,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
2,# # security through cooperation,32,5,7,1,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
3,# # # # # # an information brochure on the report of the federal council to the federal assembly on the security policy of switzerland ( report 2000 on security policy ) - - - - -,179,38,42,2,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
4,"# # # # # # this brochure summarizes the core state – ments of the report on swiss security policy and is intended to facilitate the discussion on security policy. however, it is no substitute for the more detailed and comprehensive full report. only the text adopted by the federal council is authoritative!",308,54,65,3,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
5,# # # # impressum,17,5,8,4,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
6,"# # # # # # concept, realization : rudolf pluss, thomas suremann",64,13,19,5,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
7,"# # # # # # text : rudolf pluss, christian catrina, thomas suremann",67,14,21,6,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
8,"# # # # # # publisher : office for information concepts, general secretariat, ddps",82,15,20,7,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
9,"# # # # # # layout / print : staubli media, bern [ www. stm. ch ] druckerei bloch ag, arlesheim",95,22,38,8,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
10,"# # # # # # photos : keystone - press, army film service",56,14,17,9,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
11,# # # # # # to be ordered from : see page 32,44,14,16,10,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
12,"# # # # # # contact address : information service ddps, parliament building, east wing, 3003 bern tel + + 41 31 324 50 58 www. vbs. admin. ch",141,30,42,11,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
13,# # # # # # 2 security through cooperation - - - - -,52,15,17,12,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
14,# # # # contents,16,5,7,13,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
15,# # # # # # summary our new security policy and its consequences 4 – 5 fundamentals new world – new dangers 6 – 7 armed conflicts and their management 8 – 9 * our armed forces in comparison with others 10 – 11 * our response : security trough cooperation 12 – 13 our security policy instruments the armed forces 14 – 15 armed forces : preconditions for mission accomplishment 16 – 17 civil protection 18 – 19 foreign policy and economic policy 20 – 21 police and protection of the constitutional order 22 information and communication 23 the framework of our security policy resources : militia and compulsory service 24 – 25 * resources : modification of compulsory service 26 –,679,124,130,14,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
16,"27 our neutrality adapted to the situation 28 – 29 strategic leadership 30 the way ahead : milestones of our security policy 31 * on these pages, this summary contains some additional information and remarks, compared with the full report. * * 3 3 * * _ security through cooperation _ * * 3 * * - - - - -",304,61,67,14,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
17,# # # # # # summary,19,7,9,15,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
18,# # # # our new security policy...,34,8,13,16,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
19,"# # # # # # the report 2000 on security policy analyses the changed situation, describes the objectives of swiss security policy and derives from them our strategy : security through cooperation. this strategy determines, in turn, the missions of our security policy instruments.",279,45,52,17,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
20,"# # # # # # the new situation the international situation has changed fundamentally over the last decade. the conventional military threat to switzerland has decreased. at the same time, the range of other dangers and risks has expanded considerably. today ’ s security problems cut across borders. the current crises and conflicts in europe confront many countries with the same challenges and they have a direct impact on switzerland as well. the crises cannot be solved but by a joint effort. for this reason, greater security cooperation is imperative.",556,91,102,18,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
21,"# # # # # # our previous strategy the previous swiss strategy of security policy aimed at security through autonomy. to a large extent it was based on worst - case assumptions ( nuclear war ) as criteria for the allocation of resources, and it was accepted that a heavy time burden was placed on the militia. this orientation was appropriate to the circumstances of the cold war but the changed situation calls for a new strategy.",430,78,84,19,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
22,# # # # # # 4 security through cooperation,42,10,12,20,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
23,"# # # # # # the new strategy : security through cooperation _ the new strategy of swiss security _ _ policy is geared to cooperation. _ within switzerland, emphasis is put on the best possible coordination of our own civilian and military instruments through comprehensive and flexible security cooperation. internationally, cooperation with friendly states and international security organizations will be expanded, as well as switzerland ’ s commitment to enhancing peace. such a commitment reflects our own interests ; it reduces the risk that switzerland itself is affected by the consequences of instability and war. the strategy of cooperation runs like a thread through all areas relating to security policy. the path to greater security involves more cooperation",770,120,130,21,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
24,.,1,1,3,21,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
25,"# # # # # # part of the framework : neutrality the law of neutrality leaves considerable freedom for manoeuvre to the neutral state. in the current political - military environment neutrality must be interpreted in an active way which expresses a spirit of solidarity. neutrality does not prevent switzerland from an active commitment to peace support or from cooperation in military training. however, the law of neutrality does prohibit giving military support to any warring party. for this reason, even in peacetime a neutral state cannot make any commitment to give military assistance in a war. therefore, membership in nato is not compatible with neutrality. - - - - -",675,112,127,22,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
26,# # # #... and its consequences,31,7,12,23,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
27,"# # # # # # the new strategy will have an effect on our security policy instruments, in particular on the armed forces and civil protection. the strategy calls for a reassessment of the relative importance of the missions of our armed forces. it also calls for a partial review of our compulsory service and will have an impact on our strategic leadership.",356,64,73,24,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
28,"# # # # # # reassessment of the missions of our armed forces the new strategy demands that the previous three missions of the armed forces are evaluated anew. _ peace support and crisis management : _ compared to the former ‘ peace promotion ’ mission, the armed forces must expand their engagement in the trouble area itself. if necessary, it will also be possible to arm voluntary units for their protection and the success of their mission. _ area protection and defence : _ compared to the former defence mission, cooperation with other armed forces will be increased, particularly in training. _ prevention and management of _ _ existential dangers : _ compared",666,115,130,25,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
29,"to its previous civil affairs support mission, the armed forces must be able to conduct several such operations simultaneously after a short period of preparation. _ preconditions for accomplishing armed _ _ forces missions : _ altogether the armed forces must be able to fulfil all three missions. therefore, they must be multi - functional. the armed forces need graduated degrees of readiness. high readiness is necessary for some missions, but not for all. in view of a potential threat increase, the armed forces must also be able to increase their assets accordingly. in order to cooperate better with other armed forces ( e. g. in peace support operations )",664,110,130,25,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
30,", it will also be necessary to improve interoperability.",56,9,14,25,switzerland_2000_SecurityPolicy.md,2025-01-28 18:55:21
