chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# swiss foreign policy strategy 2012 – 2015,43,8,10,0,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
2,"# # # federal council report to parliament on the strategic axes of foreign policy march 2012 - - - - - - - - - - switzerland is a country of strong in stitutions deeply rooted in its pluralist, democratic, and federalist culture. how ever, its independence, security, and stability are to a large extent the fruit of cross - border exchange. indeed, switzer land – so poor in raw materials, so rich in successful ventures – is the living expres sion of openness to the world at large. but do the swiss really know this? are they aware of the strategic importance of their foreign policy",587,108,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
3,"? are they aware of the need to anticipate future issues, prevent problems with neighbouring countries from taking on continental dimensions, affirm their values through solidarity and responsibility, and con stantly strengthen their partnerships? do they know that their interests are often linked with global developments and that they can influence those devel opments? if we are to answer these questions in the affirmative, we need to explain the confederation ’ s foreign policy, to make it accessible, and to be candid. this is the desire of the federal council, which has just adopted its foreign policy strategy for the current legislature. in our report, we affirm the",678,108,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
4,"principal objective of safe guarding the country ’ s interests and promoting its values, as defined in the constitution with timeless wisdom. and we define priorities for the years ahead. we thank you for reading this report, sharing its content, and joining with others in making your contribution to the future of our country. didier burkhalter - - - - - * * 1 introduction.....................................................",428,65,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
5,................................................. 5 * * 1. 1 overall objective : interests and values.............................................................. 5 1. 2 principles,181,16,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
6,governing implementation................................................................ 6 * * 2 the strategic axes of swiss foreign policy...................................................,190,13,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
7,. 8 * * 2. 1 neighbouring countries.................................................................................... 8 2. 2 the european union and its member states........................,191,18,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
8,........................... 10 2. 3 stability in europe and beyond........................................................................ 11 2. 4 strategic partnerships and global issues...........,198,17,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
9,.............................................. 15 * * 3 support for swiss nationals living or travelling abroad.................................. 21 * * * * 4 implementation of foreign policy and communication abroad..................... 23 *,242,28,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
10,* 4. 1 resources and representations network......................................................... 23 4. 2. communication abroad........................................................,187,12,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
11,......................... 24 * * 5 conclusion..................................................................................................,143,6,130,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
12,.............. 26 * *,21,4,19,1,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
13,"# # # # list of acronyms icc international criminal court icrc international committee of the red cross sdc swiss agency for development and cooperation fdfa federal department of foreign affairs g - 8 group of 8 ( canada, france, germany, great britain, italy, japan, united states ( g7 ) + russia ) g - 20 group of 20 ( argentina, australia, brazil, canada, china, european union, france, germany, great britain, india, indonesia, italy, japan, mexico, russia, saudi arabia, south africa, south korea, turkey, united states ) osec osec business network switzerland osce organisation",584,94,130,2,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
14,"for security and cooperation in europe pep politically exposed persons seco state secretariat for economic affairs eu e u i - - - - - the federal council asked the federal department of foreign affairs ( fdfa ) on 11 may 2011 to submit a document to it at the beginning of each legislature, setting out the most important strate gic axes of swiss foreign policy. this re port is our response to both the federal council ’ s request and a motion tabled by parliament ( 10. 3212 “ for a clear foreign policy strategy ” ). this report is concerned with the prior ity areas of “ general ” foreign policy and therefore does",618,116,130,2,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
15,"not tackle “ sector - relat ed ” aspects – foreign economic policy, international financial policy, internation al environment policy, etc. – in any depth. nevertheless, following the example of the strategy adopted in recent years in the field of foreign health policy, the de partments responsible will have to draw up even more joint strategies for safe guarding switzerland ’ s interests, so as to better coordinate the federal council ’ s policies in relation to foreign countries.",486,79,93,2,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
16,"# # # # 1. 1 overall objective : interests and values the overall objective of swiss foreign policy is to safeguard swiss interests and promote swiss values. the federal con stitution defines these interests and val ues in art. 2 and art. 54, paragraph 2. the definition given there is intended to have long - term validity and thus to im part stability to swiss foreign policy, re gardless of changes in the international it ti t i ti according to the constitution, the prin cipal interests that swiss foreign policy is intended to safeguard are the inde pendence, security, and prosperity of the country. in",609,107,130,3,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
17,"pursuing these interests, the confederation is committed to pro moting efforts to combat distress and poverty in the world, respect for human rights and democracy, peaceful coex istence of nations, and conservation of natural resources. in this age of globalisation, countries have become so interdependent that a conflict or crisis – even in a faraway land – often has direct consequences for switzerland : threatening our foreign investments or exports, endangering our nationals living abroad, or destroy ing natural resources. fragile states and states in conflict are fertile ground for organised crime, armed violence, and illegal proliferation of weapons and cross - border terrorist networks. the",704,106,130,3,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
18,"world economy is vulnerable to threats to the flow of trade, transportation, and energy resources. moreover, we are subject to the pressure of migration from countries where insecurity, hu man rights violations, poor social and economic prospects, and degradation of the environment are commonplace. therefore, in committing ourselves to preventing conflicts, alleviating poverty, and protecting the environment, swit zerland is fostering international stabil ity, which in turn has a positive influence on the country ’ s security, access to re sources, and prosperity. - - - - -",580,88,115,3,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
19,"# # # # implementation implementation of swiss foreign policy is governed by a number of principles which transcend changing circum stances and remain valid regardless of temporary changes in the international situation. the three basic principles are the rule of law, universality, and neu trality, to which should be added the fundamental notions of solidarity and responsibility : - * * the rule of law : just as respect for * * the rule of law is accepted without question in switzerland, it is clearly in the country ’ s interest that inter national relations be governed by law and not by force. hence the key importance for switzerland of pub lic international",667,114,130,4,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
20,"law. in the absence of rules, international actors may be tempted to further their interests by trying to exert pressure, or even by using force. switzerland, on the other hand, has for many years been firmly opposed to use of force and in favour of peaceful means of set tling disputes ; - * * universality : switzerland has al * * ways tried, as far as possible, to maintain good relations with all nations of the world. as a country that is heavily dependent – in par ticular economically – on its open ness to the outside world ( not being a member of the european union or other major alliances or groups of",612,115,130,4,switzerland_2012_ForeignPolicyStrategy.md,2025-01-28 18:55:34
