chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# switzerland ’ s security 2020,31,6,8,0,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
2,# # # situation report of the federal intelligence service - - - - -,68,15,17,1,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
3,# switzerland ’ s security 2020,31,6,8,2,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
4,# # # situation report of the federal intelligence service - - - - -,68,15,17,3,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
5,# # inhaltsverzeichnistable of contents * * threat situation marked by the pandemic * * * * 5 * * * * the situation report in brief * * * * 9 * * * * strategic environment * * * * 17 * * * * jihadist and ethno - nationalist terrorism * * * * 33 * * * * violent right - wing and left - wing extremism * * * * 49 * * * * proliferation * * * * 61 * * * * illegal intelligence * * * * 71 * * * * threat to critical infrastructure * * * * 81 * * * *,444,114,130,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
6,"key figures * * * * 91 * * * * list of abbreviations * * * * 101 * * - - - - - - - - - - the fight against the coronavirus pandemic presents the world with enormous challenges. curfews and lockdowns, border controls, keeping critical infrastructure going : many states are taking a range of drastic measures to combat further spread of the virus and deal with the consequences of the crisis. internationally, too, the virus is bringing fundamental changes in many areas. in countries which are already marked by poverty, high levels of population or war, for example, it is exacerba",582,107,130,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
7,"##ting the situation. however, we are still in the early stages of trying to gauge the severity and duration of the effects of covid - 19, with the pandemic continuing to evolve. nonetheless, we now have an idea of the initial consequences for the security of switzerland. the fis has examined in depth the question of how covid - 19 is impacting on and will impact on the threat situation. the fis ’ s preoccupation with this question explains the late publication date of its annual situation report. as ‘ switzerland ’ s security 2020ʼ shows, the fis does not see covid - 19 as a game changer",595,108,132,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
8,", but as an important driver which will reinforce, and is also likely to accelerate, existing trends in the international system. for switzerland, this means above all that the changes currently taking place in the strategic environment will continue and probably accelerate. changes which, incidentally, could persist for some time and thus indefinitely delay the formation of a new and more stable ‘ world orderʼ. a summarized overview of the latest intelligence assessment of the threat situation can be found in the fis ’ s situation radar. this edition features a new design of the situation radar tool, offering improved clarity and legibility. the closing ‘ key figuresʼ section takes the form of",703,113,130,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
9,"a brief management report and provides important information and data on the fis ’ s services, including information - gathering measures requiring authorization. i hope that you will find this report as interesting as i did, and i wish you the best of health. viola amherd, federal councillor federal department of defence, civil protection and sport ddps - - - - - - - - - - the security agencies have been facing complex challenges for years. the fis ’ s situation radar tool offers guidance and provides the interested public with an outline of the key issues from an intelligence viewpoint. at this time, the covid - 19 pandemic is, without",645,112,130,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
10,"doubt, the central issue. there are as yet no detailed answers to the question about its consequences for security policy. however, the findings of the fis so far can be summarised in the general assessment that the pandemic has reinforced and probably accelerated already apparent tendencies in the international system. - the covid - 19 pandemic has provided further indications pointing to the end of a world order that was to a large degree shaped by the usa, its system of alliances, and institutions under strong american influence. the end of the cold war had led to the end of bipolarity in the international system. the subsequent phase of unip",653,110,130,4,switzerland_2020_SecuritySituationReport.md,2025-01-28 18:56:09
