chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,| 國 | [UNK] | | - - - - - - | - - - - - - | | [UNK] | | | 部 | | | 主 | 事 | | [UNK] | | | 國 | 中 華 民 國 八 十 [UNK] 年 | | - - - - - - | - - - - - - - - - - - - - - - - - - - - | | [UNK] | | | [UNK] | |,195,86,88,0,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
2,# # 目 1! [ 2 _ image _ 1. png ] ( 2 _ image _ 1. png ) [UNK]! [ 2 _ image _ 2. png ] ( 2 _ image _ 2. png ),107,37,49,1,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
3,# · 華 民 · 成 「 八 十 [UNK] 年 國 [UNK] [UNK] [UNK] 書 [UNK] [UNK] 家 安 [UNK] [UNK] [UNK] [UNK] [UNK] 軍 事 [UNK] [UNK]! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png )! [ 2 _ image _ 3. png ] ( 2 _ image _ 3. png ).! [ 2 _ image _ 4. png ] ( 2 _ image _ 4. png ) [UNK] 一 [UNK] 三 [UNK] [UNK] 國 [UNK] [UNK] [UNK] 書 2 [UNK] [UNK] 二 二 11 | [UNK] | [UNK] | | - - - - - - | - - - - -,366,112,130,2,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
4,- | | = | - | | [UNK] | [UNK] | | [UNK] | | - - - - - - | [UNK] 二 二 [UNK] [UNK] 五 [UNK] [UNK] [UNK] [UNK] [UNK] 一 [UNK] [UNK] [UNK] 不 [UNK] [UNK]! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) - - - - - | [UNK] | | - - - - - - - | [UNK] 章 [UNK]! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png ) [UNK] [UNK] [UNK]! [ 3 _ image _ 2. png ] ( 3 _ image _ 2. png )!,357,112,130,2,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
5,[ 3 _ image _ 3. png ] ( 3 _ image _ 3. png ) | [UNK] | | - - - - - - | | [UNK] | | 로 | | - - - - - - | | 大 | | 地 |! [ 3 _ image _ 4. png ] ( 3 _ image _ 4. png )! [ 3 _ image _ 6. png ] ( 3 _ image _ 6. png ) * * *! [ 3 _ image _ 7. png ] ( 3 _ image _ 7. png ) 日 [UNK] 力 [UNK].. 國 [UNK] ( [UNK],297,106,130,2,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
6,民 ) [UNK] [UNK].. [UNK] 国 事 জ [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK]........................ = 五 = [UNK] 四 - | | | = = = - 四 | [UNK] | | - - - - - - | | [UNK] | [UNK] kj [UNK] 成 [UNK]! [ 3 _ image _ 5. png ] ( 3 _ image _ 5. png ) [UNK] 武 [UNK] 部 軍 事 外 [UNK]. 中 नह 車 事 [UNK] [UNK] [UNK] 我 之 [UNK] [UNK] [UNK] 國 車 [UNK] 章 [UNK] [UNK] 事 [UNK] [UNK] [UNK],355,94,130,2,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
7,[UNK] 我 之 [UNK] ـــ [UNK] 政 [UNK] | 1 八 [UNK] 成,47,13,17,2,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
8,# # 目 3! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ) [UNK] 一 二 [UNK]! [ 4 _ image _ 3. png ] ( 4 _ image _ 3. png ) [UNK] 二 [UNK] 人 力 [UNK] [UNK] 成 [UNK] [UNK] [UNK] [UNK] [UNK] 場! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 2. png ] ( 4 _ image _ 2. png ) [UNK] 구 [UNK] 五 [UNK] [UNK] म 五 四 [UNK] - 五 [UNK] - 八 五 國 [UNK] [UNK] [UNK] 書,354,107,130,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
9,! [ 5 _ image _ 2. png ] ( 5 _ image _ 2. png )! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png )! [ 5 _ image _ 1. png ] ( 5 _ image _ 1. png )! [ 5 _ image _ 3. png ] ( 5 _ image _ 3. png )! [ 5 _ image _ 13. png ] ( 5 _ image _ 13. png )! [ 5 _ image _ 10. png ] ( 5 _ image _ 10. png )! [,289,98,130,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
10,5 _ image _ 14. png ] ( 5 _ image _ 14. png )... [UNK] [UNK] [UNK] [UNK] - - [UNK] [UNK]! [ 5 _ image _ 8. png ] ( 5 _ image _ 8. png ) [UNK] [UNK] [UNK]! [ 5 _ image _ 7. png ] ( 5 _ image _ 7. png ) [UNK]! [ 5 _ image _ 9. png ] ( 5 _ image _ 9. png )! [ 5 _ image _ 6. png ] ( 5 _ image _ 6. png ) 家! [ 5 _ image _ 11. p,323,99,130,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
11,##ng ] ( 5 _ image _ 11. png ) 成 行 [UNK] 一 -! [ 5 _ image _ 4. png ] ( 5 _ image _ 4. png ) | [UNK] | | - - - - - - | | [UNK] 二 一 | | - - - - - - - - - - | [UNK] 二 二 [UNK] 二 一 | [UNK] | | - - - - - - | 四 -! [ 5 _ image _ 5. png ] ( 5 _ image _ 5. png ) [UNK] [UNK] 國 國 八 八 l = 十 [UNK] [UNK] 年 八 [UNK] + 國 [UNK] 年 [UNK] 國 [UNK] [UNK],332,116,132,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
12,[UNK] 内 [UNK] [UNK] [UNK] [UNK]. 比 [UNK] 國 八 十 五 / 八 + [UNK] ( 年 [UNK] 國 [UNK] | [UNK] | | - - - - - - | |. | [UNK] [UNK] [UNK] 行 [UNK] o! [ 5 _ image _ 16. png ] ( 5 _ image _ 16. png ) [UNK] o - [UNK] 五 - | | = [UNK]! [ 5 _ image _ 12. png ] ( 5 _ image _ 12. png ) t [UNK] [UNK] [UNK] [UNK] 行 [UNK] [UNK]! [ 5 _ image _ 15. png ] ( 5 _ image _ 15. png ) 四 - [UNK] 八 =,370,111,130,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
13,- - [UNK] [UNK] 五 - - 國 [UNK],29,9,11,3,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
14,# # 目 5 [UNK] 不 四 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 政! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) [UNK] 二 一 [UNK] カロ [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 二 [UNK]! [ 6 _ image _ 4. png ] ( 6 _ image _ 4. png ) [UNK] [UNK] 軍 中 生 [UNK] [UNK] [UNK] - 111 111 - 11111 -! [ 6 _ image _ 1. png ] ( 6 _ image _ 1. png ) [UNK] 一 [UNK] [UNK] 劉 [UNK] [UNK] [UNK] 二 一! [ 6 _ image _ 3. p,397,109,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
15,##ng ] ( 6 _ image _ 3. png ) [UNK] 本 行 [UNK] [UNK]! [ 6 _ image _ 2. png ] ( 6 _ image _ 2. png ) | 11 111 [UNK] [UNK] 포 [UNK] e 四 國 [UNK] [UNK] [UNK] 書 | [UNK] | | | | | | | | | | | | | | - - - - - - - - - - - - | - - - - - - - - - | - - - - - - - - | - - - - - - | - - - - | - - - - | - - - - - - - - | -,308,120,132,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
16,- - - - | - - - - - | - - - - - - - - | - - - - - - - - - - | - - - - | - - - - | | [UNK] | | | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | 五 | [UNK] [UNK] | | | | | | | | | | | | | 五 | 四 | [UNK] 三 [UNK] | - | - | 八 | [UNK] [UNK] [UNK] | 五 | 四 | [UNK] 三 郎 | [UNK] 二 一 [UNK] | - |,327,128,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
17,| | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | | す | [UNK] | [UNK] | [UNK] | [UNK] | 加 | [UNK] | 博 | [UNK] | [UNK] | | | | | 加 | | | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | 車 | [UNK] | [UNK] | [UNK] | 止 | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | म म | | | | | | | | | | | | | | [UNK] | [UNK] | 士 | [UNK] | 軍 | [UNK] | 家 | [UNK] - | 合 | [UNK],391,128,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
18,| [UNK] | [UNK] | | | 軍 | [UNK] [UNK] | | | | | | | | | | | | | [UNK] | 事 | 事 | [UNK] | [UNK] | 法 | [UNK] | [UNK] | | | | | | | | [UNK] [UNK] | | | | | | | | | | | | | 事 [UNK] [UNK] | 事 [UNK] [UNK] | म | [UNK] | [UNK] | [UNK] | 心 | [UNK] | [UNK] | [UNK] | | | | | 一 宮 [UNK] [UNK] [UNK] | [UNK] [UNK] | | | | | | | | | | | | | [UNK] | 事 [UNK] [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK],395,128,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
19,| [UNK] | 部 | | | | | [UNK] | [UNK] | [UNK] | 家 | [UNK] | [UNK] | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] [UNK] | | | | | | | | | | | [UNK] | [UNK] | | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | | | | | | | | | | | |... |.. | | | | | | | | | | | | | | 土 [UNK] [UNK] |.. | | | | | | | | | | | | |.. |.. | | |,316,117,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
20,| | | | | | | | |.. |.. |.. |.. | | | | | | | | | | |.. | | | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | ハ | [UNK] | [UNK] | 五 | 포 | [UNK] | | | | の | | | | | | | | | | | | | [UNK] | 八 | [UNK] | [UNK] | 四 | 八 | 八 | 五 | 111 | | | | | 6 | [UNK] | [UNK] | | | | | | | | | | | -,302,117,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
21,- - - - - | - - - - - - - - | - - - - - - - - | - - - - - - - - - - | - - - - - - - - | - - - - - | - - - - | - - - - - - - - | - - - - | - - - - | - - - - | | [UNK] | [UNK] | [UNK] | | | | | | | | | | [UNK] [UNK] | [UNK] 五 | [UNK] 四 | [UNK] 二 二 | [UNK] 二 一 | | | | | | | | 八 | 四 | [UNK] 三 [UNK] | [UNK],303,128,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
22,二 [UNK] | - | - | | | | | | | | ヒ | | | | | | | | | | | 章 | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | | [UNK] | [UNK] | 高 | - 1483 | [UNK] | 力 | [UNK] | | | | | | bc | [UNK] | नन | 2 | | | | | | | | | [UNK] | [UNK] | 神 | [UNK] | 高 | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | 合 | [UNK] | | | | | |,348,126,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
23,| | | | | [UNK] | 民 | पप ] | परण | [UNK] | 國 | 部 | [UNK] | [UNK] | | | | 政 | [UNK] | [UNK] | [UNK] | [UNK] | · · · | [UNK] | [UNK] 歌 [UNK] | [UNK] | [UNK] | [UNK] | | | [UNK] [UNK] [UNK] | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | | [UNK] [UNK] | [UNK] | | | | | | | | | | | [UNK] | [UNK] | [UNK] | 八 [UNK] [UNK] [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | |,404,125,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
24,| | | · [UNK] [UNK] | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | | 불 | [UNK] | [UNK] | 村 | カ | [UNK] | | | | | | | 成 | [UNK] 街 | | | | | | | | | | | [UNK] | [UNK] | | | | | | | | | | | 家 | [UNK] | 子 [UNK] 歌 | | | | | | | | | | [UNK] | [UNK] | | | | | | | | | | | # 力 |. | カ | | | | | | | | |,316,125,130,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
25,| [UNK] |.. | | | | | | | | | | |.. |... | | | | | | | | | | | |... | | | | | | | | | | |.. | | | | | | | | | | | | 八 | 11 | - | [UNK] | [UNK] | さ | [UNK] | [UNK] | t | | | | [UNK] | = | [UNK] | [UNK] | 五 | | | | | | | [UNK] [UNK] [UNK] 章,238,91,105,4,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
26,# [UNK] [UNK] [UNK] [UNK] [UNK]! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png ) [UNK] [UNK] - [UNK] 力 [UNK] [UNK] 社 [UNK] 治 安 八 [UNK] 8 國 [UNK] [UNK] [UNK] 書 | 本 | [UNK] | | | | | | | | | | | - - - - - - - - | - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - | - - -,324,123,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
27,- - - - - | - - - - - - | - - - - | - - - - - - | - - - - - - | - - - - | - - - - | | [UNK] | | | | | | | | | | | | [UNK] | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | | | 五 [UNK] | [UNK] | | | | | | | | | | [UNK] 二 二 | [UNK] 二 一 | [UNK] | [UNK] [UNK] | [UNK] 二 二 | | | | | | | | 四 | 一 |,311,128,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
28,[UNK] [UNK] [UNK] | 五 | 目 | 11 - | | | | | | | [UNK] | | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | 章 | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | [UNK] | | | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | [UNK] | [UNK] | [UNK] | - [UNK] | 軍 | [UNK] | [UNK] | [UNK] | 阿 [UNK] | 大 | 白 | | [UNK] | | | | | | | | | | | | [UNK] | 國 | 國 | 民 |,372,128,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
29,道 | [UNK] | 車 | 國 | | | | | | とな | | | | | | | | | | | | [UNK] 國 | | | | | | | | | | | 軍 民 信 | [UNK] | [UNK] | [UNK] | [UNK] | 信 | [UNK] | 民 | 士 | | | | [UNK] | [UNK] | [UNK] | 民 [UNK] 文 | [UNK] | [UNK] | [UNK] | 물가 | 道 | [UNK] | | | | 民 | | | | | | | | | | | [UNK] | 道 | [UNK] | [UNK] | 空 | 道 | [UNK] | सम | [UNK] | [UNK] | | | |,333,122,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
30,[UNK] | 馬 | [UNK] | [UNK] | | | | | | | | [UNK] | [UNK] [UNK] | | | | | | | | | | | | [UNK] | 漢 | [UNK] | [UNK] | | | | | | | | | [UNK] | [UNK] | [UNK] | [UNK] | | | | | | | | | 公 | [UNK] | | | | | | | | | | | 司 | [UNK] | | | | | | | | | | | [UNK] | | | | | | | | | | | | [UNK] | | | | | | | | | | | | [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] | [UNK],363,128,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
31,| | | | | | | | | | |.. | | | | | | | | | | | |. |...................... | | | | | | | | | | | | | | | | | | | | | | 0 | o | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | [UNK] | | | | - | | | | | | | | | | | - | 八 | [UNK] | 四 | = | - | | | | | | [UNK] 章 博 [UNK] 人,274,103,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
32,[UNK] [UNK] 14 加 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 五 [UNK] [UNK] 二 一 [UNK] [UNK] 四 [UNK] 三 [UNK] - [UNK] [UNK] [UNK] [UNK] [UNK] 主 [UNK] [UNK] [UNK] [UNK] 版 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 法 [UNK] 相 「 [UNK] [UNK] 保 人 [UNK] ( [UNK] [UNK] 民 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 小 民 主 [UNK] [UNK] e ( 事 [UNK] [UNK] [UNK] 公 [UNK] [UNK] 信 國 家 地 地 [UNK] - [UNK] [UNK] 1 [UNK] [UNK].... 海 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK].. [UNK].. [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK].... [UNK] [UNK] = oll oll 0 o,552,114,130,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
33,0 八 [UNK] [UNK] 二 章 [UNK] 二 二 [UNK] 土 [UNK] [UNK]! [ 10 _ image _ 0. png ] ( 10 _ image _ 0. png ) [UNK] [UNK] 二 [UNK] 一 [UNK] 明 [UNK] [UNK] [UNK] 民 [UNK] [UNK] [UNK] す [UNK] [UNK] [UNK] 民 [UNK] [UNK]! [ 10 _ image _ 1. png ] ( 10 _ image _ 1. png ).... 1111 - [UNK],266,69,86,5,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
34,# # 目 9 | 女 | | - - - - - - - - - - - - - - - - | | [UNK] | | [UNK] [UNK] 軍 士 [UNK] [UNK] [UNK] | | 人 | | [UNK] | 國 [UNK] [UNK] [UNK] 書 [UNK] [UNK] [UNK] 11 一 [UNK] 11 [UNK].. 國 軍 軍 事 [UNK] 民 國 八 十 二 [UNK] 八 [UNK] 年 [UNK] [UNK] [UNK] 軍 士 [UNK] [UNK] [UNK] [UNK] 的 [UNK] [UNK] 年 中 [UNK] 國 [UNK] [UNK] [UNK]... [UNK] | | [UNK] | | | | - - - - - - - - - - - - - - | - - - - - - - | - - -,384,123,130,6,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
35,- - - - - - | - - - - - - | | 111 - | | | | | e | | | | | 五 | [UNK] | [UNK] | [UNK] | | - • | · · |.. | | | | · · · 東 | | | | [UNK] | 國 | · · 一 [UNK] | - | | [UNK] | 南 | [UNK] | | | 間 | 八 | 타 | [UNK] | | [UNK] | 八 | [UNK] | | 11 | | 三 年 [UNK] 軍 [UNK] [UNK] | hh | 家 | [UNK] | | | 軍 | - | | | 中 [UNK] 國 [UNK] | 一 [UNK] | カ,322,124,130,6,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
36,| [UNK] | | [UNK] | [UNK] | [UNK] | [UNK] | | [UNK] | キ | [UNK] | [UNK] | [UNK].... 行 後 政 [UNK] [UNK] [UNK] [UNK] 人 部 [UNK] [UNK] 民 [UNK] গরহ [UNK] [UNK] [UNK].. 貴.. · · 民 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 年 東 南 [UNK] 國 家 國 [UNK] [UNK] | 11 | | - - - - - - | | [UNK] | [UNK] - 77 [UNK] [UNK] = [UNK] [UNK] 四 | 八 | | - - - - - - | 五 [UNK] 八 [UNK] दिनि [UNK] [UNK] 目 [UNK] 東 四 四 e [UNK] 11 [UNK] [UNK]...,422,112,130,6,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
37,• [UNK] 民 মম 國 年 八 十 國 事 [UNK] [UNK] / [UNK] 八 t [UNK] [UNK] [UNK] 年 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 法 [UNK] [UNK] [UNK] [UNK] 不 [UNK] 合 成 [UNK] [UNK] 不 [UNK] [UNK] 三 四 e ei 三 [UNK] e [UNK] [UNK] [UNK] · ·.. · · [UNK] 民 民 [UNK] 國 [UNK] 國 人 八 [UNK] 1 八 [UNK] [UNK] 十 + [UNK] [UNK] 五 [UNK] [UNK] [UNK] ノ / [UNK] 八 八 [UNK] [UNK] + + [UNK] [UNK] [UNK] 年 前 [UNK] 年 國 [UNK] 二 軍 家 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 成 男 人 [UNK] 後 [UNK] [UNK] [UNK] [UNK] [UNK] 耳 [UNK] [UNK] 四 四 [UNK] 八 -,503,124,130,6,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
38,6 [UNK] [UNK] [UNK] [UNK]. · ·.. 民 民 民 國 國 國 八 八 八 + 十 + [UNK] 年 國 [UNK] [UNK] ノ ノ 八 八 軍 十 十 [UNK] [UNK] [UNK] [UNK] 年 年 [UNK] [UNK] | 西 [UNK] 車 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 成 सव [UNK] 成 [UNK] [UNK] [UNK] [UNK] 四 m + [UNK] [UNK] [UNK] · ·. [UNK] 國 軍 軍 · [UNK] [UNK] [UNK] 村 土 地 [UNK] [UNK] [UNK] 村 政 漢 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 五 [UNK] | 구 | [UNK] | [UNK] | [UNK] | [UNK] | | | - - - - - - | - - - - - - | - -,445,122,130,6,taiwan_1987_NationalDefenseReport_noneng.md,2025-01-28 18:56:58
