chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"national defense report ministry of national defense, roc 2015 minister ' s foreword 19",87,14,17,0,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
2,# # introduction 23 part 1 strategic environment 27 chapter 1 security situation 28 section 1 global security environment 29 section 2 asia - pacific security situation 41 chapter 2 security challenges 50 section 1 current status and developments of the prc 51 section 2 military capabilities and threats of the prc 60 section 3 security challenges of the roc 66,362,61,63,1,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
3,# # part 2 national defense policy 71 chapter 3 national defense policy plans 72 section 1 main themes of national defense policy 73 section 2 objectives of national defense strategy 76 section 3 concept of military strategy 84 chapter 4 national defense administration 90 chapter 4 national defense policy implementation 90 section 1 enhance military strength reformation 91 section 1 enhance force buildup efforts 91 section 2 devise well - planned transformation of military service 93 section 2 perfecting the transitioning of the military service system 93 section 3 reform to national defense legal system 100 section 3 national defense legal system reform 100 section 4 safeguard military human rights 102 section 4 safeguarding human rights in the armed forces 102 section,780,123,130,2,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
4,5 expand military exchanges 104 section 5 expanding military exchanges 104 section 6 enhance crisis response 107 section 6 enhancing crisis response 107 section 7 improve care for service members 109 section 7 improving care for servicemen 109 section 8 implementing gender equality 111 section 8 promote gender equality 111,324,50,52,2,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
5,# # part 3 national defense capabilities 113 part 4 all - out defense 181 chapter 5 national defense force 114 section 1 introducing the national defense organization 115 | operations effectiveness | 122 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - | section 3 maintaining continuous operational and training readiness 128 section 4 consolidating information and electronic warfare capabilities 131 section 5 refining logistics support 134 | section 7 forging intangible combat | | - - - - - - - - - - - - - - - - -,546,122,130,3,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
6,- - - - - - - - - - - - - - - - - - - - - - | section 6 consolidating reserve force 138 chapter 6 national defense resources 148 section 1 nurturing quality personnel 149 section 2 planning the national defense financial resources 156 section 3 keeping a solid armament readiness 164 terms and definitions 249 section 4 integrating national defense with the people ' s livelihood 174 chapter 7 people ' s participation in national defense 182 section 1 deepening national defense education 183 section 2 passing on a glorious historical legacy 189 section 3 enhancing defense mobilization 195 chapter 8 military - civilian collaboration 198 section 1 enhancing disaster prevention and relief efforts 199 section,711,123,130,3,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
7,2 joint maritime patrols and fishery protection 205 section 3 sustainable military - civilian services 207 appendixes 227,121,18,21,3,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
8,# tables and figures table 2 - 1. a list of defense budgets from 2006 to 2015 as published by the prc 55 figure 5 - 1. national defense structure and responsibilities 116 figure 5 - 2. ministry of national defense organization 118 figure 6 - 1. relationship between the national defense budget and the total central government budget from 2006 to 2015 158 figure 6 - 2. proportion between the open and confidential budget allocations from 2006 to 2015 158 figure 6 - 3. national defense budget allocation chart from 2006 to 2015 159 figure 6 - 4. network diagram of the roc armed forces comptroller information and cloud services 162 figure 7 - 1. all,651,117,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
9,"- out defense mobilization system 197 figure 7 - 2. all - out defense mobilization mechanism 197 the national defense of the republic of china ( roc ) is aimed at utilization of comprehensive national power to establish a national defense military force, assist humanitarian assistance and disaster relief ( ha / dr ), safeguard national security, and maintain world peace. ( article 2 of the * national defense act * ) 5 during peacetime, the army safeguards taiwan as well as its! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png )! [ 5 _ image _ 1. png ] ( 5 _ image _",566,112,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
10,"1. png )! [ 5 _ image _ 2. png ] ( 5 _ image _ 2. png )! [ 5 _ image _ 3. png ] ( 5 _ image _ 3. png )! [ 5 _ image _ 4. png ] ( 5 _ image _ 4. png )! [ 5 _ image _ 5. png ] ( 5 _ image _ 5. png ) offshore islands, supports counter - terrorism actions when ordered, and engages in ha / dr. during wartime, the army shall integrate with navy, air force, and all ground forces for joint operations to",398,100,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
11,"annihilate invading enemy forces.! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) during peacetime, the navy is responsible for maritime reconnaissance and patrolling, safeguarding maritime safety, and engaging in ha / dr in surrounding waters of taiwan and asia pacific region. during wartime, the navy shall conduct joint operations with other services against the enemy ' s maritime blockade or military invasion, thereby securing the sea lines of communication ( sloc ) to safeguard national security. 8! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png ) "" wather",562,103,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
12,"##e contractorial production consulti! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) editors 1235 12 during peacetime, the air force is responsible for aerial reconnaissance, patrolling the taiwan strait and securing national airspace, and engaging in ha / dr. in wartime, the air force shall fight for air superiority and engage in various joint operations with ground and naval forces. 11! [ 11 _ image _ 0. png ] ( 11 _ image _ 0. png )! [ 11 _ image _ 6. png ] ( 11 _ image _ 6. png )! [",491,102,132,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
13,11 _ image _ 7. png ] ( 11 _ image _ 7. png )! [ 11 _ image _ 8. png ] ( 11 _ image _ 8. png )! [ 11 _ image _ 9. png ] ( 11 _ image _ 9. png )! [ 11 _ image _ 4. png ] ( 11 _ image _ 4. png )! [ 11 _ image _ 5. png ] ( 11 _ image _ 5. png )! [ 11 _ image _ 10. png ] ( 11 _ image _ 10. png ) 2253! [,300,97,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
14,"11 _ image _ 3. png ] ( 11 _ image _ 3. png ) danger! [ 11 _ image _ 1. png ] ( 11 _ image _ 1. png )! [ 11 _ image _ 2. png ] ( 11 _ image _ 2. png ) 15 to live up to the duties of protecting the nation and the people,! [ 12 _ image _ 0. png ] ( 12 _ image _ 0. png )! [ 12 _ image _ 1. png ] ( 12 _ image _ 1. png )! [ 12 _ image _ 2. p",338,101,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
15,"##ng ] ( 12 _ image _ 2. png )! [ 12 _ image _ 3. png ] ( 12 _ image _ 3. png ) the roc armed forces are committed to disaster prevention and preparations against threat of complex disasters, and have made use of various field exercises to enhance competences and professional skills in disaster relief. 13 the ministry of national defense ( mnd ) has employed! [ 13 _ image _ 0. png ] ( 13 _ image _ 0. png ) all functional media and hosted dynamic, diverse, and educational events to inspire patriotism amongst fellow citizens, so as to strengthen the unity",559,108,132,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
16,"between the military and the people, and realize the concepts of care, support, and participation of all citizens. 14! [ 14 _ image _ 0. png ] ( 14 _ image _ 0. png )! [ 15 _ image _ 0. png ] ( 15 _ image _ 0. png ) veterans of the war of resistance against japan, surviving dependents of the martyrs, foreign friends who kindly assisted us during the war, and descendants of anti - japanese resistance martyrs of taiwan origin were invited to attend various commemorative events. president ma ying - jeou also personally presented these veterans with the commemorative medals for war of",587,108,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
17,"resistance to honor their sacrifice in the war. 17 article 138 of the * constitution of the republic of * china states : "" the land, sea and air forces of the whole country shall be above personal, regional, or party affiliations, shall be loyal to the state, and shall protect the people. "" 18 ps 1 1 - 1 - 1 minister ' s foreword 19 the security of a nation cannot merely guaranteed by establishing a military force, but most importantly, by the consolidated support and commitment from the people. in order to improve the transparency of national defense affairs, the mnd has published the * national defense report * on a regular",633,115,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
18,"basis to elaborate its national defense concepts and policy implementation performance. it is hoped that through the report, the people may fully comprehend current national defense policies, step forward to participate in the buildup of our national defense, and thus forge a common consensus for all - out defense. in the past 2 years, the people ' s republic of china ( prc ) has been continuously increasing its military strength and attempting to break through the current us - led asia pacific security framework by efforts such as establishing the east china sea air defense identification zone ( adiz ) and expanding island reclamation in the south china sea. additionally, the people ' s liberation army (",714,118,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
19,"pla ) has been pursuing unabated preparations against taiwan despite easing tensions across the taiwan strait, and continuing to carry out targeted exercises while deploying over a thousand short - and medium - range ballistic missiles along the coastal areas facing the taiwan strait. hence, the prc remains the greatest threat to our national security, tilts regional military balance, and poses a grave challenge to the regional stability. under the hard roc national security guidance of president ma, the mnd has pooled defense resources in building armed force capabilities that aiming at interdicting enemies as they are crossing the taiwan strait and preventing them from disembarking. accordingly",705,107,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
20,", the mnd has acquired the ah - 64e helicopters. the newly procured uh - 60m helicopters, p - 3c anti - submarine aircraft and patriot advanced capability - 3 ( pac - 3 ) missile systems have been arriving on schedule. furthermore, the roc air force has been upgrading f - 16 and idf fighters, while the tuo chiang class corvette and panshi fast combat support ship have been successfully delivered to the roc navy following the policy of constructing naval vessels indigenously. these efforts of national defense policy implementation have improved the developing progress of our defense industries and further upgrade the domestic industrial capabilities to the next level. in transition",689,113,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
21,"to a volunteer military system, the mnd, in accordance with the * act of military service system, * has been conscripting young adults born before 1993 to safeguard homeland and ensure national security. i am grateful for the cooperation and support shown by these conscripts and their families. realistically speaking, no policy can be successfully implemented overnight. the volunteer military system, particularly, is critical to our national security, and has a tremendous scope of impact which can only be diminished by the collaboration of all parties involved. it was indeed not easy for our armed forces to achieve quite a recruitment result in just a few years. currently, legislative",693,109,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
22,"procedures have been completed for the * provisional act for the * implementation of the volunteer military system that is critical to volunteer force recruitment efforts. we believe that with improved emphasis on the pay, dignity, and future career prospects for service members, the volunteer military system will be more thorough and complete, and the transition will be more smooth and successful. the roc armed forces have also reaped substantive results in combat readiness exercises, disaster prevention and relief, and professional education and training. in particular, at the scene of every major disaster, such as the recent typhoon soudelor, transasia airways flight 222 crash at penghu islands, transasia",717,108,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
23,"airways flight 235 crash at keelung river, and the kaohsiung gas explosions, units of the roc armed forces could always be spotted committing fully to disaster relief operations. in the future, the roc armed forces shall continue to improve their overall disaster prevention and relief capabilities and become powerful and elite forces excelled at disaster relief in peacetime and combat operations in wartime, so as to shoulder the greatest responsibility of safeguarding the people ' s lives and property. this year marks the 70th anniversary of victory in the war of resistance against japan. the mnd has hosted a series of commemorative events to pay tribute to the brave martyrs who gave their lives",704,114,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
24,"to the country, and illustrate the historical significance of the victory. these commemorative events demonstrated the historical fact that the nationalist government of the roc led its military and the people in achieving victory after the 8 - year long war of resistance. in addition, the mnd has also held the defense capabilities demonstration, an international seminar, an exhibition detailing the truth of the war, and a musical to help fellow citizens understand the value of peace, and recognize that peace is backed up by credible strength, so as to consolidate our resolves to pursue all - out defense, and ensure the sustainable development of our country. finally, i gratefully acknowledge the active",712,113,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
25,"participation of the report ' s advisory committee members as well as our editorial colleagues. i would also like to express my appreciation for the hard work and contributions of all men and women serving in the roc armed forces whose steadfast dedication to force buildup and combat readiness allowed us to enrich the contents of this report. i also hope that men and women of the roc will like to share their ideas with us, continue to care and support for national defense and security affairs, and help the roc armed forces to innovate and progress to become highly trained elite forces with powerful warfighting capabilities that lives up to the expectations of our country and",683,117,130,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
26,"our people. kao, kuang - chi! [ 21 _ image _ 0. png ] ( 21 _ image _ 0. png ) minister of national defense november, 2015 22",124,29,41,4,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
27,"# # introduction 23 pursuant to article 30 of the national defense act : "" the ministry of national defense ( mnd ) shall periodically submit the * national defense report * in accordance with national goals, general international situations, militar y situations, defense policy, force buildup, combat readiness preparations, utilization of defense resources and implementation of all - out defense. "" the mnd shall compile a * national defense report * every 2 years in order to describe changes to the current strategic situations and status of implementation of national defense policies. the 2015 * national defense report * of the mnd is the 13th edition of the said report. the",684,112,130,5,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
28,"contents have been reviewed and compiled in accordance with current domestic and international situations, current challenges to security, and various policy implementation efforts and results. in the past 2 years, security policies of various asia pacific countries have experienced noticeable changes, which have affected the development of regional situations. the roc armed forces have also achieved significant progress in acquisition of new equipment and key defense transformations such as establishing the volunteer military system and force restructuring. the mnd is therefore obliged to share these achievements with the people. in addition to the introduction, this report is divided into 4 parts : strategic environment, national defense policy, national defense capabilities, and allout defense.",808,113,130,5,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
29,the information in this report was collected from january 2014 to august 2015.,78,13,16,5,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
30,"# # part 1. strategic environment traditional military security issues remain the major cause of conflicts among countries. non - traditional security issues, such as those related to energy, food, and climate change, are also getting attentions in the global community. in the asia - pacific region, rapid military expansion of the prc has triggered a series of changes in the surrounding areas. the prc remains the major security threat to our country as it has yet to renounce the use of force against taiwan and can employ more diverse and flexible array of military means against the island.",596,99,113,6,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
31,"# # part 2. national defense policy the roc national defense policy, defense strategic objectives, concept of military strategy, and directions of force buildup and development are elaborated here based upon the directives of the * 2013 quadrennial defense * review. detailed narratives of the current defense policy implementation, such as the volunteer military system, force restructuring, and transformation in our military judicial system, are also included, so as to allowing the people to grasp the ongoing status of major policies.",539,81,99,7,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
32,"# # part 3. national defense capabilities the roc armed forces have been constantly improving their national defense organization, joint operations effectiveness, operational and training readiness, information and electronic warfare ( ew ) capabilities, logistics support, reserve mobilization, and intangible combat capabilities. the roc armed forces are also maximizing the effectiveness of human, financial and material defense resources to support the completion of its tasks and missions.",494,67,83,8,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
33,"# # part 4. all - out defense part 4 describes the establishment, management, and results of the allout defense mobilization system as well as efforts in the last 2 years by the roc armed forces in disaster prevention and relief, joint fishery protection, military civil affairs, reconstruction of military dependents ' housing, and medical care. additional information has been provided to give accounts of recent developments and results in all - out defense education programs, including commemoration events for the 70th anniversary of the victory in the war of resistance against japan and the retrocession of taiwan held in 2015, in order to build a nationwide consensus for all - out defense and",702,114,130,9,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
34,acquire citizen support for national defense efforts. 25 2010 child cho a marka katika 19 11 2018 - 12 - 1 481 2 1,114,24,30,9,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
35,"# # part 1. strategic environment 27 i n the past 2 years, the global security environment remains in the form of "" one hyperpower and many superpowers. "" the us - led global security efforts are facing new challenges in the form of growing violent and extremist terrorist organizations, increasing instability in eastern europe, and reversion of usrussia relations. major security challenges in the asiapacific region include territorial water and island disputes in the east china sea and south china sea, and north korea ' s development of nuclear weapons. prc ' s continuing military modernization, its one belt, one road diplomatic and economic strategy,",659,106,130,10,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
36,and increasing presence in the east china sea and south china sea remain major factors influencing regional security and stability and threatening the survival and development of the roc. source : shangri - la dialogue,218,35,39,10,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
37,"# # chapter 1. security situation 28 conventional political and military threats to the current state of global security include conflicts arising from sovereignty and territorial disputes over waters and land, religious conflicts, and racial issues. non - traditional security threats have also become challenges across countries, including the spread of terrorism, impacts on economic security, increased difficulties in the containment and prevention of infectious diseases, global climate change, shortage of food and water resources, and cyber - attacks. even though the united states ( us ) is still the leading actor in defining security environment in the asia - pacific region, the prc, with its rapid - growing national strength, has attempted to",756,114,130,11,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
38,change the status quo in order to acquire greater influence.,60,10,13,11,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
39,"# section 1. global security environment global security is still being influenced by diplomatic and military strategies and policies of the us. however, major countries and regional organizations such as the prc, eu, russia, india, and japan have also been expanding their influence in both global and regional affairs. us influence, in particular, is facing increasing challenges from the prc. the overall state of global security is currently under the major influence of regional developments directed by major powers. medium to small countries will employ geopolitical conditions, resource advantages, as well as economic and commercial interaction to expand their own influence to ensure both the survival and growth of their countries.",742,111,130,12,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
40,"# # i. asia ( i ) the people ' s republic of china for the past 2 years, domestic policies of the prc are still focused upon the leading directives of maintaining economic growth, internal stability, fighting corruption, enhancing governmental ethics, and strengthening the political leadership of the chinese communist party. the prc also recently established the central leading group for comprehensively deepening reforms and the central national security commission, both chaired by xi jinping with li keqiang serving as the deputy. this move has been enacted to bolster the xi - li administration, unify executive powers, and grant the prc leadership with the ability to respond quickly",691,109,130,13,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
41,"against domestic and global security threats. the prc is also adopting the military strategic guideline of active defense that emphasizes those core interests of safeguarding national sovereignty, national security, territorial integrity, and national unity. in managing sovereignty disputes in the east china sea and south china sea, the prc claims to adopt soft measures such as strengthening of communication, cooperation, and! [ 29 _ image _ 0. png ] ( 29 _ image _ 0. png )! [ 29 _ image _ 1. png ] ( 29 _ image _ 1. png )! [ 30 _ image _ 0. png ] ( 30 _ image",565,105,130,13,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
42,"_ 0. png )! [ 30 _ image _ 1. png ] ( 30 _ image _ 1. png )! [ 31 _ image _ 0. png ] ( 31 _ image _ 0. png )! [ 31 _ image _ 1. png ] ( 31 _ image _ 1. png ) mutual interests, however, it also emphasizes its stance of no preemption but with assured counterattack to express its determination in the defense of territories and sovereignty. for diplomatic policies, xi affirmed the country ' s neighborhood diplomacy directives at the peripheral diplomacy work conference and the central conference on work relating to",516,104,130,13,taiwan_2015_NationalDefenseReport.md,2025-01-28 18:56:53
