chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,2021,4,1,3,0,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
2,# quadrennial! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) defense review 四 年 [UNK] 國 [UNK] [UNK] [UNK] [UNK] quadrennial defense review the republic of china 2021 o v t e v o 001 — minister ' s foreword 003 — introduction regional situation monitoring emerging security challenges security situation in the indo - pacific region military threats from the prc non - traditional security challenges 007 - strategic guidance to ensure security with fortified defense national defense strategy military strategy 015 - _ reinforcing military strength constructing an unbreakable force planning for joint capabilities developing asymmetric capabilities enhancing,659,108,130,1,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
3,"c4isr, iw, and ew capabilities integrating logistic capacities reforming mobilization of reservists building resiliency pragmatic management in defense affairs force management system recruitment system welfare services defense fisical planning all - out defense protecting the people 021 - 033 - a sustainable roadmap developing self - reliant defensee! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png ) boosting defense technologies promoting domestically producing arms optimizing conditions for self -",548,92,130,1,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
4,reliant defense fostering local capacities of supply and maintenance 053 - consolidating security addressing gray zone threat countering cognitive warfare of the prc responding to iw threats addressing prc ' s harassments 061 - strategic cooperation creating strategic value of taiwan elaborating geostrategic advantages expanding defense exchange and cooperation propelling non - traditional security cooperation 068 — conclusion 047.,435,59,82,1,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
5,"# minister ' s foreword national defense is the cornerstone to guarantee the security of a nation, and the mission and core value of the roc armed forces is to deter and defeat the enemy ' s invasion. while the people ' s republic of china ( prc ) has never renounced the use of commitments and diligence to operational training and seizing decisive opportunities to overtake the enemy, we can overcome the threat and against all odds, be the sturdiest shield to defend the nation and the people, and fulfill the goal to maintain the stability across the taiwan strait. 1 the regional situation is becoming more complex and precarious. the prc",643,113,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
6,"is postured as the major threat to our national security. aside from posing threats of conventional military invasion and continuous war preparation, the prc has been imposed new security challenges on us, including the using of gray zone tactics, such as the intrusion and provocation by aerial and maritime assets, waging cognitive warfare by verbal intimidation, saber - rattling, and initiating cyberattacks. it is therefore a routine task of the roc armed forces to respond cautiously to those threats to our national security. holding a belief that "" saving our own country by ourselves, "" and "" being wellprepared for war is the way to preserve the peace,",662,108,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
7,""" the roc armed forces is determined to defend the nation. by improving force buildup, readiness and training, we aim at building a defense power with "" resolute defense and multi - domain deterrence. "" no matter facing the traditional and non - traditional threats or the coercive actions of the prc, stick to the commitment and responsibility for the nation and the people. as stipulated in the article 31 of the national defense act, the mnd shall "" within ten months after each presidential inauguration, publicly submits the quadrennial defense review to the legislative yuan. "" the 2021 quadrennial defense review ( qdr",625,104,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
8,") is the second edition published during the terms of president tsai ing - wen. over the past 4 years, with governmental support in terms of policies and budgets, the roc armed forces has achieved remarkably in the acquisition of weapons and equipment, acceleration of upgrading operational capabilities, transformation of military service system, and domestically - produced aircraft and naval vessel programs, which could let the general public see our efforts and progress. in the future, we will spare no efforts to strengthen our self - defense, and focusing on prioritized policies on defense transformations, so as to maintain our overall defense competitiveness. first of all, the transition to a volunteer",714,111,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
9,"recruitment system has reached the goal of 90 % manning ratio. the mnd will focus on improving personnel quality at the next stage. we will strengthen the personnel appraisal system and educational efforts for talents to serve in the military. secondly, by actively bringing new weapon systems into service and steadily strengthening long - range strike capabilities, we are inspiring the morale of the roc armed forces as well as the effectiveness of joint operations. hence, the mnd continue to develop innovative tactics as the weapon performance increases, through reinforcing rapid mobility, precision strike, effective countermeasures, and asymmetric warfare capabilities, and conduct rigorous and realistic",713,105,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
10,"combat - oriented training, in an war. in addition, our efforts to establish a self - reliant defense have reached initial success. in order to maintain the national security on our own, the mnd remains steadfast to develop indigenous weapon systems, endeavor to make major technological breakthroughs, and rejuvenate defense industries and economic development. the roc armed forces has been reforming the reserve force, enhancing its capabilities, and improving mobilization system, so as to construct a solid all - out defense power to deter the enemy. "" to defend our homeland with our lives and all means, "" the lyrics are from a song! """,642,105,130,2,taiwan_2021_QuadrennialDefenseReview.md,2025-01-28 18:56:43
