chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # part ii part iii part iv arrangement of sections section title part i preliminary provisions short title. application. interpretation. 1. 2. 3. the national security council establishment and structure of the council. functions of the council. secretariat. functions of the secretariat. 5. 6. 7. security committees composition of the regional security committees. functions of the regional security committees. composition of district security committees. functions of district security committees. 8. 9. 10. ii. general provisions offences and penalties. proceedings of the regional and district committees. submission of periodic reports to the council. expenses of the council. regulations. 12. 13.,706,100,130,0,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
2,14. 15. 16.,11,3,8,0,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
3,"# the national security council act, 2010 4. part v consequentional amendments 17. construction. ( a ) amendment of the tanzania intelligence and security service act amendment of the tanzania intelligence and security service act. 18. ( b ) amendment of the national defence act amendment of the national defence act. 19. ( c ) amendment of the national service act amendment of the national service act. 20. 2 ( d ) amendment of the disaster relief co - ordination act amendment of the disaster relief co - ordination act. 21. 2 5 1! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. p",577,109,130,1,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
4,"##ng ) i assent. the united republic of tanzania an act to establish the national security council and the defence and security committees at various administrative hierarchies with a view to regulating and co - ordinating national security matters ; to establish machinery for individual persons, public and private institutions to cooperate and participate effectively in matters of defence and national security and to provide for related matters. enacted by parliament of the united republic of tanzania.",508,77,90,1,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
5,"# # part i preliminary provisions short title 1. this act may be cited as the national security council act, 2010, and shall come into operation on such date as the minister may, by notice published in the gazette, appoint. application 2. - ( 1 ) this act shall apply to mainland tanzania as well as to tanzania zanzibar. ( 2 ) this act shall not apply to security matters at operational level except for exigency of public interest and where the defence and national security organs so advise. interpreta3. in this act, unless the context otherwise requirestion "" chairman "" means the chairman of the council ; "" council",621,110,130,2,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
6,""" means the national security council established under section 4 : "" defence and security organs "" means the tanzania peoples ' defence forces, national service, tanzania police force, tanzania service, immigration services and tanzania prisons intelligence and security services ; "" minister "" means the minister responsible for the national security ; "" president "" means the president of the united republic of tanzania ; "" security "" has the meaning ascribed to it under the national security act. cap. 47",510,82,90,2,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
7,"# # part ii the national security council 4. - ( 1 ) there is established a council to be known as the national security council. ( 2 ) the council shall consist of the following members - ( a ) the president, who shall be the chairman of the council ; ( b ) the vice - president ; establishment and structure of the council ( c ) the president of the revolutionary government of zanzibar ; ( d ) the prime minister ; and ( e ) the chief minister of the revolutionary government of zanzibar. ( 3 ) the chief secretary shall be the secretary to the council. ( 4 ) the council may invite any",589,119,130,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
8,"person to its meetings for the purpose of giving advice on any matter which is the subject of consideration. ( 5 ) the council may, where circumstances require, form a committee for the purpose of performing or undertaking a specific function or task on its behalf. 5. - ( 1 ) the council shall be the principal advisory organ to the president on all matters relating to the national security. ( 2 ) without prejudice to the generality of subsection ( 1 ), the functions of the council shall be toformulate, establish and oversee core values of the ( a ) national security for purposes of protecting and defending national interests ; review policies of defence",661,116,130,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
9,", security, foreign affairs and ( b ) other policies which relate to national security in view of prevailing national and international circumstances ; evaluate the state of national security on short and long ( c ) terms and recommend the proper cause of action ; receive and analyse reports relating to the state of ( d ) defence and security in the country from the defence and security organs, government departments and institutions and regional security committees and give directions as appropriate ; and perform any other function as may be assigned by the ( c ) president. functions of the council 6. there shall be the secretariat to the council comprising ofthe chief secretary who shall be the head and",714,122,130,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
10,the co - ( a ) ordinator ; two assistant co - ordinators from the tanzania ( b ) peoples ' defence forces ; two assistant co - ordinators from the tanzania ( c ) intelligence and security service ; one assistant co - ordinator from the police force ; ( d ) ( e ) one assistant co - ordinator from the immigration department. one assistant co - ordinator from the tanzania prisons ( f ) service ; and one assistant co - ordinator from the rehabilitation ( g ) college. 7. - ( 1 ) the functions of the secretariat shall be to - ( a ) prepare agenda,546,111,130,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
11,"and take minutes of council meetings ; functions of the secretariat 12 ( b ) analyse and compile various reports from the defence and security organs and other government departments and institutions for submission to the council for its decision ; ( c ) coordinate and serve as a focal point for the of activities between the council, administration government departments and institutions as well as defence and security organs ; ( d ) keep and maintain records and control confidentiality of all documents relating to the council ' s activities ; ( e ) make follow - up and prepare implementation reports of the council ' s decisions ; and ( f ) perform any other function as may be assigned to it",700,124,130,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
12,by the council. ( 2 ) the secretariat may co - opt any person during its meetings for the purposes of giving advice on any matter which is the subject of consideration. 6 secretariat,182,34,38,3,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
13,"# # part iii security committees | tion of | | - - - - - - - - - - - - | | regional | | security | | committees | there is hereby established the following security 8. - ( 1 ) committeesthe regional security committees ; and ( a ) the district security committees. ( b ) composi - ( 2 ) the regional security committee shall be composed ofthe regional commissioner, who shall be the ( a ) chairman ; the regional administrative secretary, who shall be ( b ) the secretary : the regional police commander ; ( c ) ( d ) the commanding officer of the tanzania peoples ' defence",574,118,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
14,"forces unit ; the regional security officer ; ( e ) the regional immigration officer ; ( d ) the regional militia advisor ; and ( g ) the regional prisons officer and, in the case of ( h ) tanzania zanzibar, the regional rehabilitation colleges ' officer. ( 3 ) the regional security committee may invite any person to its meetings for the purpose of giving advice on any matter which is the subject of consideration except that such person shall not have a right to vote. ( 4 ) the regional security committee may, where circumstances require, form a committee for the purpose of performing or undertaking a specific function or task on its behalf. 9.",652,118,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
15,"the functions of the regional security committee shall be to - ( a ) receive and analyse security reports from the district security committees and defence and security organs and take appropriate action ; ( b ) prepare evaluation reports on defence and security situation in the region for submission to the relevant functions of regional security committees authorities within the region ; plan, coordinate and give directions on the manner of ( c ) dealing with emergencies such as disasters, famine, epidemics, floods and major accidents, incidents like theft, land disputes, serious crimes, cattle environmental degradation, robbery, sabotage, illegal immigrants, moral turpitude, illicit drugs including such other occurrences which are",742,111,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
16,"likely to endanger peace and tranquillity to the public in the respective region ; identify social and administrative ( d ) specify and problems within the region which may endanger security and advise the relevant authority on appropriate measures or the proper course of action ; consider applications for citizenship and advise the ( c ) minister responsible for citizenship ; ( f ) ( g ) ( h ) consider applications for ownership of arms and explosives and make decision in accordance with the existing laws ; evaluate and make follow - up on the status of strategic reserve levels of food, medicine and fuel and alert the relevant authorities for their action ; and perform any other function as may be",707,123,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
17,"assigned to it by the relevant authority. | composi - | | - - - - - - - - - - - - | | tion of | | district | | security | | committees | 10. - ( 1 ) the district security committee shall be composed ofthe district commissioner, who shall be the chairman ; ( a ) the district administrative secretary, who shall be the ( b ) secretary ; the commanding officer of the tanzania peoples ' ( c ) defence forces units situated in the respective district ; the district security officer ; ( d ) the district police commander ; ( e ) the district militia advisor ; ( d ) the",566,120,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
18,"district immigration officer ; and ( g ) the district prisons officer and, in the case of ( h ) tanzania zanzibar, the district rehabilitation colleges ' officer. ( 2 ) the district security committee may invite any person in its meeting for the purpose of giving advice on any matter which is the subject of its consideration except that such person shall not have a right to vote. ( 3 ) the district sccurity committee may, where circumstances require, form a committee for the purpose of performing or undertaking a specific function or task on its behalf. 11. the functions of the district security committee shall be functions of district security committees prepare plans and",681,116,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
19,"strategies for defence and security and make follow - up for the implementation ; prepare evaluation reports on defence and security situation in the district for submission to the secretary of the regional security committee ; plan, coordinate and give directions on the manner of dealing with emergencies within the district such as disasters, epidemics, famine, floods and major accidents and occurrences like serious crimes, cattle theft, land disputes, environmental degradation, robbery, piracy, looting, poaching, rape sabotage, illegal immigrants, illicit drugs, moral turpitude, including other occurrences which are likely to endanger peace and tranquillity within the respective district ; specify and identify social and",732,104,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
20,"administrative problems within the district which may endanger security and advise the relevant authority on the appropriate measures or course of action ; ( e ) consider applications for citizenship and submit recommendations to the regional security committee ; consider applications for ownership of arms and ( c ) ( d ) 1 to - ( a ) ( b ) explosives and make decisions in accordance with the existing laws or advise the regional security committee on such applications ; evaluate and make follow up on the status of ( g ) strategic reserve levels of food, medicine and fuel and inform the regional security committee for its action ; and perform any other function as may be assigned by ( h ) the relevant",709,126,130,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
21,authorities.,12,1,4,4,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
22,"# # part iv general provisions offences and penalties 12. any person who, being a member of any committee referred to under section 8, divulges any information obtained by virtue of his membership to such committee, commits an offence and shall, on conviction, be liable to a penalty prescribed for the offence under the relevant law. proceedings of the regional and district security committees 13. in the absence of the chairman the person presiding over at the meeting of the regional security committee or the district security committee, shall be a person acting in that capacity of the regional commissioner or the district commissioner. submission of periodic reports to the council 14. - (",697,114,130,5,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
23,"1 ) the defence and security committees specified under this act shall, on the basis of geographical administrative hierarchical arrangements, be under the general obligation to submit to the relevant authorities, quarterly reports on defence and national security matters. ( 2 ) public and private institutions may be required to submit reports on any matter which the council or defence and security committees consider necessary for defence and security, group of persons, the community or the general public.",512,78,87,5,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
24,"# # part v ( 3 ) without prejudice to subsection ( 2 ), the council, the regional security committees and the district security committees, shall work on a system which shall enable individual persons, public and private institutions to submit information and reports relating to matters of concern to defence and national security. 15. the expenses incurred by or in respect of the council at all levels shall be charged on and paid out of the consolidated fund. expenses of the council 16. the minister may make regulations prescribing matters which are necessary or convenient to be prescribed for better carrying out or giving effect to the provisions of this act. regulations conse",686,114,130,6,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
25,"##quential amendments 17. the written laws specified under this part are amended in a manner provided for in this part. construction amendment of the tanzania intelligence and security service act 18. the tanzania intelligence and security service act herein after referred to as the principal act is amended - in section 3, by inserting at an appropriate ( a ) alphabetical order the following definition : amendment of the tanzania intelligence and security service act "" "" council "" means the national security council established under section 4 of the national security council act 2009 "" : in section 5 byinserting the phrase "" the council "", between ( i ) the words "" the """,680,116,132,6,tanzania_2010_SecurityAct.md,2025-01-28 18:57:02
