chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # part i - strategic environment - - - - -,44,12,14,0,timorleste_2007_Force2020.md,2025-01-28 18:54:33
2,# # # chapter 1,15,5,7,1,timorleste_2007_Force2020.md,2025-01-28 18:54:33
3,# # [ s ] ss [ t ] tt [ a ] aa [ r ] rr [ t ] tt [ i ] iinnnggg pppoooiiinnntttsss,82,27,40,2,timorleste_2007_Force2020.md,2025-01-28 18:54:33
4,# # # # # general background national challenges regional alliances global strategy national overview types of threats analysis of threats scale of threats circumstances determining crises and regional conflicts - - - - -,221,35,37,3,timorleste_2007_Force2020.md,2025-01-28 18:54:33
5,"# # # # 1 - general background a look at the current reality of the world, with the intention of interpreting the past and placing it in the present context of geo - political and geo - strategic interests, shows that nations, by excessive use and abuse of power, drag vulnerable countries into their economic dominion. this is the clear reality that is visible, even if inadmissible, to the eyes and consciences of each one of us. in timor - leste, war after war, resistance grew to enormous proportions, a shared sense of peace emerged from its own vulnerability that was established pedagogically in the spirit of",616,108,130,4,timorleste_2007_Force2020.md,2025-01-28 18:54:33
6,"the people. this sentiment held the people together through the period of secular resistance, the wars of foreign occupation, the political conflicts of fratricidal violence and, later, the tragic military intervention and annexation of timor - leste by indonesia, which led to a continuing and widespread deaths, destruction and suffering across all parts of society. it was in this historic framework that timor leste gained its sovereignty for peace and liberty. an unconditional refusal to repeat the events imposed in the past is a constant indicator that moulds the character of national defence. we must instil, now and in the future, a convincing and overwhelming desire",678,106,130,4,timorleste_2007_Force2020.md,2025-01-28 18:54:33
7,"for peace and liberty in the exercise of national sovereignty, to bring about a durable independence that sees timor - leste reborn as a just and prosperous society. timor - leste as an independent country is subject to threats in the same way as other nations on the international stage. as timor - leste progressively develops in the direction of these global changes, it is foreseeable that its needs will alter systematically and its strategic environment will adapt to the dynamic reality that exists. a similar development must occur in the armed forces with the objective of affirming them as a ( professional, efficient and integrated ) force indispensable for the defence",680,112,130,4,timorleste_2007_Force2020.md,2025-01-28 18:54:33
8,of the nation.,14,3,6,4,timorleste_2007_Force2020.md,2025-01-28 18:54:33
9,"# # # # 2 - national challenges the dark shadows of the past show the vulnerability of timor - leste to other countries ’ desire to impose their geo - political, economic and strategic interests. future development must successfully integrate the exercise of a democratic state with the establishment of political balance in the national and international context. the dynamic concept of a modern economic system and the definition of the objectives of security in a holistic strategy of national defence. as a foundation for these objectives, the state of timor - leste must, as a priority, establish a standard of national development, and be responsible for investment in the training of human resources as a",711,117,130,5,timorleste_2007_Force2020.md,2025-01-28 18:54:33
10,"priority for the state and for systematically strengthening the intellectual fabric, human capital, structural capital and institutional capital, as the principal objectives towards achieving national development. national development must be guided by an integrated perspective of two concepts : the concept of a continental ( territorial ) orientation and the concept of a maritime orientation. both must be balanced in the national development plan, given the geographic characteristics and circumstances of timor - leste, which is an archipelago nation with the potential maritime resources to guarantee its sustainable development. the maritime vocation may be a political orientation of the state of the rdtl, taking on the role of a maritime state, considering the strategic aspects",789,115,130,5,timorleste_2007_Force2020.md,2025-01-28 18:54:33
11,"that may sustain and reinforce the instruments of - - - - - economic power of the nation : energy resources in the sea, fishing, maritime communication routes ( sloc - _ sea line of communications ), maritime transport and portage, maritime tourism, _ management of the sea ( environment and marine resources ), maritime security and defence, scientific research, and the development of a range of specialised human resource training measures in the maritime sector. the national development plan and the current development of the state do not reflect a balanced perception that would lead to a development paradigm integrating the concepts of maritime orientation and continental orientation. as a recently born nation, the creation",734,116,130,5,timorleste_2007_Force2020.md,2025-01-28 18:54:33
12,"of intra - timorese platforms for public discussion is suggested, in relation to the road map for national development. in addition to the road map, human development is indispensable to harmonise the moral, spiritual, social and cultural condition of the population and the consequent reconstruction of national identity, which are them selves fundamental conditions for achieving these national development objectives. if not, the emotional state and the distorted mentality of the population, after the difficult process of liberation ( during the various conflicts and wars of occupation ) and the complex integration in the process of national independence ( from the interventions to the imposition of peace in timor",722,109,130,5,timorleste_2007_Force2020.md,2025-01-28 18:54:33
13,"- leste ), may come to constitute abundant and latent grounds for new internal conflict.",88,15,21,5,timorleste_2007_Force2020.md,2025-01-28 18:54:33
