chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # # m i ni s t r y o f d ef ence o f uk r ai n e,56,25,29,0,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
2,# white book 2016,17,4,6,1,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
3,# # the armed forces of ukraine - - - - -,41,12,14,2,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
4,# # # # # # m i n i st r y o f def en c e o f uk ra in e,56,25,27,3,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
5,# white book 2016,17,4,6,4,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
6,"# # the armed forces of ukraine kyiv • 2017 - - - - - the white book 2016 : the armed forces of ukraine publication was prepared by the ministry of defence and the general staff of the armed forces of ukraine. working group head : ivan rusnak working group composition : oksana gavrylyuk, oleksandr dublyan, serhii dudko, viktor muzhenko, ihor pavlovskyi, anatolii petrenko, oleh shevchuk working group secretary : dmytro khrystoforov the white book is published according to the",479,81,130,5,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
7,"law of ukraine on the “ democratic civilian oversight of all military organisations and law enforcement agencies of the state ” with the aim to regularly inform the public on the activities of the ukrainian armed forces ( uaf ) as well as the defence policy of the state and its challenges and solutions. the twelfth publication, white book 2016 : the armed forces of ukraine is dedicated to the reforms of the uaf. the publication highlights the current state of the armed forces and the main directions for further military development. the publication could be useful for civilian and military experts in the field of military development, defence and security policy, as well as journalists, instructors and students",720,119,130,5,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
8,"of specialised educational institutions and to all interested in the state and development of the uaf. © ministry of defence of ukraine, 2017 © layout & design : pe moskalenko o. m., 2017 - - - - -",197,38,49,5,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
9,"# # # # # opening statement by the minister of defence of ukraine 2016 was the first year of the defence reform implementation, providing radical transformation of the uaf. furthermore, i would like to stress that no country in the world has more recent experience of such significant defence reform under the conditions of war fighting. at the same time, the development and enactment of the following defence planning documentation with the support of the president and the government of ukraine were completed : the concept for the development of the security and defence sector of ukraine ; strategic defence bulletin of ukraine ; the state target defence program on materiel development up to 2020 and the state program on",727,121,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
10,"armed forces development up to 2020. to ensure the successful implementation of defence reform, the reform committee of the ministry of defence ( mod ) and uaf was established. the organisational structure of the mod has been optimized and 25 % of units of the general staff of the uaf have been reformed to align with the principles of nato nations. the joint operational headquarters and special operations forces have been formed and incorporated into the uaf. high mobility assault forces were withdrawn from land forces and re - formed as a separate branch of the uaf. we took immediate action to provide our armed forces with equipment, to meet their basic needs.",669,113,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
11,"this included the introduction of 20 new variants of weapon systems and military equipment being adopted in 2016 as a result of government trials. fundamental changes have been made in the military training system. the training capabilities have increased and notably, in 2016 there were almost a third more operational training exercises than in 2015. in addition, the training centre of special operations was established ( berdychiv, zhytomyr region ) ; the centre for training and improvement at the international peacekeeping and security centre is nearing completion ( yavoriv, lviv region ) and the training capability of shyrokyi lan training ground is being enhanced. for the fi rst time",696,109,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
12,"since ukraine ’ s independence the army air crews conducted - - - - - live firing drills and precision attacks on air targets. in the framework of the joint multinational training group - ukraine ( jmtg - u ) five ukrainian battalions were trained in accordance with nato standards. we have managed to improve the overall level of logistic support that ensured the creation and transition to a new logistics system, compliant with nato standards, for the uaf. a new design of the uaf uniform was developed and is being rolled out across the uaf. based on a review of the catering system of the armed forces, in 2017 we plan to transfer 25",638,115,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
13,"millitary units to a new catering system with a more diverse diet and delicious dishes. the cornerstone of the public procurement reform to counter corruption was the introduction of an e - procurement system, prozorro. this accelerated the bidding procedures, ensured their transparency and delivered significant savings. in addition, the activity of the tender committee of the mod was reorganized and adopted new european principles. following the national anticorruption policy, we enacted a unified system of corruption prevention for all levels of military administration. this included, in december 2016, the establishment of five regional anti - corruption units for the uaf. nato has reinforced its support for capability",730,108,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
14,"development and capacity building in ukraine. a comprehensive assistance package for ukraine, which identified 40 areas of cooperation with the alliance, was adopted at the nato summit in warsaw. we continue to receive advisory, logistical and humanitarian assistance from the partner countries. in support of the mod and uaf, are more than 30 advisers from 12 nato nations and five strategic advisers from the us, uk, canada, lithuania and germany, who work closely alongside us. we clearly understand that one of the most important factors for the uaf to successfully perform their duties, including those in the anti - terrorist operation ( ato ) in eastern ukraine, is the appropriate level",694,111,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
15,"of welfare and state support for service personnel and their families. in 2016, we managed to significantly increase allowances for service personnel, including the provision of an operational allowance to those who were directly involved in the ato. we have developed a strategy to provide housing for military personnel and their families through either the construction of their own homes, purchase or a housing grant, etc., and are establishing regulatory and legal practices to implement it. the procedure for providing medical care in military medical establishments and associated payments for it between defence and security organisations has been improved. thus, i can confidently say that during the last year, the armed forces have increased",752,114,130,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
16,their capability to perform their tasks and are ready to deter armed conflict and repel armed aggression against ukraine. our soldiers ’ morale and patriotism with which they defend each centimetre of ukrainian land remain consistently high. i am quite sure that the fundamental reforms that we launched in 2016 are irreversible. i have no doubt - we will achieve our defined goals. minister of defence of ukraine general of the army of ukraine stepan poltorak general of the army of ukraine stepan poltorak - - - - -,517,89,108,6,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
17,# # # # results of the armed forces of ukraine reform in 2016 and participation in the anti - terrorist operation improvement of frameworks of the state policy in the defence domain results of the armed forces reform in 2016,224,41,44,7,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
18,# # # # # # chapter 1 - - - - - - - - - -,41,18,20,8,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
19,# # # # # # chapter 1,21,8,10,9,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
20,"# # # # results of the armed forces of ukraine reform in 2016 and participation in the anti - terrorist operation n 2016, the main efforts of the mod and the general staff were focused on the performance of the uaf # # # iin conducting their assigned tasks in the anti - terrorist operation ; balancing the structure, composition and size of the military administration ; increasing the combat readiness of the armed forces ; providing comprehensive support to meet their needs, as well as creating a legal framework for the further development of the uaf. improvement of the state policy in the defence domain in 2016, the necessary steps to create a new conceptual framework for the",684,120,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
21,"security and defence sector of ukraine based on the national security strategy [ 1 ] and military doctrine of ukraine [ 2 ] were continued. in particular, the president of ukraine approved the concept for the development of the security and defence sector of ukraine [ 3 ], strategic defence bulletin of ukraine [ 4 ] and the state target defence program on materiel development up to 2020. the national security and defence council of ukraine approved the state program on armed forces development up to 2020. * * note 1. 1. implementation of the concept for development * * of security and defence sector of ukraine provides for : - establishment of effective command system of security and defence",700,120,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
22,"sector as an integrated functional system ; - combination of operational capabilities of security and defence sector components to ensure timely and effective response to crisis situations which threaten national security ; - constant maintenance of security and defence forces readiness to perform assigned tasks ; - improvement of the planning system within the security and defence sector, providing effective use of national resources ; - gradual and coordinated increase of operational capability of security and defence sector as well as the level of their readiness to immediately respond to threats and challenges to the national security of ukraine ; - creating conditions to widely engage non - governmental organizations to perform tasks in the interests of national security and defence of the state. thus,",818,125,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
23,"for the first time in the history of ukraine, the defence planning documents have been developed in full, based on the results of a comprehensive review of the security and defence sector. the basis for the reform of ukraine ’ s security and defence sector is the concept for the development of the security and defence sector of ukraine. this identifies ways to achieve required defence capabilities allowing ukraine to restore its territorial integrity within the internationally recognized state borders of ukraine and ensure the creation of a national crisis response system, early detection, preventing internal and external threats to national security and their neutralization, and cyber security ( note 1. 1 ). in terms of hybrid warfare",745,118,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
24,", the priority is uniting efforts to repel aggression, strengthening national defence, strengthening the defence forces and their capabilities through a radical reform of the uaf. 1 the decree of the president of ukraine “ on the decision of the national security and defence council of ukraine as of may 6, 2015 “ on the national security strategy of ukraine ” # 287 / 2015 as of may 26, 2015. 2 the decree of the president of ukraine “ on the decision of the national security and defence council of ukraine as of september 2, 2015 “ on the new edition of the military doctrine of ukraine ” # 555 / 2015 as of september 24, 2015.",631,117,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
25,"3 the decree of the president of “ on the decision of the national security and defence council of ukraine as of march 4, 2016 “ on the concept for the development of the security and defence sector of ukraine ” # 92 / 2016 as of march 14, 2016. 4 the decree of the president of ukraine “ on the decision of the national security and defence council of ukraine as of may 20, 2016 “ on strategic defence bulletin of ukraine ” # 240 / 2016 as of june 6, 2016. - - - - - results of the armed forces of ukraine reform in 2016 and participation in the ato chapter 1 * * note 1. 2",574,120,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
26,". strategic goals of the defence reform : * * - integrated command of the defence forces in accordance with principles and standards of nato - member countries ; - effective policy, resource planning and management system by applying modern euro - atlantic approaches ; - operational capabilities of defence forces, necessary to defeat armed aggression, defend the country, as well as to support peace and international security ; - integrated logistics and medical support system, capable of supporting all defence forces components ; - professionalization of defence forces and the formation of a military reserve. principles of defence reform are defined in the strategic defence bulletin of ukraine ( note 1. 2 ). the aim of defence reform",743,119,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
27,"includes : the requirement by defence forces to achieve and maintain the necessary level of combat readiness ; the ability to perform the tasks of national defence ; effective response to emerging military threats and military and political challenges to national security ; improvement of the interoperability of the uaf and other military formations with the armed forces of nato and the european union to enable them to perform common tasks in international peacekeeping operations. the main bodies of reform are as follows : - state authorities that exercise powers in the field of defence, - defence forces, their composition, functions and tasks, structure, strength, training, equipment, capability, logistical support, disposition, etc.",744,112,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
28,", - defence industry, military and technical cooperation. ensuring coordination, monitoring and evaluation of military reform was entrusted to the reform committee of the mod and the uaf ( the reform committee ) chaired by the minister of defence of ukraine. the reform committee includes representatives of the mod of ukraine and other central executive authorities, the uaf, other components of the defence forces, advisors from nato member nations, mps of the verkhovna rada, volunteers and representatives of civil society. the reform committee consists of five subcommittees, each chaired by an official who is personally responsible and accountable for the successful and timely implementation of the relevant strategic objectives (",738,110,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
29,"figure 1. 1 ). * * figure 1. 1. structure of the reform committee of the ministry of defence of ukraine and * * the armed forces of ukraine - - - - - results of the armed forces of ukraine reform in 2016 and participation in the ato chapter 1 civil society fully exercises the principle of democratic civilian oversight over the uaf through the reform committee thereby ensuring the transparency of decision making in defence policy. in total, over 200 meetings of subcommittees and working groups of the reform committee were held during 2016. improving the regulatory framework in the defence domain in 2016, legislative and normative activities within the mod were aimed at",676,116,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
30,"the tasks of implementing the reforms of the defence department, in order to ensure the defence of the state and the creation of a modern combat - ready armed forces. the result of legislative activities of the mod was the adoption of two laws of ukraine, the decision of the verkhovna rada of ukraine, 20 decrees and one order of the president of ukraine, 49 decisions and 35 resolutions of the cabinet of ministers of ukraine, which have allowed : - to improve the preparation of state for national defence ; - to complete development of defence planning documents ; - to initiate the implementation of defence reform and reform the mod and the general staff and other",670,118,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
31,"military management bodies, including command and control of special operations forces and high mobility assault forces ; - to determine the place of joint operations headquarters, special operations forces, and high mobility assault forces in the overall structure of the armed forces and their legal status ; - to meet the uaf ’ s urgent requirement for modern military equipment ; - to define territorial distribution of responsibility and powers of command and control in all domains : land, air, maritime ; - to determine the terms of military service in the uaf for non - ukrainian nationals and stateless persons ; - to increase the level of welfare and state support, for military personnel ; including, but",715,118,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
32,"not limited to : legal assistance ; housing benefits ; uniform payments and relocation expenses ; - to improve catering provision and quality in the armed forces and across the defence and security sector ; - to improve the procedure for granting war participant status to persons who defended the independence, sovereignty and territorial integrity of ukraine and who were directly involved in the ato. legislative and regulatory acts adopted in 2016 have contributed to the implementation of the role of the armed forces. the list of major regulations is given in annex 1. - - - - - results of the armed forces of ukraine reform in 2016 and participation in the ato chapter 1 results of the armed forces reform",712,122,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
33,"in 2016 in 2016, the armed forces successfully performed defence related tasks by repelling and deterring armed aggression against ukraine, protecting the airspace of the state and sub - surface space within the territorial sea, preventing the spread of the crisis situation to other regions of ukraine, deterring armed conflict and isolating the crisis areas in eastern ukraine. necessary arrangements have been made for the development of the armed forces in order to improve their ability to effectively respond to military threats to national security, protect ukraine ’ s sovereignty, territorial integrity and inviolability. as part of the defence reform in 2016, the mod was reorganised and reduced in",708,109,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
34,"size. the new organisational structure of the mod, its hierarchical structure and distribution of basic tasks and responsibilities between all departments were approved, including : - the state secretary of the mod and heads of departments of the mod have been appointed in compliance with the legislation requirements ; - some duties of the defence minister have been delegated to his deputies, and from the deputy ministers - to the heads of departments of the mod. in addition, the decision making authority, along with the responsibility for output of each functional area, has been delegated ; - mod departments have been merged and reorganised, which has assisted in the effective solving of complex",705,113,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
35,"problems ( see. section 2 ) ; - functional responsibilities have been reviewed and all personnel have undergone a selection process, which helped to form a civilian professional staff of the mod ; - the concept of information infrastructure has been approved. the transition to electronic document circulation by using secure software has been introduced within ministry and for communication with other government agencies ; - the legal framework has been revised, obsolete regulatory provisions have been recognized as invalid ; - a roadmap for the implementation of capability based planning, which includes a comprehensive approach to threats to national security, financial, economic and defence capacity of the state has been approved ; - transparency and efficiency of resource",784,119,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
36,"utilization in the mod was achieved by using a new online procurement system prozorro. starting from august 1, 2016, citizens can view the online bid results and compare average sales prices ; - the reform of the internal control and risk management systems is mainly complete. given the principles and criteria of nato member countries, 25 % of structural units of the general staff of the armed forces have been reformed. new guidelines for the preparation and use of the armed forces have been developed, including : - fundamentals of preparation and conduct of operations ; - guidelines for operational headquarters ; - field manuals for armoured and mechanized forces, air defence, aviation, radio",702,114,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
37,"and air defence forces. - - - - - results of the armed forces of ukraine reform in 2016 and participation in the ato chapter 1 appropriate measures to reform the national codification system ( weapons and special equipment ) compatible with the nato codification system have been conducted. a specific nato trust fund has provided any necessary assistance. thus, the mod and general staff have improved the management system of the armed forces that is based on the new distribution of responsibilities, authority and accountability and using the following principle – the ministry of defence of ukraine forms the defence policy and general staff of the uaf implements this policy. key measures to reform the armed forces",721,118,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
38,in 2016 the planned areas for reform included : - further improvement of the command system ; - reorganization and standardisation of structures of combat units ; - formation of a special operations forces command ; - the ability to restore and repair weapons and military equipment. the following were achieved : - special operations forces were formed and incorporated in the armed forces ; - high mobility assault forces were withdrawn from the land forces and formed as a separate branch of the armed forces ; - combat composition of the land forces and land component of the naval forces increased in unit numbers and strength ; - the reserve corps command was formed ( kyiv ). the structure of combat brigades was improved,728,125,130,10,ukraine_2016_WhiteBook.md,2025-01-28 18:56:09
