chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national security strategy,28,4,6,0,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
2,# and strategic defence and security review 2015,48,8,10,1,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
3,# # a secure and prosperous,27,6,8,2,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
4,# # united kingdom cm 9161 - - - - -,36,11,15,3,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
5,# national security strategy and strategic defence and security review 2015,75,11,13,4,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
6,"# # a secure and prosperous united kingdom presented to parliament by the prime minister by command of her majesty november 2015 cm 9161 - - - - - © crown copyright 2015 this publication is licensed under the terms of the open government licence v3. 0 except where otherwise stated. to view this licence, visit nationalarchives. gov. uk / doc / open - government - licence / version / 3 or write to the information policy team, the national archives, kew, london tw9 4du, or email : [ psi @ nationalarchives. gsi. gov. uk ] ( mailto : psi %",540,101,130,5,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
7,40nationalarchives. gsi. gov. uk? subject = ) where we have identified any third party copyright information you will need to obtain permission from the copyright holders concerned. this publication is available at www gov uk / government / publications any enquiries regarding this publication should be sent to us at publiccorrespondence @ cabinetoffice. gov. uk print isbn 9781474125956 web isbn 9781474125963 id10111509 11 / 15 52309 printed on paper containing 75 % recycled fibre content minimum printed in the uk by the williams lea group on behalf,555,87,130,5,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
8,of the controller of her majesty ’ s st ti offi - - - - -,57,16,19,5,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
9,"# # # contents foreword by the prime minister 5 chapter 1 – our vision, values and approach 9 chapter 2 – the uk : strong, influential, global 13 chapter 3 – the national security context 15 chapter 4 – protect our people 23 a. protecting the uk, overseas territories and british nationals overseas 23 b. our armed forces 27 c. the nuclear deterrent 34 d. combating extremism and terrorism 37 e. cyber 40 f. serious and organised crime 42 g. crisis response and resilience 43 chapter 5 – project our global influence 47 a. global influence 47 b. allies, partners and global engagement 50 c. strengthening",604,107,130,6,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
10,the rules - based international order and its institutions 60 d. tackling conflict and building stability overseas 63 chapter 6 – promote our prosperity 69 a. economic security and opportunity 69 b. innovation 73 c. the defence and security industries and skills 75 chapter 7 – implementation and reform 81 annex a – summary of the national security risk assessment 2015 85 annex b – glossary 89 - - - - - - - - - -,415,77,85,6,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
11,"# # # foreword by the prime minister our national security depends on our economic security, and vice versa. so the first step in our national security strategy is to ensure our economy is, and remains, strong. over the last five years we have taken the difficult decisions needed to bring down our deficit and restore our economy to strength. in 2010, the total black hole in the defence budget alone was bigger than the entire defence budget in that year. now it is back in balance. by sticking to our long - term economic plan, britain has become the fastest growing major advanced economy in the world for the last two years. our renewed economic security",659,117,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
12,"means we can afford to invest further in our national security. this is vital at a time when the threats to our country are growing. from the rise of isil and greater instability in the middle east, to the crisis in ukraine, the threat of cyber attacks and the risk of pandemics, the world is more dangerous and uncertain today than five years ago. so while every government must choose how to spend the money it has available, every penny of which is hard - earned by taxpayers, this government has taken a clear decision to invest in our security and safeguard our prosperity. as a result, the united kingdom is the only major country in",639,116,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
13,"the world today which is simultaneously going to meet the nato target of spending 2 % of our gdp on defence and the un target of spending 0. 7 % of our gni on development, while also increasing investment in our security and intelligence agencies and in counter - terrorism. in ensuring our national security, we will also protect our economic security. as a trading nation with the world ’ s fifth biggest economy, we depend on stability and order in the world. with 5 million british nationals living overseas and our prosperity depending on trade around the world, engagement is not an optional extra, it is fundamental to the success of our nation. we need the",664,117,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
14,"sea lanes to stay open and the arteries of global commerce to remain free flowing. so this document sets out our national security strategy for the coming five years, and how we will implement it. it presents a clear vision for a secure and prosperous united kingdom, with global reach and global influence. at its heart is an understanding that we cannot choose between conventional defences against state - based threats and the need to counter threats that do not recognise national - - - - - borders. today we face both and we must respond to both. so over the course of this parliament our priorities are to deter state - based threats, tackle terrorism, remain a world",674,119,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
15,"leader in cyber security and ensure we have the capability to respond rapidly to crises as they emerge. to meet these priorities we will continue to harness all the tools of national power available to us, coordinated through the national security council, to deliver a ‘ full - spectrum approach ’. first, over the last five years we have reconfigured britain ’ s armed forces so they are able to deal with modern and evolving threats. where necessary, we will be ready to use force. we will ensure that our armed forces continue to remain world - leading. we will establish two additional typhoon squadrons and an additional squadron of f35 lightning combat aircraft",668,114,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
16,"to operate from our new aircraft carriers. we will buy nine new maritime patrol aircraft, based in scotland, to protect our nuclear deterrent, hunt down hostile submarines and enhance our maritime search and rescue. we will create two new strike brigades, forces of up to 5, 000 personnel fully equipped to deploy rapidly and sustain themselves in the field. by 2025, we will have a highly capable expeditionary force of around 50, 000, up from the 30, 000 we committed to in 2010. we will double our investment in our special forces ’ equipment. we will maintain our ultimate insurance policy as a nation – our continuous at sea nuclear deterrent",647,111,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
17,"– and replace our four ballistic missile submarines. in the longer term we will also increase the size of the royal navy ’ s frigate fleet. second, we will do more to ensure our security and intelligence agencies have the resources and information they need to prevent and disrupt plots against this country at every stage. so we will invest an additional £2. 5 billion, including employing over 1, 900 additional staff and strengthening our network of counter - terrorism experts in the middle east, north africa, south asia and sub - saharan africa. we will also increase our investment in counter - terrorism police and more than double our spending on aviation security around the world.",691,117,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
18,"third, we will use our outstanding diplomatic service to promote our interests and project our influence overseas. we will use our formidable development budget and our soft power to promote british values and to tackle the causes of the security threats we face, not just their consequences. this includes refocusing our aid budget to support fragile and broken states and regions to prevent conflict – and, crucially, to promote the golden thread of conditions that drive prosperity all across the world : the rule of law, good governance and the growth of democracy. these interventions are not just right morally – they are firmly in our national interest. our substantial aid budget means that britain not",710,116,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
19,"only meets our obligations to the poorest in the world, but can now respond rapidly and decisively to emerging crises overseas which impinge on our security at home – and with this speed and agility of response comes greater influence in the world. fourth, britain ’ s safety and security depends not just on our own efforts, but on working hand in glove with our allies to deal with the common threats that face us all, from terrorism to climate change. when confronted by danger, we are stronger together. so we will play our full part in the alliances which underpin our security and amplify our national power. we will work with",632,112,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
20,"our allies in europe and around the world – as well as seizing opportunities to reach out to emerging powers. history teaches us that no government can predict the future. we have no way of knowing precisely what course events will take over the next five years : we must expect the unexpected. but we can make sure that we have the versatility and the means to respond to new risks and threats to our security as they arise. - - - - - our armed forces, our police and our security and intelligence agencies put their lives on the line every day. their service is an inspiration to us all and they are the pride of our nation. through",634,120,130,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
21,"this national security strategy and strategic defence and security review we will back them and use our hard - earned economic strength to support our armed forces, and to give those in our police and our security and intelligence agencies who fight terrorism the resources they need to help keep our country safe. - - - - - - - - - -",334,63,67,7,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
22,"# # # chapter 1 – our vision, values and approach",49,11,14,8,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
23,"# # # # our vision 1. 1 our vision is for a secure and prosperous united kingdom, with global reach and influence. everything we do in the uk and around the world is driven by our determination to protect our people and our values, and ensure that our country prospers. 1. 2 economic security goes hand - in - hand with national security. since 2010 we have restored our economic security to live within our means. we now have one of the fastest growing developed economies. we have chosen to invest in projecting our power, influence and values. we are the only major country in the world to spend both 2 % of gross",616,115,130,9,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
24,"domestic product ( gdp ) on defence and 0. 7 % of gross national income ( gni ) on overseas development. these commitments will increase our security and safeguard our prosperity. 1. 3 to underpin our vision, we have an ambitious, forward - looking national security strategy : - we will strengthen our armed forces and our security and intelligence agencies so that they remain world - leading. they project our power globally, and will fight and work alongside our close allies, including the us and france, to deter or defeat our adversaries. - we will further enhance our position as the world ’ s leading soft power promoting our values and interests",655,113,130,9,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
25,"globally, with our world - class diplomatic service, commitment to overseas development, and institutions such as the bbc world service and the british council. - we will invest more in our current alliances including nato, build stronger relationships with growing powers, and work to bring past adversaries in from the cold. - we will strengthen our domestic resilience and law enforcement capabilities against global challenges which increasingly affect our people, communities and businesses. 1. 4 in particular, over the next five years our priorities will be to : - tackle terrorism head - on at home and abroad in a tough and comprehensive way, counter extremism and challenge the poisonous",697,110,130,9,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
26,"ideologies that feed it. we will - - - - - remain a world leader in cyber security. we will deter state - based threats. we will respond to crises rapidly and effectively and build resilience at home and abroad. - help strengthen the rules - based international order and its institutions, encouraging reform to enable further participation of growing powers. we will work with our partners to reduce conflict, and to promote stability, good governance and human rights. - promote our prosperity, expanding our economic relationship with growing powers such as india and china, helping to build global prosperity, investing in innovation and skills, and supporting uk defence and security",688,111,130,9,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
27,exports.,8,1,4,9,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
28,"# # # # our values 1. 5 the uk has a proud tradition of protecting its people, promoting civil liberties, upholding the rule of law, and building diverse, integrated communities tolerant of different faiths and beliefs. our democratic and inclusive values are the foundation of our security and prosperity. we will continue to uphold these values against those who are intent on undermining them. we will prevent those who seek to spread extremist ideologies through our communities from doing so. 1. 6 our long - term security and prosperity also depend on a stable international system that reflects our core british values. democracy, the rule of law",653,108,130,10,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
29,", open, accountable governments and institutions, human rights, freedom of speech, property rights and equality of opportunity, including the empowerment of women and girls, are the building blocks of successful societies. they are part of the golden thread of conditions that lead to security and prosperity. their absence limits opportunities for the individual and drives resentment, political instability and conflict. ensuring that rights are protected and respected is essential in order to tackle the root causes of conflict and to promote better governance.",565,83,96,10,unitedkingdom_2015_NationalSecurityStrategy.md,2025-01-28 18:55:44
